
Predictions were generated on 05-Feb-2026 at 16:50:38 using FAST.Farm, compiled on Feb  5 2026 at 14:22:10 as a 64-bit application using double precision at commit HEAD-HASH-NOTFOUND and with OpenMP
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: Simulation with one turbine using precursor VTK

Time                	W1VAmbx             	RtVRelT1            	YawErrT1            	TIAmbT1             	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT1D1          	WkAxsXT1D2          	WkAxsYT1D1          	WkAxsYT1D2          	WkAxsZT1D1          	WkAxsZT1D2          	WkPosXT1D1          	WkPosXT1D2          	WkPosYT1D1          	WkPosYT1D2          	WkPosZT1D1          	WkPosZT1D2          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVxT1N01D2       	WkDfVxT1N02D2       	WkDfVxT1N03D2       	WkDfVxT1N04D2       	WkDfVxT1N05D2       	WkDfVxT1N06D2       	WkDfVxT1N07D2       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVrT1N01D2       	WkDfVrT1N02D2       	WkDfVrT1N03D2       	WkDfVrT1N04D2       	WkDfVrT1N05D2       	WkDfVrT1N06D2       	WkDfVrT1N07D2       
(s)                 	(m/s)        	(m/s)        	(deg)        	(percent)    	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	8.11987972	8.02585316	0.262263149	9.53005409	0.464708060	0.742972195	0.846820474	-0.246556563E-3	-0.102885929E-5	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    3.0000	7.77075338	8.29220581	1.15139186	9.42936897	0.449937224	0.740683138	0.812125623	-0.236812077E-3	-0.988196462E-6	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    6.0000	7.48410130	8.11132908	1.89210367	9.35555744	0.460969090	0.750004530	0.834032834	-0.244224881E-3	-0.101912940E-5	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
    9.0000	7.38111782	7.94281197	2.25388479	9.50180626	0.469083607	0.765083015	0.849961460	-0.242975089E-3	-0.101391413E-5	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
   12.0000	7.53224373	7.79913187	3.55516863	9.55639744	0.450331926	0.746470034	0.883372545	-0.261777372E-3	-0.109237442E-5	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
   15.0000	7.24159527	7.55234766	1.71813536	9.41782761	0.446412235	0.734410107	0.916658401	-0.266331452E-3	-0.111137820E-5	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
   18.0000	7.00108099	7.40377760	2.04448724	9.48674202	0.464900136	0.768829942	0.902441084	-0.254875544E-3	-0.106357379E-5	0.996194720	0.00000000	0.108767960E-32	0.00000000	-0.871557444E-1	0.00000000	1121.48877	0.00000000	1001.30316	0.00000000	90.0849609	0.00000000	-2.12570333	-2.64639735	-3.54970837	-3.43340778	-0.326334298	-0.205427804E-2	-0.663061229E-16	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.337221958E-1	0.246418305E-1	-0.946264863E-1	-0.158572346	-0.115820661	-0.622439757E-1	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
   21.0000	6.98257017	7.43276215	2.14118552	9.36302090	0.451256245	0.748600662	0.896977603	-0.256256812E-3	-0.106933771E-5	0.996194720	0.00000000	0.108767960E-32	0.00000000	-0.871557444E-1	0.00000000	1121.56567	0.00000000	1001.36743	0.00000000	90.9649734	0.00000000	-2.22269678	-2.68868518	-3.54559588	-3.35450935	-0.343211204	-0.289904373E-2	-0.721775171E-16	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.310167223E-1	0.247542523E-1	-0.925154313E-1	-0.143963724	-0.103741355	-0.556945242E-1	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
   24.0000	7.01249695	7.32059288	0.562107146	9.25147152	0.451226592	0.741362691	0.942825675	-0.276131846E-3	-0.115227442E-5	0.996194720	0.00000000	0.108767960E-32	0.00000000	-0.871557444E-1	0.00000000	1121.66333	0.00000000	1001.53967	0.00000000	92.0809937	0.00000000	-2.30519891	-2.72517991	-3.54250050	-3.28807735	-0.358495116	-0.371283689E-2	-0.694755680E-16	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.288355686E-1	0.246618520E-1	-0.903916433E-1	-0.132534355	-0.943684056E-1	-0.506030470E-1	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
