      Time         Node0px         Node0py         Node0pz         Node1px         Node1py         Node1pz         Node2px         Node2py         Node2pz         Node3px         Node3py         Node3pz 
       (s)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m) 
    0.0000   7.7662967E+01  -1.1646407E-01  -1.7115654E+01   1.2543479E+02  -1.1892333E-01  -3.6076347E+01   1.7321910E+02  -1.2138668E-01  -5.5004537E+01   2.2101569E+02  -1.2385956E-01  -7.3900665E+01
    0.0500   7.7663279E+01  -1.1646036E-01  -1.7113561E+01   1.2543473E+02  -1.1892174E-01  -3.6075619E+01   1.7321937E+02  -1.2138375E-01  -5.5003439E+01   2.2101630E+02  -1.2385534E-01  -7.3899134E+01
    0.1000   7.7663766E+01  -1.1645189E-01  -1.7110214E+01   1.2543459E+02  -1.1892007E-01  -3.6074560E+01   1.7321954E+02  -1.2138172E-01  -5.5002273E+01   2.2101691E+02  -1.2385247E-01  -7.3897581E+01
    0.1500   7.7664493E+01  -1.1643902E-01  -1.7105600E+01   1.2543448E+02  -1.1891763E-01  -3.6072948E+01   1.7321965E+02  -1.2138051E-01  -5.5001010E+01   2.2101749E+02  -1.2385095E-01  -7.3896000E+01
    0.2000   7.7665503E+01  -1.1642170E-01  -1.7099729E+01   1.2543453E+02  -1.1891354E-01  -3.6070535E+01   1.7321972E+02  -1.2137997E-01  -5.4999585E+01   2.2101804E+02  -1.2385078E-01  -7.3894387E+01
    0.2500   7.7666848E+01  -1.1639999E-01  -1.7092616E+01   1.2543485E+02  -1.1890688E-01  -3.6067102E+01   1.7321979E+02  -1.2137979E-01  -5.4997884E+01   2.2101855E+02  -1.2385196E-01  -7.3892736E+01
    0.3000   7.7668577E+01  -1.1637397E-01  -1.7084272E+01   1.2543555E+02  -1.1889685E-01  -3.6062485E+01   1.7321996E+02  -1.2137946E-01  -5.4995745E+01   2.2101898E+02  -1.2385449E-01  -7.3891038E+01
    0.3500   7.7670740E+01  -1.1634373E-01  -1.7074709E+01   1.2543668E+02  -1.1888293E-01  -3.6056598E+01   1.7322028E+02  -1.2137830E-01  -5.4992975E+01   2.2101933E+02  -1.2385836E-01  -7.3889288E+01
    0.4000   7.7673389E+01  -1.1630934E-01  -1.7063944E+01   1.2543828E+02  -1.1886486E-01  -3.6049436E+01   1.7322085E+02  -1.2137558E-01  -5.4989381E+01   2.2101958E+02  -1.2386356E-01  -7.3887477E+01
    0.4500   7.7676572E+01  -1.1627089E-01  -1.7051993E+01   1.2544036E+02  -1.1884271E-01  -3.6041052E+01   1.7322174E+02  -1.2137059E-01  -5.4984807E+01   2.2101972E+02  -1.2387009E-01  -7.3885597E+01
    0.5000   7.7680339E+01  -1.1622844E-01  -1.7038879E+01   1.2544292E+02  -1.1881671E-01  -3.6031535E+01   1.7322298E+02  -1.2136284E-01  -5.4979175E+01   2.2101974E+02  -1.2387792E-01  -7.3883640E+01
    0.5500   7.7684741E+01  -1.1618206E-01  -1.7024620E+01   1.2544596E+02  -1.1878722E-01  -3.6020982E+01   1.7322460E+02  -1.2135213E-01  -5.4972499E+01   2.2101963E+02  -1.2388705E-01  -7.3881601E+01
    0.6000   7.7689825E+01  -1.1613179E-01  -1.7009239E+01   1.2544948E+02  -1.1875462E-01  -3.6009483E+01   1.7322655E+02  -1.2133865E-01  -5.4964896E+01   2.2101940E+02  -1.2389743E-01  -7.3879470E+01
    0.6500   7.7695639E+01  -1.1607765E-01  -1.6992761E+01   1.2545349E+02  -1.1871924E-01  -3.5997116E+01   1.7322878E+02  -1.2132295E-01  -5.4956562E+01   2.2101905E+02  -1.2390904E-01  -7.3877244E+01
