      Time         Node0px         Node0py         Node0pz         Node1px         Node1py         Node1pz         Node2px         Node2py         Node2pz         Node3px         Node3py         Node3pz         Node4px         Node4py         Node4pz         Node5px         Node5py         Node5pz         Node6px         Node6py         Node6pz         Node7px         Node7py         Node7pz         Node8px         Node8py         Node8pz         Node9px         Node9py         Node9pz        Node10px        Node10py        Node10pz        Node11px        Node11py        Node11pz 
       (s)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m) 
    0.0000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788534E+02  -7.3163115E+02  -5.4731604E+02  -6.5581656E+02  -6.6330586E+02  -4.9450817E+02  -5.8379372E+02  -5.9502419E+02  -4.4157662E+02  -5.1181686E+02  -5.2678618E+02  -3.8852163E+02  -4.3988604E+02  -4.5859183E+02  -3.3534347E+02  -3.6800130E+02  -3.9044116E+02  -2.8204238E+02  -2.9616270E+02  -3.2233421E+02  -2.2861860E+02  -2.2437027E+02  -2.5427106E+02  -1.7507235E+02  -1.5262404E+02  -1.8625176E+02  -1.2140383E+02  -8.0924025E+01  -1.1827636E+02  -6.7613249E+01  -9.2702808E+00  -5.0344954E+01  -1.3700710E+01
    0.0500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788532E+02  -7.3163119E+02  -5.4731601E+02  -6.5581653E+02  -6.6330595E+02  -4.9450810E+02  -5.8379368E+02  -5.9502432E+02  -4.4157652E+02  -5.1181681E+02  -5.2678634E+02  -3.8852150E+02  -4.3988598E+02  -4.5859201E+02  -3.3534332E+02  -3.6800124E+02  -3.9044133E+02  -2.8204223E+02  -2.9616264E+02  -3.2233437E+02  -2.2861846E+02  -2.2437020E+02  -2.5427116E+02  -1.7507223E+02  -1.5262394E+02  -1.8625178E+02  -1.2140371E+02  -8.0923874E+01  -1.1827628E+02  -6.7613106E+01  -9.2700652E+00  -5.0344957E+01  -1.3700232E+01
    0.1000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788531E+02  -7.3163124E+02  -5.4731597E+02  -6.5581650E+02  -6.6330603E+02  -4.9450803E+02  -5.8379363E+02  -5.9502445E+02  -4.4157641E+02  -5.1181675E+02  -5.2678650E+02  -3.8852137E+02  -4.3988591E+02  -4.5859218E+02  -3.3534317E+02  -3.6800116E+02  -3.9044149E+02  -2.8204207E+02  -2.9616254E+02  -3.2233448E+02  -2.2861830E+02  -2.2437006E+02  -2.5427120E+02  -1.7507205E+02  -1.5262375E+02  -1.8625172E+02  -1.2140352E+02  -8.0923607E+01  -1.1827609E+02  -6.7612865E+01  -9.2696939E+00  -5.0344962E+01  -1.3699559E+01
    0.1500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788529E+02  -7.3163128E+02  -5.4731593E+02  -6.5581647E+02  -6.6330612E+02  -4.9450796E+02  -5.8379358E+02  -5.9502457E+02  -4.4157630E+02  -5.1181668E+02  -5.2678664E+02  -3.8852123E+02  -4.3988581E+02  -4.5859232E+02  -3.3534300E+02  -3.6800103E+02  -3.9044161E+02  -2.8204188E+02  -2.9616237E+02  -3.2233453E+02  -2.2861809E+02  -2.2436984E+02  -2.5427116E+02  -1.7507181E+02  -1.5262345E+02  -1.8625155E+02  -1.2140324E+02  -8.0923220E+01  -1.1827581E+02  -6.7612513E+01  -9.2691258E+00  -5.0344970E+01  -1.3698733E+01
    0.2000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788527E+02  -7.3163132E+02  -5.4731589E+02  -6.5581643E+02  -6.6330620E+02  -4.9450787E+02  -5.8379351E+02  -5.9502468E+02  -4.4157618E+02  -5.1181658E+02  -5.2678676E+02  -3.8852107E+02  -4.3988567E+02  -4.5859242E+02  -3.3534280E+02  -3.6800084E+02  -3.9044166E+02  -2.8204164E+02  -2.9616211E+02  -3.2233450E+02  -2.2861781E+02  -2.2436950E+02  -2.5427101E+02  -1.7507149E+02  -1.5262302E+02  -1.8625127E+02  -1.2140287E+02  -8.0922702E+01  -1.1827543E+02  -6.7612037E+01  -9.2683136E+00  -5.0344979E+01  -1.3697785E+01
    0.2500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788524E+02  -7.3163136E+02  -5.4731584E+02  -6.5581636E+02  -6.6330626E+02  -4.9450778E+02  -5.8379341E+02  -5.9502475E+02  -4.4157603E+02  -5.1181643E+02  -5.2678682E+02  -3.8852087E+02  -4.3988546E+02  -4.5859245E+02  -3.3534255E+02  -3.6800055E+02  -3.9044161E+02  -2.8204133E+02  -2.9616174E+02  -3.2233436E+02  -2.2861744E+02  -2.2436904E+02  -2.5427075E+02  -1.7507107E+02  -1.5262247E+02  -1.8625087E+02  -1.2140239E+02  -8.0922040E+01  -1.1827496E+02  -6.7611420E+01  -9.2672082E+00  -5.0344991E+01  -1.3696747E+01
    0.3000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788519E+02  -7.3163138E+02  -5.4731578E+02  -6.5581627E+02  -6.6330629E+02  -4.9450765E+02  -5.8379325E+02  -5.9502478E+02  -4.4157584E+02  -5.1181620E+02  -5.2678681E+02  -3.8852061E+02  -4.3988515E+02  -4.5859238E+02  -3.3534223E+02  -3.6800016E+02  -3.9044147E+02  -2.8204095E+02  -2.9616125E+02  -3.2233410E+02  -2.2861699E+02  -2.2436845E+02  -2.5427036E+02  -1.7507056E+02  -1.5262178E+02  -1.8625035E+02  -1.2140181E+02  -8.0921216E+01  -1.1827440E+02  -6.7610648E+01  -9.2657598E+00  -5.0345005E+01  -1.3695645E+01
    0.3500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788512E+02  -7.3163138E+02  -5.4731570E+02  -6.5581612E+02  -6.6330628E+02  -4.9450749E+02  -5.8379303E+02  -5.9502473E+02  -4.4157560E+02  -5.1181588E+02  -5.2678672E+02  -3.8852029E+02  -4.3988474E+02  -4.5859221E+02  -3.3534183E+02  -3.6799965E+02  -3.9044120E+02  -2.8204047E+02  -2.9616064E+02  -3.2233372E+02  -2.2861644E+02  -2.2436773E+02  -2.5426984E+02  -1.7506994E+02  -1.5262094E+02  -1.8624969E+02  -1.2140111E+02  -8.0920207E+01  -1.1827375E+02  -6.7609711E+01  -9.2639185E+00  -5.0345021E+01  -1.3694510E+01
    0.4000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788502E+02  -7.3163135E+02  -5.4731560E+02  -6.5581592E+02  -6.6330621E+02  -4.9450729E+02  -5.8379272E+02  -5.9502461E+02  -4.4157530E+02  -5.1181547E+02  -5.2678653E+02  -3.8851990E+02  -4.3988421E+02  -4.5859193E+02  -3.3534135E+02  -3.6799901E+02  -3.9044081E+02  -2.8203990E+02  -2.9615988E+02  -3.2233321E+02  -2.2861579E+02  -2.2436685E+02  -2.5426918E+02  -1.7506921E+02  -1.5261993E+02  -1.8624889E+02  -1.2140028E+02  -8.0918987E+01  -1.1827302E+02  -6.7608600E+01  -9.2616345E+00  -5.0345038E+01  -1.3693369E+01
    0.4500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788489E+02  -7.3163129E+02  -5.4731547E+02  -6.5581565E+02  -6.6330609E+02  -4.9450704E+02  -5.8379232E+02  -5.9502441E+02  -4.4157494E+02  -5.1181495E+02  -5.2678623E+02  -3.8851943E+02  -4.3988357E+02  -4.5859153E+02  -3.3534077E+02  -3.6799823E+02  -3.9044029E+02  -2.8203923E+02  -2.9615897E+02  -3.2233255E+02  -2.2861503E+02  -2.2436582E+02  -2.5426837E+02  -1.7506836E+02  -1.5261876E+02  -1.8624794E+02  -1.2139930E+02  -8.0917526E+01  -1.1827222E+02  -6.7607313E+01  -9.2588580E+00  -5.0345057E+01  -1.3692252E+01
    0.5000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788472E+02  -7.3163120E+02  -5.4731532E+02  -6.5581533E+02  -6.6330590E+02  -4.9450675E+02  -5.8379185E+02  -5.9502412E+02  -4.4157452E+02  -5.1181432E+02  -5.2678584E+02  -3.8851888E+02  -4.3988279E+02  -4.5859101E+02  -3.3534011E+02  -3.6799732E+02  -3.9043964E+02  -2.8203846E+02  -2.9615792E+02  -3.2233174E+02  -2.2861416E+02  -2.2436461E+02  -2.5426740E+02  -1.7506738E+02  -1.5261739E+02  -1.8624685E+02  -1.2139817E+02  -8.0915789E+01  -1.1827134E+02  -6.7605854E+01  -9.2555394E+00  -5.0345078E+01  -1.3691187E+01
    0.5500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788453E+02  -7.3163109E+02  -5.4731515E+02  -6.5581495E+02  -6.6330567E+02  -4.9450642E+02  -5.8379129E+02  -5.9502376E+02  -4.4157404E+02  -5.1181359E+02  -5.2678534E+02  -3.8851826E+02  -4.3988190E+02  -4.5859037E+02  -3.3533936E+02  -3.6799626E+02  -3.9043884E+02  -2.8203759E+02  -2.9615670E+02  -3.2233078E+02  -2.2861316E+02  -2.2436324E+02  -2.5426627E+02  -1.7506626E+02  -1.5261583E+02  -1.8624561E+02  -1.2139687E+02  -8.0913739E+01  -1.1827040E+02  -6.7604232E+01  -9.2516289E+00  -5.0345101E+01  -1.3690203E+01
    0.6000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788432E+02  -7.3163095E+02  -5.4731496E+02  -6.5581453E+02  -6.6330539E+02  -4.9450605E+02  -5.8379066E+02  -5.9502333E+02  -4.4157350E+02  -5.1181277E+02  -5.2678475E+02  -3.8851757E+02  -4.3988089E+02  -4.5858961E+02  -3.3533852E+02  -3.6799506E+02  -3.9043791E+02  -2.8203661E+02  -2.9615533E+02  -3.2232967E+02  -2.2861205E+02  -2.2436168E+02  -2.5426498E+02  -1.7506501E+02  -1.5261405E+02  -1.8624422E+02  -1.2139539E+02  -8.0911335E+01  -1.1826940E+02  -6.7602462E+01  -9.2470777E+00  -5.0345125E+01  -1.3689329E+01
    0.6500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788408E+02  -7.3163079E+02  -5.4731476E+02  -6.5581406E+02  -6.6330507E+02  -4.9450565E+02  -5.8378997E+02  -5.9502283E+02  -4.4157291E+02  -5.1181185E+02  -5.2678406E+02  -3.8851681E+02  -4.3987976E+02  -4.5858874E+02  -3.3533760E+02  -3.6799373E+02  -3.9043684E+02  -2.8203553E+02  -2.9615379E+02  -3.2232840E+02  -2.2861082E+02  -2.2435994E+02  -2.5426352E+02  -1.7506361E+02  -1.5261205E+02  -1.8624270E+02  -1.2139374E+02  -8.0908535E+01  -1.1826835E+02  -6.7600566E+01  -9.2418374E+00  -5.0345151E+01  -1.3688592E+01
    0.7000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788383E+02  -7.3163061E+02  -5.4731453E+02  -6.5581354E+02  -6.6330470E+02  -4.9450521E+02  -5.8378921E+02  -5.9502227E+02  -4.4157228E+02  -5.1181085E+02  -5.2678329E+02  -3.8851598E+02  -4.3987853E+02  -4.5858775E+02  -3.3533659E+02  -3.6799227E+02  -3.9043564E+02  -2.8203435E+02  -2.9615210E+02  -3.2232698E+02  -2.2860947E+02  -2.2435802E+02  -2.5426189E+02  -1.7506207E+02  -1.5260980E+02  -1.8624105E+02  -1.2139191E+02  -8.0905296E+01  -1.1826725E+02  -6.7598572E+01  -9.2358602E+00  -5.0345178E+01  -1.3688020E+01
    0.7500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788355E+02  -7.3163042E+02  -5.4731429E+02  -6.5581299E+02  -6.6330430E+02  -4.9450475E+02  -5.8378838E+02  -5.9502165E+02  -4.4157160E+02  -5.1180977E+02  -5.2678244E+02  -3.8851510E+02  -4.3987718E+02  -4.5858666E+02  -3.3533551E+02  -3.6799067E+02  -3.9043431E+02  -2.8203307E+02  -2.9615025E+02  -3.2232541E+02  -2.2860800E+02  -2.2435591E+02  -2.5426011E+02  -1.7506038E+02  -1.5260729E+02  -1.8623928E+02  -1.2138989E+02  -8.0901571E+01  -1.1826612E+02  -6.7596509E+01  -9.2290985E+00  -5.0345206E+01  -1.3687642E+01
    0.8000  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788325E+02  -7.3163020E+02  -5.4731404E+02  -6.5581240E+02  -6.6330386E+02  -4.9450425E+02  -5.8378750E+02  -5.9502097E+02  -4.4157087E+02  -5.1180860E+02  -5.2678151E+02  -3.8851415E+02  -4.3987574E+02  -4.5858547E+02  -3.3533435E+02  -3.6798895E+02  -3.9043285E+02  -2.8203170E+02  -2.9614825E+02  -3.2232368E+02  -2.2860641E+02  -2.2435361E+02  -2.5425817E+02  -1.7505854E+02  -1.5260450E+02  -1.8623740E+02  -1.2138769E+02  -8.0897313E+01  -1.1826495E+02  -6.7594412E+01  -9.2215057E+00  -5.0345235E+01  -1.3687484E+01
    0.8500  -8.0000000E+02  -8.0000000E+02  -6.0000000E+02  -7.2788294E+02  -7.3162997E+02  -5.4731377E+02  -6.5581177E+02  -6.6330338E+02  -4.9450373E+02  -5.8378656E+02  -5.9502022E+02  -4.4157010E+02  -5.1180736E+02  -5.2678049E+02  -3.8851314E+02  -4.3987419E+02  -4.5858417E+02  -3.3533311E+02  -3.6798709E+02  -3.9043127E+02  -2.8203023E+02  -2.9614609E+02  -3.2232181E+02  -2.2860470E+02  -2.2435112E+02  -2.5425608E+02  -1.7505654E+02  -1.5260139E+02  -1.8623543E+02  -1.2138532E+02  -8.0892476E+01  -1.1826374E+02  -6.7592317E+01  -9.2130368E+00  -5.0345266E+01  -1.3687574E+01
