
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 22-Dec-2025 at 21:57:45.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        FAIRTEN7
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   2.7112161E+06   2.5198361E+06   2.7156073E+06   3.0376862E+06   2.7090313E+06   2.5200678E+06   2.7177095E+06   3.0598612E+06   3.0300234E+06   1.1290160E+06   1.1179862E+06
    0.0500   2.7115558E+06   2.5198458E+06   2.7151310E+06   3.0376861E+06   2.7093764E+06   2.5200601E+06   2.7172158E+06   3.0599955E+06   3.0301624E+06   1.1284089E+06   1.1173752E+06
    0.1000   2.7120593E+06   2.5198628E+06   2.7143475E+06   3.0376864E+06   2.7098808E+06   2.5200415E+06   2.7164293E+06   3.0601362E+06   3.0303085E+06   1.1275994E+06   1.1165608E+06
    0.1500   2.7126904E+06   2.5198895E+06   2.7132841E+06   3.0376893E+06   2.7105127E+06   2.5200069E+06   2.7153583E+06   3.0602875E+06   3.0304653E+06   1.1266142E+06   1.1155698E+06
    0.2000   2.7134075E+06   2.5199275E+06   2.7119696E+06   3.0377017E+06   2.7112316E+06   2.5199522E+06   2.7140362E+06   3.0604520E+06   3.0306350E+06   1.1255378E+06   1.1144872E+06
    0.2500   2.7141670E+06   2.5199770E+06   2.7104416E+06   3.0377349E+06   2.7119928E+06   2.5198740E+06   2.7124992E+06   3.0606307E+06   3.0308188E+06   1.1244586E+06   1.1134019E+06
    0.3000   2.7149243E+06   2.5200368E+06   2.7087407E+06   3.0378009E+06   2.7127517E+06   2.5197702E+06   2.7107877E+06   3.0608242E+06   3.0310170E+06   1.1234355E+06   1.1123732E+06
    0.3500   2.7156348E+06   2.5201037E+06   2.7069095E+06   3.0379077E+06   2.7134644E+06   2.5196403E+06   2.7089449E+06   3.0610327E+06   3.0312300E+06   1.1224890E+06   1.1114215E+06
    0.4000   2.7162544E+06   2.5201726E+06   2.7049924E+06   3.0380581E+06   2.7140870E+06   2.5194848E+06   2.7070154E+06   3.0612568E+06   3.0314582E+06   1.1216080E+06   1.1105359E+06
    0.4500   2.7167403E+06   2.5202363E+06   2.7030350E+06   3.0382505E+06   2.7145772E+06   2.5193059E+06   2.7050452E+06   3.0614975E+06   3.0317027E+06   1.1207639E+06   1.1096874E+06
    0.5000   2.7170523E+06   2.5202860E+06   2.7010828E+06   3.0384810E+06   2.7148947E+06   2.5191062E+06   2.7030800E+06   3.0617564E+06   3.0319650E+06   1.1199252E+06   1.1088446E+06
