
Predictions were generated on 22-Dec-2025 at 21:57:45 using OpenFAST, compiled on Dec 22 2025 at 21:41:16 as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; SeaState; HydroDyn

Description from the FAST input file: IEA 15 MW offshore reference model on UMaine VolturnUS-S semi-submersible floating platform

Time	ConvIter	ConvError	NumUJac	Wind1VelX	Wind1VelY	Wind1VelZ	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	NcIMUTAxs	NcIMUTAys	NcIMUTAzs	RotSpeed	RotTorq	RotThrust	BldPitch1	GenSpeed	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFzt	RtSpeed	RtTSR	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(-)	(-)	(-)	(m/s)	(m/s)	(m/s)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(m/s^2)	(m/s^2)	(m/s^2)	(rpm)	(kN-m)	(kN)	(deg)	(rpm)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(rpm)	(-)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	 1.000E+00	 7.765E-12	 1.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.090E+01	 1.300E-01	-3.400E-01	 2.800E-01	 2.400E+00	 4.100E-01	 3.519E-01	-1.996E-03	 1.668E-02	 5.730E+00	 1.096E+04	 1.809E+03	 0.000E+00	 5.730E+00	 1.971E+03	-1.208E+02	-2.226E+04	 2.155E+04	 1.408E+05	 4.421E+02	 1.429E+03	-5.564E+01	-8.962E+03	 1.130E+04	-6.234E+04	 4.421E+02	-2.226E+04	 5.730E+00	 9.075E+00	 2.853E-01	-5.876E+06	 1.435E+03	 2.017E+08	-9.998E+06	 6.088E+07	-7.161E+04
    0.1000	 3.000E+00	 2.360E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.090E+01	 1.300E-01	-3.402E-01	 2.800E-01	 2.401E+00	 4.100E-01	 2.786E-01	-1.479E-04	-3.324E-02	 5.730E+00	 1.095E+04	 1.837E+03	 0.000E+00	 5.730E+00	 2.107E+03	-1.241E+02	-2.217E+04	 2.191E+04	 1.545E+05	 5.326E+02	 1.498E+03	-5.777E+01	-8.923E+03	 1.131E+04	-6.159E+04	 5.326E+02	-2.217E+04	 5.730E+00	 9.103E+00	 1.318E-01	-5.166E+06	 1.649E+02	 2.031E+08	-9.918E+06	 6.295E+07	 7.676E+05
    0.2000	 3.000E+00	 2.332E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.090E+01	 1.300E-01	-3.409E-01	 2.800E-01	 2.404E+00	 4.100E-01	 3.001E-01	-2.320E-04	-2.092E-02	 5.730E+00	 1.090E+04	 1.826E+03	 0.000E+00	 5.730E+00	 2.059E+03	-1.240E+02	-2.219E+04	 2.187E+04	 1.500E+05	 6.422E+02	 1.475E+03	-5.783E+01	-8.932E+03	 1.127E+04	-6.183E+04	 6.422E+02	-2.219E+04	 5.730E+00	 9.138E+00	-2.160E-02	-4.838E+06	 2.252E+02	 2.032E+08	-9.914E+06	 6.486E+07	 7.187E+05
    0.3000	 3.000E+00	 2.422E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.089E+01	 1.300E-01	-3.422E-01	 2.800E-01	 2.408E+00	 4.099E-01	 3.185E-01	-1.101E-04	-8.796E-03	 5.730E+00	 1.082E+04	 1.815E+03	 0.000E+00	 5.730E+00	 2.014E+03	-1.241E+02	-2.221E+04	 2.181E+04	 1.459E+05	 7.233E+02	 1.454E+03	-5.785E+01	-8.941E+03	 1.120E+04	-6.208E+04	 7.233E+02	-2.221E+04	 5.730E+00	 9.177E+00	-1.542E-01	-4.468E+06	 2.731E+02	 2.034E+08	-9.899E+06	 6.540E+07	 6.825E+05
    0.4000	 3.000E+00	 2.702E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.088E+01	 1.300E-01	-3.441E-01	 2.801E-01	 2.415E+00	 4.099E-01	 3.366E-01	 1.112E-04	 3.321E-03	 5.730E+00	 1.073E+04	 1.804E+03	 0.000E+00	 5.730E+00	 1.970E+03	-1.242E+02	-2.224E+04	 2.173E+04	 1.417E+05	 7.993E+02	 1.433E+03	-5.784E+01	-8.950E+03	 1.111E+04	-6.234E+04	 7.993E+02	-2.224E+04	 5.730E+00	 9.221E+00	-2.869E-01	-4.092E+06	 3.194E+02	 2.036E+08	-9.876E+06	 6.588E+07	 6.499E+05
    0.5000	 3.000E+00	 3.195E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.087E+01	 1.300E-01	-3.463E-01	 2.801E-01	 2.424E+00	 4.098E-01	 3.510E-01	 4.187E-04	 1.501E-02	 5.730E+00	 1.062E+04	 1.793E+03	 0.000E+00	 5.730E+00	 1.930E+03	-1.243E+02	-2.226E+04	 2.164E+04	 1.382E+05	 8.772E+02	 1.415E+03	-5.785E+01	-8.959E+03	 1.101E+04	-6.257E+04	 8.772E+02	-2.226E+04	 5.730E+00	 9.269E+00	-3.975E-01	-3.691E+06	 3.697E+02	 2.038E+08	-9.849E+06	 6.497E+07	 6.165E+05
    0.6000	 3.000E+00	 3.922E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.086E+01	 1.300E-01	-3.489E-01	 2.801E-01	 2.435E+00	 4.097E-01	 3.651E-01	 7.595E-04	 2.664E-02	 5.730E+00	 1.050E+04	 1.783E+03	 0.000E+00	 5.730E+00	 1.891E+03	-1.245E+02	-2.228E+04	 2.155E+04	 1.347E+05	 9.653E+02	 1.397E+03	-5.789E+01	-8.967E+03	 1.090E+04	-6.280E+04	 9.653E+02	-2.228E+04	 5.730E+00	 9.321E+00	-5.082E-01	-3.286E+06	 4.272E+02	 2.040E+08	-9.819E+06	 6.399E+07	 5.794E+05
    0.7000	 3.000E+00	 4.833E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.085E+01	 1.300E-01	-3.516E-01	 2.801E-01	 2.447E+00	 4.096E-01	 3.745E-01	 1.148E-03	 3.760E-02	 5.730E+00	 1.037E+04	 1.773E+03	 0.000E+00	 5.730E+00	 1.858E+03	-1.248E+02	-2.230E+04	 2.146E+04	 1.319E+05	 1.071E+03	 1.383E+03	-5.798E+01	-8.975E+03	 1.078E+04	-6.301E+04	 1.071E+03	-2.230E+04	 5.730E+00	 9.377E+00	-5.972E-01	-2.871E+06	 4.933E+02	 2.042E+08	-9.788E+06	 6.163E+07	 5.336E+05
    0.8000	 3.000E+00	 5.925E-08	 0.000E+00	 7.999E+00	 0.000E+00	 0.000E+00	 2.084E+01	 1.300E-01	-3.545E-01	 2.802E-01	 2.462E+00	 4.095E-01	 3.834E-01	 1.543E-03	 4.847E-02	 5.730E+00	 1.023E+04	 1.764E+03	 0.000E+00	 5.730E+00	 1.827E+03	-1.251E+02	-2.233E+04	 2.136E+04	 1.292E+05	 1.190E+03	 1.370E+03	-5.811E+01	-8.984E+03	 1.066E+04	-6.321E+04	 1.190E+03	-2.233E+04	 5.730E+00	 9.436E+00	-6.862E-01	-2.455E+06	 5.669E+02	 2.044E+08	-9.755E+06	 5.920E+07	 4.827E+05
