
Predictions were generated on 30-May-2024 at 23:58:04 using OpenFAST, compiled on May 30 2024 at 23:36:36 as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST          Certification - Test #26: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl1	IPDefl1	RotSpeed	TTDspFA	TTDspSS	RootMIP1	RootMOoP1	RootMzb1	RotTorq	YawBrMyp	TwrBsMyt	YawBrFxn	RtSkew	RtVAvgxh	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(rpm)	(m)	(m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(deg)	(m/s)	(kW)	(kN-m)
    0.0000	 8.062E+00	 6.923E-02	-2.113E-01	 0.000E+00	 0.000E+00	 9.000E+00	 0.000E+00	-0.000E+00	 8.813E+02	 6.834E+01	 1.776E-15	-1.089E-12	-4.094E+02	-3.326E+02	 1.513E+01	 4.915E+00	 7.927E+00	 1.682E+03	 1.949E+01
    0.1000	 8.077E+00	 5.150E-02	-1.913E-01	 2.415E-01	-1.181E-01	 8.928E+00	-3.377E-04	-2.028E-04	 1.868E+03	 7.793E+02	-1.344E+01	 1.347E+03	-5.850E+02	 4.418E+02	 8.583E+00	 8.945E+00	 6.545E+00	 1.625E+03	 1.937E+01
    0.2000	 8.092E+00	 3.377E-02	-1.713E-01	 7.966E-01	-5.073E-01	 8.805E+00	-4.205E-05	-1.564E-03	 3.595E+03	 2.111E+03	-2.842E+01	 2.238E+03	-9.004E+02	 6.886E+02	 2.331E+01	 1.152E+01	 5.814E+00	 1.599E+03	 1.905E+01
    0.3000	 8.107E+00	 1.604E-02	-1.513E-01	 1.520E+00	-8.937E-01	 8.937E+00	 3.662E-03	-4.217E-03	 5.420E+03	 3.507E+03	-5.279E+01	 2.780E+03	-9.489E+02	 9.791E+01	 6.465E+01	 1.151E+01	 5.585E+00	 1.607E+03	 1.888E+01
    0.4000	 8.122E+00	-1.687E-03	-1.313E-01	 2.326E+00	-1.094E+00	 8.909E+00	 1.306E-02	-7.870E-03	 6.444E+03	 4.401E+03	-7.324E+01	 2.352E+03	-9.783E+02	 1.553E+03	 8.909E+01	 8.600E+00	 5.787E+00	 1.645E+03	 1.896E+01
    0.5000	 8.137E+00	-1.942E-02	-1.113E-01	 3.000E+00	-1.132E+00	 8.891E+00	 2.902E-02	-1.177E-02	 6.215E+03	 5.078E+03	-8.287E+01	 9.108E+02	-1.167E+03	 5.237E+03	 1.057E+02	 4.982E+00	 6.339E+00	 1.650E+03	 1.911E+01
    0.6000	 8.125E+00	-1.416E-02	-1.079E-01	 3.399E+00	-9.751E-01	 8.855E+00	 5.173E-02	-1.471E-02	 5.358E+03	 5.871E+03	-6.231E+01	 9.151E+02	-1.391E+03	 8.936E+03	 1.587E+02	 3.458E+00	 6.912E+00	 1.606E+03	 1.903E+01
    0.7000	 8.114E+00	-8.895E-03	-1.046E-01	 3.574E+00	-7.827E-01	 8.753E+00	 8.106E-02	-1.681E-02	 4.033E+03	 6.395E+03	-3.867E+01	 1.511E+03	-1.189E+03	 1.348E+04	 2.152E+02	 3.452E+00	 7.346E+00	 1.559E+03	 1.873E+01
    0.8000	 8.102E+00	-3.634E-03	-1.012E-01	 3.604E+00	-5.904E-01	 8.822E+00	 1.165E-01	-1.889E-02	 2.777E+03	 6.458E+03	-1.580E+01	 2.451E+03	-6.189E+02	 1.956E+04	 2.584E+02	 3.526E+00	 7.638E+00	 1.538E+03	 1.842E+01
    0.9000	 8.090E+00	 1.627E-03	-9.781E-02	 3.537E+00	-4.242E-01	 8.864E+00	 1.566E-01	-2.213E-02	 1.931E+03	 6.179E+03	 3.354E+00	 2.851E+03	-3.244E+01	 2.592E+04	 3.172E+02	 4.271E+00	 7.855E+00	 1.564E+03	 1.833E+01
    1.0000	 8.079E+00	 6.889E-03	-9.443E-02	 3.403E+00	-3.854E-01	 8.905E+00	 1.991E-01	-2.728E-02	 1.639E+03	 5.846E+03	 2.485E+00	 1.929E+03	 2.154E+02	 3.274E+04	 3.894E+02	 5.801E+00	 7.935E+00	 1.600E+03	 1.849E+01
    1.1000	 8.067E+00	 4.040E-02	-5.934E-02	 3.237E+00	-4.616E-01	 8.912E+00	 2.416E-01	-3.381E-02	 2.257E+03	 5.596E+03	-8.317E+00	 1.187E+03	 1.683E+02	 4.070E+04	 4.476E+02	 6.862E+00	 7.905E+00	 1.604E+03	 1.865E+01
    1.2000	 8.054E+00	 7.392E-02	-2.424E-02	 3.082E+00	-6.685E-01	 8.829E+00	 2.820E-01	-4.040E-02	 3.434E+03	 5.420E+03	-3.212E+01	 9.941E+02	 1.702E+02	 4.799E+04	 5.071E+02	 6.847E+00	 7.836E+00	 1.576E+03	 1.864E+01
    1.3000	 8.042E+00	 1.074E-01	 1.085E-02	 2.977E+00	-8.991E-01	 8.823E+00	 3.184E-01	-4.540E-02	 4.589E+03	 5.282E+03	-5.667E+01	 1.639E+03	 3.754E+02	 5.345E+04	 5.758E+02	 5.921E+00	 7.759E+00	 1.540E+03	 1.843E+01
    1.4000	 8.030E+00	 1.410E-01	 4.595E-02	 2.922E+00	-9.811E-01	 8.841E+00	 3.488E-01	-4.773E-02	 4.990E+03	 5.200E+03	-6.391E+01	 2.523E+03	 5.528E+02	 5.845E+04	 6.243E+02	 5.196E+00	 7.709E+00	 1.536E+03	 1.824E+01
    1.5000	 8.018E+00	 1.745E-01	 8.105E-02	 2.895E+00	-8.498E-01	 8.889E+00	 3.718E-01	-4.730E-02	 4.111E+03	 5.231E+03	-5.053E+01	 2.479E+03	 5.759E+02	 6.293E+04	 6.502E+02	 5.734E+00	 7.686E+00	 1.564E+03	 1.826E+01
    1.6000	 7.994E+00	 1.700E-01	 7.139E-02	 2.888E+00	-5.312E-01	 8.931E+00	 3.865E-01	-4.469E-02	 2.340E+03	 5.333E+03	-1.832E+01	 1.847E+03	 6.153E+02	 6.522E+04	 6.776E+02	 6.450E+00	 7.698E+00	 1.593E+03	 1.844E+01
    1.7000	 7.970E+00	 1.654E-01	 6.173E-02	 2.878E+00	-1.955E-01	 8.890E+00	 3.925E-01	-4.107E-02	 4.449E+02	 5.435E+03	 1.224E+01	 1.145E+03	 7.275E+02	 6.566E+04	 6.958E+02	 6.411E+00	 7.760E+00	 1.596E+03	 1.859E+01
    1.8000	 7.947E+00	 1.609E-01	 5.208E-02	 2.849E+00	-3.220E-03	 8.852E+00	 3.899E-01	-3.772E-02	-7.164E+02	 5.444E+03	 2.682E+01	 1.113E+03	 8.262E+02	 6.536E+04	 6.849E+02	 5.576E+00	 7.833E+00	 1.568E+03	 1.856E+01
    1.9000	 7.923E+00	 1.564E-01	 4.242E-02	 2.808E+00	-7.901E-03	 8.831E+00	 3.791E-01	-3.543E-02	-7.575E+02	 5.366E+03	 2.341E+01	 1.847E+03	 9.364E+02	 6.359E+04	 6.611E+02	 5.085E+00	 7.908E+00	 1.541E+03	 1.838E+01
    2.0000	 7.900E+00	 1.519E-01	 3.276E-02	 2.775E+00	-1.696E-01	 8.857E+00	 3.609E-01	-3.434E-02	-4.111E+00	 5.237E+03	 6.383E+00	 2.424E+03	 1.129E+03	 5.992E+04	 6.352E+02	 5.180E+00	 7.980E+00	 1.544E+03	 1.826E+01
    2.1000	 7.876E+00	 1.696E-01	 2.418E-02	 2.756E+00	-3.537E-01	 8.916E+00	 3.363E-01	-3.372E-02	 9.598E+02	 5.108E+03	-1.063E+01	 2.397E+03	 1.374E+03	 5.547E+04	 5.907E+02	 4.928E+00	 8.074E+00	 1.571E+03	 1.831E+01
    2.2000	 7.852E+00	 1.872E-01	 1.559E-02	 2.742E+00	-4.604E-01	 8.934E+00	 3.066E-01	-3.241E-02	 1.526E+03	 5.055E+03	-1.939E+01	 1.787E+03	 1.571E+03	 5.041E+04	 5.345E+02	 4.700E+00	 8.164E+00	 1.598E+03	 1.849E+01
    2.3000	 7.828E+00	 2.048E-01	 7.002E-03	 2.730E+00	-4.556E-01	 8.922E+00	 2.736E-01	-2.939E-02	 1.430E+03	 5.115E+03	-1.767E+01	 1.244E+03	 1.581E+03	 4.435E+04	 4.874E+02	 5.617E+00	 8.229E+00	 1.600E+03	 1.864E+01
    2.4000	 7.804E+00	 2.225E-01	-1.585E-03	 2.727E+00	-3.401E-01	 8.895E+00	 2.390E-01	-2.450E-02	 6.949E+02	 5.194E+03	-6.349E+00	 1.394E+03	 1.299E+03	 3.842E+04	 4.371E+02	 7.124E+00	 8.254E+00	 1.581E+03	 1.863E+01
    2.5000	 7.780E+00	 2.401E-01	-1.017E-02	 2.741E+00	-1.488E-01	 8.892E+00	 2.041E-01	-1.864E-02	-5.316E+02	 5.224E+03	 9.859E+00	 1.977E+03	 8.041E+02	 3.329E+04	 3.751E+02	 7.944E+00	 8.255E+00	 1.568E+03	 1.853E+01
    2.6000	 7.772E+00	 2.356E-01	-4.128E-02	 2.761E+00	 7.709E-02	 8.934E+00	 1.701E-01	-1.311E-02	-1.916E+03	 5.258E+03	 2.828E+01	 2.423E+03	 3.136E+02	 2.788E+04	 3.241E+02	 7.312E+00	 8.259E+00	 1.580E+03	 1.850E+01
    2.7000	 7.764E+00	 2.310E-01	-7.240E-02	 2.772E+00	 2.689E-01	 8.974E+00	 1.383E-01	-8.977E-03	-3.052E+03	 5.319E+03	 4.305E+01	 2.264E+03	-5.295E+01	 2.227E+04	 2.850E+02	 5.833E+00	 8.262E+00	 1.611E+03	 1.863E+01
    2.8000	 7.755E+00	 2.265E-01	-1.035E-01	 2.772E+00	 3.494E-01	 8.990E+00	 1.097E-01	-6.622E-03	-3.532E+03	 5.357E+03	 4.824E+01	 1.684E+03	-2.841E+02	 1.773E+04	 2.373E+02	 4.135E+00	 8.255E+00	 1.635E+03	 1.883E+01
    2.9000	 7.747E+00	 2.220E-01	-1.346E-01	 2.774E+00	 2.771E-01	 8.970E+00	 8.565E-02	-5.656E-03	-3.149E+03	 5.319E+03	 4.136E+01	 1.333E+03	-3.296E+02	 1.395E+04	 1.918E+02	 3.030E+00	 8.216E+00	 1.634E+03	 1.897E+01
    3.0000	 7.739E+00	 2.174E-01	-1.657E-01	 2.789E+00	 8.054E-02	 8.943E+00	 6.708E-02	-5.442E-03	-2.133E+03	 5.228E+03	 2.452E+01	 1.532E+03	-1.798E+02	 1.033E+04	 1.658E+02	 2.516E+00	 8.170E+00	 1.618E+03	 1.897E+01
    3.1000	 7.699E+00	 1.633E-01	-1.788E-01	 2.818E+00	-1.266E-01	 8.949E+00	 5.475E-02	-5.636E-03	-1.088E+03	 5.155E+03	 6.666E+00	 2.073E+03	-8.695E+00	 7.927E+03	 1.469E+02	 3.476E+00	 8.083E+00	 1.611E+03	 1.890E+01
    3.2000	 7.658E+00	 1.092E-01	-1.918E-01	 2.850E+00	-2.169E-01	 8.980E+00	 4.919E-02	-6.330E-03	-6.763E+02	 5.157E+03	-4.068E-01	 2.377E+03	 3.673E+01	 7.328E+03	 1.302E+02	 5.291E+00	 7.996E+00	 1.627E+03	 1.891E+01
    3.3000	 7.618E+00	 5.507E-02	-2.048E-01	 2.890E+00	-1.362E-01	 9.011E+00	 5.070E-02	-7.776E-03	-1.188E+03	 5.208E+03	 8.242E+00	 2.130E+03	-4.891E+01	 7.653E+03	 1.349E+02	 7.244E+00	 7.951E+00	 1.654E+03	 1.904E+01
    3.4000	 7.577E+00	 9.551E-04	-2.178E-01	 2.922E+00	 7.384E-02	 9.013E+00	 5.904E-02	-1.010E-02	-2.381E+03	 5.288E+03	 2.779E+01	 1.636E+03	-3.274E+02	 8.987E+03	 1.594E+02	 8.115E+00	 7.859E+00	 1.670E+03	 1.922E+01
    3.5000	 7.536E+00	-5.316E-02	-2.309E-01	 2.926E+00	 3.021E-01	 8.984E+00	 7.341E-02	-1.315E-02	-3.677E+03	 5.355E+03	 4.756E+01	 1.391E+03	-6.877E+02	 1.216E+04	 1.802E+02	 7.789E+00	 7.822E+00	 1.664E+03	 1.931E+01
