
Predictions were generated on 11-Oct-2023 at 11:52:26 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.5.0-104-g57ef6afc-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST          Certification - Test #26: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl1	IPDefl1	RotSpeed	TTDspFA	TTDspSS	RootMIP1	RootMOoP1	RootMzb1	RotTorq	YawBrMyp	TwrBsMyt	YawBrFxn	RtSkew	RtVAvgxh	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(rpm)	(m)	(m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(deg)	(m/s)	(kW)	(kN-m)
    0.0000	 8.088E+00	 7.213E-02	-2.007E-01	 0.000E+00	 0.000E+00	 9.000E+00	 0.000E+00	-0.000E+00	 8.813E+02	 6.834E+01	 9.415E-14	-5.240E-13	-4.094E+02	-3.326E+02	 1.513E+01	 4.968E+00	 7.951E+00	 1.682E+03	 1.949E+01
    0.1000	 8.104E+00	 5.432E-02	-1.807E-01	 2.416E-01	-1.179E-01	 8.928E+00	-3.328E-04	-1.997E-04	 1.867E+03	 7.797E+02	-1.342E+01	 1.350E+03	-5.963E+02	 4.454E+02	 8.924E+00	 8.980E+00	 6.565E+00	 1.625E+03	 1.937E+01
    0.2000	 8.120E+00	 3.651E-02	-1.606E-01	 7.966E-01	-5.071E-01	 8.805E+00	-1.977E-05	-1.552E-03	 3.594E+03	 2.112E+03	-2.840E+01	 2.238E+03	-9.197E+02	 7.080E+02	 2.368E+01	 1.155E+01	 5.832E+00	 1.599E+03	 1.905E+01
    0.3000	 8.136E+00	 1.869E-02	-1.406E-01	 1.520E+00	-8.935E-01	 8.938E+00	 3.717E-03	-4.190E-03	 5.419E+03	 3.508E+03	-5.277E+01	 2.780E+03	-9.679E+02	 1.238E+02	 6.504E+01	 1.154E+01	 5.600E+00	 1.608E+03	 1.888E+01
    0.4000	 8.151E+00	 8.814E-04	-1.205E-01	 2.326E+00	-1.093E+00	 8.910E+00	 1.315E-02	-7.823E-03	 6.443E+03	 4.402E+03	-7.320E+01	 2.353E+03	-9.901E+02	 1.574E+03	 8.956E+01	 8.630E+00	 5.800E+00	 1.646E+03	 1.896E+01
    0.5000	 8.167E+00	-1.693E-02	-1.005E-01	 3.000E+00	-1.132E+00	 8.891E+00	 2.917E-02	-1.170E-02	 6.214E+03	 5.080E+03	-8.284E+01	 9.110E+02	-1.174E+03	 5.260E+03	 1.062E+02	 5.017E+00	 6.352E+00	 1.650E+03	 1.912E+01
    0.6000	 8.156E+00	-1.184E-02	-9.724E-02	 3.399E+00	-9.750E-01	 8.856E+00	 5.191E-02	-1.462E-02	 5.358E+03	 5.874E+03	-6.226E+01	 9.168E+02	-1.401E+03	 8.973E+03	 1.592E+02	 3.485E+00	 6.925E+00	 1.606E+03	 1.903E+01
    0.7000	 8.144E+00	-6.745E-03	-9.400E-02	 3.575E+00	-7.826E-01	 8.753E+00	 8.129E-02	-1.669E-02	 4.033E+03	 6.399E+03	-3.863E+01	 1.512E+03	-1.203E+03	 1.353E+04	 2.158E+02	 3.469E+00	 7.358E+00	 1.560E+03	 1.874E+01
    0.8000	 8.133E+00	-1.652E-03	-9.077E-02	 3.605E+00	-5.905E-01	 8.823E+00	 1.167E-01	-1.876E-02	 2.778E+03	 6.461E+03	-1.576E+01	 2.451E+03	-6.304E+02	 1.961E+04	 2.590E+02	 3.545E+00	 7.649E+00	 1.539E+03	 1.843E+01
    0.9000	 8.121E+00	 3.441E-03	-8.754E-02	 3.538E+00	-4.243E-01	 8.865E+00	 1.569E-01	-2.198E-02	 1.932E+03	 6.182E+03	 3.403E+00	 2.851E+03	-3.907E+01	 2.598E+04	 3.180E+02	 4.291E+00	 7.866E+00	 1.564E+03	 1.834E+01
    1.0000	 8.110E+00	 8.535E-03	-8.431E-02	 3.404E+00	-3.856E-01	 8.905E+00	 1.994E-01	-2.712E-02	 1.640E+03	 5.850E+03	 2.528E+00	 1.930E+03	 2.115E+02	 3.280E+04	 3.901E+02	 5.815E+00	 7.945E+00	 1.600E+03	 1.850E+01
    1.1000	 8.097E+00	 4.183E-02	-4.951E-02	 3.238E+00	-4.617E-01	 8.913E+00	 2.420E-01	-3.364E-02	 2.258E+03	 5.601E+03	-8.248E+00	 1.188E+03	 1.642E+02	 4.076E+04	 4.483E+02	 6.874E+00	 7.916E+00	 1.604E+03	 1.866E+01
    1.2000	 8.084E+00	 7.512E-02	-1.472E-02	 3.083E+00	-6.686E-01	 8.830E+00	 2.824E-01	-4.023E-02	 3.435E+03	 5.426E+03	-3.203E+01	 9.952E+02	 1.655E+02	 4.805E+04	 5.078E+02	 6.861E+00	 7.846E+00	 1.577E+03	 1.864E+01
    1.3000	 8.072E+00	 1.084E-01	 2.008E-02	 2.978E+00	-8.991E-01	 8.824E+00	 3.187E-01	-4.524E-02	 4.589E+03	 5.288E+03	-5.659E+01	 1.640E+03	 3.709E+02	 5.352E+04	 5.765E+02	 5.937E+00	 7.769E+00	 1.541E+03	 1.844E+01
    1.4000	 8.059E+00	 1.417E-01	 5.488E-02	 2.923E+00	-9.812E-01	 8.842E+00	 3.491E-01	-4.758E-02	 4.991E+03	 5.206E+03	-6.381E+01	 2.524E+03	 5.488E+02	 5.851E+04	 6.249E+02	 5.215E+00	 7.719E+00	 1.537E+03	 1.825E+01
    1.5000	 8.046E+00	 1.750E-01	 8.967E-02	 2.896E+00	-8.499E-01	 8.890E+00	 3.721E-01	-4.717E-02	 4.112E+03	 5.238E+03	-5.044E+01	 2.480E+03	 5.719E+02	 6.298E+04	 6.509E+02	 5.748E+00	 7.696E+00	 1.565E+03	 1.827E+01
    1.6000	 8.022E+00	 1.703E-01	 7.960E-02	 2.889E+00	-5.314E-01	 8.932E+00	 3.867E-01	-4.457E-02	 2.342E+03	 5.342E+03	-1.820E+01	 1.849E+03	 6.099E+02	 6.527E+04	 6.782E+02	 6.460E+00	 7.708E+00	 1.594E+03	 1.845E+01
    1.7000	 7.997E+00	 1.655E-01	 6.953E-02	 2.879E+00	-1.958E-01	 8.891E+00	 3.927E-01	-4.098E-02	 4.475E+02	 5.445E+03	 1.238E+01	 1.147E+03	 7.205E+02	 6.570E+04	 6.964E+02	 6.421E+00	 7.769E+00	 1.597E+03	 1.860E+01
    1.8000	 7.973E+00	 1.608E-01	 5.946E-02	 2.851E+00	-3.493E-03	 8.853E+00	 3.901E-01	-3.765E-02	-7.140E+02	 5.452E+03	 2.697E+01	 1.115E+03	 8.185E+02	 6.540E+04	 6.854E+02	 5.590E+00	 7.843E+00	 1.569E+03	 1.857E+01
    1.9000	 7.948E+00	 1.560E-01	 4.939E-02	 2.810E+00	-8.058E-03	 8.833E+00	 3.793E-01	-3.539E-02	-7.554E+02	 5.374E+03	 2.358E+01	 1.848E+03	 9.285E+02	 6.362E+04	 6.615E+02	 5.105E+00	 7.918E+00	 1.542E+03	 1.839E+01
    2.0000	 7.924E+00	 1.513E-01	 3.932E-02	 2.776E+00	-1.697E-01	 8.858E+00	 3.611E-01	-3.431E-02	-2.443E+00	 5.246E+03	 6.563E+00	 2.424E+03	 1.121E+03	 5.994E+04	 6.356E+02	 5.208E+00	 7.990E+00	 1.545E+03	 1.827E+01
    2.1000	 7.898E+00	 1.687E-01	 3.023E-02	 2.756E+00	-3.537E-01	 8.918E+00	 3.364E-01	-3.372E-02	 9.608E+02	 5.116E+03	-1.049E+01	 2.398E+03	 1.366E+03	 5.549E+04	 5.909E+02	 4.965E+00	 8.083E+00	 1.572E+03	 1.832E+01
    2.2000	 7.873E+00	 1.862E-01	 2.113E-02	 2.743E+00	-4.604E-01	 8.936E+00	 3.067E-01	-3.242E-02	 1.527E+03	 5.061E+03	-1.933E+01	 1.788E+03	 1.565E+03	 5.042E+04	 5.347E+02	 4.730E+00	 8.170E+00	 1.599E+03	 1.850E+01
    2.3000	 7.847E+00	 2.036E-01	 1.204E-02	 2.731E+00	-4.557E-01	 8.923E+00	 2.736E-01	-2.941E-02	 1.430E+03	 5.117E+03	-1.769E+01	 1.245E+03	 1.580E+03	 4.435E+04	 4.875E+02	 5.630E+00	 8.232E+00	 1.601E+03	 1.865E+01
    2.4000	 7.822E+00	 2.211E-01	 2.948E-03	 2.729E+00	-3.402E-01	 8.897E+00	 2.389E-01	-2.454E-02	 6.943E+02	 5.193E+03	-6.409E+00	 1.395E+03	 1.300E+03	 3.841E+04	 4.370E+02	 7.127E+00	 8.255E+00	 1.582E+03	 1.864E+01
    2.5000	 7.796E+00	 2.385E-01	-6.145E-03	 2.742E+00	-1.489E-01	 8.893E+00	 2.040E-01	-1.869E-02	-5.325E+02	 5.222E+03	 9.784E+00	 1.978E+03	 8.051E+02	 3.329E+04	 3.750E+02	 7.944E+00	 8.256E+00	 1.569E+03	 1.854E+01
    2.6000	 7.786E+00	 2.339E-01	-3.783E-02	 2.761E+00	 7.714E-02	 8.935E+00	 1.701E-01	-1.317E-02	-1.918E+03	 5.257E+03	 2.820E+01	 2.424E+03	 3.139E+02	 2.787E+04	 3.239E+02	 7.311E+00	 8.258E+00	 1.581E+03	 1.851E+01
    2.7000	 7.776E+00	 2.292E-01	-6.952E-02	 2.773E+00	 2.691E-01	 8.975E+00	 1.382E-01	-9.054E-03	-3.054E+03	 5.317E+03	 4.298E+01	 2.265E+03	-5.228E+01	 2.225E+04	 2.848E+02	 5.831E+00	 8.261E+00	 1.613E+03	 1.864E+01
    2.8000	 7.766E+00	 2.245E-01	-1.012E-01	 2.772E+00	 3.496E-01	 8.991E+00	 1.096E-01	-6.709E-03	-3.534E+03	 5.354E+03	 4.816E+01	 1.685E+03	-2.821E+02	 1.771E+04	 2.370E+02	 4.130E+00	 8.252E+00	 1.636E+03	 1.884E+01
    2.9000	 7.756E+00	 2.199E-01	-1.329E-01	 2.773E+00	 2.774E-01	 8.971E+00	 8.551E-02	-5.751E-03	-3.151E+03	 5.315E+03	 4.127E+01	 1.334E+03	-3.270E+02	 1.392E+04	 1.915E+02	 3.023E+00	 8.214E+00	 1.635E+03	 1.898E+01
    3.0000	 7.747E+00	 2.152E-01	-1.646E-01	 2.789E+00	 8.074E-02	 8.944E+00	 6.692E-02	-5.542E-03	-2.135E+03	 5.224E+03	 2.444E+01	 1.533E+03	-1.773E+02	 1.030E+04	 1.655E+02	 2.508E+00	 8.166E+00	 1.620E+03	 1.898E+01
    3.1000	 7.704E+00	 1.610E-01	-1.782E-01	 2.817E+00	-1.264E-01	 8.950E+00	 5.458E-02	-5.740E-03	-1.090E+03	 5.151E+03	 6.594E+00	 2.074E+03	-6.502E+00	 7.898E+03	 1.465E+02	 3.462E+00	 8.079E+00	 1.612E+03	 1.891E+01
    3.2000	 7.661E+00	 1.069E-01	-1.919E-01	 2.850E+00	-2.167E-01	 8.981E+00	 4.902E-02	-6.435E-03	-6.774E+02	 5.155E+03	-4.682E-01	 2.378E+03	 3.917E+01	 7.298E+03	 1.299E+02	 5.275E+00	 7.992E+00	 1.628E+03	 1.892E+01
    3.3000	 7.619E+00	 5.271E-02	-2.055E-01	 2.889E+00	-1.361E-01	 9.011E+00	 5.053E-02	-7.880E-03	-1.189E+03	 5.206E+03	 8.178E+00	 2.131E+03	-4.647E+01	 7.622E+03	 1.346E+02	 7.227E+00	 7.945E+00	 1.655E+03	 1.905E+01
    3.4000	 7.576E+00	-1.457E-03	-2.192E-01	 2.921E+00	 7.385E-02	 9.014E+00	 5.888E-02	-1.020E-02	-2.381E+03	 5.285E+03	 2.773E+01	 1.637E+03	-3.250E+02	 8.960E+03	 1.591E+02	 8.096E+00	 7.853E+00	 1.671E+03	 1.923E+01
    3.5000	 7.533E+00	-5.562E-02	-2.329E-01	 2.926E+00	 3.021E-01	 8.985E+00	 7.327E-02	-1.325E-02	-3.677E+03	 5.353E+03	 4.750E+01	 1.391E+03	-6.843E+02	 1.214E+04	 1.798E+02	 7.768E+00	 7.814E+00	 1.665E+03	 1.932E+01
    3.6000	 7.558E+00	-9.886E-02	-2.099E-01	 2.911E+00	 4.394E-01	 8.961E+00	 9.276E-02	-1.655E-02	-4.481E+03	 5.377E+03	 5.722E+01	 1.638E+03	-9.201E+02	 1.599E+04	 2.098E+02	 6.231E+00	 7.785E+00	 1.648E+03	 1.928E+01
    3.7000	 7.583E+00	-1.421E-01	-1.869E-01	 2.899E+00	 4.408E-01	 8.964E+00	 1.163E-01	-1.964E-02	-4.515E+03	 5.319E+03	 5.464E+01	 2.119E+03	-8.723E+02	 1.962E+04	 2.563E+02	 4.295E+00	 7.715E+00	 1.642E+03	 1.920E+01
    3.8000	 7.608E+00	-1.853E-01	-1.639E-01	 2.889E+00	 3.308E-01	 8.989E+00	 1.427E-01	-2.228E-02	-3.901E+03	 5.229E+03	 4.346E+01	 2.305E+03	-6.351E+02	 2.393E+04	 2.982E+02	 3.337E+00	 7.662E+00	 1.655E+03	 1.920E+01
    3.9000	 7.633E+00	-2.286E-01	-1.409E-01	 2.878E+00	 1.696E-01	 9.010E+00	 1.708E-01	-2.454E-02	-2.955E+03	 5.181E+03	 3.006E+01	 2.034E+03	-3.531E+02	 2.888E+04	 3.350E+02	 3.081E+00	 7.643E+00	 1.676E+03	 1.930E+01
    4.0000	 7.658E+00	-2.718E-01	-1.179E-01	 2.893E+00	 1.141E-02	 9.002E+00	 1.996E-01	-2.669E-02	-2.016E+03	 5.161E+03	 1.790E+01	 1.607E+03	-3.850E+01	 3.346E+04	 3.818E+02	 3.439E+00	 7.592E+00	 1.683E+03	 1.941E+01
