
Predictions were generated on 13-May-2024 at 15:53:19 using OpenFAST, compiled on May 13 2024 at 15:47:56 as a 64-bit application using double precision at commit v3.5.3-1254-g781eb870-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST          Certification - Test #26: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl1	IPDefl1	RotSpeed	TTDspFA	TTDspSS	RootMIP1	RootMOoP1	RootMzb1	RotTorq	YawBrMyp	TwrBsMyt	YawBrFxn	RtSkew	RtVAvgxh	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(rpm)	(m)	(m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(deg)	(m/s)	(kW)	(kN-m)
    0.0000	 8.080E+00	 6.498E-02	-2.175E-01	 0.000E+00	 0.000E+00	 9.000E+00	 0.000E+00	-0.000E+00	 8.813E+02	 6.834E+01	 9.415E-14	-5.240E-13	-4.094E+02	-3.326E+02	 1.513E+01	 4.948E+00	 7.946E+00	 1.682E+03	 1.949E+01
    0.1000	 8.096E+00	 4.914E-02	-1.961E-01	 2.416E-01	-1.179E-01	 8.928E+00	-3.339E-04	-2.004E-04	 1.867E+03	 7.799E+02	-1.342E+01	 1.349E+03	-5.946E+02	 4.438E+02	 8.891E+00	 8.971E+00	 6.563E+00	 1.625E+03	 1.937E+01
    0.2000	 8.113E+00	 3.330E-02	-1.746E-01	 7.969E-01	-5.071E-01	 8.805E+00	-2.423E-05	-1.554E-03	 3.594E+03	 2.113E+03	-2.839E+01	 2.238E+03	-9.175E+02	 7.048E+02	 2.365E+01	 1.154E+01	 5.830E+00	 1.599E+03	 1.905E+01
    0.3000	 8.129E+00	 1.746E-02	-1.531E-01	 1.520E+00	-8.935E-01	 8.938E+00	 3.707E-03	-4.195E-03	 5.419E+03	 3.508E+03	-5.277E+01	 2.780E+03	-9.659E+02	 1.218E+02	 6.497E+01	 1.153E+01	 5.599E+00	 1.608E+03	 1.888E+01
    0.4000	 8.145E+00	 1.618E-03	-1.317E-01	 2.327E+00	-1.093E+00	 8.910E+00	 1.314E-02	-7.829E-03	 6.443E+03	 4.403E+03	-7.321E+01	 2.353E+03	-9.888E+02	 1.571E+03	 8.951E+01	 8.636E+00	 5.800E+00	 1.646E+03	 1.896E+01
    0.5000	 8.161E+00	-1.422E-02	-1.102E-01	 3.002E+00	-1.132E+00	 8.891E+00	 2.915E-02	-1.170E-02	 6.214E+03	 5.082E+03	-8.287E+01	 9.111E+02	-1.174E+03	 5.255E+03	 1.062E+02	 5.043E+00	 6.352E+00	 1.650E+03	 1.912E+01
    0.6000	 8.151E+00	-7.141E-03	-1.054E-01	 3.401E+00	-9.751E-01	 8.856E+00	 5.189E-02	-1.463E-02	 5.358E+03	 5.876E+03	-6.228E+01	 9.165E+02	-1.402E+03	 8.971E+03	 1.592E+02	 3.541E+00	 6.925E+00	 1.606E+03	 1.903E+01
    0.7000	 8.140E+00	-5.970E-05	-1.005E-01	 3.576E+00	-7.827E-01	 8.753E+00	 8.127E-02	-1.670E-02	 4.033E+03	 6.401E+03	-3.863E+01	 1.512E+03	-1.204E+03	 1.353E+04	 2.157E+02	 3.532E+00	 7.358E+00	 1.560E+03	 1.874E+01
    0.8000	 8.129E+00	 7.022E-03	-9.571E-02	 3.606E+00	-5.906E-01	 8.823E+00	 1.167E-01	-1.877E-02	 2.778E+03	 6.464E+03	-1.575E+01	 2.452E+03	-6.314E+02	 1.961E+04	 2.590E+02	 3.604E+00	 7.650E+00	 1.539E+03	 1.843E+01
