
Predictions were generated on 30-Sep-2017 at 10:29:27 using OpenFAST, compiled as a 64-bit application using double precision at commit v0.1.0-886-g076466cd
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #02: AWT-27CR2 with many DOFs with startup and shutdown and steady wind

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	Spn1ALxb1 	Spn1ALyb1 	Spn1ALzb1 	RotSpeed  	LSSGagVxa 	RootFxb1  	RootFyb1  	RootFxb2  	RootFyb2  	RootMIP2  	RootMOoP2 	Spn1MLxb1 	Spn1MLyb1 	RotTorq   	LSSTipMys 	LSSTipMzs 	LSSGagMya 	LSSGagMza 	HSShftTq  	HSSBrTq   	HSShftPwr 	GenTq     	GenPwr    
(s)       	(m/s)     	(m/s)     	(m/s)     	(m/s^2)   	(m/s^2)   	(m/s^2)   	(rpm)     	(rpm)     	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kW)      	(kN-m)    	(kW)      
    5.0000	 1.200E+01	-0.000E+00	 0.000E+00	 2.550E-02	 7.206E-03	-1.377E-02	 1.801E-01	 1.801E-01	 3.281E+00	-3.194E-01	 2.893E+00	 1.314E-01	-1.026E+00	 1.533E+01	-2.003E-01	 3.857E+00	 3.527E-02	 3.532E+00	-3.300E-01	 8.023E+00	-7.467E-01	 1.567E-03	 0.000E+00	 6.650E-04	 0.000E+00	 0.000E+00
    5.0400	 1.200E+01	-0.000E+00	 0.000E+00	 2.608E-02	 8.006E-03	-8.596E-03	 1.805E-01	 1.805E-01	 3.290E+00	-3.230E-01	 2.904E+00	 1.341E-01	-1.037E+00	 1.540E+01	-1.975E-01	 3.879E+00	 3.824E-02	 3.516E+00	-3.378E-01	 8.007E+00	-7.595E-01	 1.700E-03	 0.000E+00	 7.230E-04	 0.000E+00	 0.000E+00
    5.0800	 1.200E+01	-0.000E+00	 0.000E+00	 2.528E-02	 8.533E-03	-6.379E-03	 1.810E-01	 1.810E-01	 3.298E+00	-3.266E-01	 2.914E+00	 1.369E-01	-1.050E+00	 1.546E+01	-1.946E-01	 3.895E+00	 3.845E-02	 3.500E+00	-3.443E-01	 7.991E+00	-7.709E-01	 1.709E-03	 0.000E+00	 7.290E-04	 0.000E+00	 0.000E+00
    5.1200	 1.200E+01	-0.000E+00	 0.000E+00	 2.426E-02	 8.874E-03	-7.287E-03	 1.815E-01	 1.815E-01	 3.306E+00	-3.299E-01	 2.924E+00	 1.399E-01	-1.065E+00	 1.550E+01	-1.914E-01	 3.901E+00	 3.505E-02	 3.484E+00	-3.490E-01	 7.975E+00	-7.806E-01	 1.558E-03	 0.000E+00	 6.661E-04	 0.000E+00	 0.000E+00
    5.1600	 1.200E+01	-0.000E+00	 0.000E+00	 2.252E-02	 8.996E-03	-1.123E-02	 1.819E-01	 1.819E-01	 3.313E+00	-3.331E-01	 2.934E+00	 1.431E-01	-1.081E+00	 1.552E+01	-1.880E-01	 3.899E+00	 2.858E-02	 3.468E+00	-3.520E-01	 7.959E+00	-7.886E-01	 1.270E-03	 0.000E+00	 5.444E-04	 0.000E+00	 0.000E+00
    5.2000	 1.200E+01	-0.000E+00	 0.000E+00	 1.823E-02	 8.782E-03	-1.785E-02	 1.822E-01	 1.822E-01	 3.320E+00	-3.363E-01	 2.944E+00	 1.463E-01	-1.099E+00	 1.555E+01	-1.846E-01	 3.895E+00	 2.073E-02	 3.453E+00	-3.544E-01	 7.943E+00	-7.960E-01	 9.212E-04	 0.000E+00	 3.955E-04	 0.000E+00	 0.000E+00
    5.2400	 1.200E+01	-0.000E+00	 0.000E+00	 9.165E-03	 8.100E-03	-2.660E-02	 1.824E-01	 1.824E-01	 3.330E+00	-3.396E-01	 2.956E+00	 1.494E-01	-1.115E+00	 1.558E+01	-1.814E-01	 3.895E+00	 1.362E-02	 3.439E+00	-3.572E-01	 7.928E+00	-8.039E-01	 6.052E-04	 0.000E+00	 2.601E-04	 0.000E+00	 0.000E+00
    5.2800	 1.200E+01	-0.000E+00	 0.000E+00	-6.202E-03	 6.875E-03	-3.682E-02	 1.825E-01	 1.826E-01	 3.343E+00	-3.431E-01	 2.971E+00	 1.525E-01	-1.131E+00	 1.564E+01	-1.788E-01	 3.904E+00	 9.027E-03	 3.425E+00	-3.613E-01	 7.915E+00	-8.132E-01	 4.012E-04	 0.000E+00	 1.726E-04	 0.000E+00	 0.000E+00
    5.3200	 1.200E+01	-0.000E+00	 0.000E+00	-2.787E-02	 5.154E-03	-4.776E-02	 1.827E-01	 1.827E-01	 3.360E+00	-3.469E-01	 2.990E+00	 1.553E-01	-1.146E+00	 1.573E+01	-1.767E-01	 3.926E+00	 7.770E-03	 3.413E+00	-3.672E-01	 7.903E+00	-8.243E-01	 3.453E-04	 0.000E+00	 1.486E-04	 0.000E+00	 0.000E+00
