
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 16-Oct-2023 at 11:00:45.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.0000734E+06   1.3758117E+06   1.0000734E+06   8.0303020E+05   1.1766675E+06   8.0303020E+05
    0.0125   1.0004162E+06   1.3754155E+06   1.0004102E+06   8.0305771E+05   1.1766415E+06   8.0305771E+05
    0.0250   1.0005680E+06   1.3752167E+06   1.0005600E+06   8.0308546E+05   1.1766158E+06   8.0308546E+05
    0.0375   1.0008182E+06   1.3749396E+06   1.0008017E+06   8.0311345E+05   1.1765905E+06   8.0311345E+05
    0.0500   1.0010539E+06   1.3746627E+06   1.0010276E+06   8.0314168E+05   1.1765656E+06   8.0314168E+05
    0.0625   1.0012885E+06   1.3743980E+06   1.0012517E+06   8.0317014E+05   1.1765410E+06   8.0317014E+05
    0.0750   1.0015151E+06   1.3741438E+06   1.0014700E+06   8.0319883E+05   1.1765167E+06   8.0319883E+05
    0.0875   1.0017324E+06   1.3739008E+06   1.0016842E+06   8.0322774E+05   1.1764928E+06   8.0322774E+05
    0.1000   1.0019387E+06   1.3736687E+06   1.0018962E+06   8.0325687E+05   1.1764691E+06   8.0325687E+05
    0.1125   1.0021329E+06   1.3734461E+06   1.0021080E+06   8.0328622E+05   1.1764458E+06   8.0328622E+05
    0.1250   1.0023147E+06   1.3732316E+06   1.0023213E+06   8.0331581E+05   1.1764226E+06   8.0331580E+05
    0.1375   1.0024847E+06   1.3730231E+06   1.0025372E+06   8.0334573E+05   1.1763995E+06   8.0334572E+05
    0.1500   1.0026441E+06   1.3728188E+06   1.0027562E+06   8.0337620E+05   1.1763763E+06   8.0337619E+05
    0.1625   1.0027950E+06   1.3726170E+06   1.0029778E+06   8.0340772E+05   1.1763522E+06   8.0340768E+05
    0.1750   1.0029399E+06   1.3724161E+06   1.0032008E+06   8.0344117E+05   1.1763262E+06   8.0344106E+05
    0.1875   1.0030813E+06   1.3722153E+06   1.0034233E+06   8.0347799E+05   1.1762965E+06   8.0347773E+05
    0.2000   1.0032218E+06   1.3720143E+06   1.0036428E+06   8.0352026E+05   1.1762607E+06   8.0351973E+05
    0.2125   1.0033632E+06   1.3718136E+06   1.0038570E+06   8.0357072E+05   1.1762153E+06   8.0356972E+05
    0.2250   1.0035064E+06   1.3716139E+06   1.0040634E+06   8.0363265E+05   1.1761566E+06   8.0363085E+05
    0.2375   1.0036516E+06   1.3714171E+06   1.0042603E+06   8.0370960E+05   1.1760800E+06   8.0370660E+05
    0.2500   1.0037975E+06   1.3712252E+06   1.0044462E+06   8.0380517E+05   1.1759814E+06   8.0380046E+05
    0.2625   1.0039423E+06   1.3710405E+06   1.0046207E+06   8.0392255E+05   1.1758569E+06   8.0391559E+05
    0.2750   1.0040831E+06   1.3708657E+06   1.0047837E+06   8.0406425E+05   1.1757035E+06   8.0405455E+05
    0.2875   1.0042167E+06   1.3707029E+06   1.0049359E+06   8.0423180E+05   1.1755192E+06   8.0421906E+05
    0.3000   1.0043401E+06   1.3705544E+06   1.0050782E+06   8.0442559E+05   1.1753034E+06   8.0440992E+05
