      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3   ANCHTEN1   ANCHTEN2   ANCHTEN3
       (s)        (N)        (N)        (N)        (N)        (N)        (N)
    0.0000 0.999275E+06 0.137316E+07 0.999275E+06 0.802055E+06 0.117414E+07 0.802055E+06
    0.0125 0.999483E+06 0.137271E+07 0.999477E+06 0.801905E+06 0.117413E+07 0.801905E+06
    0.0250 0.999501E+06 0.137250E+07 0.999492E+06 0.801757E+06 0.117411E+07 0.801757E+06
    0.0375 0.999609E+06 0.137219E+07 0.999592E+06 0.801612E+06 0.117410E+07 0.801612E+06
    0.0500 0.999715E+06 0.137188E+07 0.999689E+06 0.801468E+06 0.117409E+07 0.801468E+06
    0.0625 0.999818E+06 0.137159E+07 0.999781E+06 0.801327E+06 0.117408E+07 0.801327E+06
    0.0750 0.999916E+06 0.137131E+07 0.999870E+06 0.801189E+06 0.117408E+07 0.801189E+06
    0.0875 0.100001E+07 0.137104E+07 0.999957E+06 0.801053E+06 0.117407E+07 0.801053E+06
    0.1000 0.100009E+07 0.137078E+07 0.100004E+07 0.800919E+06 0.117407E+07 0.800919E+06
    0.1125 0.100016E+07 0.137054E+07 0.100013E+07 0.800788E+06 0.117406E+07 0.800788E+06
    0.1250 0.100022E+07 0.137030E+07 0.100022E+07 0.800660E+06 0.117406E+07 0.800660E+06
    0.1375 0.100027E+07 0.137007E+07 0.100032E+07 0.800535E+06 0.117406E+07 0.800535E+06
    0.1500 0.100031E+07 0.136985E+07 0.100042E+07 0.800414E+06 0.117406E+07 0.800414E+06
    0.1625 0.100035E+07 0.136963E+07 0.100053E+07 0.800296E+06 0.117406E+07 0.800296E+06
    0.1750 0.100038E+07 0.136942E+07 0.100064E+07 0.800183E+06 0.117406E+07 0.800183E+06
    0.1875 0.100041E+07 0.136921E+07 0.100075E+07 0.800077E+06 0.117405E+07 0.800077E+06
    0.2000 0.100045E+07 0.136899E+07 0.100087E+07 0.799980E+06 0.117404E+07 0.799979E+06
    0.2125 0.100048E+07 0.136878E+07 0.100098E+07 0.799895E+06 0.117402E+07 0.799894E+06
    0.2250 0.100053E+07 0.136857E+07 0.100108E+07 0.799825E+06 0.117399E+07 0.799824E+06
    0.2375 0.100057E+07 0.136837E+07 0.100118E+07 0.799776E+06 0.117393E+07 0.799773E+06
    0.2500 0.100063E+07 0.136817E+07 0.100128E+07 0.799751E+06 0.117386E+07 0.799746E+06
    0.2625 0.100068E+07 0.136798E+07 0.100136E+07 0.799753E+06 0.117375E+07 0.799746E+06
    0.2750 0.100073E+07 0.136781E+07 0.100143E+07 0.799786E+06 0.117361E+07 0.799777E+06
    0.2875 0.100078E+07 0.136765E+07 0.100150E+07 0.799852E+06 0.117344E+07 0.799839E+06
    0.3000 0.100082E+07 0.136750E+07 0.100156E+07 0.799951E+06 0.117323E+07 0.799935E+06
    0.3125 0.100085E+07 0.136737E+07 0.100162E+07 0.800082E+06 0.117298E+07 0.800064E+06
    0.3250 0.100087E+07 0.136726E+07 0.100167E+07 0.800243E+06 0.117271E+07 0.800225E+06
    0.3375 0.100088E+07 0.136717E+07 0.100171E+07 0.800433E+06 0.117240E+07 0.800416E+06
    0.3500 0.100087E+07 0.136710E+07 0.100175E+07 0.800646E+06 0.117207E+07 0.800635E+06
    0.3625 0.100086E+07 0.136705E+07 0.100179E+07 0.800878E+06 0.117171E+07 0.800879E+06
    0.3750 0.100083E+07 0.136701E+07 0.100182E+07 0.801126E+06 0.117134E+07 0.801145E+06
    0.3875 0.100080E+07 0.136699E+07 0.100185E+07 0.801385E+06 0.117096E+07 0.801429E+06
    0.4000 0.100077E+07 0.136698E+07 0.100187E+07 0.801650E+06 0.117057E+07 0.801729E+06
    0.4125 0.100074E+07 0.136699E+07 0.100188E+07 0.801919E+06 0.117018E+07 0.802042E+06
    0.4250 0.100071E+07 0.136701E+07 0.100188E+07 0.802190E+06 0.116979E+07 0.802366E+06
    0.4375 0.100070E+07 0.136703E+07 0.100187E+07 0.802458E+06 0.116939E+07 0.802697E+06
    0.4500 0.100069E+07 0.136706E+07 0.100185E+07 0.802725E+06 0.116901E+07 0.803033E+06
    0.4625 0.100069E+07 0.136710E+07 0.100182E+07 0.802987E+06 0.116863E+07 0.803372E+06
    0.4750 0.100070E+07 0.136714E+07 0.100179E+07 0.803245E+06 0.116825E+07 0.803712E+06
    0.4875 0.100073E+07 0.136718E+07 0.100175E+07 0.803499E+06 0.116789E+07 0.804051E+06
    0.5000 0.100076E+07 0.136723E+07 0.100171E+07 0.803747E+06 0.116753E+07 0.804386E+06
    0.5125 0.100080E+07 0.136729E+07 0.100167E+07 0.803991E+06 0.116719E+07 0.804716E+06
    0.5250 0.100084E+07 0.136735E+07 0.100164E+07 0.804228E+06 0.116686E+07 0.805039E+06
    0.5375 0.100090E+07 0.136741E+07 0.100161E+07 0.804460E+06 0.116654E+07 0.805353E+06
    0.5500 0.100095E+07 0.136748E+07 0.100158E+07 0.804684E+06 0.116625E+07 0.805658E+06
    0.5625 0.100101E+07 0.136755E+07 0.100157E+07 0.804900E+06 0.116597E+07 0.805952E+06
    0.5750 0.100108E+07 0.136762E+07 0.100156E+07 0.805107E+06 0.116571E+07 0.806233E+06
    0.5875 0.100115E+07 0.136770E+07 0.100157E+07 0.805303E+06 0.116547E+07 0.806503E+06
    0.6000 0.100123E+07 0.136778E+07 0.100159E+07 0.805488E+06 0.116526E+07 0.806758E+06
    0.6125 0.100131E+07 0.136786E+07 0.100162E+07 0.805661E+06 0.116507E+07 0.807000E+06
    0.6250 0.100140E+07 0.136794E+07 0.100166E+07 0.805821E+06 0.116490E+07 0.807227E+06
    0.6375 0.100150E+07 0.136802E+07 0.100171E+07 0.805968E+06 0.116477E+07 0.807439E+06
    0.6500 0.100161E+07 0.136809E+07 0.100177E+07 0.806102E+06 0.116466E+07 0.807636E+06
    0.6625 0.100173E+07 0.136817E+07 0.100185E+07 0.806225E+06 0.116458E+07 0.807816E+06
    0.6750 0.100186E+07 0.136824E+07 0.100194E+07 0.806337E+06 0.116452E+07 0.807980E+06
    0.6875 0.100199E+07 0.136831E+07 0.100204E+07 0.806440E+06 0.116449E+07 0.808126E+06
    0.7000 0.100212E+07 0.136838E+07 0.100215E+07 0.806535E+06 0.116449E+07 0.808255E+06
    0.7125 0.100225E+07 0.136845E+07 0.100227E+07 0.806624E+06 0.116451E+07 0.808366E+06
    0.7250 0.100238E+07 0.136852E+07 0.100241E+07 0.806708E+06 0.116456E+07 0.808459E+06
    0.7375 0.100251E+07 0.136859E+07 0.100254E+07 0.806788E+06 0.116463E+07 0.808535E+06
    0.7500 0.100264E+07 0.136868E+07 0.100269E+07 0.806866E+06 0.116472E+07 0.808592E+06
    0.7625 0.100275E+07 0.136877E+07 0.100283E+07 0.806943E+06 0.116483E+07 0.808633E+06
    0.7750 0.100286E+07 0.136888E+07 0.100298E+07 0.807018E+06 0.116496E+07 0.808657E+06
    0.7875 0.100295E+07 0.136901E+07 0.100311E+07 0.807092E+06 0.116511E+07 0.808667E+06
    0.8000 0.100304E+07 0.136916E+07 0.100324E+07 0.807164E+06 0.116529E+07 0.808662E+06
    0.8125 0.100311E+07 0.136934E+07 0.100336E+07 0.807235E+06 0.116548E+07 0.808644E+06
    0.8250 0.100316E+07 0.136954E+07 0.100346E+07 0.807303E+06 0.116569E+07 0.808614E+06
    0.8375 0.100320E+07 0.136977E+07 0.100354E+07 0.807369E+06 0.116593E+07 0.808575E+06
    0.8500 0.100322E+07 0.137003E+07 0.100361E+07 0.807431E+06 0.116618E+07 0.808526E+06
    0.8625 0.100323E+07 0.137033E+07 0.100366E+07 0.807489E+06 0.116646E+07 0.808470E+06
    0.8750 0.100321E+07 0.137065E+07 0.100369E+07 0.807543E+06 0.116675E+07 0.808408E+06
    0.8875 0.100318E+07 0.137101E+07 0.100371E+07 0.807592E+06 0.116706E+07 0.808341E+06
    0.9000 0.100312E+07 0.137140E+07 0.100371E+07 0.807636E+06 0.116739E+07 0.808271E+06
    0.9125 0.100305E+07 0.137181E+07 0.100369E+07 0.807675E+06 0.116774E+07 0.808198E+06
    0.9250 0.100296E+07 0.137225E+07 0.100365E+07 0.807709E+06 0.116811E+07 0.808124E+06
    0.9375 0.100285E+07 0.137272E+07 0.100360E+07 0.807738E+06 0.116849E+07 0.808050E+06
    0.9500 0.100273E+07 0.137322E+07 0.100353E+07 0.807761E+06 0.116888E+07 0.807975E+06
    0.9625 0.100260E+07 0.137374E+07 0.100345E+07 0.807778E+06 0.116929E+07 0.807902E+06
    0.9750 0.100246E+07 0.137428E+07 0.100334E+07 0.807789E+06 0.116972E+07 0.807830E+06
    0.9875 0.100231E+07 0.137485E+07 0.100321E+07 0.807794E+06 0.117016E+07 0.807759E+06
    1.0000 0.100215E+07 0.137544E+07 0.100306E+07 0.807790E+06 0.117061E+07 0.807690E+06
    1.0125 0.100199E+07 0.137605E+07 0.100288E+07 0.807778E+06 0.117107E+07 0.807620E+06
    1.0250 0.100182E+07 0.137669E+07 0.100268E+07 0.807757E+06 0.117155E+07 0.807550E+06
    1.0375 0.100165E+07 0.137736E+07 0.100245E+07 0.807725E+06 0.117205E+07 0.807479E+06
    1.0500 0.100147E+07 0.137805E+07 0.100219E+07 0.807681E+06 0.117257E+07 0.807404E+06
    1.0625 0.100130E+07 0.137877E+07 0.100191E+07 0.807624E+06 0.117310E+07 0.807324E+06
    1.0750 0.100111E+07 0.137952E+07 0.100160E+07 0.807553E+06 0.117366E+07 0.807238E+06
    1.0875 0.100092E+07 0.138030E+07 0.100127E+07 0.807467E+06 0.117424E+07 0.807143E+06
    1.1000 0.100072E+07 0.138110E+07 0.100092E+07 0.807364E+06 0.117485E+07 0.807038E+06
    1.1125 0.100051E+07 0.138193E+07 0.100056E+07 0.807243E+06 0.117548E+07 0.806922E+06
    1.1250 0.100030E+07 0.138278E+07 0.100017E+07 0.807103E+06 0.117614E+07 0.806791E+06
    1.1375 0.100008E+07 0.138365E+07 0.999779E+06 0.806944E+06 0.117683E+07 0.806647E+06
    1.1500 0.999845E+06 0.138455E+07 0.999375E+06 0.806765E+06 0.117755E+07 0.806486E+06
    1.1625 0.999610E+06 0.138545E+07 0.998964E+06 0.806565E+06 0.117830E+07 0.806309E+06
    1.1750 0.999370E+06 0.138637E+07 0.998548E+06 0.806345E+06 0.117908E+07 0.806114E+06
    1.1875 0.999127E+06 0.138731E+07 0.998129E+06 0.806105E+06 0.117989E+07 0.805901E+06
    1.2000 0.998882E+06 0.138825E+07 0.997708E+06 0.805846E+06 0.118073E+07 0.805670E+06
    1.2125 0.998638E+06 0.138919E+07 0.997287E+06 0.805567E+06 0.118159E+07 0.805420E+06
    1.2250 0.998393E+06 0.139014E+07 0.996867E+06 0.805272E+06 0.118249E+07 0.805150E+06
    1.2375 0.998150E+06 0.139110E+07 0.996448E+06 0.804960E+06 0.118342E+07 0.804860E+06
    1.2500 0.997908E+06 0.139206E+07 0.996033E+06 0.804633E+06 0.118437E+07 0.804549E+06
    1.2625 0.997666E+06 0.139302E+07 0.995621E+06 0.804294E+06 0.118534E+07 0.804217E+06
    1.2750 0.997423E+06 0.139398E+07 0.995213E+06 0.803942E+06 0.118634E+07 0.803862E+06
    1.2875 0.997178E+06 0.139495E+07 0.994810E+06 0.803580E+06 0.118737E+07 0.803484E+06
    1.3000 0.996929E+06 0.139592E+07 0.994411E+06 0.803209E+06 0.118841E+07 0.803083E+06
    1.3125 0.996674E+06 0.139689E+07 0.994018E+06 0.802830E+06 0.118949E+07 0.802658E+06
    1.3250 0.996413E+06 0.139788E+07 0.993630E+06 0.802444E+06 0.119058E+07 0.802209E+06
    1.3375 0.996142E+06 0.139887E+07 0.993247E+06 0.802051E+06 0.119170E+07 0.801736E+06
    1.3500 0.995863E+06 0.139987E+07 0.992868E+06 0.801653E+06 0.119284E+07 0.801239E+06
    1.3625 0.995574E+06 0.140088E+07 0.992494E+06 0.801249E+06 0.119400E+07 0.800719E+06
    1.3750 0.995274E+06 0.140189E+07 0.992124E+06 0.800839E+06 0.119518E+07 0.800178E+06
    1.3875 0.994965E+06 0.140291E+07 0.991758E+06 0.800425E+06 0.119638E+07 0.799616E+06
    1.4000 0.994645E+06 0.140394E+07 0.991395E+06 0.800006E+06 0.119760E+07 0.799036E+06
    1.4125 0.994316E+06 0.140498E+07 0.991036E+06 0.799583E+06 0.119883E+07 0.798440E+06
    1.4250 0.993978E+06 0.140602E+07 0.990679E+06 0.799156E+06 0.120008E+07 0.797829E+06
    1.4375 0.993632E+06 0.140706E+07 0.990326E+06 0.798726E+06 0.120135E+07 0.797206E+06
    1.4500 0.993278E+06 0.140810E+07 0.989975E+06 0.798294E+06 0.120262E+07 0.796574E+06
    1.4625 0.992917E+06 0.140915E+07 0.989627E+06 0.797860E+06 0.120391E+07 0.795934E+06
    1.4750 0.992550E+06 0.141020E+07 0.989280E+06 0.797425E+06 0.120519E+07 0.795290E+06
    1.4875 0.992176E+06 0.141124E+07 0.988936E+06 0.796990E+06 0.120648E+07 0.794643E+06
    1.5000 0.991796E+06 0.141229E+07 0.988591E+06 0.796557E+06 0.120778E+07 0.793996E+06
    1.5125 0.991410E+06 0.141334E+07 0.988246E+06 0.796125E+06 0.120907E+07 0.793350E+06
    1.5250 0.991020E+06 0.141439E+07 0.987899E+06 0.795695E+06 0.121036E+07 0.792708E+06
    1.5375 0.990625E+06 0.141544E+07 0.987547E+06 0.795268E+06 0.121164E+07 0.792072E+06
    1.5500 0.990226E+06 0.141650E+07 0.987190E+06 0.794844E+06 0.121292E+07 0.791443E+06
    1.5625 0.989825E+06 0.141755E+07 0.986826E+06 0.794423E+06 0.121419E+07 0.790821E+06
    1.5750 0.989421E+06 0.141862E+07 0.986452E+06 0.794005E+06 0.121545E+07 0.790210E+06
    1.5875 0.989016E+06 0.141968E+07 0.986068E+06 0.793589E+06 0.121670E+07 0.789609E+06
    1.6000 0.988611E+06 0.142075E+07 0.985674E+06 0.793174E+06 0.121794E+07 0.789020E+06
    1.6125 0.988206E+06 0.142183E+07 0.985268E+06 0.792762E+06 0.121918E+07 0.788443E+06
    1.6250 0.987803E+06 0.142291E+07 0.984850E+06 0.792350E+06 0.122040E+07 0.787880E+06
    1.6375 0.987402E+06 0.142399E+07 0.984423E+06 0.791939E+06 0.122161E+07 0.787330E+06
    1.6500 0.987003E+06 0.142506E+07 0.983986E+06 0.791528E+06 0.122282E+07 0.786795E+06
    1.6625 0.986609E+06 0.142614E+07 0.983543E+06 0.791117E+06 0.122401E+07 0.786275E+06
    1.6750 0.986219E+06 0.142721E+07 0.983096E+06 0.790706E+06 0.122518E+07 0.785770E+06
    1.6875 0.985834E+06 0.142828E+07 0.982646E+06 0.790295E+06 0.122635E+07 0.785282E+06
    1.7000 0.985455E+06 0.142934E+07 0.982196E+06 0.789883E+06 0.122750E+07 0.784809E+06
    1.7125 0.985084E+06 0.143038E+07 0.981748E+06 0.789473E+06 0.122864E+07 0.784354E+06
    1.7250 0.984720E+06 0.143141E+07 0.981304E+06 0.789063E+06 0.122976E+07 0.783914E+06
    1.7375 0.984365E+06 0.143242E+07 0.980867E+06 0.788654E+06 0.123086E+07 0.783492E+06
    1.7500 0.984019E+06 0.143342E+07 0.980436E+06 0.788247E+06 0.123195E+07 0.783085E+06
    1.7625 0.983683E+06 0.143439E+07 0.980014E+06 0.787843E+06 0.123301E+07 0.782695E+06
    1.7750 0.983358E+06 0.143535E+07 0.979601E+06 0.787442E+06 0.123406E+07 0.782321E+06
    1.7875 0.983044E+06 0.143629E+07 0.979198E+06 0.787044E+06 0.123509E+07 0.781961E+06
    1.8000 0.982741E+06 0.143721E+07 0.978805E+06 0.786651E+06 0.123610E+07 0.781616E+06
    1.8125 0.982450E+06 0.143810E+07 0.978423E+06 0.786263E+06 0.123708E+07 0.781284E+06
    1.8250 0.982170E+06 0.143898E+07 0.978053E+06 0.785880E+06 0.123805E+07 0.780963E+06
    1.8375 0.981901E+06 0.143984E+07 0.977695E+06 0.785504E+06 0.123900E+07 0.780653E+06
    1.8500 0.981642E+06 0.144067E+07 0.977351E+06 0.785135E+06 0.123993E+07 0.780353E+06
    1.8625 0.981393E+06 0.144149E+07 0.977021E+06 0.784773E+06 0.124084E+07 0.780062E+06
    1.8750 0.981154E+06 0.144228E+07 0.976709E+06 0.784419E+06 0.124174E+07 0.779777E+06
    1.8875 0.980923E+06 0.144305E+07 0.976414E+06 0.784074E+06 0.124261E+07 0.779500E+06
    1.9000 0.980701E+06 0.144379E+07 0.976139E+06 0.783739E+06 0.124346E+07 0.779229E+06
    1.9125 0.980487E+06 0.144451E+07 0.975887E+06 0.783414E+06 0.124430E+07 0.778964E+06
    1.9250 0.980282E+06 0.144520E+07 0.975657E+06 0.783099E+06 0.124512E+07 0.778706E+06
    1.9375 0.980085E+06 0.144586E+07 0.975452E+06 0.782796E+06 0.124591E+07 0.778453E+06
    1.9500 0.979898E+06 0.144649E+07 0.975272E+06 0.782504E+06 0.124668E+07 0.778208E+06
    1.9625 0.979721E+06 0.144709E+07 0.975119E+06 0.782226E+06 0.124743E+07 0.777971E+06
    1.9750 0.979554E+06 0.144766E+07 0.974992E+06 0.781961E+06 0.124816E+07 0.777743E+06
    1.9875 0.979397E+06 0.144819E+07 0.974892E+06 0.781710E+06 0.124886E+07 0.777525E+06
    2.0000 0.979251E+06 0.144869E+07 0.974817E+06 0.781473E+06 0.124953E+07 0.777319E+06
    2.0125 0.979117E+06 0.144916E+07 0.974767E+06 0.781252E+06 0.125018E+07 0.777124E+06
    2.0250 0.978994E+06 0.144959E+07 0.974741E+06 0.781047E+06 0.125079E+07 0.776944E+06
    2.0375 0.978881E+06 0.144999E+07 0.974738E+06 0.780858E+06 0.125138E+07 0.776778E+06
    2.0500 0.978779E+06 0.145036E+07 0.974756E+06 0.780685E+06 0.125193E+07 0.776627E+06
    2.0625 0.978688E+06 0.145071E+07 0.974793E+06 0.780530E+06 0.125245E+07 0.776493E+06
    2.0750 0.978606E+06 0.145102E+07 0.974847E+06 0.780391E+06 0.125293E+07 0.776376E+06
    2.0875 0.978534E+06 0.145131E+07 0.974917E+06 0.780270E+06 0.125339E+07 0.776276E+06
    2.1000 0.978471E+06 0.145157E+07 0.975002E+06 0.780166E+06 0.125381E+07 0.776195E+06
    2.1125 0.978417E+06 0.145181E+07 0.975099E+06 0.780078E+06 0.125419E+07 0.776133E+06
    2.1250 0.978372E+06 0.145203E+07 0.975208E+06 0.780008E+06 0.125455E+07 0.776091E+06
    2.1375 0.978337E+06 0.145223E+07 0.975326E+06 0.779954E+06 0.125487E+07 0.776069E+06
    2.1500 0.978311E+06 0.145240E+07 0.975453E+06 0.779915E+06 0.125515E+07 0.776068E+06
    2.1625 0.978297E+06 0.145255E+07 0.975588E+06 0.779893E+06 0.125540E+07 0.776088E+06
    2.1750 0.978293E+06 0.145268E+07 0.975731E+06 0.779885E+06 0.125562E+07 0.776131E+06
    2.1875 0.978302E+06 0.145278E+07 0.975880E+06 0.779893E+06 0.125580E+07 0.776197E+06
    2.2000 0.978323E+06 0.145287E+07 0.976036E+06 0.779916E+06 0.125595E+07 0.776288E+06
    2.2125 0.978358E+06 0.145292E+07 0.976199E+06 0.779952E+06 0.125606E+07 0.776403E+06
    2.2250 0.978406E+06 0.145296E+07 0.976368E+06 0.780004E+06 0.125614E+07 0.776543E+06
    2.2375 0.978467E+06 0.145296E+07 0.976544E+06 0.780069E+06 0.125618E+07 0.776710E+06
    2.2500 0.978542E+06 0.145295E+07 0.976726E+06 0.780149E+06 0.125618E+07 0.776902E+06
    2.2625 0.978630E+06 0.145290E+07 0.976915E+06 0.780242E+06 0.125614E+07 0.777121E+06
    2.2750 0.978732E+06 0.145284E+07 0.977111E+06 0.780350E+06 0.125607E+07 0.777366E+06
    2.2875 0.978845E+06 0.145275E+07 0.977313E+06 0.780472E+06 0.125596E+07 0.777637E+06
    2.3000 0.978970E+06 0.145263E+07 0.977520E+06 0.780607E+06 0.125582E+07 0.777932E+06
    2.3125 0.979105E+06 0.145250E+07 0.977733E+06 0.780757E+06 0.125564E+07 0.778251E+06
    2.3250 0.979251E+06 0.145234E+07 0.977951E+06 0.780919E+06 0.125542E+07 0.778593E+06
    2.3375 0.979405E+06 0.145217E+07 0.978174E+06 0.781095E+06 0.125518E+07 0.778956E+06
    2.3500 0.979569E+06 0.145198E+07 0.978401E+06 0.781283E+06 0.125490E+07 0.779338E+06
