      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3   ANCHTEN1   ANCHTEN2   ANCHTEN3
       (s)        (N)        (N)        (N)        (N)        (N)        (N)
    0.0000 0.999275E+06 0.137316E+07 0.999275E+06 0.802055E+06 0.117414E+07 0.802055E+06
    0.0125 0.999449E+06 0.137277E+07 0.999443E+06 0.801905E+06 0.117413E+07 0.801905E+06
    0.0250 0.999451E+06 0.137259E+07 0.999443E+06 0.801757E+06 0.117411E+07 0.801757E+06
    0.0375 0.999535E+06 0.137232E+07 0.999518E+06 0.801612E+06 0.117410E+07 0.801612E+06
    0.0500 0.999616E+06 0.137206E+07 0.999590E+06 0.801468E+06 0.117409E+07 0.801468E+06
    0.0625 0.999695E+06 0.137181E+07 0.999658E+06 0.801327E+06 0.117408E+07 0.801327E+06
    0.0750 0.999768E+06 0.137157E+07 0.999723E+06 0.801189E+06 0.117408E+07 0.801189E+06
    0.0875 0.999834E+06 0.137134E+07 0.999786E+06 0.801053E+06 0.117407E+07 0.801053E+06
    0.1000 0.999890E+06 0.137112E+07 0.999848E+06 0.800919E+06 0.117407E+07 0.800919E+06
    0.1125 0.999937E+06 0.137092E+07 0.999912E+06 0.800788E+06 0.117406E+07 0.800788E+06
    0.1250 0.999974E+06 0.137072E+07 0.999980E+06 0.800660E+06 0.117406E+07 0.800660E+06
    0.1375 0.100000E+07 0.137054E+07 0.100005E+07 0.800535E+06 0.117406E+07 0.800535E+06
    0.1500 0.100002E+07 0.137035E+07 0.100013E+07 0.800414E+06 0.117406E+07 0.800413E+06
    0.1625 0.100003E+07 0.137017E+07 0.100022E+07 0.800296E+06 0.117406E+07 0.800296E+06
    0.1750 0.100004E+07 0.137000E+07 0.100030E+07 0.800182E+06 0.117406E+07 0.800182E+06
    0.1875 0.100005E+07 0.136982E+07 0.100039E+07 0.800076E+06 0.117405E+07 0.800075E+06
    0.2000 0.100006E+07 0.136965E+07 0.100048E+07 0.799977E+06 0.117405E+07 0.799977E+06
    0.2125 0.100008E+07 0.136947E+07 0.100057E+07 0.799890E+06 0.117403E+07 0.799889E+06
    0.2250 0.100010E+07 0.136930E+07 0.100066E+07 0.799817E+06 0.117400E+07 0.799815E+06
    0.2375 0.100012E+07 0.136914E+07 0.100073E+07 0.799763E+06 0.117396E+07 0.799760E+06
    0.2500 0.100015E+07 0.136898E+07 0.100080E+07 0.799730E+06 0.117389E+07 0.799726E+06
    0.2625 0.100018E+07 0.136883E+07 0.100086E+07 0.799723E+06 0.117380E+07 0.799716E+06
    0.2750 0.100022E+07 0.136868E+07 0.100092E+07 0.799744E+06 0.117369E+07 0.799734E+06
    0.2875 0.100024E+07 0.136856E+07 0.100096E+07 0.799794E+06 0.117354E+07 0.799781E+06
    0.3000 0.100026E+07 0.136845E+07 0.100100E+07 0.799874E+06 0.117336E+07 0.799858E+06
    0.3125 0.100028E+07 0.136835E+07 0.100104E+07 0.799983E+06 0.117316E+07 0.799965E+06
    0.3250 0.100028E+07 0.136828E+07 0.100107E+07 0.800120E+06 0.117292E+07 0.800101E+06
    0.3375 0.100026E+07 0.136822E+07 0.100109E+07 0.800281E+06 0.117267E+07 0.800264E+06
    0.3500 0.100024E+07 0.136818E+07 0.100111E+07 0.800463E+06 0.117239E+07 0.800453E+06
    0.3625 0.100020E+07 0.136816E+07 0.100113E+07 0.800663E+06 0.117209E+07 0.800664E+06
    0.3750 0.100016E+07 0.136816E+07 0.100115E+07 0.800876E+06 0.117178E+07 0.800894E+06
    0.3875 0.100011E+07 0.136817E+07 0.100115E+07 0.801098E+06 0.117147E+07 0.801142E+06
    0.4000 0.100006E+07 0.136820E+07 0.100115E+07 0.801325E+06 0.117114E+07 0.801404E+06
    0.4125 0.100001E+07 0.136823E+07 0.100115E+07 0.801555E+06 0.117082E+07 0.801678E+06
    0.4250 0.999971E+06 0.136828E+07 0.100113E+07 0.801786E+06 0.117050E+07 0.801962E+06
    0.4375 0.999937E+06 0.136833E+07 0.100110E+07 0.802015E+06 0.117017E+07 0.802253E+06
    0.4500 0.999912E+06 0.136839E+07 0.100107E+07 0.802240E+06 0.116986E+07 0.802549E+06
    0.4625 0.999898E+06 0.136846E+07 0.100102E+07 0.802463E+06 0.116955E+07 0.802847E+06
    0.4750 0.999894E+06 0.136853E+07 0.100097E+07 0.802680E+06 0.116924E+07 0.803147E+06
    0.4875 0.999900E+06 0.136861E+07 0.100092E+07 0.802894E+06 0.116895E+07 0.803446E+06
    0.5000 0.999915E+06 0.136869E+07 0.100086E+07 0.803103E+06 0.116866E+07 0.803741E+06
    0.5125 0.999937E+06 0.136878E+07 0.100081E+07 0.803307E+06 0.116839E+07 0.804032E+06
    0.5250 0.999964E+06 0.136887E+07 0.100075E+07 0.803506E+06 0.116813E+07 0.804316E+06
    0.5375 0.999996E+06 0.136897E+07 0.100070E+07 0.803699E+06 0.116788E+07 0.804592E+06
    0.5500 0.100003E+07 0.136908E+07 0.100066E+07 0.803886E+06 0.116765E+07 0.804859E+06
    0.5625 0.100007E+07 0.136919E+07 0.100062E+07 0.804066E+06 0.116743E+07 0.805116E+06
    0.5750 0.100011E+07 0.136930E+07 0.100060E+07 0.804236E+06 0.116723E+07 0.805362E+06
    0.5875 0.100016E+07 0.136943E+07 0.100058E+07 0.804397E+06 0.116706E+07 0.805595E+06
    0.6000 0.100021E+07 0.136955E+07 0.100057E+07 0.804548E+06 0.116691E+07 0.805816E+06
    0.6125 0.100027E+07 0.136969E+07 0.100057E+07 0.804687E+06 0.116678E+07 0.806024E+06
    0.6250 0.100033E+07 0.136982E+07 0.100058E+07 0.804814E+06 0.116668E+07 0.806218E+06
    0.6375 0.100040E+07 0.136995E+07 0.100060E+07 0.804928E+06 0.116660E+07 0.806397E+06
    0.6500 0.100048E+07 0.137009E+07 0.100063E+07 0.805032E+06 0.116655E+07 0.806562E+06
    0.6625 0.100057E+07 0.137023E+07 0.100068E+07 0.805124E+06 0.116652E+07 0.806712E+06
    0.6750 0.100066E+07 0.137037E+07 0.100073E+07 0.805206E+06 0.116652E+07 0.806845E+06
    0.6875 0.100075E+07 0.137050E+07 0.100079E+07 0.805280E+06 0.116655E+07 0.806963E+06
    0.7000 0.100084E+07 0.137064E+07 0.100087E+07 0.805347E+06 0.116660E+07 0.807063E+06
    0.7125 0.100094E+07 0.137078E+07 0.100096E+07 0.805408E+06 0.116667E+07 0.807146E+06
    0.7250 0.100103E+07 0.137092E+07 0.100105E+07 0.805465E+06 0.116676E+07 0.807212E+06
    0.7375 0.100112E+07 0.137107E+07 0.100115E+07 0.805520E+06 0.116688E+07 0.807261E+06
    0.7500 0.100121E+07 0.137123E+07 0.100126E+07 0.805572E+06 0.116702E+07 0.807293E+06
    0.7625 0.100129E+07 0.137140E+07 0.100136E+07 0.805624E+06 0.116718E+07 0.807308E+06
    0.7750 0.100135E+07 0.137158E+07 0.100147E+07 0.805674E+06 0.116736E+07 0.807308E+06
    0.7875 0.100141E+07 0.137179E+07 0.100157E+07 0.805724E+06 0.116756E+07 0.807293E+06
    0.8000 0.100146E+07 0.137201E+07 0.100166E+07 0.805773E+06 0.116778E+07 0.807264E+06
    0.8125 0.100149E+07 0.137226E+07 0.100174E+07 0.805820E+06 0.116803E+07 0.807222E+06
    0.8250 0.100151E+07 0.137253E+07 0.100180E+07 0.805864E+06 0.116829E+07 0.807168E+06
    0.8375 0.100151E+07 0.137283E+07 0.100185E+07 0.805906E+06 0.116857E+07 0.807105E+06
    0.8500 0.100150E+07 0.137317E+07 0.100188E+07 0.805944E+06 0.116887E+07 0.807033E+06
    0.8625 0.100147E+07 0.137353E+07 0.100190E+07 0.805979E+06 0.116920E+07 0.806952E+06
    0.8750 0.100142E+07 0.137392E+07 0.100190E+07 0.806008E+06 0.116954E+07 0.806866E+06
    0.8875 0.100136E+07 0.137434E+07 0.100189E+07 0.806033E+06 0.116991E+07 0.806774E+06
    0.9000 0.100127E+07 0.137479E+07 0.100185E+07 0.806052E+06 0.117029E+07 0.806679E+06
    0.9125 0.100117E+07 0.137526E+07 0.100181E+07 0.806066E+06 0.117069E+07 0.806580E+06
    0.9250 0.100106E+07 0.137577E+07 0.100175E+07 0.806074E+06 0.117112E+07 0.806480E+06
    0.9375 0.100092E+07 0.137629E+07 0.100167E+07 0.806076E+06 0.117155E+07 0.806379E+06
    0.9500 0.100078E+07 0.137684E+07 0.100157E+07 0.806072E+06 0.117201E+07 0.806278E+06
    0.9625 0.100062E+07 0.137742E+07 0.100146E+07 0.806062E+06 0.117248E+07 0.806177E+06
    0.9750 0.100046E+07 0.137801E+07 0.100133E+07 0.806045E+06 0.117296E+07 0.806077E+06
    0.9875 0.100029E+07 0.137863E+07 0.100119E+07 0.806020E+06 0.117346E+07 0.805978E+06
    1.0000 0.100011E+07 0.137927E+07 0.100101E+07 0.805988E+06 0.117398E+07 0.805880E+06
    1.0125 0.999929E+06 0.137993E+07 0.100082E+07 0.805947E+06 0.117451E+07 0.805782E+06
    1.0250 0.999746E+06 0.138062E+07 0.100060E+07 0.805897E+06 0.117505E+07 0.805683E+06
    1.0375 0.999559E+06 0.138133E+07 0.100035E+07 0.805836E+06 0.117562E+07 0.805583E+06
    1.0500 0.999370E+06 0.138207E+07 0.100008E+07 0.805764E+06 0.117620E+07 0.805480E+06
    1.0625 0.999177E+06 0.138283E+07 0.999787E+06 0.805679E+06 0.117680E+07 0.805372E+06
    1.0750 0.998979E+06 0.138362E+07 0.999468E+06 0.805580E+06 0.117742E+07 0.805258E+06
    1.0875 0.998776E+06 0.138444E+07 0.999127E+06 0.805466E+06 0.117807E+07 0.805136E+06
    1.1000 0.998566E+06 0.138528E+07 0.998766E+06 0.805336E+06 0.117873E+07 0.805004E+06
    1.1125 0.998349E+06 0.138614E+07 0.998389E+06 0.805189E+06 0.117943E+07 0.804862E+06
    1.1250 0.998124E+06 0.138703E+07 0.997997E+06 0.805024E+06 0.118015E+07 0.804707E+06
    1.1375 0.997893E+06 0.138794E+07 0.997594E+06 0.804841E+06 0.118090E+07 0.804538E+06
    1.1500 0.997654E+06 0.138887E+07 0.997182E+06 0.804639E+06 0.118168E+07 0.804355E+06
    1.1625 0.997411E+06 0.138982E+07 0.996763E+06 0.804418E+06 0.118249E+07 0.804156E+06
    1.1750 0.997163E+06 0.139078E+07 0.996339E+06 0.804177E+06 0.118332E+07 0.803941E+06
    1.1875 0.996912E+06 0.139174E+07 0.995913E+06 0.803918E+06 0.118419E+07 0.803710E+06
    1.2000 0.996660E+06 0.139272E+07 0.995485E+06 0.803641E+06 0.118508E+07 0.803461E+06
    1.2125 0.996408E+06 0.139370E+07 0.995057E+06 0.803347E+06 0.118600E+07 0.803195E+06
    1.2250 0.996157E+06 0.139469E+07 0.994630E+06 0.803036E+06 0.118694E+07 0.802911E+06
    1.2375 0.995907E+06 0.139568E+07 0.994205E+06 0.802711E+06 0.118791E+07 0.802608E+06
    1.2500 0.995657E+06 0.139668E+07 0.993783E+06 0.802373E+06 0.118891E+07 0.802285E+06
    1.2625 0.995408E+06 0.139768E+07 0.993365E+06 0.802023E+06 0.118992E+07 0.801943E+06
    1.2750 0.995157E+06 0.139868E+07 0.992950E+06 0.801663E+06 0.119096E+07 0.801580E+06
    1.2875 0.994905E+06 0.139969E+07 0.992540E+06 0.801294E+06 0.119202E+07 0.801195E+06
    1.3000 0.994648E+06 0.140070E+07 0.992136E+06 0.800917E+06 0.119311E+07 0.800788E+06
    1.3125 0.994386E+06 0.140172E+07 0.991736E+06 0.800534E+06 0.119421E+07 0.800359E+06
    1.3250 0.994118E+06 0.140274E+07 0.991342E+06 0.800145E+06 0.119534E+07 0.799908E+06
    1.3375 0.993841E+06 0.140377E+07 0.990953E+06 0.799751E+06 0.119648E+07 0.799433E+06
    1.3500 0.993555E+06 0.140481E+07 0.990569E+06 0.799352E+06 0.119765E+07 0.798937E+06
    1.3625 0.993259E+06 0.140586E+07 0.990190E+06 0.798949E+06 0.119884E+07 0.798419E+06
    1.3750 0.992954E+06 0.140692E+07 0.989815E+06 0.798543E+06 0.120004E+07 0.797880E+06
    1.3875 0.992639E+06 0.140798E+07 0.989445E+06 0.798132E+06 0.120127E+07 0.797323E+06
    1.4000 0.992315E+06 0.140905E+07 0.989079E+06 0.797718E+06 0.120251E+07 0.796748E+06
    1.4125 0.991982E+06 0.141012E+07 0.988717E+06 0.797300E+06 0.120376E+07 0.796157E+06
    1.4250 0.991641E+06 0.141119E+07 0.988359E+06 0.796880E+06 0.120503E+07 0.795554E+06
    1.4375 0.991293E+06 0.141227E+07 0.988004E+06 0.796458E+06 0.120631E+07 0.794939E+06
    1.4500 0.990938E+06 0.141335E+07 0.987653E+06 0.796033E+06 0.120760E+07 0.794316E+06
    1.4625 0.990576E+06 0.141443E+07 0.987306E+06 0.795608E+06 0.120890E+07 0.793686E+06
    1.4750 0.990209E+06 0.141551E+07 0.986962E+06 0.795183E+06 0.121021E+07 0.793052E+06
    1.4875 0.989837E+06 0.141659E+07 0.986620E+06 0.794758E+06 0.121151E+07 0.792416E+06
    1.5000 0.989460E+06 0.141767E+07 0.986279E+06 0.794335E+06 0.121282E+07 0.791780E+06
    1.5125 0.989078E+06 0.141874E+07 0.985940E+06 0.793914E+06 0.121412E+07 0.791147E+06
    1.5250 0.988693E+06 0.141982E+07 0.985599E+06 0.793496E+06 0.121542E+07 0.790517E+06
    1.5375 0.988305E+06 0.142089E+07 0.985255E+06 0.793080E+06 0.121672E+07 0.789894E+06
    1.5500 0.987914E+06 0.142197E+07 0.984907E+06 0.792668E+06 0.121801E+07 0.789277E+06
    1.5625 0.987521E+06 0.142305E+07 0.984552E+06 0.792259E+06 0.121929E+07 0.788670E+06
    1.5750 0.987128E+06 0.142413E+07 0.984190E+06 0.791853E+06 0.122056E+07 0.788072E+06
    1.5875 0.986734E+06 0.142521E+07 0.983819E+06 0.791449E+06 0.122183E+07 0.787485E+06
    1.6000 0.986342E+06 0.142629E+07 0.983438E+06 0.791047E+06 0.122309E+07 0.786909E+06
    1.6125 0.985951E+06 0.142738E+07 0.983047E+06 0.790647E+06 0.122433E+07 0.786347E+06
    1.6250 0.985562E+06 0.142847E+07 0.982646E+06 0.790248E+06 0.122557E+07 0.785798E+06
    1.6375 0.985177E+06 0.142956E+07 0.982236E+06 0.789850E+06 0.122679E+07 0.785263E+06
    1.6500 0.984796E+06 0.143065E+07 0.981819E+06 0.789452E+06 0.122801E+07 0.784743E+06
    1.6625 0.984420E+06 0.143173E+07 0.981395E+06 0.789055E+06 0.122921E+07 0.784239E+06
    1.6750 0.984049E+06 0.143280E+07 0.980968E+06 0.788657E+06 0.123040E+07 0.783750E+06
    1.6875 0.983685E+06 0.143387E+07 0.980539E+06 0.788260E+06 0.123158E+07 0.783277E+06
    1.7000 0.983327E+06 0.143493E+07 0.980111E+06 0.787864E+06 0.123274E+07 0.782822E+06
    1.7125 0.982977E+06 0.143597E+07 0.979686E+06 0.787468E+06 0.123389E+07 0.782383E+06
    1.7250 0.982635E+06 0.143700E+07 0.979266E+06 0.787073E+06 0.123502E+07 0.781961E+06
    1.7375 0.982303E+06 0.143801E+07 0.978853E+06 0.786680E+06 0.123613E+07 0.781556E+06
    1.7500 0.981980E+06 0.143901E+07 0.978447E+06 0.786290E+06 0.123722E+07 0.781168E+06
    1.7625 0.981668E+06 0.143998E+07 0.978050E+06 0.785902E+06 0.123830E+07 0.780797E+06
    1.7750 0.981367E+06 0.144094E+07 0.977662E+06 0.785519E+06 0.123935E+07 0.780442E+06
    1.7875 0.981078E+06 0.144187E+07 0.977285E+06 0.785139E+06 0.124039E+07 0.780103E+06
    1.8000 0.980800E+06 0.144278E+07 0.976918E+06 0.784765E+06 0.124140E+07 0.779778E+06
    1.8125 0.980533E+06 0.144368E+07 0.976562E+06 0.784396E+06 0.124240E+07 0.779467E+06
    1.8250 0.980277E+06 0.144455E+07 0.976217E+06 0.784034E+06 0.124337E+07 0.779169E+06
    1.8375 0.980033E+06 0.144540E+07 0.975885E+06 0.783679E+06 0.124432E+07 0.778882E+06
    1.8500 0.979798E+06 0.144623E+07 0.975566E+06 0.783331E+06 0.124525E+07 0.778605E+06
    1.8625 0.979574E+06 0.144704E+07 0.975262E+06 0.782991E+06 0.124616E+07 0.778338E+06
    1.8750 0.979358E+06 0.144783E+07 0.974975E+06 0.782661E+06 0.124706E+07 0.778079E+06
    1.8875 0.979151E+06 0.144860E+07 0.974705E+06 0.782340E+06 0.124793E+07 0.777827E+06
    1.9000 0.978952E+06 0.144934E+07 0.974455E+06 0.782029E+06 0.124878E+07 0.777582E+06
    1.9125 0.978761E+06 0.145006E+07 0.974226E+06 0.781729E+06 0.124961E+07 0.777344E+06
    1.9250 0.978579E+06 0.145074E+07 0.974020E+06 0.781440E+06 0.125042E+07 0.777113E+06
    1.9375 0.978405E+06 0.145141E+07 0.973838E+06 0.781163E+06 0.125121E+07 0.776888E+06
    1.9500 0.978240E+06 0.145204E+07 0.973682E+06 0.780899E+06 0.125198E+07 0.776671E+06
    1.9625 0.978084E+06 0.145264E+07 0.973551E+06 0.780648E+06 0.125273E+07 0.776463E+06
    1.9750 0.977938E+06 0.145320E+07 0.973446E+06 0.780410E+06 0.125344E+07 0.776264E+06
    1.9875 0.977802E+06 0.145374E+07 0.973367E+06 0.780187E+06 0.125414E+07 0.776075E+06
    2.0000 0.977677E+06 0.145424E+07 0.973313E+06 0.779979E+06 0.125480E+07 0.775898E+06
    2.0125 0.977563E+06 0.145471E+07 0.973284E+06 0.779786E+06 0.125544E+07 0.775733E+06
    2.0250 0.977459E+06 0.145514E+07 0.973278E+06 0.779609E+06 0.125604E+07 0.775582E+06
    2.0375 0.977366E+06 0.145555E+07 0.973294E+06 0.779449E+06 0.125662E+07 0.775445E+06
    2.0500 0.977283E+06 0.145592E+07 0.973331E+06 0.779305E+06 0.125716E+07 0.775324E+06
    2.0625 0.977211E+06 0.145626E+07 0.973387E+06 0.779178E+06 0.125767E+07 0.775219E+06
    2.0750 0.977148E+06 0.145658E+07 0.973461E+06 0.779067E+06 0.125815E+07 0.775130E+06
    2.0875 0.977094E+06 0.145687E+07 0.973550E+06 0.778974E+06 0.125860E+07 0.775059E+06
    2.1000 0.977049E+06 0.145714E+07 0.973652E+06 0.778897E+06 0.125901E+07 0.775006E+06
    2.1125 0.977014E+06 0.145739E+07 0.973768E+06 0.778837E+06 0.125939E+07 0.774971E+06
    2.1250 0.976987E+06 0.145761E+07 0.973894E+06 0.778793E+06 0.125973E+07 0.774956E+06
    2.1375 0.976970E+06 0.145781E+07 0.974030E+06 0.778764E+06 0.126005E+07 0.774960E+06
    2.1500 0.976963E+06 0.145798E+07 0.974174E+06 0.778751E+06 0.126033E+07 0.774984E+06
    2.1625 0.976966E+06 0.145814E+07 0.974326E+06 0.778753E+06 0.126058E+07 0.775029E+06
    2.1750 0.976980E+06 0.145827E+07 0.974486E+06 0.778770E+06 0.126079E+07 0.775095E+06
    2.1875 0.977006E+06 0.145838E+07 0.974652E+06 0.778800E+06 0.126097E+07 0.775184E+06
    2.2000 0.977045E+06 0.145846E+07 0.974825E+06 0.778845E+06 0.126112E+07 0.775296E+06
    2.2125 0.977097E+06 0.145853E+07 0.975004E+06 0.778903E+06 0.126123E+07 0.775432E+06
    2.2250 0.977162E+06 0.145856E+07 0.975189E+06 0.778975E+06 0.126131E+07 0.775592E+06
    2.2375 0.977241E+06 0.145857E+07 0.975381E+06 0.779059E+06 0.126135E+07 0.775777E+06
    2.2500 0.977333E+06 0.145856E+07 0.975579E+06 0.779157E+06 0.126136E+07 0.775987E+06
    2.2625 0.977438E+06 0.145852E+07 0.975783E+06 0.779269E+06 0.126133E+07 0.776223E+06
    2.2750 0.977555E+06 0.145846E+07 0.975994E+06 0.779393E+06 0.126126E+07 0.776483E+06
    2.2875 0.977685E+06 0.145837E+07 0.976210E+06 0.779530E+06 0.126116E+07 0.776768E+06
    2.3000 0.977825E+06 0.145826E+07 0.976432E+06 0.779680E+06 0.126103E+07 0.777076E+06
    2.3125 0.977976E+06 0.145813E+07 0.976659E+06 0.779842E+06 0.126086E+07 0.777407E+06
    2.3250 0.978137E+06 0.145798E+07 0.976890E+06 0.780017E+06 0.126065E+07 0.777760E+06
    2.3375 0.978306E+06 0.145781E+07 0.977125E+06 0.780205E+06 0.126042E+07 0.778132E+06
    2.3500 0.978483E+06 0.145763E+07 0.977364E+06 0.780404E+06 0.126015E+07 0.778524E+06
