
Predictions were generated on 19-Sep-2022 at 15:48:34 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.2.1-281-g936f18e7
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #08: AOC 15/50 with many DOFs with fixed yaw error and steady wind. Many parameters are pure fiction.

Time	Wind1VelX	Wind1VelY	Wind1VelZ	LSSGagPxa	TipDxb1	TipDxb2	TipDyb1	TipDyb2	RollDefl1	RollDefl2	PtchDefl1	PtchDefl2	Spn1ALxb1	Spn1ALyb1	HSShftV	TTDspRoll	TTDspPtch	YawBrRVxp	YawBrRVyp	YawBrRAxp	YawBrRAyp	RootFxb1	RootFyb1	Spn2MLxb1	Spn2MLyb1	LSShftFya	LSShftFza	YawBrFxn	YawBrFyn	RtSpeed	RtSkew	B1N1Theta	B1N2Theta	B1N3Theta	B1N4Theta	B1N1AxInd	B1N2AxInd	B1N3AxInd	B1N4AxInd	B1N1Alpha	B1N2Alpha	B1N3Alpha	B1N4Alpha	B1N1Vrel	B1N2Vrel	B1N3Vrel	B1N4Vrel	B1N1Cl	B1N2Cl	B1N3Cl	B1N4Cl	B1N1Cd	B1N2Cd	B1N3Cd	B1N4Cd	B1N1Cm	B1N2Cm	B1N3Cm	B1N4Cm
(s)	(m/s)	(m/s)	(m/s)	(deg)	(m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(deg)	(m/s^2)	(m/s^2)	(rpm)	(deg)	(deg)	(deg/s)	(deg/s)	(deg/s^2)	(deg/s^2)	(kN)	(kN)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN)	(rpm)	(deg)	(deg)	(deg)	(deg)	(deg)	(-)	(-)	(-)	(-)	(deg)	(deg)	(deg)	(deg)	(m/s)	(m/s)	(m/s)	(m/s)	(-)	(-)	(-)	(-)	(-)	(-)	(-)	(-)	(-)	(-)	(-)	(-)
   10.0000	 9.526E+00	-5.500E+00	 0.000E+00	 2.484E+02	-8.180E-04	-1.225E-02	 2.507E-03	-2.631E-03	-3.858E-02	 3.477E-02	-1.450E-01	-3.237E-01	 6.122E+00	 6.553E-01	 1.812E+03	 3.715E-02	 9.992E-02	-4.079E-03	-4.309E-02	-4.980E-01	-1.088E+00	 4.654E-02	 8.892E-01	-3.277E-01	-6.951E-03	 6.088E+00	 2.411E+00	 6.232E+00	-1.074E-01	 6.414E+01	 1.498E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 8.342E-02	 2.978E-01	 2.171E-01	 2.112E-01	 2.873E+01	 1.166E+01	 9.771E+00	 8.194E+00	 1.730E+01	 2.572E+01	 3.518E+01	 4.484E+01	 1.023E+00	 1.538E+00	 1.223E+00	 1.071E+00	 3.767E-01	 6.258E-02	 4.097E-02	 3.516E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.0500	 9.526E+00	-5.500E+00	 0.000E+00	 2.676E+02	-1.312E-03	-1.173E-02	 2.864E-03	-4.612E-03	-4.352E-02	 6.255E-02	-1.519E-01	-3.162E-01	 6.265E+00	 7.025E-01	 1.812E+03	 3.645E-02	 9.702E-02	-2.148E-02	-6.412E-02	-2.697E-01	-3.551E-01	 4.772E-02	 9.696E-01	-3.737E-01	-3.634E-02	 6.501E+00	 2.143E-01	 6.008E+00	-1.233E-01	 6.414E+01	 1.497E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 7.175E-02	 1.611E-01	 1.862E-01	 1.892E-01	 3.119E+01	 1.593E+01	 1.092E+01	 8.965E+00	 1.665E+01	 2.509E+01	 3.439E+01	 4.403E+01	 1.124E+00	 1.771E+00	 1.249E+00	 1.068E+00	 4.556E-01	 1.685E-01	 4.878E-02	 4.298E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.1000	 9.526E+00	-5.500E+00	 0.000E+00	 2.869E+02	-3.137E-03	-1.036E-02	 2.683E-03	-6.156E-03	-4.120E-02	 8.420E-02	-1.958E-01	-2.913E-01	 6.324E+00	 7.347E-01	 1.812E+03	 3.510E-02	 9.325E-02	-3.109E-02	-8.042E-02	-1.390E-01	 1.170E-01	 5.424E-02	 9.009E-01	-3.419E-01	-1.191E-01	 6.211E+00	-1.959E+00	 5.721E+00	-1.069E-01	 6.414E+01	 1.498E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 6.202E-02	 1.229E-01	 1.657E-01	 1.763E-01	 3.373E+01	 1.792E+01	 1.190E+01	 9.590E+00	 1.598E+01	 2.430E+01	 3.354E+01	 4.316E+01	 1.200E+00	 1.938E+00	 1.284E+00	 1.031E+00	 5.661E-01	 2.058E-01	 7.529E-02	 5.338E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.1500	 9.526E+00	-5.500E+00	 0.000E+00	 3.061E+02	-5.298E-03	-1.022E-02	 2.075E-03	-7.295E-03	-3.254E-02	 1.001E-01	-2.336E-01	-2.942E-01	 6.425E+00	 7.492E-01	 1.812E+03	 3.340E-02	 8.929E-02	-3.349E-02	-7.428E-02	 2.192E-01	 6.469E-01	-2.924E-02	 7.212E-01	-2.437E-01	-1.932E-01	 5.253E+00	-3.925E+00	 5.452E+00	-7.531E-02	 6.414E+01	 1.499E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 5.472E-02	 1.121E-01	 1.540E-01	 1.713E-01	 3.609E+01	 1.912E+01	 1.265E+01	 1.003E+01	 1.536E+01	 2.354E+01	 3.274E+01	 4.233E+01	 1.236E+00	 1.819E+00	 1.231E+00	 1.043E+00	 6.891E-01	 2.843E-01	 9.812E-02	 6.021E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.2000	 9.526E+00	-5.500E+00	 0.000E+00	 3.254E+02	-7.740E-03	-1.086E-02	 1.080E-03	-7.806E-03	-1.770E-02	 1.069E-01	-2.478E-01	-3.199E-01	 6.516E+00	 7.435E-01	 1.812E+03	 3.187E-02	 8.618E-02	-3.144E-02	-6.084E-02	-4.607E-03	 3.502E-02	-2.371E-01	 4.335E-01	-8.579E-02	-2.485E-01	 3.738E+00	-5.439E+00	 5.322E+00	-3.329E-02	 6.414E+01	 1.501E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 4.987E-02	 1.064E-01	 1.495E-01	 1.725E-01	 3.793E+01	 1.996E+01	 1.312E+01	 1.028E+01	 1.486E+01	 2.293E+01	 3.208E+01	 4.165E+01	 1.180E+00	 1.270E+00	 1.126E+00	 1.012E+00	 7.623E-01	 2.239E-01	 8.995E-02	 6.344E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.2500	 9.526E+00	-5.500E+00	 0.000E+00	 3.446E+02	-1.178E-02	-1.044E-02	-4.156E-04	-7.546E-03	 3.583E-03	 1.030E-01	-3.162E-01	-3.224E-01	 6.530E+00	 7.546E-01	 1.812E+03	 3.063E-02	 8.424E-02	-1.823E-02	-1.386E-02	 4.455E-02	 4.639E-01	-4.091E-01	 2.479E-02	 1.471E-01	-3.616E-01	 1.755E+00	-6.305E+00	 5.264E+00	 8.093E-03	 6.414E+01	 1.501E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 4.774E-02	 1.057E-01	 1.522E-01	 1.806E-01	 3.895E+01	 2.032E+01	 1.323E+01	 1.026E+01	 1.452E+01	 2.252E+01	 3.165E+01	 4.121E+01	 1.060E+00	 1.068E+00	 1.137E+00	 1.006E+00	 7.424E-01	 2.013E-01	 9.458E-02	 6.242E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.3000	 9.526E+00	-5.500E+00	 0.000E+00	 3.852E+00	-1.420E-02	-9.165E-03	-2.042E-03	-6.947E-03	 2.642E-02	 9.445E-02	-3.646E-01	-3.018E-01	 6.517E+00	 7.232E-01	 1.812E+03	 2.984E-02	 8.421E-02	-9.547E-03	 1.964E-02	 3.437E-01	 8.220E-01	-4.819E-01	-4.177E-01	 3.718E-01	-4.361E-01	-3.910E-01	-6.515E+00	 5.268E+00	 6.021E-02	 6.414E+01	 1.502E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 4.857E-02	 1.105E-01	 1.628E-01	 1.961E-01	 3.892E+01	 2.008E+01	 1.290E+01	 9.899E+00	 1.438E+01	 2.237E+01	 3.150E+01	 4.105E+01	 9.769E-01	 9.982E-01	 1.091E+00	 9.871E-01	 6.995E-01	 1.967E-01	 9.140E-02	 5.654E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.3500	 9.526E+00	-5.500E+00	 0.000E+00	 2.309E+01	-1.318E-02	-8.558E-03	-4.010E-03	-5.496E-03	 5.406E-02	 7.408E-02	-3.456E-01	-2.892E-01	 6.482E+00	 6.947E-01	 1.812E+03	 2.973E-02	 8.603E-02	 5.790E-03	 5.631E-02	 3.596E-01	 8.995E-01	-4.653E-01	-8.790E-01	 6.240E-01	-3.929E-01	-2.526E+00	-5.970E+00	 5.334E+00	 8.042E-02	 6.414E+01	 1.502E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 5.251E-02	 1.208E-01	 1.815E-01	 2.179E-01	 3.780E+01	 1.927E+01	 1.218E+01	 9.299E+00	 1.444E+01	 2.250E+01	 3.165E+01	 4.122E+01	 9.155E-01	 9.689E-01	 1.054E+00	 9.762E-01	 6.365E-01	 1.843E-01	 7.617E-02	 4.768E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.4000	 9.526E+00	-5.500E+00	 0.000E+00	 4.234E+01	-1.051E-02	-9.188E-03	-5.791E-03	-3.784E-03	 7.919E-02	 4.997E-02	-2.894E-01	-3.034E-01	 6.425E+00	 6.769E-01	 1.812E+03	 3.043E-02	 8.940E-02	 2.212E-02	 7.344E-02	 3.465E-01	 3.876E-01	-4.329E-01	-1.280E+00	 8.305E-01	-2.904E-01	-4.390E+00	-4.797E+00	 5.477E+00	 8.729E-02	 6.414E+01	 1.502E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 5.951E-02	 1.365E-01	 2.071E-01	 2.433E-01	 3.579E+01	 1.803E+01	 1.121E+01	 8.591E+00	 1.472E+01	 2.289E+01	 3.208E+01	 4.168E+01	 8.584E-01	 9.340E-01	 1.044E+00	 9.691E-01	 5.394E-01	 1.673E-01	 5.989E-02	 3.743E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
