
Predictions were generated on 20-Nov-2019 at 10:08:49 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #08: AOC 15/50 with many DOFs with fixed yaw error and steady wind. Many parameters are pure fiction.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	LSSGagPxa 	TipDxb1   	TipDxb2   	TipDyb1   	TipDyb2   	RollDefl1 	RollDefl2 	PtchDefl1 	PtchDefl2 	Spn1ALxb1 	Spn1ALyb1 	HSShftV   	TTDspRoll 	TTDspPtch 	YawBrRVxp 	YawBrRVyp 	YawBrRAxp 	YawBrRAyp 	RootFxb1  	RootFyb1  	Spn2MLxb1 	Spn2MLyb1 	LSShftFya 	LSShftFza 	YawBrFxn  	YawBrFyn  	RtSpeed   	RtSkew    	B1N1Theta 	B1N2Theta 	B1N3Theta 	B1N4Theta 	B1N1AxInd 	B1N2AxInd 	B1N3AxInd 	B1N4AxInd 	B1N1Alpha 	B1N2Alpha 	B1N3Alpha 	B1N4Alpha 	B1N1Vrel  	B1N2Vrel  	B1N3Vrel  	B1N4Vrel  	B1N1Cl    	B1N2Cl    	B1N3Cl    	B1N4Cl    	B1N1Cd    	B1N2Cd    	B1N3Cd    	B1N4Cd    	B1N1Cm    	B1N2Cm    	B1N3Cm    	B1N4Cm    
(s)       	(m/s)     	(m/s)     	(m/s)     	(deg)     	(m)       	(m)       	(m)       	(m)       	(deg)     	(deg)     	(deg)     	(deg)     	(m/s^2)   	(m/s^2)   	(rpm)     	(deg)     	(deg)     	(deg/s)   	(deg/s)   	(deg/s^2) 	(deg/s^2) 	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN)      	(kN)      	(kN)      	(kN)      	(rpm)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(-)       	(-)       	(-)       	(-)       	(deg)     	(deg)     	(deg)     	(deg)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       
   10.0000	 9.526E+00	-5.500E+00	 0.000E+00	 2.484E+02	 1.660E-03	-1.383E-02	 2.389E-03	-2.427E-03	-3.737E-02	 3.164E-02	-1.142E-01	-3.645E-01	 6.041E+00	 6.400E-01	 1.812E+03	 3.730E-02	 1.006E-01	-8.247E-03	-3.353E-02	-6.108E-01	-1.447E+00	 1.911E-01	 8.843E-01	-3.319E-01	 6.361E-02	 6.079E+00	 2.416E+00	 6.341E+00	-1.081E-01	 6.414E+01	 1.499E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 8.338E-02	 2.973E-01	 2.149E-01	 2.099E-01	 2.874E+01	 1.170E+01	 9.850E+00	 8.239E+00	 1.731E+01	 2.573E+01	 3.519E+01	 4.485E+01	 1.176E+00	 1.606E+00	 1.240E+00	 1.078E+00	 4.345E-01	 6.170E-02	 4.301E-02	 3.900E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.0500	 9.526E+00	-5.500E+00	 0.000E+00	 2.676E+02	-1.667E-03	-1.273E-02	 2.831E-03	-4.547E-03	-4.379E-02	 6.181E-02	-1.870E-01	-3.290E-01	 6.082E+00	 7.263E-01	 1.812E+03	 3.635E-02	 9.791E-02	-2.474E-02	-5.612E-02	-5.885E-02	 6.968E-01	 1.633E-01	 9.623E-01	-3.740E-01	-8.065E-02	 6.461E+00	 1.982E-01	 6.065E+00	-1.145E-01	 6.414E+01	 1.497E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 7.176E-02	 1.610E-01	 1.857E-01	 1.878E-01	 3.119E+01	 1.593E+01	 1.094E+01	 9.021E+00	 1.665E+01	 2.509E+01	 3.439E+01	 4.403E+01	 1.258E+00	 1.916E+00	 1.227E+00	 1.067E+00	 5.482E-01	 1.816E-01	 5.460E-02	 4.713E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.1000	 9.526E+00	-5.500E+00	 0.000E+00	 2.869E+02	-4.862E-03	-9.859E-03	 2.998E-03	-6.213E-03	-4.541E-02	 8.518E-02	-2.212E-01	-2.744E-01	 6.300E+00	 6.749E-01	 1.812E+03	 3.479E-02	 9.488E-02	-4.217E-02	-9.220E-02	-2.835E-01	-1.396E+00	-1.532E-02	 9.440E-01	-3.691E-01	-1.766E-01	 6.276E+00	-1.952E+00	 5.829E+00	-6.833E-02	 6.414E+01	 1.499E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 6.203E-02	 1.231E-01	 1.663E-01	 1.764E-01	 3.373E+01	 1.790E+01	 1.187E+01	 9.585E+00	 1.598E+01	 2.430E+01	 3.354E+01	 4.316E+01	 1.306E+00	 1.926E+00	 1.270E+00	 1.029E+00	 6.894E-01	 2.806E-01	 8.192E-02	 5.597E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.1500	 9.526E+00	-5.500E+00	 0.000E+00	 3.061E+02	-5.769E-03	-9.277E-03	 2.101E-03	-7.216E-03	-3.258E-02	 9.884E-02	-2.300E-01	-2.801E-01	 6.468E+00	 7.317E-01	 1.812E+03	 3.287E-02	 9.065E-02	-3.437E-02	-6.640E-02	-3.417E-01	-7.092E-01	-9.013E-02	 7.428E-01	-2.245E-01	-1.981E-01	 5.273E+00	-3.934E+00	 5.536E+00	-6.002E-02	 6.414E+01	 1.498E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 5.469E-02	 1.121E-01	 1.542E-01	 1.720E-01	 3.610E+01	 1.912E+01	 1.264E+01	 9.998E+00	 1.536E+01	 2.355E+01	 3.274E+01	 4.233E+01	 1.183E+00	 1.723E+00	 1.247E+00	 1.038E+00	 7.311E-01	 3.948E-01	 1.112E-01	 6.141E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.2000	 9.526E+00	-5.500E+00	 0.000E+00	 3.254E+02	-6.544E-03	-1.083E-02	 1.244E-03	-7.893E-03	-1.999E-02	 1.083E-01	-2.239E-01	-3.142E-01	 6.470E+00	 7.632E-01	 1.812E+03	 3.105E-02	 8.646E-02	-2.407E-02	-5.741E-02	 6.412E-01	 2.272E+00	-2.104E-01	 4.705E-01	-1.101E-01	-1.960E-01	 3.798E+00	-5.423E+00	 5.143E+00	 2.354E-02	 6.414E+01	 1.502E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 4.983E-02	 1.062E-01	 1.491E-01	 1.725E-01	 3.794E+01	 1.998E+01	 1.314E+01	 1.028E+01	 1.486E+01	 2.293E+01	 3.208E+01	 4.165E+01	 1.133E+00	 1.173E+00	 1.124E+00	 1.013E+00	 7.657E-01	 2.779E-01	 9.866E-02	 6.483E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.2500	 9.526E+00	-5.500E+00	 0.000E+00	 3.446E+02	-1.119E-02	-1.167E-02	-3.979E-04	-7.407E-03	 3.137E-03	 1.010E-01	-3.123E-01	-3.482E-01	 6.540E+00	 7.543E-01	 1.812E+03	 2.966E-02	 8.382E-02	-3.315E-02	-5.826E-02	 5.019E-01	 1.630E+00	-3.649E-01	 3.626E-02	 1.487E-01	-3.475E-01	 1.763E+00	-6.257E+00	 5.218E+00	 5.961E-02	 6.414E+01	 1.500E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 4.771E-02	 1.056E-01	 1.518E-01	 1.798E-01	 3.896E+01	 2.033E+01	 1.325E+01	 1.029E+01	 1.453E+01	 2.253E+01	 3.166E+01	 4.122E+01	 1.103E+00	 1.033E+00	 1.121E+00	 1.003E+00	 7.820E-01	 2.378E-01	 9.833E-02	 6.333E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.3000	 9.526E+00	-5.500E+00	 0.000E+00	 3.852E+00	-1.545E-02	-9.803E-03	-1.905E-03	-6.917E-03	 2.455E-02	 9.401E-02	-3.863E-01	-3.150E-01	 6.565E+00	 7.162E-01	 1.812E+03	 2.890E-02	 8.361E-02	-4.009E-03	 2.318E-02	 9.365E-02	-1.961E-01	-5.151E-01	-4.008E-01	 3.689E-01	-4.839E-01	-3.839E-01	-6.520E+00	 5.336E+00	 9.209E-02	 6.414E+01	 1.502E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 4.858E-02	 1.105E-01	 1.629E-01	 1.954E-01	 3.891E+01	 2.007E+01	 1.290E+01	 9.929E+00	 1.438E+01	 2.237E+01	 3.150E+01	 4.105E+01	 1.078E+00	 9.875E-01	 1.066E+00	 9.850E-01	 7.750E-01	 2.257E-01	 8.864E-02	 5.684E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.3500	 9.526E+00	-5.500E+00	 0.000E+00	 2.309E+01	-1.466E-02	-8.017E-03	-3.854E-03	-5.488E-03	 5.213E-02	 7.401E-02	-3.637E-01	-2.771E-01	 6.593E+00	 6.808E-01	 1.812E+03	 2.897E-02	 8.494E-02	 1.127E-02	 4.703E-02	 6.027E-01	 1.673E+00	-5.432E-01	-8.644E-01	 6.185E-01	-4.332E-01	-2.501E+00	-5.923E+00	 5.276E+00	 1.045E-01	 6.414E+01	 1.501E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 5.253E-02	 1.209E-01	 1.817E-01	 2.183E-01	 3.779E+01	 1.926E+01	 1.218E+01	 9.280E+00	 1.444E+01	 2.250E+01	 3.165E+01	 4.122E+01	 1.043E+00	 9.359E-01	 1.045E+00	 9.717E-01	 7.194E-01	 1.892E-01	 7.525E-02	 4.707E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   10.4000	 9.526E+00	-5.500E+00	 0.000E+00	 4.234E+01	-1.075E-02	-8.529E-03	-5.847E-03	-3.795E-03	 7.998E-02	 5.015E-02	-2.939E-01	-2.889E-01	 6.312E+00	 7.100E-01	 1.812E+03	 3.016E-02	 8.905E-02	 2.790E-02	 8.325E-02	-1.727E-01	-1.578E+00	-4.317E-01	-1.288E+00	 8.454E-01	-2.920E-01	-4.428E+00	-4.851E+00	 5.502E+00	 8.681E-02	 6.414E+01	 1.502E+01	 6.140E+00	 5.390E+00	 3.990E+00	 2.590E+00	 5.954E-02	 1.366E-01	 2.075E-01	 2.444E-01	 3.578E+01	 1.802E+01	 1.120E+01	 8.552E+00	 1.472E+01	 2.289E+01	 3.208E+01	 4.167E+01	 9.900E-01	 8.996E-01	 1.036E+00	 9.655E-01	 5.947E-01	 1.644E-01	 5.868E-02	 3.675E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
