
Predictions were generated on 05-Nov-2019 at 13:41:26 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #05: AWT-27CR2 with many DOFs with startup and shutdown and FF turbulence.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	TipDxb1   	TipDyb1   	TipRDxb1  	TipRDyb1  	Spn3ALxb1 	Spn3ALyb1 	RotSpeed  	LSSGagV   	HSShftV   	RootFxb2  	RootFyb2  	Spn2MLxb1 	Spn2MLyb1 	LSShftTq  	HSShftTq  	LSShftPwr 	HSShftPwr 	YawBrFxn  	YawBrFyn  	YawBrFzn  	GenTq     	GenPwr    
(s)       	(m/s)     	(m/s)     	(m/s)     	(m)       	(m)       	(deg)     	(deg)     	(m/s^2)   	(m/s^2)   	(rpm)     	(rpm)     	(rpm)     	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kW)      	(kW)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kW)      
    5.0000	 1.200E+01	-0.000E+00	 0.000E+00	 5.850E-02	-7.645E-03	 5.291E-02	 5.039E-01	 1.735E-02	 6.459E-03	 1.801E-01	 1.801E-01	 4.051E+00	 2.892E+00	 1.314E-01	-4.326E-01	 5.718E+00	 3.532E-02	 1.570E-03	 6.660E-04	 6.660E-04	 1.610E+00	 6.632E-02	-7.178E+01	 0.000E+00	 0.000E+00
    5.0400	 1.200E+01	-0.000E+00	 0.000E+00	 5.881E-02	-7.689E-03	 5.325E-02	 5.074E-01	 1.317E-02	 7.461E-03	 1.805E-01	 1.805E-01	 4.062E+00	 2.903E+00	 1.341E-01	-4.290E-01	 5.747E+00	 3.815E-02	 1.695E-03	 7.212E-04	 7.211E-04	 1.540E+00	 6.784E-02	-7.178E+01	 0.000E+00	 0.000E+00
    5.0800	 1.200E+01	-0.000E+00	 0.000E+00	 5.905E-02	-7.725E-03	 5.352E-02	 5.099E-01	 1.015E-02	 8.179E-03	 1.810E-01	 1.810E-01	 4.073E+00	 2.914E+00	 1.369E-01	-4.252E-01	 5.768E+00	 3.827E-02	 1.701E-03	 7.254E-04	 7.254E-04	 1.510E+00	 6.927E-02	-7.179E+01	 0.000E+00	 0.000E+00
    5.1200	 1.200E+01	-0.000E+00	 0.000E+00	 5.917E-02	-7.746E-03	 5.367E-02	 5.109E-01	 1.019E-02	 8.639E-03	 1.815E-01	 1.815E-01	 4.083E+00	 2.924E+00	 1.399E-01	-4.208E-01	 5.777E+00	 3.486E-02	 1.549E-03	 6.624E-04	 6.625E-04	 1.520E+00	 7.055E-02	-7.179E+01	 0.000E+00	 0.000E+00
    5.1600	 1.200E+01	-0.000E+00	 0.000E+00	 5.917E-02	-7.755E-03	 5.372E-02	 5.105E-01	 1.222E-02	 8.841E-03	 1.819E-01	 1.819E-01	 4.092E+00	 2.933E+00	 1.430E-01	-4.159E-01	 5.777E+00	 2.847E-02	 1.265E-03	 5.422E-04	 5.423E-04	 1.568E+00	 7.168E-02	-7.179E+01	 0.000E+00	 0.000E+00
    5.2000	 1.200E+01	-0.000E+00	 0.000E+00	 5.913E-02	-7.759E-03	 5.374E-02	 5.096E-01	 1.286E-02	 8.772E-03	 1.822E-01	 1.822E-01	 4.100E+00	 2.943E+00	 1.462E-01	-4.110E-01	 5.774E+00	 2.075E-02	 9.222E-04	 3.958E-04	 3.959E-04	 1.651E+00	 7.270E-02	-7.180E+01	 0.000E+00	 0.000E+00
    5.2400	 1.200E+01	-0.000E+00	 0.000E+00	 5.914E-02	-7.769E-03	 5.380E-02	 5.092E-01	 7.910E-03	 8.424E-03	 1.824E-01	 1.824E-01	 4.104E+00	 2.955E+00	 1.494E-01	-4.066E-01	 5.777E+00	 1.377E-02	 6.120E-04	 2.630E-04	 2.631E-04	 1.764E+00	 7.364E-02	-7.180E+01	 0.000E+00	 0.000E+00
    5.2800	 1.200E+01	-0.000E+00	 0.000E+00	 5.929E-02	-7.795E-03	 5.397E-02	 5.103E-01	-5.770E-03	 7.818E-03	 1.825E-01	 1.826E-01	 4.108E+00	 2.971E+00	 1.524E-01	-4.032E-01	 5.793E+00	 9.268E-03	 4.119E-04	 1.772E-04	 1.772E-04	 1.900E+00	 7.457E-02	-7.180E+01	 0.000E+00	 0.000E+00
    5.3200	 1.200E+01	-0.000E+00	 0.000E+00	 5.960E-02	-7.841E-03	 5.430E-02	 5.131E-01	-2.889E-02	 7.013E-03	 1.827E-01	 1.827E-01	 4.110E+00	 2.990E+00	 1.552E-01	-4.009E-01	 5.824E+00	 8.024E-03	 3.566E-04	 1.535E-04	 1.535E-04	 2.049E+00	 7.551E-02	-7.181E+01	 0.000E+00	 0.000E+00
