
Predictions were generated on 06-Nov-2020 at 16:22:00 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #03: AWT-27CR2 with many DOFs with free yaw and steady wind.

Time	Wind1VelX	Wind1VelY	Wind1VelZ	Azimuth	TeetDefl	RotTeetV	RotTeetA	OoPDefl2	IPDefl2	RootMOoP2	RootMIP2	RotTorq	YawBrTDxp	YawBrTDyp	YawBrTAxp	YawBrTAyp	NacYaw	NacYawV	NacYawA	LSSGagMys	LSSGagMzs	TwrBsMxt	TwrBsMyt	B1N3VUndx	B1N3VUndy	B1N3VUndz	B1N3VDisx	B1N3VDisy	B1N3VDisz	B1N3STVx	B1N3STVy	B1N3STVz
(s)	(m/s)	(m/s)	(m/s)	(deg)	(deg)	(deg/s)	(deg/s^2)	(m)	(m)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m/s^2)	(m/s^2)	(deg)	(deg/s)	(deg/s^2)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)
   10.0000	 1.039E+01	-6.000E+00	 0.000E+00	 1.499E+01	 4.199E-01	 4.391E+00	-4.130E+01	 1.515E-01	-2.005E-02	 3.357E+01	 7.454E+00	 3.456E+01	 4.446E-02	-2.361E-02	-1.166E-02	 6.937E-02	-2.566E+01	 3.756E-02	-1.427E+01	 8.173E+00	-1.867E+00	 5.996E+02	 1.151E+03	 1.245E+01	-9.204E-01	 2.138E+00	 1.245E+01	-9.204E-01	 2.138E+00	 8.322E-01	-7.745E+01	-1.257E-01
   10.0200	 1.039E+01	-6.000E+00	 0.000E+00	 2.151E+01	 4.994E-01	 3.605E+00	-2.971E+01	 1.470E-01	-1.951E-02	 3.544E+01	 6.796E+00	 3.444E+01	 4.404E-02	-2.357E-02	 8.663E-02	 3.229E-02	-2.566E+01	-2.141E-01	-1.043E+01	 8.062E+00	-2.137E+00	 6.014E+02	 1.139E+03	 1.241E+01	-8.819E-01	 2.231E+00	 1.241E+01	-8.819E-01	 2.231E+00	 7.780E-01	-7.744E+01	-1.278E-01
   10.0400	 1.039E+01	-6.000E+00	 0.000E+00	 2.802E+01	 5.669E-01	 3.189E+00	-1.665E+01	 1.416E-01	-1.952E-02	 3.674E+01	 6.715E+00	 3.540E+01	 4.366E-02	-2.352E-02	 1.287E-01	 1.134E-02	-2.566E+01	-3.823E-01	-6.879E+00	 8.256E+00	-2.306E+00	 5.994E+02	 1.123E+03	 1.237E+01	-8.309E-01	 2.324E+00	 1.237E+01	-8.309E-01	 2.324E+00	 8.527E-01	-7.747E+01	-1.304E-01
   10.0600	 1.039E+01	-6.000E+00	 0.000E+00	 3.453E+01	 6.271E-01	 2.815E+00	-2.027E+01	 1.383E-01	-1.902E-02	 3.670E+01	 5.499E+00	 3.666E+01	 4.333E-02	-2.346E-02	 1.016E-01	 3.672E-02	-2.567E+01	-5.149E-01	-7.029E+00	 8.753E+00	-2.652E+00	 5.933E+02	 1.106E+03	 1.231E+01	-7.687E-01	 2.432E+00	 1.231E+01	-7.687E-01	 2.432E+00	 9.135E-01	-7.751E+01	-1.353E-01
   10.0800	 1.039E+01	-6.000E+00	 0.000E+00	 4.104E+01	 6.797E-01	 2.468E+00	-1.209E+01	 1.376E-01	-1.769E-02	 3.577E+01	 3.019E+00	 3.728E+01	 4.303E-02	-2.338E-02	 6.181E-02	 8.212E-02	-2.569E+01	-6.810E-01	-9.750E+00	 9.551E+00	-3.049E+00	 5.859E+02	 1.093E+03	 1.225E+01	-6.962E-01	 2.542E+00	 1.225E+01	-6.962E-01	 2.542E+00	 8.496E-01	-7.752E+01	-1.407E-01
   10.1000	 1.039E+01	-6.000E+00	 0.000E+00	 4.756E+01	 7.273E-01	 2.330E+00	-3.233E+00	 1.387E-01	-1.600E-02	 3.528E+01	-8.195E-02	 3.701E+01	 4.277E-02	-2.327E-02	 7.195E-02	 9.841E-02	-2.570E+01	-8.992E-01	-1.166E+01	 1.064E+01	-3.220E+00	 5.807E+02	 1.088E+03	 1.218E+01	-6.149E-01	 2.636E+00	 1.218E+01	-6.149E-01	 2.636E+00	 6.718E-01	-7.750E+01	-1.440E-01
   10.1200	 1.039E+01	-6.000E+00	 0.000E+00	 5.407E+01	 7.733E-01	 2.254E+00	-5.961E+00	 1.405E-01	-1.469E-02	 3.593E+01	-2.717E+00	 3.642E+01	 4.253E-02	-2.313E-02	 1.356E-01	 6.624E-02	-2.572E+01	-1.125E+00	-1.036E+01	 1.170E+01	-3.062E+00	 5.786E+02	 1.089E+03	 1.211E+01	-5.260E-01	 2.701E+00	 1.211E+01	-5.260E-01	 2.701E+00	 4.537E-01	-7.747E+01	-1.452E-01
   10.1400	 1.039E+01	-6.000E+00	 0.000E+00	 6.059E+01	 8.166E-01	 2.055E+00	-1.425E+01	 1.428E-01	-1.424E-02	 3.718E+01	-4.063E+00	 3.618E+01	 4.235E-02	-2.296E-02	 1.984E-01	 8.222E-03	-2.575E+01	-1.294E+00	-6.082E+00	 1.245E+01	-2.637E+00	 5.772E+02	 1.090E+03	 1.204E+01	-4.313E-01	 2.741E+00	 1.204E+01	-4.313E-01	 2.741E+00	 2.665E-01	-7.742E+01	-1.456E-01
   10.1600	 1.039E+01	-6.000E+00	 0.000E+00	 6.710E+01	 8.543E-01	 1.679E+00	-2.352E+01	 1.455E-01	-1.451E-02	 3.810E+01	-4.234E+00	 3.649E+01	 4.224E-02	-2.278E-02	 2.092E-01	-3.693E-02	-2.577E+01	-1.362E+00	-8.099E-01	 1.285E+01	-2.089E+00	 5.734E+02	 1.086E+03	 1.196E+01	-3.327E-01	 2.765E+00	 1.196E+01	-3.327E-01	 2.765E+00	 1.290E-01	-7.739E+01	-1.468E-01
