                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.279691       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -5.51748480053920e-03
 9.99429683992583e-01 -5.40084687740042e-03
 9.98063017832965e-01 -5.12466281842440e-03
 9.95573914266674e-01 -4.63363895695329e-03
 9.92086309749559e-01 -3.97152112847393e-03
 9.87686148675057e-01 -3.17887272493565e-03
 9.82330525170640e-01 -2.27769374955335e-03
 9.76011908335692e-01 -1.30301522011881e-03
 9.68787467298381e-01 -3.04127092781767e-04
 9.60674860259240e-01  6.73460012486549e-04
 9.51675358763677e-01  1.58345611664178e-03
 9.41827652746244e-01  2.37415534066857e-03
 9.31175295355131e-01  2.94244654321979e-03
 9.19730397431178e-01  3.22464774541869e-03
 9.07524559194720e-01  3.20302157582765e-03
 8.94610408070308e-01  2.92414674121894e-03
 8.81009696499435e-01  2.16693387498612e-03
 8.66747905197194e-01  1.02269729148249e-03
 8.51890258171205e-01 -7.30375688316708e-04
 8.36469462621421e-01 -3.02797080813796e-03
 8.20513485943698e-01 -5.83090878699311e-03
 8.04073832217581e-01 -9.18607776993902e-03
 7.87191529885653e-01 -1.31421422664761e-02
 7.69897919101553e-01 -1.75798480596211e-02
 7.52252341235159e-01 -2.25895889972296e-02
 7.34291349178558e-01 -2.79901554393939e-02
 7.16044924955764e-01 -3.37764595578091e-02
 6.97571640033109e-01 -3.99142321614885e-02
 6.78906186433687e-01 -4.62968919166715e-02
 6.60080312620540e-01 -5.29201854515990e-02
 6.41147517137212e-01 -5.96199821905190e-02
 6.22137650968852e-01 -6.64839535819747e-02
 6.03087998194415e-01 -7.32831364156466e-02
 5.84045042118975e-01 -8.00851614373362e-02
 5.65030897687003e-01 -8.67529543562212e-02
 5.46088602779599e-01 -9.33038157116782e-02
 5.27248673916899e-01 -9.96543244456973e-02
 5.08535950506088e-01 -1.05804051839738e-01
 4.89992355470388e-01 -1.11730594354067e-01
 4.71632114506831e-01 -1.17340745489322e-01
 4.53492503744347e-01 -1.22612402837556e-01
 4.35593302897673e-01 -1.27592171390265e-01
 4.17956065616942e-01 -1.32152723849397e-01
 4.00609748442576e-01 -1.36355063054909e-01
 3.83560931606009e-01 -1.40146496528105e-01
 3.66843215733716e-01 -1.43401375997740e-01
 3.50457316320503e-01 -1.46245320772227e-01
 3.34434484008630e-01 -1.48510282103272e-01
 3.18774100329315e-01 -1.50251189125847e-01
 3.03499623121295e-01 -1.51380104181333e-01
 2.88611293565648e-01 -1.51904476329573e-01
 2.74124386665666e-01 -1.51823551387104e-01
 2.60041455523719e-01 -1.51152089869425e-01
 2.46374872015917e-01 -1.49836203944578e-01
 2.33123443938834e-01 -1.48016184989839e-01
 2.20293777810423e-01 -1.45755115644554e-01
 2.07883282965331e-01 -1.43071857243189e-01
 1.95902956391646e-01 -1.40007063973103e-01
 1.84341253066628e-01 -1.36687027749014e-01
 1.73213930954160e-01 -1.33142795962869e-01
 1.62499176129638e-01 -1.29443624568696e-01
 1.52214602777260e-01 -1.25592499636111e-01
 1.42331759398971e-01 -1.21583881283260e-01
 1.32872111539190e-01 -1.17552241535274e-01
 1.23806439629760e-01 -1.13395724795994e-01
 1.15147623386077e-01 -1.09197075856460e-01
 1.06887208802748e-01 -1.04988615827689e-01
 9.90071115215634e-02 -1.00745131460018e-01
 9.15234043853439e-02 -9.65718902773147e-02
 8.43970428172224e-02 -9.23957449407802e-02
 7.76464790199521e-02 -8.82172038044043e-02
 7.12479082120209e-02 -8.41373635966107e-02
 6.51878662973747e-02 -8.01420519684349e-02
 5.94874721274202e-02 -7.61721280808558e-02
 5.41002464180900e-02 -7.22327643372240e-02
 4.90378786701877e-02 -6.83653644224699e-02
 4.43003497573338e-02 -6.45753117354922e-02
 3.98423597346806e-02 -6.08473523517341e-02
 3.56899752436130e-02 -5.71930944836631e-02
 3.18292350050658e-02 -5.36584785861034e-02
 2.82200072057899e-02 -5.01997716500698e-02
 2.48925247792699e-02 -4.68281774443282e-02
 2.18286683030034e-02 -4.35621099277560e-02
 1.89846947131331e-02 -4.03564320122759e-02
 1.63921917020335e-02 -3.72179827270955e-02
 1.40446346341990e-02 -3.42976924910763e-02
 1.18798249846349e-02 -3.14083215903826e-02
 9.93094518736223e-03 -2.86001761696567e-02
 8.21940795734749e-03 -2.59732510610950e-02
 6.65838622137879e-03 -2.33324832478754e-02
 5.26774192850643e-03 -2.06411044207415e-02
 4.09515753852961e-03 -1.81035758080877e-02
 3.09878859713640e-03 -1.56735897933922e-02
 2.19660773551101e-03 -1.32548873558082e-02
 1.46264176301869e-03 -1.07597962738521e-02
 9.64484608297914e-04 -8.73387119052550e-03
 5.99373867982851e-04 -6.86031933650863e-03
 2.90086645599082e-04 -4.74262762456028e-03
 7.80707788302466e-05 -2.08931040692650e-03
 0.00000000000000e+00  0.00000000000000e+00
 7.80412061165972e-05  2.05041396967259e-03
 2.89878724192004e-04  4.66134178715423e-03
 5.98775316682048e-04  6.98904079325969e-03
 9.63326351634835e-04  8.71982857286091e-03
 1.45966821282819e-03  1.04498018457955e-02
 2.19097636449990e-03  1.25588334127525e-02
 3.08997841959778e-03  1.47288624211018e-02
 4.08271112470316e-03  1.67730623443365e-02
 5.24853124383664e-03  1.88647034935510e-02
 6.63128223001261e-03  2.10574240881491e-02
 8.18368429859057e-03  2.32853600023497e-02
 9.88361416849065e-03  2.55445479406479e-02
 1.18176401547236e-02  2.79844597496961e-02
 1.39661993216829e-02  3.05283951637042e-02
 1.62951420791042e-02  3.30484024039604e-02
 1.88631937781153e-02  3.56815825149057e-02
 2.16807137532775e-02  3.84879855350354e-02
 2.47159162958630e-02  4.12456641695120e-02
 2.80064400105862e-02  4.40467064458190e-02
 3.15762558914965e-02  4.69643634470899e-02
 3.53948396168776e-02  4.99611516500591e-02
 3.94949825480075e-02  5.30266563957355e-02
 4.38979282781582e-02  5.61416580461575e-02
 4.85758075737765e-02  5.92894913194996e-02
 5.35679916138119e-02  6.24908250572981e-02
 5.88818211488708e-02  6.57058416259835e-02
 6.45001629027312e-02  6.89585274082193e-02
 7.04692046391145e-02  7.22496703818392e-02
 7.67740309924711e-02  7.56268127672679e-02
 8.34162127168367e-02  7.89090680628345e-02
 9.04290195190654e-02  8.22654392616799e-02
 9.77906533229447e-02  8.55938764601710e-02
 1.05536187198748e-01  8.89007362941338e-02
 1.13658760041779e-01  9.22145753258705e-02
 1.22161483318940e-01  9.55045966768516e-02
 1.31067498602735e-01  9.87500039873816e-02
 1.40354649921884e-01  1.01895821766587e-01
 1.50055110786138e-01  1.05038389158935e-01
 1.60148962661562e-01  1.08067213747100e-01
 1.70658187899640e-01  1.10966161200487e-01
 1.81574957422924e-01  1.13785919739761e-01
 1.92907571409635e-01  1.16418216617022e-01
 2.04657634577812e-01  1.18992689455114e-01
 2.16817353069425e-01  1.21395605321298e-01
 2.29396483963478e-01  1.23504486727969e-01
 2.42377800694080e-01  1.25465294886683e-01
 2.55773624268338e-01  1.27079589713318e-01
 2.69566785632899e-01  1.28547639958252e-01
 2.83765797226135e-01  1.29701282639398e-01
 2.98347982887804e-01  1.30580428987853e-01
 3.13318978785268e-01  1.31197968120355e-01
 3.28658461892810e-01  1.31460032163360e-01
 3.44364941645546e-01  1.31436371972142e-01
 3.60419773725681e-01  1.31110801769734e-01
 3.76811233766957e-01  1.30397709280331e-01
 3.93525251020729e-01  1.29397595672504e-01
 4.10538642553571e-01  1.28077951645897e-01
 4.27843232490823e-01  1.26529241983145e-01
 4.45406663468198e-01  1.24657664338226e-01
 4.63222254103030e-01  1.22579983329892e-01
 4.81251545655716e-01  1.20243185086724e-01
 4.99481026671737e-01  1.17654495518052e-01
 5.17879583085697e-01  1.14883596596785e-01
 5.36417631367010e-01  1.11892954543184e-01
 5.55075704909560e-01  1.08730183008051e-01
 5.73808427242608e-01  1.05397978048436e-01
 5.92596731105059e-01  1.01895962369584e-01
 6.11401377553511e-01  9.82901347172860e-02
 6.30186430605241e-01  9.45067577004587e-02
 6.48926781663159e-01  9.06644132428391e-02
 6.67570206424973e-01  8.67071576137155e-02
 6.86088429590952e-01  8.27076464824415e-02
 7.04445389043917e-01  7.86729723698910e-02
 7.22592093722966e-01  7.46095421320032e-02
 7.40501800453524e-01  7.05805441822176e-02
 7.58125457122835e-01  6.65361700022172e-02
 7.75421014376153e-01  6.25237630101660e-02
 7.92362373587600e-01  5.85582198700114e-02
 8.08894546151696e-01  5.46321999468315e-02
 8.24974633014891e-01  5.08807653261857e-02
 8.40576952273409e-01  4.71055268859867e-02
 8.55652758808818e-01  4.35570687176308e-02
 8.70162898882712e-01  4.00936404439585e-02
 8.84085033071272e-01  3.67885574953934e-02
 8.97361214262371e-01  3.36580765077726e-02
 9.09954680076662e-01  3.05932128537675e-02
 9.21851471402547e-01  2.76494961198763e-02
 9.33012836658427e-01  2.48669402373630e-02
 9.43389278969050e-01  2.22820903372947e-02
 9.52973153850560e-01  1.97070832146313e-02
 9.61743130827061e-01  1.72786298227041e-02
 9.69640690675464e-01  1.50233853232517e-02
 9.76664215898664e-01  1.29565581598689e-02
 9.82815077112014e-01  1.10945923010450e-02
 9.88028440045103e-01  9.47548957071761e-03
 9.92304836603751e-01  8.11761651392321e-03
 9.95693518775914e-01  7.02165944014395e-03
 9.98120489340015e-01  6.22550439547261e-03
 9.99443037908705e-01  5.78760695747989e-03
 1.00000000000000e+00  5.60233057461023e-03
