
Predictions were generated on 05-Feb-2026 at 19:17:08 using AA AeroAcoustics

Number of observers      :2;  Number of frequencies    :34
Description from AA input file, line2: IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT

     Time           	Obs1_Freq10         	Obs1_Freq12.5       	Obs1_Freq16         	Obs1_Freq20         	Obs1_Freq25         	Obs1_Freq31.5       	Obs1_Freq40         	Obs1_Freq50         	Obs1_Freq63         	Obs1_Freq80         	Obs1_Freq100        	Obs1_Freq125        	Obs1_Freq160        	Obs1_Freq200        	Obs1_Freq250        	Obs1_Freq315        	Obs1_Freq400        	Obs1_Freq500        	Obs1_Freq630        	Obs1_Freq800        	Obs1_Freq1000       	Obs1_Freq1250       	Obs1_Freq1600       	Obs1_Freq2000       	Obs1_Freq2500       	Obs1_Freq3150       	Obs1_Freq4000       	Obs1_Freq5000       	Obs1_Freq6300       	Obs1_Freq8000       	Obs1_Freq10000      	Obs1_Freq12500      	Obs1_Freq16000      	Obs1_Freq20000      	Obs2_Freq10         	Obs2_Freq12.5       	Obs2_Freq16         	Obs2_Freq20         	Obs2_Freq25         	Obs2_Freq31.5       	Obs2_Freq40         	Obs2_Freq50         	Obs2_Freq63         	Obs2_Freq80         	Obs2_Freq100        	Obs2_Freq125        	Obs2_Freq160        	Obs2_Freq200        	Obs2_Freq250        	Obs2_Freq315        	Obs2_Freq400        	Obs2_Freq500        	Obs2_Freq630        	Obs2_Freq800        	Obs2_Freq1000       	Obs2_Freq1250       	Obs2_Freq1600       	Obs2_Freq2000       	Obs2_Freq2500       	Obs2_Freq3150       	Obs2_Freq4000       	Obs2_Freq5000       	Obs2_Freq6300       	Obs2_Freq8000       	Obs2_Freq10000      	Obs2_Freq12500      	Obs2_Freq16000      	Obs2_Freq20000      
      (s)           	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 	SPL                 
         0.0000	  2.729388E+001	  2.944809E+001	  3.177801E+001	  3.386704E+001	  3.596001E+001	  3.812489E+001	  4.028284E+001	  4.217195E+001	  4.399029E+001	  4.575374E+001	  4.733348E+001	  4.865738E+001	  4.904175E+001	  4.789476E+001	  4.588834E+001	  4.422368E+001	  4.316953E+001	  4.354681E+001	  4.720479E+001	  5.006348E+001	  5.372673E+001	  5.534224E+001	  4.009611E+001	  3.359627E+001	  3.172667E+001	  2.998866E+001	  2.800052E+001	  2.616291E+001	  2.423767E+001	  2.217302E+001	  2.014733E+001	  1.800841E+001	  1.548909E+001	  1.305393E+001	  1.220534E+001	  1.430775E+001	  1.664163E+001	  1.876880E+001	  2.091383E+001	  2.309181E+001	  2.505431E+001	  2.657805E+001	  2.798889E+001	  2.939698E+001	  3.073163E+001	  3.189864E+001	  3.212197E+001	  3.095840E+001	  2.910673E+001	  2.762261E+001	  2.666083E+001	  2.702708E+001	  3.049840E+001	  3.283205E+001	  3.457506E+001	  3.651807E+001	  2.152386E+001	  1.548018E+001	  1.359339E+001	  1.179849E+001	  9.765902E+000	  7.872339E+000	  5.881704E+000	  3.748425E+000	  1.660772E+000	 -5.364605E-001	 -3.114723E+000	 -5.597282E+000
         0.1000	  5.975357E+001	  5.878565E+001	  5.761137E+001	  5.645353E+001	  5.520217E+001	  5.380866E+001	  5.227338E+001	  5.076939E+001	  4.917117E+001	  4.752214E+001	  4.607581E+001	  4.484819E+001	  4.386679E+001	  4.342565E+001	  4.316808E+001	  4.291462E+001	  4.258608E+001	  4.259526E+001	  4.507428E+001	  4.972611E+001	  5.550441E+001	  5.652890E+001	  4.109621E+001	  3.406880E+001	  3.207293E+001	  3.029012E+001	  2.823059E+001	  2.631883E+001	  2.432161E+001	  2.219700E+001	  2.013501E+001	  1.798255E+001	  1.547540E+001	  1.307318E+001	  4.073574E+001	  3.974915E+001	  3.855584E+001	  3.738536E+001	  3.613333E+001	  3.477067E+001	  3.333624E+001	  3.200183E+001	  3.065418E+001	  2.935119E+001	  2.836500E+001	  2.792175E+001	  2.765036E+001	  2.770545E+001	  2.769501E+001	  2.751339E+001	  2.718555E+001	  2.721981E+001	  2.960770E+001	  3.398832E+001	  3.825537E+001	  3.865400E+001	  2.347418E+001	  1.696717E+001	  1.494222E+001	  1.306946E+001	  1.092894E+001	  8.919139E+000	  6.809624E+000	  4.570275E+000	  2.409917E+000	  1.723043E-001	 -2.410659E+000	 -4.864238E+000
         0.2000	  5.988094E+001	  5.891764E+001	  5.774850E+001	  5.659496E+001	  5.534694E+001	  5.395402E+001	  5.241230E+001	  5.089020E+001	  4.925355E+001	  4.754282E+001	  4.602880E+001	  4.476178E+001	  4.383419E+001	  4.342930E+001	  4.321095E+001	  4.310010E+001	  4.291737E+001	  4.275770E+001	  4.500566E+001	  5.007571E+001	  5.483359E+001	  5.711871E+001	  4.158894E+001	  3.427014E+001	  3.222307E+001	  3.044470E+001	  2.838637E+001	  2.647704E+001	  2.448475E+001	  2.236718E+001	  2.031278E+001	  1.816832E+001	  1.567001E+001	  1.327560E+001	  4.109644E+001	  4.012568E+001	  3.895106E+001	  3.779883E+001	  3.656651E+001	  3.522564E+001	  3.381781E+001	  3.250994E+001	  3.118631E+001	  2.992517E+001	  2.905097E+001	  2.890277E+001	  2.905047E+001	  2.933562E+001	  2.946913E+001	  2.952330E+001	  2.944996E+001	  2.925162E+001	  3.136163E+001	  3.621540E+001	  3.920503E+001	  4.064496E+001	  2.539053E+001	  1.868245E+001	  1.660456E+001	  1.471547E+001	  1.255645E+001	  1.052498E+001	  8.392952E+000	  6.133053E+000	  3.957130E+000	  1.707878E+000	 -8.834335E-001	 -3.340772E+000
         0.3000	  5.988544E+001	  5.892149E+001	  5.775166E+001	  5.659765E+001	  5.534934E+001	  5.395665E+001	  5.241641E+001	  5.089454E+001	  4.926569E+001	  4.756244E+001	  4.605377E+001	  4.479714E+001	  4.388575E+001	  4.353303E+001	  4.339266E+001	  4.326391E+001	  4.293633E+001	  4.274116E+001	  4.508140E+001	  5.011204E+001	  5.440284E+001	  5.665618E+001	  4.120823E+001	  3.413500E+001	  3.213537E+001	  3.035667E+001	  2.830167E+001	  2.639765E+001	  2.441174E+001	  2.230085E+001	  2.025183E+001	  1.811095E+001	  1.561362E+001	  1.321705E+001	  4.159973E+001	  4.064308E+001	  3.948735E+001	  3.835824E+001	  3.716111E+001	  3.588396E+001	  3.459341E+001	  3.344234E+001	  3.230035E+001	  3.125002E+001	  3.059318E+001	  3.070581E+001	  3.104893E+001	  3.154047E+001	  3.171648E+001	  3.172328E+001	  3.150262E+001	  3.145462E+001	  3.386766E+001	  3.839642E+001	  4.062609E+001	  4.172004E+001	  2.665978E+001	  2.037287E+001	  1.834084E+001	  1.643281E+001	  1.426040E+001	  1.221483E+001	  1.006751E+001	  7.792671E+000	  5.603811E+000	  3.341988E+000	  7.361700E-001	 -1.735561E+000
         0.4000	  5.982362E+001	  5.885725E+001	  5.768470E+001	  5.652823E+001	  5.527764E+001	  5.388334E+001	  5.234291E+001	  5.082466E+001	  4.919522E+001	  4.751263E+001	  4.600842E+001	  4.473904E+001	  4.378056E+001	  4.336535E+001	  4.320044E+001	  4.297336E+001	  4.264749E+001	  4.249886E+001	  4.504561E+001	  5.004382E+001	  5.485194E+001	  5.606396E+001	  4.071919E+001	  3.393814E+001	  3.198847E+001	  3.020292E+001	  2.814865E+001	  2.624312E+001	  2.425290E+001	  2.213555E+001	  2.007931E+001	  1.793043E+001	  1.542352E+001	  1.301756E+001	  4.217574E+001	  4.123195E+001	  4.009632E+001	  3.899720E+001	  3.785505E+001	  3.669070E+001	  3.560696E+001	  3.472821E+001	  3.388452E+001	  3.311922E+001	  3.267433E+001	  3.290398E+001	  3.332800E+001	  3.379291E+001	  3.414593E+001	  3.396208E+001	  3.362959E+001	  3.353088E+001	  3.654749E+001	  4.081384E+001	  4.287595E+001	  4.267135E+001	  2.791838E+001	  2.219102E+001	  2.020355E+001	  1.826137E+001	  1.606362E+001	  1.398603E+001	  1.179934E+001	  9.481473E+000	  7.253257E+000	  4.954683E+000	  2.312251E+000	 -1.890044E-001
         0.5000	  5.974986E+001	  5.878141E+001	  5.760649E+001	  5.644792E+001	  5.519549E+001	  5.380018E+001	  5.226112E+001	  5.074952E+001	  4.914457E+001	  4.749356E+001	  4.604616E+001	  4.483037E+001	  4.386244E+001	  4.340572E+001	  4.318142E+001	  4.287428E+001	  4.244444E+001	  4.233491E+001	  4.508572E+001	  4.968680E+001	  5.544009E+001	  5.562761E+001	  4.034719E+001	  3.374100E+001	  3.181918E+001	  3.002688E+001	  2.797392E+001	  2.606865E+001	  2.407708E+001	  2.195685E+001	  1.989670E+001	  1.774270E+001	  1.522868E+001	  1.281491E+001	  4.233518E+001	  4.139765E+001	  4.028160E+001	  3.922591E+001	  3.818058E+001	  3.722626E+001	  3.653173E+001	  3.617016E+001	  3.593625E+001	  3.574429E+001	  3.567683E+001	  3.594329E+001	  3.626376E+001	  3.665664E+001	  3.699476E+001	  3.680294E+001	  3.638608E+001	  3.637972E+001	  3.949521E+001	  4.281019E+001	  4.540612E+001	  4.348426E+001	  2.915811E+001	  2.400532E+001	  2.200809E+001	  1.999300E+001	  1.772860E+001	  1.556885E+001	  1.328292E+001	  1.085685E+001	  8.529954E+000	  6.141222E+000	  3.414298E+000	  8.525155E-001
         0.6000	  5.988810E+001	  5.891753E+001	  5.774050E+001	  5.658111E+001	  5.533111E+001	  5.394698E+001	  5.244032E+001	  5.100041E+001	  4.954851E+001	  4.822687E+001	  4.731489E+001	  4.676548E+001	  4.643690E+001	  4.619492E+001	  4.560461E+001	  4.449198E+001	  4.339373E+001	  4.310176E+001	  4.564408E+001	  4.999857E+001	  5.492832E+001	  5.517799E+001	  3.996499E+001	  3.353239E+001	  3.164616E+001	  2.986690E+001	  2.784568E+001	  2.597489E+001	  2.401782E+001	  2.192692E+001	  1.988437E+001	  1.773596E+001	  1.521326E+001	  1.277941E+001	  4.235831E+001	  4.145669E+001	  4.043810E+001	  3.957887E+001	  3.892805E+001	  3.869749E+001	  3.905069E+001	  3.978345E+001	  4.074215E+001	  4.177276E+001	  4.262520E+001	  4.316679E+001	  4.324781E+001	  4.294494E+001	  4.229923E+001	  4.149836E+001	  4.099664E+001	  4.119647E+001	  4.402199E+001	  4.602988E+001	  4.366208E+001	  4.393444E+001	  3.066503E+001	  2.650513E+001	  2.452080E+001	  2.246225E+001	  2.018608E+001	  1.799807E+001	  1.566148E+001	  1.315779E+001	  1.073087E+001	  8.213176E+000	  5.312742E+000	  2.574192E+000
         0.7000	  6.008156E+001	  5.910925E+001	  5.793306E+001	  5.678133E+001	  5.555571E+001	  5.423788E+001	  5.288779E+001	  5.172289E+001	  5.073397E+001	  5.007704E+001	  4.983554E+001	  4.965061E+001	  4.899454E+001	  4.776569E+001	  4.618069E+001	  4.463950E+001	  4.372354E+001	  4.452984E+001	  4.744287E+001	  4.934964E+001	  5.598315E+001	  5.485009E+001	  3.967916E+001	  3.336420E+001	  3.151245E+001	  2.975404E+001	  2.776636E+001	  2.592510E+001	  2.399149E+001	  2.191495E+001	  1.987611E+001	  1.772238E+001	  1.518465E+001	  1.273065E+001	  4.259932E+001	  4.185099E+001	  4.117036E+001	  4.087420E+001	  4.110865E+001	  4.203575E+001	  4.352063E+001	  4.508531E+001	  4.671887E+001	  4.830515E+001	  4.952787E+001	  5.010272E+001	  4.946383E+001	  4.768394E+001	  4.550102E+001	  4.379885E+001	  4.314013E+001	  4.473582E+001	  4.855456E+001	  4.885215E+001	  4.625867E+001	  4.642266E+001	  3.365788E+001	  2.993438E+001	  2.808674E+001	  2.617832E+001	  2.409129E+001	  2.207863E+001	  1.990477E+001	  1.753358E+001	  1.518489E+001	  1.269237E+001	  9.753133E+000	  6.920805E+000
         0.8000	  6.028110E+001	  5.932000E+001	  5.816121E+001	  5.703504E+001	  5.585744E+001	  5.464754E+001	  5.355302E+001	  5.287987E+001	  5.272607E+001	  5.296328E+001	  5.284343E+001	  5.196858E+001	  5.012446E+001	  4.805124E+001	  4.630394E+001	  4.519861E+001	  4.541754E+001	  4.750844E+001	  4.948893E+001	  4.387269E+001	  5.602074E+001	  5.475313E+001	  3.960965E+001	  3.329387E+001	  3.139242E+001	  2.959543E+001	  2.758347E+001	  2.573548E+001	  2.380654E+001	  2.174181E+001	  1.971687E+001	  1.757768E+001	  1.505548E+001	  1.261434E+001	  4.253925E+001	  4.168962E+001	  4.077369E+001	  4.009789E+001	  3.981141E+001	  4.020741E+001	  4.132869E+001	  4.273217E+001	  4.422045E+001	  4.505460E+001	  4.429144E+001	  4.221400E+001	  3.975486E+001	  3.778637E+001	  3.667896E+001	  3.672523E+001	  3.814516E+001	  4.058110E+001	  4.069968E+001	  3.183473E+001	  4.050339E+001	  4.017548E+001	  2.627978E+001	  2.168166E+001	  1.981403E+001	  1.791281E+001	  1.579664E+001	  1.376139E+001	  1.156939E+001	  9.188674E+000	  6.848784E+000	  4.393021E+000	  1.538205E+000	 -1.172400E+000
