------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
IEA task 37 RWT turbine -- https://github.com/IEAWindTask37/IEA-3.4-130-RWT
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID          BlCax    BlCay    BlCaz    BlCb    BlCenBn    BlCenBt
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)           (-)      (-)      (-)      (-)     (m)        (m)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.999622705006573e+01  2.600000000000000e+00        1    0.0    0.0    0.0    0.0    0.0    0.0
 1.260000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  7.475723968209102e-03  1.971622038012693e+01  2.601872416487109e+00        2    0.0    0.0    0.0    0.0    0.0    0.0
 3.779999999999999e+00  4.931992680752383e-04  0.000000000000000e+00  2.136510248547407e-02  1.879762262221753e+01  2.871358439051420e+00        3    0.0    0.0    0.0    0.0    0.0    0.0
 6.300000000000001e+00  1.879372528769807e-03  0.000000000000000e+00  4.009232971419093e-02  1.751691618261911e+01  3.399541319042856e+00        4    0.0    0.0    0.0    0.0    0.0    0.0
 8.637300000000000e+00  3.892061433553558e-03  0.000000000000000e+00  1.345955451469749e-01  1.607917206787974e+01  3.771631367893458e+00        5    0.0    0.0    0.0    0.0    0.0    0.0
 1.099035000000000e+01  1.289762971827818e-02  0.000000000000000e+00  3.172057150403462e-01  1.396141981464623e+01  4.017385337735492e+00        6    0.0    0.0    0.0    0.0    0.0    0.0
 1.334340000000000e+01  2.994623509887500e-02  0.000000000000000e+00  4.538615543252009e-01  1.142160296867745e+01  4.215677491310331e+00        7    0.0    0.0    0.0    0.0    0.0    0.0
 1.559040000000000e+01  4.933598567813857e-02  0.000000000000000e+00  5.360286453096614e-01  9.348642550089217e+00  4.292608583310536e+00        8    0.0    0.0    0.0    0.0    0.0    0.0
