
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 02-Jan-2025 at 09:46:24.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6            P1FX            P1FY            P1FZ            P2FX            P2FY            P2FZ            P3FX            P3FY            P3FZ            P4FX            P4FY            P4FZ            P5FX            P5FY            P5FZ            P6FX            P6FY            P6FZ            P7FX            P7FY            P7FZ            P7PX            P7PY            P7PZ            P8FX            P8FY            P8FZ            P8PX            P8PY            P8PZ            P9FX            P9FY            P9FZ            P9PX            P9PY            P9PZ           P10FX           P10FY           P10FZ           P10PX           P10PY           P10PZ           P11FX           P11FY           P11FZ           P11PX           P11PY           P11PZ           P12FX           P12FY           P12FZ           P12PX           P12PY           P12PZ          L1N1PZ          L1N2PZ          L1N3PZ          L1N4PZ          L1N5PZ          L1N6PZ          L1N7PZ          L1N8PZ          L1N9PZ         L1N10PZ         L1N11PZ         L1N12PZ         L1N13PZ         L1N14PZ         L1N15PZ         L1N16PZ         L1N17PZ         L1N18PZ         L1N19PZ         L1N20PZ         L1N21PZ         L1N22PZ         L1N23PZ         L1N24PZ         L1N25PZ         L1N26PZ         L1N27PZ         L1N28PZ         L1N29PZ         L1N30PZ          L2N1PZ          L2N2PZ          L2N3PZ          L2N4PZ          L2N5PZ          L2N6PZ          L2N7PZ          L2N8PZ          L2N9PZ         L2N10PZ         L2N11PZ         L2N12PZ         L2N13PZ         L2N14PZ         L2N15PZ         L2N16PZ         L2N17PZ         L2N18PZ         L2N19PZ         L2N20PZ         L2N21PZ         L2N22PZ         L2N23PZ         L2N24PZ         L2N25PZ         L2N26PZ         L2N27PZ         L2N28PZ         L2N29PZ         L2N30PZ
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)
    0.0000   6.0768236E+05   5.3144502E+05   6.0768236E+05   2.1375523E+05   2.2846196E+05   2.1375523E+05   3.9030213E+05   3.0456420E+05   3.9030213E+05   1.4653254E+04   1.7491779E+04   1.4653254E+04   3.6238533E+05   1.4417287E+05  -1.5060046E+04   3.0423044E+05   0.0000000E+00  -1.4254551E+04   3.6238533E+05  -1.4417287E+05  -1.5060046E+04   1.7667352E+02  -7.4861660E+01  -1.4651997E+04   1.0608564E+04   0.0000000E+00  -1.3907578E+04   1.7667352E+02   7.4861660E+01  -1.4651997E+04  -3.6728022E+05  -1.1844852E+05  -4.6941776E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.2165118E+05   0.0000000E+00  -4.2305357E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.6728022E+05   1.1844852E+05  -4.6941776E+05  -1.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.5828453E+04  -6.5071099E+03  -2.1063067E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -4.0557260E+04   0.0000000E+00  -2.2483322E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -3.5828453E+04   6.5071099E+03  -2.1063067E+05   5.4000000E+01   0.0000000E+00  -1.0000000E+01  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003504E+01  -4.9846302E+01  -4.9264881E+01  -4.8281870E+01  -4.6933203E+01  -4.5236679E+01  -4.3208347E+01  -4.0878101E+01  -3.8270863E+01  -3.5407871E+01  -3.2312051E+01  -2.9006316E+01  -2.5504179E+01  -2.1835474E+01  -1.8015164E+01  -1.4066796E+01  -1.0000000E+01  -5.0005579E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005632E+01  -5.0004164E+01  -4.9892909E+01  -4.9297828E+01  -4.8281076E+01  -4.6904309E+01  -4.5185380E+01  -4.3125038E+01  -4.0757431E+01  -3.8118465E+01  -3.5224710E+01  -3.2107170E+01  -2.8801048E+01  -2.5305967E+01  -2.1656347E+01  -1.7871780E+01  -1.3983363E+01  -1.0000000E+01
    0.0030   6.0421546E+05   5.2576664E+05   6.0421427E+05   2.1765621E+05   2.3247412E+05   2.1765637E+05   3.9091164E+05   3.0268550E+05   3.9091164E+05   1.4653228E+04   1.7497588E+04   1.4653228E+04   3.6295682E+05   1.4438639E+05  -1.5060680E+04   3.0234976E+05   0.0000000E+00  -1.4252492E+04   3.6295682E+05  -1.4438639E+05  -1.5060680E+04   1.7465519E+02  -7.4006438E+01  -1.4652000E+04   1.0618152E+04   0.0000000E+00  -1.3907567E+04   1.7465519E+02   7.4006438E+01  -1.4652000E+04  -3.6515088E+05  -1.1778238E+05  -4.6676382E+05  -1.4000000E+01   1.0687603E-09  -1.0000002E+01  -3.1815962E+05  -1.0931431E-04  -4.1857498E+05  -1.4000000E+01   1.0687603E-09  -1.0000002E+01  -3.6515015E+05   1.1778214E+05  -4.6676292E+05  -1.4000000E+01   1.0687603E-09  -1.0000002E+01  -3.6507867E+04  -6.6313965E+03  -2.1447011E+05   5.4000000E+01  -8.7336889E-10  -9.9999987E+00  -4.1292155E+04   3.7757594E-05  -2.2877757E+05   5.4000000E+01  -8.7336889E-10  -9.9999987E+00  -3.6507894E+04   6.6314016E+03  -2.1447026E+05   5.4000000E+01  -8.7336889E-10  -9.9999987E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003503E+01  -4.9846281E+01  -4.9264808E+01  -4.8281861E+01  -4.6933290E+01  -4.5236800E+01  -4.3208546E+01  -4.0878415E+01  -3.8271237E+01  -3.5408186E+01  -3.2312289E+01  -2.9006416E+01  -2.5504165E+01  -2.1835357E+01  -1.8015025E+01  -1.4066704E+01  -1.0000002E+01  -5.0005579E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005632E+01  -5.0004167E+01  -4.9892690E+01  -4.9297373E+01  -4.8280713E+01  -4.6904041E+01  -4.5185124E+01  -4.3125298E+01  -4.0757846E+01  -3.8119009E+01  -3.5225238E+01  -3.2107506E+01  -2.8800961E+01  -2.5305763E+01  -2.1656064E+01  -1.7871562E+01  -1.3983223E+01  -1.0000002E+01
    0.0060   6.0379872E+05   5.2360030E+05   6.0379839E+05   2.1765772E+05   2.3256021E+05   2.1765773E+05   3.9146775E+05   3.0100313E+05   3.9146775E+05   1.4653202E+04   1.7503817E+04   1.4653202E+04   3.6347867E+05   1.4458013E+05  -1.5061257E+04   3.0066560E+05 ***************  -1.4250650E+04   3.6347867E+05  -1.4458013E+05  -1.5061257E+04   1.7264242E+02  -7.3153570E+01  -1.4652002E+04   1.0628430E+04 ***************  -1.3907555E+04   1.7264242E+02   7.3153570E+01  -1.4652002E+04  -3.6490038E+05  -1.1772206E+05  -4.6643555E+05  -1.3999998E+01   3.1906582E-09  -1.0000009E+01  -3.1683858E+05  -3.2423359E-04  -4.1685799E+05  -1.3999998E+01   3.1906582E-09  -1.0000009E+01  -3.6490018E+05   1.1772199E+05  -4.6643530E+05  -1.3999998E+01   3.1906582E-09  -1.0000009E+01  -3.6486333E+04  -6.6283551E+03  -2.1447540E+05   5.4000002E+01  -2.4503377E-09  -9.9999952E+00  -4.1285636E+04   1.0593380E-04  -2.2886622E+05   5.4000002E+01  -2.4503377E-09  -9.9999952E+00  -3.6486334E+04   6.6283554E+03  -2.1447540E+05   5.4000002E+01  -2.4503377E-09  -9.9999952E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003502E+01  -4.9846256E+01  -4.9264733E+01  -4.8281852E+01  -4.6933377E+01  -4.5236920E+01  -4.3208745E+01  -4.0878730E+01  -3.8271610E+01  -3.5408500E+01  -3.2312526E+01  -2.9006512E+01  -2.5504151E+01  -2.1835240E+01  -1.8014888E+01  -1.4066614E+01  -1.0000009E+01  -5.0005579E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005632E+01  -5.0004171E+01  -4.9892466E+01  -4.9296922E+01  -4.8280358E+01  -4.6903779E+01  -4.5184870E+01  -4.3125560E+01  -4.0758266E+01  -3.8119555E+01  -3.5225767E+01  -3.2107846E+01  -2.8800873E+01  -2.5305561E+01  -2.1655784E+01  -1.7871350E+01  -1.3983089E+01  -1.0000009E+01
    0.0090   6.0246467E+05   5.2071786E+05   6.0246407E+05   2.1971046E+05   2.3529367E+05   2.1971047E+05   3.9196615E+05   2.9952854E+05   3.9196615E+05   1.4653176E+04   1.7510342E+04   1.4653176E+04   3.6394685E+05   1.4475252E+05  -1.5061774E+04   2.9918943E+05 ***************  -1.4249037E+04   3.6394685E+05  -1.4475252E+05  -1.5061774E+04   1.7063516E+02  -7.2303033E+01  -1.4652005E+04   1.0639188E+04 ***************  -1.3907543E+04   1.7063516E+02   7.2303033E+01  -1.4652005E+04  -3.6408525E+05  -1.1747945E+05  -4.6540755E+05  -1.3999997E+01   6.1186962E-09  -1.0000019E+01  -3.1507442E+05  -6.1824828E-04  -4.1457834E+05  -1.3999997E+01   6.1186962E-09  -1.0000019E+01  -3.6408488E+05   1.1747933E+05  -4.6540709E+05  -1.3999997E+01   6.1186962E-09  -1.0000019E+01  -3.6832865E+04  -6.6921648E+03  -2.1649767E+05   5.4000003E+01  -3.9651617E-09  -9.9999893E+00  -4.1778247E+04   1.7350412E-04  -2.3155493E+05   5.4000003E+01  -3.9651617E-09  -9.9999893E+00  -3.6832867E+04   6.6921653E+03  -2.1649768E+05   5.4000003E+01  -3.9651617E-09  -9.9999893E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003501E+01  -4.9846226E+01  -4.9264656E+01  -4.8281845E+01  -4.6933466E+01  -4.5237040E+01  -4.3208945E+01  -4.0879045E+01  -3.8271983E+01  -3.5408813E+01  -3.2312763E+01  -2.9006607E+01  -2.5504137E+01  -2.1835122E+01  -1.8014753E+01  -1.4066525E+01  -1.0000019E+01  -5.0005579E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005633E+01  -5.0004175E+01  -4.9892239E+01  -4.9296473E+01  -4.8280013E+01  -4.6903526E+01  -4.5184620E+01  -4.3125826E+01  -4.0758689E+01  -3.8120102E+01  -3.5226298E+01  -3.2108189E+01  -2.8800784E+01  -2.5305361E+01  -2.1655506E+01  -1.7871144E+01  -1.3982961E+01  -1.0000019E+01
    0.0120   6.0056654E+05   5.1738133E+05   6.0056669E+05   2.2106668E+05   2.3783547E+05   2.2106655E+05   3.9240131E+05   2.9827155E+05   3.9240131E+05   1.4653151E+04   1.7517110E+04   1.4653151E+04   3.6435624E+05   1.4490152E+05  -1.5062224E+04   2.9793106E+05 ***************  -1.4247664E+04   3.6435624E+05  -1.4490152E+05  -1.5062224E+04   1.6863339E+02  -7.1454827E+01  -1.4652007E+04   1.0650341E+04 ***************  -1.3907530E+04   1.6863339E+02   7.1454827E+01  -1.4652007E+04  -3.6292299E+05  -1.1712464E+05  -4.6394923E+05  -1.3999994E+01   7.5348527E-09  -1.0000034E+01  -3.1302905E+05  -7.5382979E-04  -4.1194205E+05  -1.3999994E+01   7.5348527E-09  -1.0000034E+01  -3.6292309E+05   1.1712467E+05  -4.6394934E+05  -1.3999994E+01   7.5348527E-09  -1.0000034E+01  -3.7054069E+04  -6.7331944E+03  -2.1783512E+05   5.4000006E+01  -3.4205743E-09  -9.9999814E+00  -4.2234218E+04   1.5106664E-04  -2.3405551E+05   5.4000006E+01  -3.4205743E-09  -9.9999814E+00  -3.7054045E+04   6.7331903E+03  -2.1783498E+05   5.4000006E+01  -3.4205743E-09  -9.9999814E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003500E+01  -4.9846192E+01  -4.9264577E+01  -4.8281839E+01  -4.6933555E+01  -4.5237160E+01  -4.3209146E+01  -4.0879360E+01  -3.8272355E+01  -3.5409126E+01  -3.2312999E+01  -2.9006700E+01  -2.5504124E+01  -2.1835006E+01  -1.8014621E+01  -1.4066438E+01  -1.0000034E+01  -5.0005579E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005633E+01  -5.0004179E+01  -4.9892008E+01  -4.9296028E+01  -4.8279676E+01  -4.6903280E+01  -4.5184374E+01  -4.3126095E+01  -4.0759116E+01  -3.8120651E+01  -3.5226832E+01  -3.2108537E+01  -2.8800696E+01  -2.5305164E+01  -2.1655232E+01  -1.7870946E+01  -1.3982840E+01  -1.0000034E+01
    0.0150   5.9887861E+05   5.1448235E+05   5.9887954E+05   2.2253180E+05   2.4040298E+05   2.2253153E+05   3.9276638E+05   2.9723978E+05   3.9276638E+05   1.4653127E+04   1.7524094E+04   1.4653127E+04   3.6470044E+05   1.4502459E+05  -1.5062601E+04   2.9689817E+05 ***************  -1.4246539E+04   3.6470044E+05  -1.4502459E+05  -1.5062601E+04   1.6663713E+02  -7.0608952E+01  -1.4652009E+04   1.0661840E+04 ***************  -1.3907517E+04   1.6663713E+02   7.0608952E+01  -1.4652009E+04  -3.6189047E+05  -1.1681151E+05  -4.6265100E+05  -1.3999991E+01   6.8567952E-09  -1.0000054E+01  -3.1125369E+05  -6.7664159E-04  -4.0965013E+05  -1.3999991E+01   6.8567952E-09  -1.0000054E+01  -3.6189104E+05   1.1681169E+05  -4.6265171E+05  -1.3999991E+01   6.8567952E-09  -1.0000054E+01  -3.7294517E+04  -6.7777088E+03  -2.1927970E+05   5.4000009E+01  -3.2076367E-10  -9.9999714E+00  -4.2694550E+04   1.3423363E-05  -2.3658141E+05   5.4000009E+01  -3.2076367E-10  -9.9999714E+00  -3.7294467E+04   6.7776997E+03  -2.1927942E+05   5.4000009E+01  -3.2076367E-10  -9.9999714E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003499E+01  -4.9846153E+01  -4.9264495E+01  -4.8281834E+01  -4.6933645E+01  -4.5237279E+01  -4.3209347E+01  -4.0879676E+01  -3.8272728E+01  -3.5409440E+01  -3.2313236E+01  -2.9006792E+01  -2.5504113E+01  -2.1834890E+01  -1.8014492E+01  -1.4066353E+01  -1.0000054E+01  -5.0005580E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005633E+01  -5.0004183E+01  -4.9891774E+01  -4.9295586E+01  -4.8279349E+01  -4.6903042E+01  -4.5184132E+01  -4.3126369E+01  -4.0759549E+01  -3.8121202E+01  -3.5227369E+01  -3.2108891E+01  -2.8800608E+01  -2.5304970E+01  -2.1654961E+01  -1.7870755E+01  -1.3982725E+01  -1.0000054E+01
    0.0180   5.9711127E+05   5.1171947E+05   5.9711362E+05   2.2358260E+05   2.4221396E+05   2.2358209E+05   3.9305448E+05   2.9643804E+05   3.9305448E+05   1.4653103E+04   1.7531272E+04   1.4653103E+04   3.6497308E+05   1.4511921E+05  -1.5062898E+04   2.9609554E+05 ***************  -1.4245669E+04   3.6497308E+05  -1.4511921E+05  -1.5062898E+04   1.6464640E+02  -6.9765425E+01  -1.4652011E+04   1.0673652E+04 ***************  -1.3907504E+04   1.6464640E+02   6.9765425E+01  -1.4652011E+04  -3.6080928E+05  -1.1648247E+05  -4.6129206E+05  -1.3999987E+01   2.6059859E-09  -1.0000077E+01  -3.0956198E+05  -2.4263930E-04  -4.0746557E+05  -1.3999987E+01   2.6059859E-09  -1.0000077E+01  -3.6081073E+05   1.1648293E+05  -4.6129385E+05  -1.3999987E+01   2.6059859E-09  -1.0000077E+01  -3.7460463E+04  -6.8086697E+03  -2.2031690E+05   5.4000013E+01   6.4466772E-09  -9.9999593E+00  -4.3012011E+04  -2.9279095E-04  -2.3836436E+05   5.4000013E+01   6.4466772E-09  -9.9999593E+00  -3.7460371E+04   6.8086526E+03  -2.2031639E+05   5.4000013E+01   6.4466772E-09  -9.9999593E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003498E+01  -4.9846110E+01  -4.9264411E+01  -4.8281830E+01  -4.6933736E+01  -4.5237399E+01  -4.3209550E+01  -4.0879993E+01  -3.8273102E+01  -3.5409754E+01  -3.2313474E+01  -2.9006884E+01  -2.5504103E+01  -2.1834776E+01  -1.8014366E+01  -1.4066270E+01  -1.0000077E+01  -5.0005580E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005633E+01  -5.0004187E+01  -4.9891536E+01  -4.9295148E+01  -4.8279031E+01  -4.6902813E+01  -4.5183894E+01  -4.3126646E+01  -4.0759987E+01  -3.8121757E+01  -3.5227909E+01  -3.2109250E+01  -2.8800523E+01  -2.5304781E+01  -2.1654695E+01  -1.7870571E+01  -1.3982616E+01  -1.0000077E+01
    0.0210   5.9542326E+05   5.0928821E+05   5.9542674E+05   2.2414847E+05   2.4325931E+05   2.2414776E+05   3.9326190E+05   2.9586935E+05   3.9326190E+05   1.4653079E+04   1.7538632E+04   1.4653079E+04   3.6517069E+05   1.4518401E+05  -1.5063110E+04   2.9552622E+05 ***************  -1.4245055E+04   3.6517069E+05  -1.4518401E+05  -1.5063110E+04   1.6266135E+02  -6.8924303E+01  -1.4652014E+04   1.0685754E+04 ***************  -1.3907490E+04   1.6266135E+02   6.8924303E+01  -1.4652014E+04  -3.5977718E+05  -1.1616909E+05  -4.5999346E+05  -1.3999982E+01  -5.8431978E-09  -1.0000104E+01  -3.0807483E+05   6.0350009E-04  -4.0554209E+05  -1.3999982E+01  -5.8431978E-09  -1.0000104E+01  -3.5977933E+05   1.1616978E+05  -4.5999611E+05  -1.3999982E+01  -5.8431978E-09  -1.0000104E+01  -3.7539406E+04  -6.8237998E+03  -2.2087727E+05   5.4000018E+01   1.7256529E-08  -9.9999454E+00  -4.3185127E+04  -7.8530868E-04  -2.3939535E+05   5.4000018E+01   1.7256529E-08  -9.9999454E+00  -3.7539278E+04   6.8237752E+03  -2.2087657E+05   5.4000018E+01   1.7256529E-08  -9.9999454E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003497E+01  -4.9846062E+01  -4.9264325E+01  -4.8281828E+01  -4.6933828E+01  -4.5237518E+01  -4.3209754E+01  -4.0880312E+01  -3.8273476E+01  -3.5410069E+01  -3.2313713E+01  -2.9006975E+01  -2.5504095E+01  -2.1834662E+01  -1.8014243E+01  -1.4066189E+01  -1.0000104E+01  -5.0005580E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005633E+01  -5.0004191E+01  -4.9891295E+01  -4.9294714E+01  -4.8278723E+01  -4.6902593E+01  -4.5183662E+01  -4.3126929E+01  -4.0760432E+01  -3.8122316E+01  -3.5228454E+01  -3.2109615E+01  -2.8800440E+01  -2.5304595E+01  -2.1654434E+01  -1.7870395E+01  -1.3982515E+01  -1.0000104E+01
    0.0240   5.9372661E+05   5.0710719E+05   5.9373172E+05   2.2390861E+05   2.4322218E+05   2.2390763E+05   3.9339083E+05   2.9553673E+05   3.9339083E+05   1.4653055E+04   1.7546163E+04   1.4653055E+04   3.6529530E+05   1.4521979E+05  -1.5063239E+04   2.9519324E+05 ***************  -1.4244701E+04   3.6529530E+05  -1.4521979E+05  -1.5063239E+04   1.6068237E+02  -6.8085748E+01  -1.4652016E+04   1.0698128E+04 ***************  -1.3907476E+04   1.6068237E+02   6.8085748E+01  -1.4652016E+04  -3.5873997E+05  -1.1585387E+05  -4.5868813E+05  -1.3999976E+01  -1.8973091E-08  -1.0000136E+01  -3.0674192E+05   1.9046390E-03  -4.0381567E+05  -1.3999976E+01  -1.8973091E-08  -1.0000136E+01  -3.5874312E+05   1.1585489E+05  -4.5869202E+05  -1.3999976E+01  -1.8973091E-08  -1.0000136E+01  -3.7474108E+04  -6.8126876E+03  -2.2064529E+05   5.4000024E+01   3.2365466E-08  -9.9999295E+00  -4.3154568E+04  -1.4713835E-03  -2.3936314E+05   5.4000024E+01   3.2365466E-08  -9.9999295E+00  -3.7473933E+04   6.8126533E+03  -2.2064433E+05   5.4000024E+01   3.2365466E-08  -9.9999295E+00  -5.0005577E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005652E+01  -5.0005624E+01  -5.0003496E+01  -4.9846010E+01  -4.9264238E+01  -4.8281828E+01  -4.6933922E+01  -4.5237639E+01  -4.3209960E+01  -4.0880632E+01  -3.8273852E+01  -3.5410386E+01  -3.2313953E+01  -2.9007066E+01  -2.5504088E+01  -2.1834550E+01  -1.8014123E+01  -1.4066110E+01  -1.0000136E+01  -5.0005580E+01  -5.0005652E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005653E+01  -5.0005633E+01  -5.0004194E+01  -4.9891052E+01  -4.9294285E+01  -4.8278426E+01  -4.6902382E+01  -4.5183436E+01  -4.3127218E+01  -4.0760884E+01  -3.8122879E+01  -3.5229004E+01  -3.2109986E+01  -2.8800358E+01  -2.5304414E+01  -2.1654176E+01  -1.7870226E+01  -1.3982420E+01  -1.0000136E+01
