
Predictions were generated on 18-Sep-2019 at 00:08:08 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn14; ServoDyn

Description from the FAST input file: FAST Certification Test #09: UAE Phase VI (downwind) with many DOFs with yaw ramp and a steady wind.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	Azimuth   	TipALxb1  	TipALyb1  	TipALxb2  	TipALyb2  	Spn2ALxb1 	Spn2ALyb1 	RotAccel  	LSSGagA   	HSShftA   	NacYaw    	RootMEdg1 	RootMFlp1 	RootMEdg2 	RootMFlp2 	Spn3MLxb1 	Spn3MLyb1 	Spn5MLxb1 	Spn5MLyb1 	YawBrFxp  	YawBrFyp  	YawBrMxn  	YawBrMyn  
(s)       	(m/s)     	(m/s)     	(m/s)     	(deg)     	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(deg/s^2) 	(deg/s^2) 	(deg/s^2) 	(deg)     	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN)      	(kN)      	(kN-m)    	(kN-m)    
    1.0080	 9.526E+00	-5.500E+00	 0.000E+00	 7.434E+01	-3.594E+00	 5.345E-01	-3.555E+00	-1.808E+00	 5.652E-01	-7.238E-01	 1.629E+01	 7.292E+00	 1.832E+02	 2.962E+01	 9.962E-01	 1.060E+00	-9.432E-01	 2.134E+00	 3.341E-01	 6.584E-01	 2.133E-01	 3.352E-01	 8.678E-01	 4.114E-01	 4.191E-01	 7.794E+00
    1.0560	 9.526E+00	-5.500E+00	 0.000E+00	 9.507E+01	 2.043E+00	-8.394E-01	 5.736E+00	 1.217E+00	-3.034E-01	 3.800E-01	-7.129E-01	 7.284E+00	 1.830E+02	 2.969E+01	 1.011E+00	 6.752E-01	-7.816E-01	 1.729E+00	 3.682E-01	 4.479E-01	 2.124E-01	 2.194E-01	 9.878E-01	 4.590E-01	 5.640E-01	 9.028E+00
    1.1040	 9.526E+00	-5.500E+00	 0.000E+00	 1.158E+02	 4.836E+00	 9.905E-01	 2.632E+00	 4.919E-01	 4.557E-03	 2.674E-01	-1.697E+01	 1.867E+00	 4.691E+01	 2.972E+01	 9.787E-01	 5.904E-01	-6.610E-01	 1.423E+00	 3.772E-01	 4.056E-01	 2.189E-01	 1.934E-01	-9.550E-02	-7.981E-02	 5.827E-01	 8.076E+00
    1.1520	 9.526E+00	-5.500E+00	 0.000E+00	 1.365E+02	-3.790E+00	 2.242E+00	-4.824E-01	 9.635E-01	 5.872E-01	 2.017E-01	-5.614E+00	-3.570E+00	-8.971E+01	 2.974E+01	 7.703E-01	 6.486E-01	-4.618E-01	 1.283E+00	 2.797E-01	 4.536E-01	 1.741E-01	 2.428E-01	-6.822E-01	-3.038E-01	 4.889E-01	 7.653E+00
    1.2000	 9.526E+00	-5.500E+00	 0.000E+00	 1.572E+02	 1.193E+01	 5.610E-02	 7.385E+00	 1.757E+00	 3.819E-01	 7.467E-01	-1.804E+01	-7.279E+00	-1.829E+02	 2.975E+01	 4.242E-01	 4.220E-01	-1.462E-01	 7.780E-01	 1.388E-01	 2.780E-01	 8.553E-02	 1.293E-01	-2.936E-01	-6.299E-02	 3.756E-01	 8.447E+00
    1.2480	 9.526E+00	-5.500E+00	 0.000E+00	 1.778E+02	-4.300E+00	 3.147E-01	 1.096E+00	-2.756E-01	 2.473E-01	 9.551E-02	-2.751E+00	-8.868E+00	-2.229E+02	 2.977E+01	 8.043E-03	 1.180E+00	 7.572E-02	 8.539E-01	-1.403E-01	 7.240E-01	-2.916E-02	 4.416E-01	-8.044E-01	-3.325E-01	 2.115E-01	 6.471E+00
    1.2960	 9.526E+00	-5.500E+00	 0.000E+00	 1.984E+02	-2.410E+00	-2.416E-01	 2.177E+00	-8.705E-01	 2.296E-01	-2.519E-01	 1.656E+01	-3.000E+00	-7.538E+01	 2.981E+01	-3.823E-01	 1.506E+00	 3.642E-01	 8.606E-01	-3.528E-01	 8.809E-01	-1.276E-01	 5.513E-01	 7.969E-02	 1.369E-01	 1.436E-01	 7.379E+00
    1.3440	 9.526E+00	-5.500E+00	 0.000E+00	 2.191E+02	 8.550E+00	-1.480E+00	 5.092E+00	-1.087E+00	 2.920E-01	 5.131E-02	-4.627E-01	 1.121E+00	 2.818E+01	 2.984E+01	-6.997E-01	 1.144E+00	 7.006E-01	 8.451E-01	-4.590E-01	 6.334E-01	-2.004E-01	 4.129E-01	 5.413E-01	 2.925E-01	 2.055E-01	 8.170E+00
    1.3920	 9.526E+00	-5.500E+00	 0.000E+00	 2.398E+02	-2.145E+00	-1.593E+00	-3.222E+00	 7.693E-02	 1.425E-01	 1.172E-02	 2.163E+01	 4.524E+00	 1.137E+02	 2.987E+01	-9.214E-01	 1.777E+00	 8.996E-01	 1.113E+00	-6.321E-01	 9.809E-01	-2.668E-01	 6.385E-01	 7.481E-01	 3.846E-01	 2.780E-01	 7.811E+00
    1.4400	 9.526E+00	-5.500E+00	 0.000E+00	 2.605E+02	 3.030E+00	 9.225E-01	-1.985E+00	-2.278E+00	 4.074E-02	-4.817E-01	 1.780E+00	 7.648E+00	 1.922E+02	 2.988E+01	-8.602E-01	 1.786E+00	 9.411E-01	 1.016E+00	-5.749E-01	 9.731E-01	-2.283E-01	 6.229E-01	 1.849E+00	 9.966E-01	 4.076E-01	 9.526E+00
