
Predictions were generated on 06-Nov-2020 at 13:56:50 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.4.0-50-g416ff436-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #12: WindPACT 1.5 MW Baseline with many DOFs with VS and VP and ECD wind.

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl3	IPDefl3	TipALxb3	TipALyb3	Spn4ALxb1	Spn4ALyb1	BldPitch3	RotAccel	LSSGagA	HSShftA	RootFxb3	RootFyb3	RootMEdg3	RootMFlp3	LSShftFya	LSShftFza	YawBrFxp	YawBrFyp	TwrBsFxt	TwrBsFyt	RtSkew
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(m/s^2)	(m/s^2)	(m/s^2)	(m/s^2)	(deg)	(deg/s^2)	(deg/s^2)	(deg/s^2)	(kN)	(kN)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN)	(kN)	(kN)	(deg)
    5.0000	 1.180E+01	 0.000E+00	 0.000E+00	 1.334E+00	-4.111E-01	 1.311E+01	 4.517E-01	 3.131E+00	 1.800E-01	 7.500E+00	 4.860E-02	 5.045E-02	 4.438E+00	 6.065E+01	-4.144E+01	 4.917E+02	 1.100E+03	 2.111E+02	 1.618E+02	 1.079E+02	 5.047E+00	 8.953E+01	 9.330E+00	 5.108E+00
    5.0500	 1.180E+01	 0.000E+00	 0.000E+00	 1.374E+00	-3.036E-01	 5.229E+01	-3.864E+00	 5.997E+00	 1.690E+00	 2.600E+00	-1.313E+01	-4.880E+00	-4.293E+02	 5.780E+01	-4.547E+01	 5.385E+02	 1.073E+03	 2.265E+02	 1.387E+02	 1.100E+02	 3.577E+00	 9.227E+01	 7.752E+00	 5.260E+00
    5.1000	 1.180E+01	 0.000E+00	 0.000E+00	 1.466E+00	-3.341E-01	 2.132E+01	 6.662E+00	 9.974E+00	 3.590E-01	 2.600E+00	 6.297E+00	 1.074E+00	 9.450E+01	 5.460E+01	-4.061E+01	 5.362E+02	 1.059E+03	 2.386E+02	 1.153E+02	 1.127E+02	 6.325E+00	 9.522E+01	 1.522E+00	 5.472E+00
    5.1500	 1.180E+01	 0.000E+00	 0.000E+00	 1.580E+00	-3.474E-01	 9.374E+00	 8.273E+00	 8.343E+00	 2.919E-01	 2.600E+00	 8.236E+00	 7.807E+00	 6.867E+02	 5.956E+01	-3.883E+01	 5.221E+02	 1.157E+03	 2.503E+02	 9.098E+01	 1.177E+02	 7.357E+00	 1.005E+02	-2.150E-01	 5.579E+00
    5.2000	 1.180E+01	 0.000E+00	 0.000E+00	 1.684E+00	-3.306E-01	 1.832E+01	 2.614E+00	 2.743E+00	 3.377E-01	 2.600E+00	 1.499E+00	 2.430E+00	 2.138E+02	 7.075E+01	-3.689E+01	 4.698E+02	 1.335E+03	 2.609E+02	 6.364E+01	 1.262E+02	 2.274E+00	 1.054E+02	 5.929E+00	 5.584E+00
    5.2500	 1.180E+01	 0.000E+00	 0.000E+00	 1.792E+00	-3.051E-01	 2.099E+01	-2.575E+00	-5.464E-01	 3.002E-01	 2.600E+00	-5.217E+00	-5.390E+00	-4.742E+02	 7.889E+01	-3.404E+01	 4.082E+02	 1.474E+03	 2.667E+02	 3.477E+01	 1.376E+02	-3.121E+00	 1.070E+02	 1.100E+01	 5.514E+00
    5.3000	 1.180E+01	 0.000E+00	 0.000E+00	 1.907E+00	-2.948E-01	 7.094E+00	-2.273E+00	 1.191E+00	 1.495E-01	 2.600E+00	-5.571E+00	-5.900E+00	-5.190E+02	 7.925E+01	-3.037E+01	 3.650E+02	 1.509E+03	 2.671E+02	 7.144E+00	 1.490E+02	-3.250E+00	 1.084E+02	 7.155E+00	 5.391E+00
    5.3500	 1.180E+01	 0.000E+00	 0.000E+00	 1.994E+00	-2.987E-01	-6.558E+00	 1.465E+00	 4.534E+00	-1.196E-01	 2.600E+00	-1.637E-01	-1.576E-01	-1.386E+01	 7.591E+01	-2.616E+01	 3.370E+02	 1.484E+03	 2.646E+02	-1.883E+01	 1.585E+02	 7.638E-01	 1.166E+02	-3.102E+00	 5.260E+00
    5.4000	 1.180E+01	 0.000E+00	 0.000E+00	 2.020E+00	-2.977E-01	-3.029E+00	 3.302E+00	 5.399E+00	-3.648E-01	 2.600E+00	 4.622E+00	 4.801E+00	 4.223E+02	 7.484E+01	-2.189E+01	 3.032E+02	 1.472E+03	 2.611E+02	-4.511E+01	 1.664E+02	 3.409E+00	 1.347E+02	-1.029E+01	 5.163E+00
    5.4500	 1.180E+01	 0.000E+00	 0.000E+00	 1.992E+00	-2.789E-01	 1.272E+01	 1.209E+00	 4.047E+00	-4.301E-01	 2.600E+00	 4.455E+00	 4.567E+00	 4.018E+02	 7.664E+01	-1.780E+01	 2.515E+02	 1.485E+03	 2.555E+02	-7.294E+01	 1.746E+02	 1.062E+00	 1.580E+02	-8.326E+00	 5.116E+00
    5.5000	 1.180E+01	 0.000E+00	 0.000E+00	 1.948E+00	-2.484E-01	 2.367E+01	-2.154E+00	 3.504E+00	-3.144E-01	 2.600E+00	 1.151E+00	 1.111E+00	 9.770E+01	 7.750E+01	-1.376E+01	 1.902E+02	 1.483E+03	 2.458E+02	-1.009E+02	 1.850E+02	-4.499E+00	 1.789E+02	-5.381E-01	 5.109E+00
