
Predictions were generated on 20-Dec-2019 at 14:30:05 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #12: WindPACT 1.5 MW Baseline with many DOFs with VS and VP and ECD wind.

Time      	Wind1VelX 	Wind1VelY 	Wind1VelZ 	OoPDefl3  	IPDefl3   	TipALxb3  	TipALyb3  	Spn4ALxb1 	Spn4ALyb1 	BldPitch3 	RotAccel  	LSSGagA   	HSShftA   	RootFxb3  	RootFyb3  	RootMEdg3 	RootMFlp3 	LSShftFya 	LSShftFza 	YawBrFxp  	YawBrFyp  	TwrBsFxt  	TwrBsFyt  	RtSkew    
(s)       	(m/s)     	(m/s)     	(m/s)     	(m)       	(m)       	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(deg)     	(deg/s^2) 	(deg/s^2) 	(deg/s^2) 	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(deg)     
    5.0000	 1.180E+01	 0.000E+00	 0.000E+00	 1.332E+00	-4.106E-01	 1.316E+01	 4.926E-01	 3.121E+00	 1.844E-01	 7.500E+00	 3.287E-02	 3.584E-02	 3.153E+00	 6.048E+01	-4.140E+01	 4.913E+02	 1.097E+03	 2.114E+02	 1.613E+02	 1.075E+02	 5.100E+00	 8.871E+01	 9.402E+00	 5.112E+00
    5.0500	 1.180E+01	 0.000E+00	 0.000E+00	 1.381E+00	-3.037E-01	 4.777E+01	-4.309E+00	 5.375E+00	 1.206E+00	 2.600E+00	-1.097E+01	-5.868E+00	-5.161E+02	 5.990E+01	-4.521E+01	 5.359E+02	 1.099E+03	 2.273E+02	 1.383E+02	 1.098E+02	 3.360E+00	 9.139E+01	 8.182E+00	 5.317E+00
    5.1000	 1.180E+01	 0.000E+00	 0.000E+00	 1.478E+00	-3.337E-01	 2.569E+01	 6.852E+00	 7.292E+00	-4.302E-02	 2.600E+00	 9.499E+00	-6.868E-01	-6.042E+01	 5.854E+01	-4.012E+01	 5.308E+02	 1.116E+03	 2.395E+02	 1.147E+02	 1.136E+02	 5.678E+00	 9.238E+01	 2.668E+00	 5.502E+00
    5.1500	 1.180E+01	 0.000E+00	 0.000E+00	 1.605E+00	-3.473E-01	 9.705E+00	 7.978E+00	 6.868E+00	 2.474E-01	 2.600E+00	 7.968E+00	 8.148E+00	 7.167E+02	 6.192E+01	-3.900E+01	 5.205E+02	 1.197E+03	 2.505E+02	 9.025E+01	 1.190E+02	 7.304E+00	 9.567E+01	 7.136E-01	 5.581E+00
    5.2000	 1.180E+01	 0.000E+00	 0.000E+00	 1.721E+00	-3.316E-01	 1.093E+01	 2.626E+00	 3.778E+00	 3.606E-01	 2.600E+00	 5.999E-01	 2.247E+00	 1.977E+02	 6.992E+01	-3.698E+01	 4.685E+02	 1.336E+03	 2.603E+02	 6.273E+01	 1.267E+02	 2.251E+00	 1.009E+02	 6.620E+00	 5.559E+00
    5.2500	 1.180E+01	 0.000E+00	 0.000E+00	 1.824E+00	-3.073E-01	 1.466E+01	-2.391E+00	 1.176E+00	 2.655E-01	 2.600E+00	-5.241E+00	-5.563E+00	-4.894E+02	 7.729E+01	-3.397E+01	 4.077E+02	 1.461E+03	 2.664E+02	 3.408E+01	 1.363E+02	-2.750E+00	 1.061E+02	 1.087E+01	 5.473E+00
    5.3000	 1.180E+01	 0.000E+00	 0.000E+00	 1.919E+00	-2.969E-01	 9.881E+00	-2.359E+00	 1.406E+00	 5.683E-02	 2.600E+00	-4.776E+00	-5.189E+00	-4.564E+02	 7.965E+01	-3.032E+01	 3.660E+02	 1.516E+03	 2.676E+02	 6.679E+00	 1.468E+02	-2.353E+00	 1.114E+02	 6.364E+00	 5.359E+00
    5.3500	 1.180E+01	 0.000E+00	 0.000E+00	 1.991E+00	-2.995E-01	 1.708E+00	 1.107E+00	 3.502E+00	-2.237E-01	 2.600E+00	 6.544E-01	 7.125E-01	 6.267E+01	 7.796E+01	-2.614E+01	 3.377E+02	 1.510E+03	 2.654E+02	-1.945E+01	 1.569E+02	 1.539E+00	 1.200E+02	-3.406E+00	 5.246E+00
    5.4000	 1.180E+01	 0.000E+00	 0.000E+00	 2.021E+00	-2.976E-01	 8.983E-01	 2.986E+00	 4.972E+00	-4.157E-01	 2.600E+00	 4.742E+00	 4.933E+00	 4.339E+02	 7.613E+01	-2.188E+01	 3.025E+02	 1.490E+03	 2.611E+02	-4.595E+01	 1.662E+02	 3.525E+00	 1.348E+02	-9.337E+00	 5.162E+00
