
Predictions were generated on 28-Sep-2017 at 11:51:44 using BeamDyn




Time        	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
 (s)            	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(m)       	(m)       	(m)       	(-)       	(-)       	(-)       
       0.000000	-6.299E-27	-1.051E+04	 1.074E+03	 2.570E+03	 1.523E+02	-2.305E+01	 6.032E-27	 1.627E+04	 0.000E+00	 2.131E-01	 1.692E-12	 9.927E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	-1.124E+01	-1.800E+04	 2.981E+04	 2.419E+04	-1.019E+02	 9.238E+01	 2.593E+01	 2.179E+04	-2.724E+04	-2.457E+04	 5.346E+01	-8.800E+01	-1.613E-07	-1.782E-05	 1.199E-04	-4.668E-05	 1.335E-06	-1.459E-07
       0.004000	-4.739E+01	-2.931E+04	 7.265E+04	 6.608E+04	-2.425E+02	 2.717E+02	 6.489E+01	 3.034E+04	-6.940E+04	-6.752E+04	 2.091E+02	-2.477E+02	-6.606E-07	-6.177E-05	 4.762E-04	-1.591E-04	-1.917E-06	-5.051E-07
       0.006000	-8.728E+01	-4.201E+04	 1.223E+05	 1.196E+05	-4.595E+02	 4.695E+02	 1.093E+02	 4.022E+04	-1.193E+05	-1.205E+05	 4.423E+02	-4.347E+02	-1.675E-06	-1.069E-04	 1.057E-03	-2.740E-04	-5.233E-06	-9.425E-07
       0.008000	-1.322E+02	-5.395E+04	 1.757E+05	 1.759E+05	-7.948E+02	 6.567E+02	 1.629E+02	 4.982E+04	-1.732E+05	-1.761E+05	 7.650E+02	-6.247E+02	-3.395E-06	-1.305E-04	 1.846E-03	-3.814E-04	-8.435E-06	-1.237E-06
       0.010000	-1.840E+02	-6.342E+04	 2.308E+05	 2.289E+05	-1.250E+03	 8.225E+02	 2.257E+02	 5.786E+04	-2.285E+05	-2.287E+05	 1.209E+03	-8.048E+02	-6.025E-06	-1.153E-04	 2.822E-03	-4.924E-04	-1.207E-05	-1.092E-06
       0.012000	-2.426E+02	-6.948E+04	 2.858E+05	 2.756E+05	-1.832E+03	 9.685E+02	 2.958E+02	 6.361E+04	-2.832E+05	-2.753E+05	 1.790E+03	-9.702E+02	-9.761E-06	-5.210E-05	 3.956E-03	-6.172E-04	-1.648E-05	-1.972E-07
       0.014000	-3.089E+02	-7.211E+04	 3.389E+05	 3.157E+05	-2.540E+03	 1.100E+03	 3.726E+02	 6.703E+04	-3.358E+05	-3.155E+05	 2.502E+03	-1.120E+03	-1.478E-05	 5.945E-05	 5.220E-03	-7.586E-04	-2.180E-05	 1.687E-06
       0.016000	-3.850E+02	-7.207E+04	 3.887E+05	 3.509E+05	-3.353E+03	 1.221E+03	 4.567E+02	 6.864E+04	-3.852E+05	-3.508E+05	 3.322E+03	-1.252E+03	-2.121E-05	 2.116E-04	 6.584E-03	-9.143E-04	-2.802E-05	 4.658E-06
