
Predictions were generated on 10-May-2018 at 13:33:47 using BeamDyn




Time        	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
 (s)            	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(m)       	(m)       	(m)       	(-)       	(-)       	(-)       
       0.000000	-1.490E-27	-1.044E+04	 1.067E+03	 1.659E-09	-1.004E-11	-2.283E+01	 2.404E+03	-1.016E+04	 1.067E+03	 1.616E-09	 3.720E-10	-2.283E+01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	-2.099E+01	-1.736E+04	 2.981E+04	 2.416E+04	 1.523E+01	 9.235E+01	 3.975E+03	-1.690E+04	 2.981E+04	 2.350E+04	 5.575E+03	 9.235E+01	-2.127E-08	-2.612E-05	 1.190E-04	 3.287E-06	-1.953E-08	-1.422E-07
       0.004000	-4.683E+01	-2.867E+04	 7.264E+04	 6.794E+04	-1.355E+01	 2.712E+02	 6.553E+03	-2.791E+04	 7.264E+04	 6.612E+04	 1.562E+04	 2.712E+02	-1.094E-07	-9.689E-05	 4.729E-04	 9.790E-06	-1.120E-07	-5.209E-07
       0.006000	-7.078E+01	-4.181E+04	 1.223E+05	 1.230E+05	-1.297E+02	 4.687E+02	 9.556E+03	-4.071E+04	 1.223E+05	 1.197E+05	 2.818E+04	 4.687E+02	-3.362E-07	-1.940E-04	 1.049E-03	 1.594E-05	-4.012E-07	-9.928E-07
       0.008000	-9.321E+01	-5.439E+04	 1.757E+05	 1.811E+05	-3.457E+02	 6.561E+02	 1.243E+04	-5.295E+04	 1.757E+05	 1.763E+05	 4.135E+04	 6.561E+02	-8.012E-07	-2.999E-04	 1.830E-03	 1.715E-05	-1.057E-06	-1.305E-06
       0.010000	-1.169E+02	-6.453E+04	 2.308E+05	 2.361E+05	-6.803E+02	 8.227E+02	 1.474E+04	-6.282E+04	 2.308E+05	 2.299E+05	 5.369E+04	 8.227E+02	-1.625E-06	-4.022E-04	 2.793E-03	 9.806E-06	-2.244E-06	-1.129E-06
       0.012000	-1.462E+02	-7.118E+04	 2.858E+05	 2.845E+05	-1.159E+03	 9.695E+02	 1.624E+04	-6.930E+04	 2.858E+05	 2.771E+05	 6.436E+04	 9.695E+02	-2.930E-06	-4.968E-04	 3.911E-03	-7.805E-06	-4.079E-06	-1.305E-07
       0.014000	-1.869E+02	-7.423E+04	 3.388E+05	 3.255E+05	-1.797E+03	 1.102E+03	 1.691E+04	-7.228E+04	 3.388E+05	 3.172E+05	 7.317E+04	 1.102E+03	-4.817E-06	-5.896E-04	 5.155E-03	-3.520E-05	-6.607E-06	 1.947E-06
       0.016000	-2.449E+02	-7.441E+04	 3.887E+05	 3.606E+05	-2.594E+03	 1.222E+03	 1.689E+04	-7.247E+04	 3.887E+05	 3.515E+05	 8.049E+04	 1.222E+03	-7.335E-06	-6.955E-04	 6.495E-03	-6.982E-05	-9.797E-06	 5.209E-06
       0.018000	-3.232E+02	-7.296E+04	 4.346E+05	 3.931E+05	-3.526E+03	 1.329E+03	 1.648E+04	-7.107E+04	 4.346E+05	 3.833E+05	 8.705E+04	 1.329E+03	-1.045E-05	-8.363E-04	 7.901E-03	-1.076E-04	-1.354E-05	 9.574E-06
       0.020000	-4.209E+02	-7.132E+04	 4.759E+05	 4.265E+05	-4.553E+03	 1.416E+03	 1.601E+04	-6.950E+04	 4.759E+05	 4.161E+05	 9.374E+04	 1.416E+03	-1.404E-05	-1.037E-03	 9.339E-03	-1.436E-04	-1.768E-05	 1.477E-05
       0.022000	-5.316E+02	-7.080E+04	 5.122E+05	 4.641E+05	-5.624E+03	 1.478E+03	 1.578E+04	-6.902E+04	 5.122E+05	 4.529E+05	 1.014E+05	 1.478E+03	-1.786E-05	-1.320E-03	 1.077E-02	-1.731E-04	-2.199E-05	 2.037E-05
       0.024000	-6.453E+02	-7.227E+04	 5.428E+05	 5.080E+05	-6.684E+03	 1.513E+03	 1.601E+04	-7.048E+04	 5.428E+05	 4.959E+05	 1.104E+05	 1.513E+03	-2.158E-05	-1.707E-03	 1.215E-02	-1.922E-04	-2.625E-05	 2.586E-05
