
Predictions were generated on 10-May-2018 at 13:33:47 using BeamDyn




Time        	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
 (s)            	(N)       	(N)       	(N)       	(N-m)     	(N-m)     	(N-m)     	(m)       	(m)       	(m)       	(-)       	(-)       	(-)       
       0.000000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	-2.191E+00	-4.000E+06	 2.373E+00	 3.544E+07	-1.754E+00	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.004000	-1.370E-01	-4.000E+06	 1.015E-01	 3.544E+07	-1.100E-01	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.006000	-8.508E-03	-4.000E+06	-1.969E-04	 3.544E+07	-6.810E-03	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.008000	-5.099E-04	-4.000E+06	-9.457E-06	 3.544E+07	-4.085E-04	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.010000	-3.063E-05	-4.000E+06	-6.767E-06	 3.544E+07	-2.440E-05	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.012000	-1.794E-06	-4.000E+06	-3.479E-06	 3.544E+07	-1.441E-06	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.014000	-5.098E-08	-4.000E+06	-1.242E-06	 3.544E+07	-3.041E-08	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.016000	 6.551E-08	-4.000E+06	 4.395E-07	 3.544E+07	-1.455E-07	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
       0.018000	 5.355E-09	-4.000E+06	 1.732E-06	 3.544E+07	 2.449E-07	-6.872E+06	 1.718E+00	-3.592E+00	-1.141E+00	 6.520E-01	 3.405E-01	-1.663E-01
