
Predictions were generated on 24-May-2022 at 14:28:09 using AeroDisk




Time	ADSpeed             	ADTSR               	ADPitch             	ADVWindx            	ADVWindy            	ADVWindz            	ADSTVx              	ADSTVy              	ADSTVz              	ADVRel              	ADSkew              	ADCp                	ADCt                	ADCq                	ADFx                	ADFy                	ADFz                	ADMx                	ADMy                	ADMz                	ADPower             
(s)	(rpm)	(-)	(deg)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(m/s)	(deg)	(-)	(-)	(-)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(W)
       0.000000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.020000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.040000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.060000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.080000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.100000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.120000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.140000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.160000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.180000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.200000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.220000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.240000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.260000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.280000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
       0.300000	  9.900000000000E+00	  8.164214134216E+00	 -7.500000000000E-01	  8.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  0.000000000000E+00	  8.000000000000E+00	  0.000000000000E+00	  4.576443300534E-01	  8.613351583481E-01	  5.605491623282E-02	  4.210069062500E+05	  0.000000000000E+00	  0.000000000000E+00	  1.726121250000E+06	  0.000000000000E+00	  0.000000000000E+00	  1.789514046608E+06
