                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.912834       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.61640690131950e-03
 9.91229535143421e-01 -2.13336001483169e-02
 9.82159255562589e-01 -4.26646182156611e-02
 9.72682767763593e-01 -6.34609125942021e-02
 9.62890090485370e-01 -8.52732996060389e-02
 9.52768542510241e-01 -1.06995433083614e-01
 9.42173659369065e-01 -1.28117572515854e-01
 9.31142096887797e-01 -1.48981117996723e-01
 9.19569865410467e-01 -1.69519400724114e-01
 9.07476496747054e-01 -1.89699337458058e-01
 8.94691119256537e-01 -2.09456325547175e-01
 8.81289478417083e-01 -2.28760852357081e-01
 8.67242377957397e-01 -2.47549752094956e-01
 8.52507152615619e-01 -2.65783417332905e-01
 8.37193924373271e-01 -2.83353627413503e-01
 8.21272740768146e-01 -2.99573241831845e-01
 8.04803753961222e-01 -3.14995838701870e-01
 7.87822087554716e-01 -3.29611995589060e-01
 7.70522639011091e-01 -3.43421979114791e-01
 7.52903714206780e-01 -3.56432812591486e-01
 7.34917681904929e-01 -3.68561091811069e-01
 7.16621578477792e-01 -3.79792305793445e-01
 6.98090988165978e-01 -3.90224385923213e-01
 6.79310951575218e-01 -3.99681912606285e-01
 6.60394090916334e-01 -4.08367689965671e-01
 6.41333310729926e-01 -4.16071162338085e-01
 6.22195802069278e-01 -4.22965772087111e-01
 6.03036914566332e-01 -4.29079486280499e-01
 5.83882173603767e-01 -4.34341669321305e-01
 5.64762613411703e-01 -4.38743611792109e-01
 5.45731480730211e-01 -4.42469230535388e-01
 5.26812701445058e-01 -4.45285765877128e-01
 5.08039094974110e-01 -4.47423282726192e-01
 4.89444609753668e-01 -4.48839231135355e-01
 4.71057530189873e-01 -4.49573581349365e-01
 4.52908948113719e-01 -4.49555654859004e-01
 4.35027987951776e-01 -4.48797523095763e-01
 4.17409112746879e-01 -4.47572579651410e-01
 4.00109580186553e-01 -4.45672094910777e-01
 3.83132875676755e-01 -4.43175833209295e-01
 3.66494471785106e-01 -4.40210114929569e-01
 3.50232686124531e-01 -4.36579433597986e-01
 3.34326765791213e-01 -4.32502064915388e-01
 3.18831244168765e-01 -4.27908844116349e-01
 3.03721155962679e-01 -4.22855375235168e-01
 2.89032721187505e-01 -4.17396655220294e-01
 2.74777811071852e-01 -4.11469195110308e-01
 2.60927132570965e-01 -4.05243362722386e-01
 2.47543510405472e-01 -3.98581530144798e-01
 2.34583667445832e-01 -3.91641024413556e-01
 2.22084073231792e-01 -3.84355854814307e-01
 2.10034556926197e-01 -3.76802689151885e-01
 1.98408922665589e-01 -3.69021690279340e-01
 1.87254887979229e-01 -3.60990174812809e-01
 1.76508264496903e-01 -3.52794052927626e-01
 1.66171909847984e-01 -3.44459881888767e-01
 1.56250606291539e-01 -3.35981027021292e-01
 1.46718776613057e-01 -3.27415060569601e-01
 1.37647479862104e-01 -3.18684583418653e-01
 1.28965625052707e-01 -3.09893675650094e-01
 1.20612704307147e-01 -3.01068066270536e-01
 1.12709106419550e-01 -2.92158806140804e-01
 1.05173037022583e-01 -2.83201473402258e-01
 9.79986807084902e-02 -2.74240768217915e-01
 9.11466216319823e-02 -2.65280981900623e-01
 8.45938624469120e-02 -2.56356684378868e-01
 7.83947537741880e-02 -2.47439057142302e-01
 7.24952206874167e-02 -2.38551445377233e-01
 6.68917212625694e-02 -2.29719878131574e-01
 6.15568898248649e-02 -2.20933385459502e-01
 5.65445763944279e-02 -2.12190714990722e-01
 5.18141379579786e-02 -2.03504773607114e-01
 4.73521589388928e-02 -1.94879486606351e-01
 4.31845023828315e-02 -1.86325295285756e-01
 3.92685546660370e-02 -1.77839738638888e-01
 3.55967477044876e-02 -1.69439222532495e-01
 3.21737862094995e-02 -1.61134826396468e-01
 2.89652045616069e-02 -1.52916514772838e-01
 2.59608799944610e-02 -1.44803183728105e-01
 2.31482357067265e-02 -1.36798076619433e-01
 2.05299088224104e-02 -1.28891121645464e-01
 1.81283177771572e-02 -1.21091199424282e-01
 1.59115618807759e-02 -1.13400886921860e-01
 1.38331901681504e-02 -1.05819986829520e-01
 1.19270600725589e-02 -9.83541475487760e-02
 1.02091359643292e-02 -9.10030616031891e-02
 8.63801320101913e-03 -8.37610239321448e-02
 7.22443503236879e-03 -7.66354800086229e-02
 5.97759106158798e-03 -6.96323157337668e-02
 4.83354370699336e-03 -6.27452456433213e-02
 3.82200925279723e-03 -5.59754164708325e-02
 2.98038456446570e-03 -4.93262537301895e-02
 2.26182793662804e-03 -4.27976801439160e-02
 1.59747511486561e-03 -3.63863856787660e-02
 1.01961078381541e-03 -3.00961736634697e-02
 6.31742583244809e-04 -2.39265929199459e-02
 3.80562524714965e-04 -1.78703875725746e-02
 1.73141364578527e-04 -1.19224779439876e-02
 4.76264148776029e-05 -6.07024329985488e-03
 0.00000000000000e+00  0.00000000000000e+00
 4.24335847316528e-05  5.42869027126252e-03
 1.70482657652782e-04  1.12303648704382e-02
 3.92279988557856e-04  1.71467635343636e-02
 6.81720212632300e-04  2.31746153909028e-02
 1.07449524448856e-03  2.93176645684379e-02
 1.61060984288783e-03  3.55816188761412e-02
 2.25409823396189e-03  4.19630785037505e-02
 2.96271772037638e-03  4.84575710915610e-02
 3.80737272214065e-03  5.50684083880672e-02
 4.83059129282995e-03  6.17966159016266e-02
 5.97126508587253e-03  6.86395080913454e-02
 7.20380399712868e-03  7.55957773699822e-02
 8.60052586209589e-03  8.26702094085470e-02
 1.01701666550651e-02  8.98555251831060e-02
 1.18988983557521e-02  9.71553390906825e-02
 1.38024204977947e-02  1.04576261073317e-01
 1.58619769888303e-02  1.12111562643122e-01
 1.80639600245707e-02  1.19751296413728e-01
 2.04557972027290e-02  1.27494548553310e-01
 2.30690029990292e-02  1.35340894693114e-01
 2.58640848882860e-02  1.43282920158913e-01
 2.88363140010158e-02  1.51329274401202e-01
