# r/R_[-],Alpha_[deg],Cl_[-]
9.886400000000961628e-05,4.020109701217675635e+00,4.408543600000000007e-01
8.769240000000344320e-04,4.238410031447952697e+00,4.647936699999999921e-01
2.464803999999975841e-03,4.312964296248960494e+00,4.729694600000000082e-01
4.833204000000002401e-03,4.332377080410688919e+00,4.750983100000000237e-01
7.983327999999989197e-03,4.339325231239554270e+00,4.758602599999999794e-01
1.191101599999999650e-02,4.342424474001160384e+00,4.762001299999999993e-01
1.661029599999998968e-02,4.344031772465752894e+00,4.763763899999999829e-01
2.207382600000000819e-02,4.344962174498785856e+00,4.764784200000000136e-01
2.829300400000001048e-02,4.345536209664710547e+00,4.765413700000000197e-01
3.525802000000002184e-02,4.345904157543108326e+00,4.765817199999999865e-01
4.295786799999996852e-02,4.346157207199254913e+00,4.766094699999999795e-01
5.138037999999998245e-02,4.346337305603179324e+00,4.766292200000000201e-01
6.051224399999997200e-02,4.346463237702328897e+00,4.766430300000000231e-01
7.033902200000001492e-02,4.346557436006761144e+00,4.766533600000000259e-01
8.084517800000004528e-02,4.346630478448047619e+00,4.766613699999999731e-01
9.201410000000001532e-02,4.346684644752824234e+00,4.766673100000000107e-01
1.038281299999999907e-01,4.346726409344721098e+00,4.766718899999999870e-01
1.162685859999999793e-01,4.346760878811395834e+00,4.766756699999999958e-01
1.293157980000000096e-01,4.346787870774718066e+00,4.766786299999999921e-01
1.429491360000000044e-01,4.346808570692537010e+00,4.766809000000000185e-01
1.571470460000000124e-01,4.346826443749330693e+00,4.766828599999999860e-01
1.718870739999999731e-01,4.346841581134167853e+00,4.766845200000000005e-01
1.871459160000000232e-01,4.346852615011065346e+00,4.766857299999999742e-01
2.028994439999999844e-01,4.346862463430115398e+00,4.766868100000000164e-01
2.191227479999999783e-01,4.346871582336643947e+00,4.766878099999999896e-01
2.357901759999999902e-01,4.346878147949343685e+00,4.766885299999999992e-01
2.528753759999999851e-01,4.346883801671390657e+00,4.766891500000000059e-01
2.703513280000000019e-01,4.346889273015308142e+00,4.766897500000000232e-01
2.881904020000000122e-01,4.346893376523245145e+00,4.766902000000000084e-01
3.063643909999999582e-01,4.346896476951465083e+00,4.766905399999999959e-01
3.248445571999999948e-01,4.346899759757814508e+00,4.766908999999999730e-01
3.436016798000000039e-01,4.346902586618837994e+00,4.766912099999999763e-01
3.626061004000000199e-01,4.346904136832947962e+00,4.766913799999999979e-01
3.818277686000000060e-01,4.346905869425188307e+00,4.766915700000000089e-01
4.012362913999999448e-01,4.346907875584624215e+00,4.766917900000000041e-01
4.208009797999999746e-01,4.346908513908082305e+00,4.766918600000000228e-01
4.404908982000000361e-01,4.346909243420602920e+00,4.766919399999999807e-01
4.602749125999999746e-01,4.346910337689386949e+00,4.766920599999999730e-01
4.801217405000000049e-01,4.346910520067517325e+00,4.766920800000000180e-01
5.000000000000000000e-01,4.346910337689386949e+00,4.766920599999999730e-01
5.198782594999999951e-01,4.346910520067517325e+00,4.766920800000000180e-01
5.397250874000000254e-01,4.346910337689386949e+00,4.766920599999999730e-01
5.595091018000000194e-01,4.346909243420602920e+00,4.766919399999999807e-01
5.791990202000000254e-01,4.346908513908082305e+00,4.766918600000000228e-01
5.987637086000000552e-01,4.346907875584624215e+00,4.766917900000000041e-01
6.181722313999999940e-01,4.346905869425188307e+00,4.766915700000000089e-01
6.373938995999999246e-01,4.346904136832947962e+00,4.766913799999999979e-01
6.563983201999999961e-01,4.346902586618837994e+00,4.766912099999999763e-01
6.751554428000000607e-01,4.346899759757814508e+00,4.766908999999999730e-01
6.936356089999999863e-01,4.346896476951465083e+00,4.766905399999999959e-01
7.118095979999999878e-01,4.346893376523245145e+00,4.766902000000000084e-01
7.296486719999999426e-01,4.346889273015308142e+00,4.766897500000000232e-01
7.471246240000000149e-01,4.346883801671390657e+00,4.766891500000000059e-01
7.642098240000000375e-01,4.346878147949343685e+00,4.766885299999999992e-01
7.808772520000000217e-01,4.346871582336643947e+00,4.766878099999999896e-01
7.971005559999999601e-01,4.346862463430115398e+00,4.766868100000000164e-01
8.128540839999999212e-01,4.346852615011065346e+00,4.766857299999999742e-01
8.281129259999999714e-01,4.346841581134167853e+00,4.766845200000000005e-01
8.428529539999999320e-01,4.346826443749330693e+00,4.766828599999999860e-01
8.570508639999999678e-01,4.346808570692537010e+00,4.766809000000000185e-01
8.706842019999999627e-01,4.346787870774718066e+00,4.766786299999999921e-01
8.837314139999999929e-01,4.346760878811395834e+00,4.766756699999999958e-01
8.961718700000000926e-01,4.346726409344721098e+00,4.766718899999999870e-01
9.079858999999999014e-01,4.346684644752824234e+00,4.766673100000000107e-01
9.191548219999999825e-01,4.346630478448047619e+00,4.766613699999999731e-01
9.296609780000000267e-01,4.346557436006761144e+00,4.766533600000000259e-01
9.394877560000001182e-01,4.346463237702328897e+00,4.766430300000000231e-01
9.486196199999999967e-01,4.346337305603179324e+00,4.766292200000000201e-01
9.570421320000001009e-01,4.346157207199254913e+00,4.766094699999999795e-01
9.647419799999999990e-01,4.345904157543108326e+00,4.765817199999999865e-01
9.717069959999999895e-01,4.345536209664710547e+00,4.765413700000000197e-01
9.779261739999999259e-01,4.344962174498785856e+00,4.764784200000000136e-01
9.833897040000000311e-01,4.344031772465752894e+00,4.763763899999999829e-01
9.880889840000000035e-01,4.342424474001160384e+00,4.762001299999999993e-01
9.920166720000000993e-01,4.339325231239554270e+00,4.758602599999999794e-01
9.951667960000000202e-01,4.332377080410688919e+00,4.750983100000000237e-01
9.975351960000000684e-01,4.312964296248960494e+00,4.729694600000000082e-01
9.991230760000000544e-01,4.238410031447952697e+00,4.647936699999999921e-01
9.999011360000000792e-01,4.020109701217675635e+00,4.408543600000000007e-01
