# r/R_[-],AxInd_[-],AxInd4_[-],AxInd5_[-],r_[m]
1.000000000000000021e-02,3.333333333424757794e-01,3.333333333333350912e-01,3.333333333333333148e-01,1.000000000000000000e+00
2.000000000000000042e-02,3.333333334074174981e-01,3.333333333333609039e-01,3.333333333333333148e-01,2.000000000000000000e+00
2.999999999999999889e-02,3.333333335886899951e-01,3.333333333334767556e-01,3.333333333333334259e-01,3.000000000000000000e+00
4.000000000000000083e-02,3.333333339563487319e-01,3.333333333338023285e-01,3.333333333333337589e-01,4.000000000000000000e+00
5.000000000000000278e-02,3.333333345949104354e-01,3.333333333345285254e-01,3.333333333333344806e-01,5.000000000000000000e+00
6.000000000000001166e-02,3.333333356085808608e-01,3.333333333359408401e-01,3.333333333333364790e-01,6.000000000000000888e+00
6.999999999999999278e-02,3.333333371269712742e-01,3.333333333384549402e-01,3.333333333333405868e-01,6.999999999999999112e+00
8.000000000000000167e-02,3.333333393115728849e-01,3.333333333426612977e-01,3.333333333333486914e-01,8.000000000000000000e+00
8.999999999999999667e-02,3.333333423633033643e-01,3.333333333493872508e-01,3.333333333333634019e-01,9.000000000000000000e+00
1.000000000000000056e-01,3.333333465314948230e-01,3.333333333597791603e-01,3.333333333333892701e-01,1.000000000000000000e+01
1.100000000000000006e-01,3.333333521247353604e-01,3.333333333754088246e-01,3.333333333334327353e-01,1.100000000000000000e+01
1.199999999999999956e-01,3.333333595240344782e-01,3.333333333984159763e-01,3.333333333335040671e-01,1.200000000000000000e+01
1.300000000000000044e-01,3.333333691988483727e-01,3.333333334316940233e-01,3.333333333336181981e-01,1.300000000000000000e+01
1.400000000000000133e-01,3.333333817265918264e-01,3.333333334791347968e-01,3.333333333337973325e-01,1.400000000000000178e+01
1.500000000000000222e-01,3.333333978163782740e-01,3.333333335459477409e-01,3.333333333340740556e-01,1.500000000000000178e+01
1.600000000000000033e-01,3.333334183378736659e-01,3.333333336390789103e-01,3.333333333344954963e-01,1.600000000000000000e+01
1.700000000000000122e-01,3.333334443563287786e-01,3.333333337677564234e-01,3.333333333351300443e-01,1.700000000000000000e+01
1.800000000000000488e-01,3.333334771750747771e-01,3.333333339442028365e-01,3.333333333360758433e-01,1.800000000000000355e+01
1.900000000000000022e-01,3.333335183870320129e-01,3.333333341845620135e-01,3.333333333374733365e-01,1.900000000000000000e+01
2.000000000000000111e-01,3.333335699371037797e-01,3.333333345101038292e-01,3.333333333395225306e-01,2.000000000000000000e+01
2.100000000000000477e-01,3.333336341977141126e-01,3.333333349487903607e-01,3.333333333425071432e-01,2.100000000000000355e+01
2.200000000000000011e-01,3.333337140602160575e-01,3.333333355373065410e-01,3.333333333468285753e-01,2.200000000000000000e+01
2.300000000000000100e-01,3.333338130454571169e-01,3.333333363236932745e-01,3.333333333530527631e-01,2.300000000000000000e+01
2.400000000000000466e-01,3.333339354374672547e-01,3.333333373707579317e-01,3.333333333619756811e-01,2.400000000000000355e+01
2.500000000000000000e-01,3.333340864450430319e-01,3.333333387604865972e-01,3.333333333747138250e-01,2.500000000000000000e+01
