# r/R_[-],twist_[deg],phi_[deg],alpha_[deg]
0.000000000000000000e+00,9.000000000000000000e+01,9.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000042e-02,8.315722670907238978e+01,8.315722658736905260e+01,-1.217033371858633473e-07
4.000000000000000083e-02,7.650426695266835964e+01,7.650426671920419608e+01,-2.334641635570733342e-07
5.999999999999999778e-02,7.020112397335003607e+01,7.020112364547507866e+01,-3.278749574064931949e-07
8.000000000000000167e-02,6.435899457704665849e+01,6.435899417569473258e+01,-4.013519259160602815e-07
1.000000000000000056e-01,5.903624392180829972e+01,5.903624346792648225e+01,-4.538818174637526681e-07
1.199999999999999956e-01,5.424611323340251090e+01,5.424611274556325924e+01,-4.878392516616258945e-07
1.400000000000000133e-01,4.996974123478888430e+01,4.996974072811030965e+01,-5.066785746521418332e-07
1.600000000000000033e-01,4.616913984187850417e+01,4.616913932790743047e+01,-5.139710737012137542e-07
1.799999999999999933e-01,4.279740235111395208e+01,4.279740183823420097e+01,-5.128797511133598164e-07
2.000000000000000111e-01,3.980557159823182189e+01,3.980557109226519685e+01,-5.059666250417649280e-07
2.200000000000000011e-01,3.714668719321373658e+01,3.714668669802178158e+01,-4.951919549966987688e-07
2.399999999999999911e-01,3.477783184836227548e+01,3.477783136636387695e+01,-4.819983985271392157e-07
2.600000000000000089e-01,3.266091318909171548e+01,3.266091272167381021e+01,-4.674179052699400927e-07
2.800000000000000266e-01,3.076271998641085048e+01,3.076271953423891503e+01,-4.521719354499964538e-07
2.999999999999999889e-01,2.905460453583135916e+01,2.905460409907714592e+01,-4.367542132399648835e-07
3.200000000000000067e-01,2.751200304534635421e+01,2.751200262385145479e+01,-4.214948994274436700e-07
3.400000000000000244e-01,2.611391303689903864e+01,2.611391263029071297e+01,-4.066083256759611686e-07
3.599999999999999867e-01,2.484238949768291249e+01,2.484238910545519019e+01,-3.922277223011860769e-07
3.800000000000000044e-01,2.368208810296857436e+01,2.368208772453845157e+01,-3.784301227938158263e-07
4.000000000000000222e-01,2.261986531329444006e+01,2.261986494804042636e+01,-3.652540137011328625e-07
4.199999999999999845e-01,2.164443549342582429e+01,2.164443514071400188e+01,-3.527118224155856296e-07
4.400000000000000022e-01,2.074608061648205037e+01,2.074608027568341484e+01,-3.407986355341563467e-07
4.600000000000000200e-01,1.991640632330740601e+01,1.991640599380908938e+01,-3.294983166313159018e-07
4.799999999999999822e-01,1.914813777672731376e+01,1.914813745793960464e+01,-3.187877091193058732e-07
5.000000000000000000e-01,1.843494913156165538e+01,1.843494882292200998e+01,-3.086396453966244735e-07
5.200000000000000178e-01,1.777132112193359958e+01,1.777132082290875914e+01,-2.990248404444173502e-07
5.400000000000000355e-01,1.715242203012521927e+01,1.715242174021183885e+01,-2.899133804135090031e-07
5.600000000000000533e-01,1.657400803818453738e+01,1.657400775690898698e+01,-2.812755504066899448e-07
5.799999999999999600e-01,1.603233962701839843e+01,1.603233935393597065e+01,-2.730824277819010604e-07
5.999999999999999778e-01,1.552411126206053993e+01,1.552411099675425632e+01,-2.653062836088793119e-07
6.199999999999999956e-01,1.504639209011927825e+01,1.504639183219851084e+01,-2.579207674102690362e-07
6.400000000000000133e-01,1.459657577639521442e+01,1.459657552549417581e+01,-2.509010386120280600e-07
6.600000000000000311e-01,1.417233794435573380e+01,1.417233770013196192e+01,-2.442237718724982187e-07
6.800000000000000488e-01,1.377159995494958089e+01,1.377159971708241848e+01,-2.378671624114758743e-07
6.999999999999999556e-01,1.339249798556198812e+01,1.339249775375109763e+01,-2.318108904830751271e-07
7.199999999999999734e-01,1.303335655194987552e+01,1.303335632591384652e+01,-2.260360290051721677e-07
7.399999999999999911e-01,1.269266576564288940e+01,1.269266554511788492e+01,-2.205250044795548092e-07
7.600000000000000089e-01,1.236906174118698587e+01,1.236906152592550434e+01,-2.152614815287279271e-07
7.800000000000000266e-01,1.206130966727480214e+01,1.206130945704450319e+01,-2.102302989470672401e-07
8.000000000000000444e-01,1.176828913743804428e+01,1.176828893202064741e+01,-2.054173968701888953e-07
8.199999999999999512e-01,1.148898140296892301e+01,1.148898120215920393e+01,-2.008097190753233008e-07
8.399999999999999689e-01,1.122245826583997541e+01,1.122245806944483348e+01,-1.963951419270415499e-07
8.599999999999999867e-01,1.096787237482408983e+01,1.096787218266167763e+01,-1.921624122047660421e-07
8.800000000000000044e-01,1.072444872557224471e+01,1.072444853747118110e+01,-1.881010636139990311e-07
9.000000000000000222e-01,1.049147719653297628e+01,1.049147701233160035e+01,-1.842013759301153186e-07
9.200000000000000400e-01,1.026830597846455362e+01,1.026830579801024079e+01,-1.804543128258728757e-07
9.399999999999999467e-01,1.005433577684579660e+01,1.005433559999434756e+01,-1.768514490407824269e-07
9.599999999999999645e-01,9.849014684501968375e+00,9.849014511117031745e+00,-1.733849366303275019e-07
9.799999999999999822e-01,9.651833636851725018e+00,9.651833466804243145e+00,-1.700474818733255233e-07
1.000000000000000000e+00,9.462322374857857099e+00,9.462322208025616632e+00,-1.668322404668742820e-07
