time_[s],azimuth_[rad],omega_[rad/s],rotacc_[rad/s^2]
  0.000000,  0.000000,  0.000000,  0.000000
  0.500000,  0.628319,  1.256637,  2.513274
  1.000000,  1.884956,  2.513274,  2.513274
  1.500000,  3.769911,  3.769911,  2.513274
  2.000000,  6.283185,  5.026548,  2.513274
  2.500000,  9.424778,  6.283185,  2.513274
  3.000000, 12.566371,  6.283185,  0.000000
  3.500000, 15.707963,  6.283185,  0.000000
  4.000000, 18.849556,  6.283185,  0.000000
  4.500000, 21.991149,  6.283185,  0.000000
  5.000000, 25.132741,  6.283185,  0.000000
  5.500000, 28.274334,  6.283185,  0.000000
  6.000000, 31.415927,  6.283185,  0.000000
  6.500000, 34.557519,  6.283185,  0.000000
  7.000000, 37.699112,  6.283185,  0.000000
  7.500000, 40.840704,  6.283185,  0.000000
  8.000000, 43.982297,  6.283185,  0.000000
  8.500000, 47.123890,  6.283185,  0.000000
  9.000000, 50.265482,  6.283185,  0.000000
  9.500000, 53.407075,  6.283185,  0.000000
 10.000000, 56.548668,  6.283185,  0.000000
 10.500000, 59.690260,  6.283185,  0.000000
 11.000000, 62.831853,  6.283185,  0.000000
 11.500000, 65.973446,  6.283185,  0.000000
 12.000000, 69.115038,  6.283185,  0.000000
 12.500000, 72.256631,  6.283185,  0.000000
 13.000000, 75.398224,  6.283185,  0.000000
 13.500000, 78.539816,  6.283185,  0.000000
 14.000000, 81.681409,  6.283185,  0.000000
 14.500000, 84.823002,  6.283185,  0.000000
 15.000000, 87.964594,  6.283185,  0.000000
 15.500000, 91.106187,  6.283185,  0.000000
 16.000000, 94.247780,  6.283185,  0.000000
 16.500000, 97.389372,  6.283185,  0.000000
 17.000000,100.530965,  6.283185,  0.000000
 17.500000,103.672558,  6.283185,  0.000000
 18.000000,106.814150,  6.283185,  0.000000
 18.500000,109.955743,  6.283185,  0.000000
 19.000000,113.097336,  6.283185,  0.000000
 19.500000,116.238928,  6.283185,  0.000000
 20.000000,119.380521,  6.283185,  0.000000
 20.500000,122.522113,  6.283185,  0.000000
 21.000000,125.663706,  6.283185,  0.000000
 21.500000,128.805299,  6.283185,  0.000000
 22.000000,131.946891,  6.283185,  0.000000
 22.500000,135.088484,  6.283185,  0.000000
 23.000000,138.230077,  6.283185,  0.000000
 23.500000,141.371669,  6.283185,  0.000000
 24.000000,144.513262,  6.283185,  0.000000
 24.500000,147.654855,  6.283185,  0.000000
 25.000000,150.796447,  6.283185,  0.000000
 25.500000,153.938040,  6.283185,  0.000000
 26.000000,157.079633,  6.283185,  0.000000
 26.500000,160.221225,  6.283185,  0.000000
 27.000000,163.362818,  6.283185,  0.000000
 27.500000,166.504411,  6.283185,  0.000000
 28.000000,169.646003,  6.283185,  0.000000
 28.500000,172.787596,  6.283185,  0.000000
 29.000000,175.929189,  6.283185,  0.000000
 29.500000,179.070781,  6.283185,  0.000000
 30.000000,182.212374,  6.283185,  0.000000
 30.500000,185.353967,  6.283185,  0.000000
 31.000000,188.495559,  6.283185,  0.000000
 31.500000,191.637152,  6.283185,  0.000000
 32.000000,194.778745,  6.283185,  0.000000
 32.500000,197.920337,  6.283185,  0.000000
 33.000000,201.061930,  6.283185,  0.000000
 33.500000,204.203522,  6.283185,  0.000000
 34.000000,207.345115,  6.283185,  0.000000
 34.500000,210.486708,  6.283185,  0.000000
 35.000000,213.628300,  6.283185,  0.000000
