## This file was generated by AeroDyn_Inflow_Driver on Oct-09-2024 at 20:36:21
## This file contains output channels requested from the OutList section of the AD15 and IfW input filespy_ad_driver.out
#
#
#
#
     Time              Wind1VelX                Wind1VelY                Wind1VelZ               AB1N001VUndx             AB1N002VUndx             AB1N001VUndy             AB1N002VUndy             AB1N001VUndz             AB1N002VUndz             AB1N001STVx              AB1N002STVx              AB1N001STVy              AB1N002STVy              AB1N001STVz              AB1N002STVz              AB1N001VRel              AB1N002VRel              AB1N001Vindx             AB1N002Vindx             AB1N001Vindy             AB1N002Vindy             AB1N001Alpha             AB1N002Alpha              AB1N001Fn                AB1N002Fn                AB1N001Ft                AB1N002Ft        
      (s)                (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (m/s)                    (deg)                    (deg)                    (N/m)                    (N/m)                    (N/m)                    (N/m)          
    0.0000                2.0000000               -0.0000000                0.0000000                2.1669447                2.5060766                0.0000000                0.0000000                0.1895932                0.2192650                0.0000000                0.0000000              -10.4719801              -31.4159336                0.0000000                0.0000000               10.6938305               31.5157318                0.0000000                0.0000000                0.0000000                0.0000000               11.6910906                4.5608768              197.4951172             1166.5699463               33.1142960               86.1932983
    0.1000                2.0000000               -0.0000000                0.0000000                2.1659980                2.5033383                0.0198096                0.0228948                0.1884722                0.2178256                0.0000071                0.0000122              -10.4719763              -31.4159336                0.0000224                0.0000567               10.6268654               31.5374527               -0.8776832               -0.8776832                0.0566991                0.0566991                6.9631643                2.9547019              161.9676208              948.0039673               18.2178745               42.4651566
    0.2000                2.0000000               -0.0000000                0.0000000                2.1631684                2.4951491                0.0393496                0.0453885                0.1851271                0.2135385                0.0000095                0.0000286              -10.4719782              -31.4159279               -0.0000211               -0.0000651               10.6686573               31.5660801               -0.6656135               -0.6656135                0.0517029                0.0517029                8.0691805                3.3226111              174.4599762             1000.5437012               22.9756889               51.5675812
    0.3000                2.0000000               -0.0000000                0.0000000                2.1584849                2.4815853                0.0583591                0.0670948                0.1796098                0.2064954                0.0000123                0.0000476              -10.4719744              -31.4159298                0.0000226                0.0000591               10.6966228               31.5878849               -0.5620127               -0.5620127                0.0464835                0.0464835                8.5834055                3.4838827              180.2362366             1024.2086182               25.3478470               55.8046722
    0.4000                2.0000000               -0.0000000                0.0000000                2.1519957                2.4627740                0.0765827                0.0876424                0.1720071                0.1968473                0.0000156                0.0000558              -10.4719810              -31.4159317                0.0000124                0.0000438               10.7193069               31.6072197               -0.4996090               -0.4996090                0.0426225                0.0426225                8.8674469                3.5609052              183.4877014             1036.1123047               26.7118206               57.9094849
    0.5000                2.0000000               -0.0000000                0.0000000                2.1437678                2.4388916                0.0937823                0.1066930                0.1624366                0.1847986                0.0000205                0.0000722              -10.4719772              -31.4159298               -0.0000199               -0.0000723               10.7386198               31.6244888               -0.4585096               -0.4585096                0.0398017                0.0398017                9.0288877                3.5901823              185.5399475             1041.2962646               27.5314579               58.7552567
    0.6000                2.0000000               -0.0000000                0.0000000                2.1338866                2.4101629                0.1097403                0.1239485                0.1510440                0.1705998                0.0000260                0.0000879              -10.4719782              -31.4159317                0.0000241                0.0000669               10.7553129               31.6396084               -0.4293512               -0.4293512                0.0376690                0.0376690                9.1187220                3.5892158              186.8306580             1042.1583252               28.0123463               58.7855301
    0.7000                2.0000000               -0.0000000                0.0000000                2.1224551                2.3768609                0.1242584                0.1391525                0.1380022                0.1545436                0.0000337                0.0001002              -10.4719753              -31.4159317                0.0000227                0.0000832               10.7695990               31.6523952               -0.4079521               -0.4079521                0.0360213                0.0360213                9.1601906                3.5661530              187.6572571             1039.8038330               28.2705193               58.2153397
    0.8000                2.0000000               -0.0000000                0.0000000                2.1095920                2.3393023                0.1371658                0.1521016                0.1235053                0.1369537                0.0000390                0.0001071              -10.4719753              -31.4159317               -0.0000282               -0.0000849               10.7816296               31.6626778               -0.3911102               -0.3911102                0.0346593                0.0346593                9.1712694                3.5274210              188.1650848             1035.1059570               28.3829918               57.2209015
    0.9000                2.0000000               -0.0000000                0.0000000                2.0954323                2.2978492                0.1483220                0.1626498                0.1077627                0.1181725                0.0000435                0.0001197              -10.4719753              -31.4159298               -0.0000251               -0.0000622               10.7913666               31.6703262               -0.3777477               -0.3777477                0.0334954                0.0334954                9.1586123                3.4756303              188.4040222             1028.4161377               28.3778877               55.8789940
    1.0000                2.0000000               -0.0000000                0.0000000                2.0801244                2.2529032                0.1576143                0.1707060                0.0909982                0.0985566                0.0000376                0.0001221              -10.4719801              -31.4159298                0.0000242                0.0000686               10.7989426               31.6753178               -0.3659256               -0.3659256                0.0324328                0.0324328                9.1334314                3.4150534              188.4672394             1020.3256836               28.3055401               54.3107491
    1.1000                2.0000000               -0.0000000                0.0000000                2.0638306                2.2049055                0.1649601                0.1762361                0.0734452                0.0784656                0.0000407                0.0001329              -10.4719753              -31.4159355               -0.0000089               -0.0000384               10.8043098               31.6776752               -0.3556045               -0.3556045                0.0314858                0.0314858                9.0967598                3.3465142              188.3608856             1010.9530029               28.1704350               52.5458107
    1.2000                2.0000000               -0.0000000                0.0000000                2.0467236                2.1543324                0.1703101                0.1792643                0.0553374                0.0582469                0.0000486                0.0001366              -10.4719744              -31.4159355               -0.0000166               -0.0000528               10.8074865               31.6774406               -0.3463546               -0.3463546                0.0306101                0.0306101                9.0518389                3.2716653              188.1114349             1000.5335083               27.9874420               50.6349220
    1.3000                2.0000000               -0.0000000                0.0000000                2.0289865                2.1016929                0.1736436                0.1798659                0.0369087                0.0382313                0.0000459                0.0001477              -10.4719763              -31.4159336                0.0000262                0.0000691               10.8084917               31.6747074               -0.3379403               -0.3379403                0.0297728                0.0297728                9.0009642                3.1918023              187.7381592              989.2577515               27.7672997               48.6185417
    1.4000                2.0000000               -0.0000000                0.0000000                2.0108092                2.0475240                0.1749686                0.1781633                0.0183902                0.0187260                0.0000515                0.0001438              -10.4719772              -31.4159260               -0.0000177               -0.0000522               10.8073759               31.6696434               -0.3301869               -0.3301869                0.0289645                0.0289645                8.9459229                3.1082194              187.2118835              977.3209839               27.5099087               46.5357628
    1.5000                2.0000000               -0.0000000                0.0000000                1.9923886                1.9923885                0.1743207                0.1743207                0.0000000                0.0000000                0.0000518                0.0001444              -10.4719782              -31.4159317               -0.0000000               -0.0000000               10.8042259               31.6624641               -0.3229573               -0.3229573                0.0281779                0.0281779                8.8884792                3.0221100              186.5930786              964.9075928               27.2322445               44.4214554
    1.6000                2.0000000               -0.0000000                0.0000000                1.9739254                1.9368688                0.1717592                0.1685348               -0.0180529               -0.0177140                0.0000515                0.0001438              -10.4719772              -31.4159260                0.0000177                0.0000522               10.7991276               31.6533813               -0.3162481               -0.3162481                0.0274131                0.0274131                8.8295946                2.9345076              185.8946991              952.1793823               26.9397049               42.2966728
    1.7000                2.0000000               -0.0000000                0.0000000                1.9556220                1.8815628                0.1673650                0.1610269               -0.0355741               -0.0342270                0.0000459                0.0001477              -10.4719763              -31.4159336               -0.0000262               -0.0000691               10.7922096               31.6426697               -0.3099540               -0.3099540                0.0266654                0.0266654                8.7708139                2.8466353              185.1355133              939.3271484               26.6402569               40.1984749
    1.8000                2.0000000               -0.0000000                0.0000000                1.9376805                1.8270800                0.1612365                0.1520333               -0.0523892               -0.0493989                0.0000486                0.0001366              -10.4719744              -31.4159355                0.0000166                0.0000528               10.7835932               31.6305866               -0.3040951               -0.3040951                0.0259375                0.0259375                8.7129087                2.7595606              184.3272095              926.5179443               26.3382378               38.1555595
    1.9000                2.0000000               -0.0000000                0.0000000                1.9203001                1.7740326                0.1534879                0.1417968               -0.0683374               -0.0631322                0.0000407                0.0001329              -10.4719753              -31.4159355                0.0000089                0.0000384               10.7734337               31.6173992               -0.2986646               -0.2986646                0.0252315                0.0252315                8.6569424                2.6743326              183.4849854              913.9161377               26.0392952               36.1915016
    2.0000                2.0000000               -0.0000000                0.0000000                1.9036756                1.7230320                0.1442445                0.1305568               -0.0832791               -0.0753766                0.0000376                0.0001221              -10.4719801              -31.4159298               -0.0000242               -0.0000686               10.7618828               31.6033745               -0.2936659               -0.2936659                0.0245518                0.0245518                8.6037169                2.5920520              182.6216583              901.6918335               25.7477932               34.3290749
    2.1000                2.0000000               -0.0000000                0.0000000                1.8879942                1.6746798                0.1336388                0.1185397               -0.0970947               -0.0861245                0.0000435                0.0001197              -10.4719753              -31.4159298                0.0000251                0.0000622               10.7490883               31.5887680               -0.2891080               -0.2891080                0.0239017                0.0239017                8.5540400                2.5137424              181.7497559              890.0026855               25.4679565               32.5874481
    2.2000                2.0000000               -0.0000000                0.0000000                1.8734344                1.6295612                0.1218108                0.1059542               -0.1096796               -0.0954021                0.0000390                0.0001071              -10.4719753              -31.4159317                0.0000282                0.0000849               10.7352314               31.5738087               -0.2850096               -0.2850096                0.0232863                0.0232863                8.5087290                2.4404500              180.8828125              879.0064697               25.2040901               30.9846764
    2.3000                2.0000000               -0.0000000                0.0000000                1.8601619                1.5882359                0.1089025                0.0929827               -0.1209478               -0.1032672                0.0000337                0.0001002              -10.4719753              -31.4159317               -0.0000227               -0.0000832               10.7204752               31.5586910               -0.2813511               -0.2813511                0.0227092                0.0227092                8.4686041                2.3731861              180.0074463              868.8533936               24.9564095               29.5366631
    2.4000                2.0000000               -0.0000000                0.0000000                1.8483297                1.5512296                0.0950549                0.0797758               -0.1308312               -0.1098014                0.0000260                0.0000879              -10.4719782              -31.4159317               -0.0000241               -0.0000669               10.7049837               31.5435791               -0.2781731               -0.2781731                0.0221763                0.0221763                8.4341631                2.3128490              179.1572876              859.6749878               24.7311172               28.2559280
    2.5000                2.0000000               -0.0000000                0.0000000                1.8380742                1.5190235                0.0804093                0.0664520               -0.1392737               -0.1150988                0.0000205                0.0000722              -10.4719772              -31.4159298                0.0000199                0.0000723               10.6889086               31.5286045               -0.2754822               -0.2754822                0.0216921                0.0216921                8.4059782                2.2602973              178.3500824              851.5949097               24.5321922               27.1536274
    2.6000                2.0000000               -0.0000000                0.0000000                1.8295146                1.4920471                0.0651067                0.0530973               -0.1462315               -0.1192580                0.0000156                0.0000558              -10.4719810              -31.4159317               -0.0000124               -0.0000438               10.6724186               31.5138683               -0.2733185               -0.2733185                0.0212654                0.0212654                8.3843784                2.2162378              177.5942230              844.7136230               24.3614635               26.2376900
    2.7000                2.0000000               -0.0000000                0.0000000                1.8227509                1.4706663                0.0492819                0.0397625               -0.1516730               -0.1223757                0.0000123                0.0000476              -10.4719744              -31.4159298               -0.0000226               -0.0000591               10.6556501               31.4994183               -0.2716808               -0.2716808                0.0209021                0.0209021                8.3698254                2.1813316              176.8982086              839.1218262               24.2211933               25.5153828
    2.8000                2.0000000               -0.0000000                0.0000000                1.8178623                1.4551761                0.0330682                0.0264707               -0.1555753               -0.1245361                0.0000095                0.0000286              -10.4719782              -31.4159279                0.0000211                0.0000651               10.6387711               31.4852962               -0.2705730               -0.2705730                0.0206075                0.0206075                8.3626337                2.1561539              176.2700500              834.8976440               24.1131268               24.9929657
    2.9000                2.0000000               -0.0000000                0.0000000                1.8149058                1.4457937                0.0165986                0.0132228               -0.1579223               -0.1258043                0.0000071                0.0000122              -10.4719763              -31.4159336               -0.0000224               -0.0000567               10.6219168               31.4715157               -0.2699417               -0.2699417                0.0203850                0.0203850                8.3633337                2.1411853              175.7186127              832.1043701               24.0398312               24.6758041
    3.0000                2.0000000               -0.0000000                0.0000000                1.8139162                1.4426514               -0.0000000               -0.0000000               -0.1587056               -0.1262224                0.0000000               -0.0000000              -10.4719801              -31.4159336                0.0000000                0.0000000               10.6052294               31.4580479               -0.2698548               -0.2698548                0.0202438                0.0202438                8.3716984                2.1365557              175.2457123              830.7550049               24.0006409               24.5636597
    3.1000                2.0000000               -0.0000000                0.0000000                1.8149058                1.4457937               -0.0165986               -0.0132228               -0.1579223               -0.1258043               -0.0000071               -0.0000122              -10.4719763              -31.4159336                0.0000224                0.0000567               10.5888338               31.4448776               -0.2702480               -0.2702480                0.0201853                0.0201853                8.3880539                2.1424859              174.8578491              830.8753052               23.9972858               24.6596222
