## This file was generated by AeroDyn_Inflow_Driver on Sep-23-2026 at 12:43:23
## This file contains output channels requested from the OutList section of the AD15 and IfW input filespy_ad_driver.out
#
#
#
#
     Time               TwN1Fbx                  TwN3Fby                  TwN4Fbz                  TwN6Mbx                  TwN5Mby                  TwN2Mbz                  B2N4Fbn                  B1N7Fbt                  B2N8Fbs                  B1N2Mbn                  B2N3Mbt                  B1N6Mbs                  B1FldFz                  B2FldMx                   HbFbx                    HbFby                    HbFbz                    HbMbx                    HbMby                    HbMbz                    NcFbx                    NcFby                    NcFbz                    NcMbx                    NcMby                    NcMbz                   RtFldFxh                 RtFldFyh                 RtFldFzg                 RtFldMxh                 RtFldMyg                 RtFldMzh                B1N3SigCr                B2N5SigCr                B1N2SgCav                B2N6SgCav        
      (s)                (N/m)                    (N/m)                    (N/m)                   (N-m/m)                  (N-m/m)                  (N-m/m)                   (N/m)                    (N/m)                    (N/m)                   (N-m/m)                  (N-m/m)                  (N-m/m)                    (N)                     (N-m)                     (N)                      (N)                      (N)                     (N-m)                    (N-m)                    (N-m)                     (N)                      (N)                      (N)                     (N-m)                    (N-m)                    (N-m)                     (N)                      (N)                      (N)                     (N-m)                    (N-m)                    (N-m)                     (-)                      (-)                      (-)                      (-)           
    0.0000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              231.0019531               79.7735977           -10698.2812500            -3136.4194336             1319.1733398               -1.7280803           -69790.1562500           149881.1562500                0.0000000               -0.0000000            62312.3515625               -0.0000000           -16081.2978516                0.0000000                0.0000000                0.0000000         -1390711.2500000                0.0000000          -166840.0468750                0.0000000           423627.0937500            -5562.3979492           123946.5390625           406043.9375000           116543.6640625                0.0000000               28.0333004               14.1310387                4.2458806                1.4508448
    0.1000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              443.1802979              228.6112671           -10677.7578125            -3158.4455566             1317.9534912               -1.6533911           -70730.5781250            56713.5273438               27.3326035             8802.9521484            61847.5820312               -3.9262326           -15953.1953125             1960.4873047              625.8200073             -292.0493469         -1390711.1250000                0.0000000          -166840.0312500               35.0364075           182753.6250000            26032.7734375           123868.1953125           108330.2656250          -272505.1562500             4669.3803711               27.5038357               13.6091795                3.5944424                1.1573511
    0.2000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000              787.3768921              389.8037109           -10603.9892578            -3182.1496582             1310.7799072              -10.2545853           -72100.4609375            60669.7031250              -99.5366440            17679.7246094            60425.7109375               -6.8715415           -15592.5234375             3927.0888672             2934.3942871             -667.5398560         -1390708.0000000                0.0000000          -166839.6562500               80.0830307           170688.2187500            49350.0703125           123174.3515625            85944.9453125          -315947.1250000             8483.1523438               27.2757225               13.0198841                2.9134061                1.1498512
    0.3000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1017.2595215              539.5862427           -10478.7177734            -3210.2192383             1301.0998535              -13.3378849           -74588.9375000            62529.9023438             -259.2721558            26379.3242188            58021.9648438              -12.1938467           -14961.0283203             5863.5327148             6258.1997070             -361.5812683         -1390697.1250000                0.0000000          -166838.3593750               43.3779716           169664.0156250            68792.6484375           119874.2187500            68278.0078125          -256950.1093750            13055.5839844               27.3562832               12.6607571                2.4420905                1.1329800
    0.4000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1214.2205811              685.8587036           -10301.6083984            -3240.3039551             1288.5434570              -14.6159058           -77518.7187500            63131.3242188             -469.8781128            34759.7617188            54650.1992188               -3.8740249           -14104.7685547             7724.9877930            10180.0390625            -1126.4455566         -1390673.6250000                0.0000000          -166835.5312500              135.1367798           159939.5781250            84871.8593750           114695.2187500            50367.8164062          -178528.9062500            16129.6484375               27.7111320               12.2595720                2.1480303                1.0992650
    0.5000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1307.6158447              824.3483276           -10077.6035156            -3272.4621582             1278.5043945              -12.8139162           -79932.4531250            67266.4062500             -717.6807861            42606.0546875            50354.1953125              -13.3933029           -12996.9746094             9471.2490234            14950.1806641            -1126.4106445         -1390630.5000000                0.0000000          -166830.3593750              135.1325836           146801.2500000            97455.6718750           108967.1718750            40155.3046875          -146589.5625000            18965.1152344               28.3174610               12.0124598                1.9627072                1.0859598
    0.6000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1331.0551758              946.1593628            -9807.1025391            -3303.6850586             1260.5875244               -9.6858635           -82193.3046875            70436.4218750            -1030.7675781            49780.0156250            45210.1953125               -6.9042578           -11671.2705078            11064.2568359            20832.8085938            -1599.3458252         -1390554.3750000               -0.0000000          -166821.2187500              191.8694000           128834.0937500           105071.3046875           102237.9609375            30466.9218750          -128219.4765625            19735.9531250               29.4064369               11.6354971                1.8314441                1.0596890
    0.7000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1315.1168213             1057.1430664            -9497.7509766            -3334.8806152             1242.3878174               -4.6992888           -84275.8593750            75879.6093750            -1419.3215332            56104.2148438            39322.1484375              -10.6602430           -10142.5351562            12470.7773438            28175.9453125            -1793.9296875         -1390424.6250000               -0.0000000          -166805.6718750              215.2131195           112712.3203125           108357.7109375            95355.1171875            23646.9804688          -135196.1718750            19854.0175781               30.5900040               11.4691916                1.7352057                1.0537398
    0.8000                0.0000000                0.0000000           -12399.7656250                0.0000000                0.0000000                0.0000000             1296.3861084             1152.1038818            -9154.4697266            -3368.1918945             1222.6163330                0.8921853           -86650.4140625            78729.3671875            -1832.4753418            61478.1679688            32814.5234375                3.9379077            -8469.9316406            13664.4794922            36116.8710938            -2239.0095215         -1390240.3750000                0.0000000          -166783.5625000              268.6081848            96083.3281250           105973.3437500            87144.0312500            16488.4492188          -118470.4609375            18293.9101562               31.8683414               11.2754879                1.6777854                1.0300710
