
Predictions were generated on 09-Jun-2020 at 10:52:56 using BeamDyn




Time	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.000000	 0.000E+00	-1.044E+04	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.404E+03	-1.016E+04	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
       0.010000	-3.502E+01	-4.277E+04	 7.589E-01	 1.634E+05	-4.529E+01	 5.848E-03	 9.811E+03	-4.163E+04	 7.589E-01	 1.590E+05	 3.756E+04	 5.848E-03	-1.900E-07	-3.971E-04	 1.325E-09	-8.566E-06	-3.080E-06	-5.313E-10
       0.020000	-2.344E+02	-8.129E+04	 8.288E+00	 4.311E+05	-2.202E+03	-1.683E-01	 1.848E+04	-7.916E+04	 8.288E+00	 4.200E+05	 9.709E+04	-1.683E-01	 3.202E-06	-1.728E-03	 7.714E-09	-4.860E-05	-9.955E-06	-4.717E-09
       0.030000	-5.642E+02	-9.742E+04	 2.681E+01	 6.692E+05	-6.969E+03	-1.369E+00	 2.188E+04	-9.493E+04	 2.681E+01	 6.528E+05	 1.473E+05	-1.369E+00	 2.559E-05	-4.330E-03	-3.894E-08	-7.929E-05	-1.425E-05	-1.775E-08
       0.040000	-8.549E+02	-1.049E+05	 5.306E+01	 8.785E+05	-1.289E+04	-4.699E+00	 2.331E+04	-1.023E+05	 5.306E+01	 8.579E+05	 1.897E+05	-4.699E+00	 9.635E-05	-8.521E-03	-4.129E-07	-2.853E-05	-3.789E-06	-5.108E-08
       0.050000	-1.033E+03	-1.129E+05	 8.352E+01	 1.068E+06	-1.919E+04	-1.118E+01	 2.498E+04	-1.101E+05	 8.352E+01	 1.044E+06	 2.271E+05	-1.118E+01	 2.496E-04	-1.401E-02	-1.671E-06	 9.486E-05	 3.501E-05	-1.378E-07
       0.060000	-1.158E+03	-1.195E+05	 1.185E+02	 1.232E+06	-2.596E+04	-2.188E+01	 2.639E+04	-1.166E+05	 1.185E+02	 1.204E+06	 2.582E+05	-2.188E+01	 5.060E-04	-2.004E-02	-4.445E-06	 1.950E-04	 1.112E-04	-3.268E-07
       0.070000	-1.336E+03	-1.229E+05	 1.547E+02	 1.373E+06	-3.348E+04	-3.780E+01	 2.700E+04	-1.199E+05	 1.547E+02	 1.344E+06	 2.835E+05	-3.780E+01	 8.539E-04	-2.596E-02	-9.348E-06	 1.687E-04	 2.248E-04	-5.996E-07
       0.080000	-1.615E+03	-1.251E+05	 1.830E+02	 1.509E+06	-4.164E+04	-5.951E+01	 2.723E+04	-1.221E+05	 1.830E+02	 1.478E+06	 3.069E+05	-5.951E+01	 1.239E-03	-3.171E-02	-1.725E-05	-2.124E-05	 3.649E-04	-7.193E-07
       0.090000	-1.951E+03	-1.287E+05	 1.989E+02	 1.652E+06	-4.978E+04	-8.700E+01	 2.773E+04	-1.257E+05	 1.989E+02	 1.619E+06	 3.318E+05	-8.700E+01	 1.567E-03	-3.800E-02	-2.919E-05	-3.225E-04	 5.109E-04	-1.598E-07
       0.100000	-2.237E+03	-1.338E+05	 2.077E+02	 1.801E+06	-5.703E+04	-1.202E+02	 2.862E+04	-1.307E+05	 2.077E+02	 1.766E+06	 3.591E+05	-1.202E+02	 1.722E-03	-4.611E-02	-4.554E-05	-6.154E-04	 6.359E-04	 1.679E-06
       0.110000	-2.373E+03	-1.390E+05	 2.161E+02	 1.949E+06	-6.267E+04	-1.597E+02	 2.968E+04	-1.358E+05	 2.161E+02	 1.911E+06	 3.875E+05	-1.597E+02	 1.590E-03	-5.744E-02	-6.530E-05	-7.577E-04	 7.128E-04	 4.955E-06
       0.120000	-2.324E+03	-1.430E+05	 2.241E+02	 2.089E+06	-6.651E+04	-2.064E+02	 3.065E+04	-1.397E+05	 2.241E+02	 2.048E+06	 4.161E+05	-2.064E+02	 1.082E-03	-7.313E-02	-8.734E-05	-6.330E-04	 7.202E-04	 8.882E-06
       0.130000	-2.124E+03	-1.459E+05	 2.282E+02	 2.223E+06	-6.889E+04	-2.605E+02	 3.152E+04	-1.425E+05	 2.282E+02	 2.180E+06	 4.447E+05	-2.605E+02	 1.561E-04	-9.372E-02	-1.130E-04	-1.835E-04	 6.464E-04	 1.170E-05
       0.140000	-1.862E+03	-1.487E+05	 2.326E+02	 2.357E+06	-7.054E+04	-3.202E+02	 3.241E+04	-1.451E+05	 2.326E+02	 2.310E+06	 4.740E+05	-3.202E+02	-1.185E-03	-1.191E-01	-1.479E-04	 5.816E-04	 4.901E-04	 1.135E-05
       0.150000	-1.635E+03	-1.523E+05	 2.538E+02	 2.495E+06	-7.225E+04	-3.819E+02	 3.346E+04	-1.486E+05	 2.538E+02	 2.445E+06	 5.041E+05	-3.819E+02	-2.895E-03	-1.487E-01	-2.013E-04	 1.602E-03	 2.591E-04	 6.473E-06
       0.160000	-1.505E+03	-1.570E+05	 3.105E+02	 2.636E+06	-7.456E+04	-4.416E+02	 3.467E+04	-1.531E+05	 3.105E+02	 2.583E+06	 5.343E+05	-4.416E+02	-4.898E-03	-1.814E-01	-2.835E-04	 2.792E-03	-3.348E-05	-2.701E-06
       0.170000	-1.476E+03	-1.620E+05	 4.075E+02	 2.772E+06	-7.756E+04	-4.972E+02	 3.586E+04	-1.580E+05	 4.075E+02	 2.715E+06	 5.626E+05	-4.972E+02	-7.101E-03	-2.164E-01	-4.028E-04	 4.070E-03	-3.717E-04	-1.424E-05
       0.180000	-1.501E+03	-1.660E+05	 5.262E+02	 2.889E+06	-8.102E+04	-5.502E+02	 3.676E+04	-1.619E+05	 5.262E+02	 2.830E+06	 5.861E+05	-5.502E+02	-9.407E-03	-2.527E-01	-5.636E-04	 5.372E-03	-7.398E-04	-2.512E-05
       0.190000	-1.518E+03	-1.675E+05	 6.325E+02	 2.976E+06	-8.458E+04	-6.054E+02	 3.708E+04	-1.634E+05	 6.325E+02	 2.916E+06	 6.027E+05	-6.054E+02	-1.172E-02	-2.896E-01	-7.670E-04	 6.657E-03	-1.123E-03	-3.219E-05
