
Predictions were generated on 13-Jun-2022 at 18:33:23 using BeamDyn




Time	RootFxr             	RootFyr             	RootFzr             	RootMxr             	RootMyr             	RootMzr             	N1Fxl               	N1Fyl               	N1Fzl               	N1Mxl               	N1Myl               	N1Mzl               	TipTDxr             	TipTDyr             	TipTDzr             	TipRDxr             	TipRDyr             	TipRDzr             
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.000000	 -5.37659347E-25	 -1.04448282E+04	 -4.29273652E-22	  1.65514686E-06	 -1.35493717E-08	  3.91883757E-24	  2.40424922E+03	 -1.01643505E+04	  8.11726213E-12	  1.61381964E-06	  3.67805472E-07	 -8.53999131E-23	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00
       0.010000	 -3.54032837E+01	 -4.27704880E+04	  7.58877090E-01	  1.63384505E+05	 -4.60078967E+01	  5.80876146E-03	  9.81069856E+03	 -4.16301104E+04	  7.58877090E-01	  1.59007689E+05	  3.75639906E+04	  5.80876145E-03	 -1.82712198E-07	 -3.97079285E-04	  1.32515510E-09	 -8.56724543E-06	 -3.08690424E-06	 -5.33278843E-10
       0.020000	 -2.35820683E+02	 -8.12912601E+04	  8.28867088E+00	  4.31088105E+05	 -2.20946308E+03	 -1.69286989E-01	  1.84825907E+04	 -7.91626074E+04	  8.28867088E+00	  4.20020572E+05	  9.70801493E+04	 -1.69286990E-01	  3.29585649E-06	 -1.72836001E-03	  7.71522934E-09	 -4.86011436E-05	 -9.95577441E-06	 -4.74867772E-09
       0.030000	 -5.66989252E+02	 -9.74193520E+04	  2.68068234E+01	  6.69162372E+05	 -6.99309881E+03	 -1.37519221E+00	  2.18727699E+04	 -9.49338378E+04	  2.68068234E+01	  6.52802893E+05	  1.47226242E+05	 -1.37519221E+00	  2.59974113E-05	 -4.32996019E-03	 -3.89444210E-08	 -7.92953117E-05	 -1.42036908E-05	 -1.79349276E-08
       0.040000	 -8.59242458E+02	 -1.04885300E+05	  5.30603491E+01	  8.78492368E+05	 -1.29419970E+04	 -4.71922446E+00	  2.33069184E+04	 -1.02266573E+05	  5.30603491E+01	  8.57881048E+05	  1.89621845E+05	 -4.71922446E+00	  9.74499393E-05	 -8.52163866E-03	 -4.12913529E-07	 -2.85325839E-05	 -3.61707757E-06	 -5.17084794E-08
       0.050000	 -1.03897348E+03	 -1.12867519E+05	  8.35209604E+01	  1.06784182E+06	 -1.92703935E+04	 -1.12370204E+01	  2.49694058E+04	 -1.10075815E+05	  8.35209604E+01	  1.04360256E+06	  2.27048907E+05	 -1.12370204E+01	  2.51867588E-04	 -1.40138774E-02	 -1.67085555E-06	  9.48712653E-05	  3.54662720E-05	 -1.39295120E-07
       0.060000	 -1.16480334E+03	 -1.19522602E+05	  1.18523634E+02	  1.23145224E+06	 -2.60698465E+04	 -2.19878145E+01	  2.63788592E+04	 -1.16581152E+05	  1.18523634E+02	  1.20438464E+06	  2.58092807E+05	 -2.19878145E+01	  5.09890036E-04	 -2.00434442E-02	 -4.44561407E-06	  1.95049677E-04	  1.12179524E-04	 -3.29708731E-07
       0.070000	 -1.34286276E+03	 -1.22923376E+05	  1.54689640E+02	  1.37314734E+06	 -3.36291038E+04	 -3.79917635E+01	  2.69883905E+04	 -1.19931590E+05	  1.54689640E+02	  1.34401480E+06	  2.83352714E+05	 -3.79917635E+01	  8.59819079E-04	 -2.59562850E-02	 -9.34978953E-06	  1.68737828E-04	  2.26652261E-04	 -6.04329726E-07
       0.080000	 -1.62359568E+03	 -1.25130038E+05	  1.82995606E+02	  1.50912151E+06	 -4.18283658E+04	 -5.98261386E+01	  2.72231382E+04	 -1.22143618E+05	  1.82995606E+02	  1.47822497E+06	  3.06672928E+05	 -5.98261386E+01	  1.24714650E-03	 -3.17067953E-02	 -1.72507194E-05	 -2.11987869E-05	  3.68071296E-04	 -7.24544948E-07
       0.090000	 -1.96100043E+03	 -1.28694690E+05	  1.98946436E+02	  1.65181001E+06	 -5.00200316E+04	 -8.74748392E+01	  2.77153253E+04	 -1.25690212E+05	  1.98946436E+02	  1.61896742E+06	  3.31546074E+05	 -8.74748392E+01	  1.57771631E-03	 -3.80036503E-02	 -2.92008730E-05	 -3.22544069E-04	  5.15588159E-04	 -1.59279080E-07
       0.100000	 -2.24859353E+03	 -1.33802208E+05	  2.07715020E+02	  1.80087052E+06	 -5.73170212E+04	 -1.20874646E+02	  2.86111323E+04	 -1.30726777E+05	  2.07715020E+02	  1.76570483E+06	  3.58756617E+05	 -1.20874646E+02	  1.73450881E-03	 -4.61099292E-02	 -4.55473125E-05	 -6.15469489E-04	  6.42171927E-04	  1.69897534E-06
       0.110000	 -2.38760434E+03	 -1.38960390E+05	  2.16136874E+02	  1.94844365E+06	 -6.30108499E+04	 -1.60580823E+02	  2.96631937E+04	 -1.35778443E+05	  2.16136874E+02	  1.91062578E+06	  3.87184899E+05	 -1.60580823E+02	  1.60262327E-03	 -5.74385904E-02	 -6.53148533E-05	 -7.57885927E-04	  7.20498450E-04	  5.01218325E-06
       0.120000	 -2.33911969E+03	 -1.42971748E+05	  2.24160337E+02	  2.08884550E+06	 -6.68808504E+04	 -2.07571144E+02	  3.06337333E+04	 -1.39670923E+05	  2.24160337E+02	  2.04814820E+06	  4.15737306E+05	 -2.07571144E+02	  1.09394649E-03	 -7.31216758E-02	 -8.73627436E-05	 -6.33338696E-04	  7.28898930E-04	  8.98986932E-06
       0.130000	 -2.13854625E+03	 -1.45890344E+05	  2.28254419E+02	  2.22317267E+06	 -6.92685482E+04	 -2.62037227E+02	  3.15007395E+04	 -1.42464976E+05	  2.28254419E+02	  2.17941786E+06	  4.44333909E+05	 -2.62037227E+02	  1.63760103E-04	 -9.37115326E-02	 -1.13001445E-04	 -1.84024468E-04	  6.55341868E-04	  1.18608867E-05
       0.140000	 -1.87378197E+03	 -1.48671805E+05	  2.32631115E+02	  2.35708861E+06	 -7.09047163E+04	 -3.22171886E+02	  3.23986462E+04	 -1.45110800E+05	  2.32631115E+02	  2.31011435E+06	  4.73567200E+05	 -3.22171886E+02	 -1.18447873E-03	 -1.19100060E-01	 -1.47871335E-04	  5.80980608E-04	  4.98433608E-04	  1.15290976E-05
       0.150000	 -1.64167564E+03	 -1.52284525E+05	  2.53761657E+02	  2.49519578E+06	 -7.25825175E+04	 -3.84231002E+02	  3.34561159E+04	 -1.48573079E+05	  2.53761657E+02	  2.44489910E+06	  5.03724738E+05	 -3.84231002E+02	 -2.90508497E-03	 -1.48642836E-01	 -2.01294848E-04	  1.60091135E-03	  2.65738949E-04	  6.62995549E-06
       0.160000	 -1.50456465E+03	 -1.56977031E+05	  3.10501153E+02	  2.63619874E+06	 -7.48393011E+04	 -4.44195469E+02	  3.46696924E+04	 -1.53108015E+05	  3.10501153E+02	  2.58263514E+06	  5.33985409E+05	 -4.44195469E+02	 -4.92234717E-03	 -1.81397766E-01	 -2.83509254E-04	  2.79098185E-03	 -2.93853810E-05	 -2.61794215E-06
       0.170000	 -1.46772103E+03	 -1.62027443E+05	  4.07403675E+02	  2.77161653E+06	 -7.77993887E+04	 -5.00056338E+02	  3.58680790E+04	 -1.58014327E+05	  4.07403675E+02	  2.71509790E+06	  5.62276037E+05	 -5.00056338E+02	 -7.14373634E-03	 -2.16367092E-01	 -4.02724706E-04	  4.06891165E-03	 -3.71068032E-04	 -1.42667929E-05
       0.180000	 -1.48715695E+03	 -1.66022405E+05	  5.26136590E+02	  2.88866234E+06	 -8.12396401E+04	 -5.53282203E+02	  3.67687476E+04	 -1.61906484E+05	  5.26136590E+02	  2.82979254E+06	  5.85870430E+05	 -5.53282203E+02	 -9.47034596E-03	 -2.52664535E-01	 -5.63555934E-04	  5.37104934E-03	 -7.43336355E-04	 -2.52565421E-05
       0.190000	 -1.50098873E+03	 -1.67500154E+05	  6.32544274E+02	  2.97583797E+06	 -8.48221251E+04	 -6.08670869E+02	  3.70954438E+04	 -1.63347735E+05	  6.32544274E+02	  2.91545186E+06	  6.02450722E+05	 -6.08670869E+02	 -1.18032390E-02	 -2.89585598E-01	 -7.66979044E-04	  6.65622986E-03	 -1.13134898E-03	 -3.24160419E-05
       0.200000	 -1.46623667E+03	 -1.65640685E+05	  6.93440374E+02	  3.02853719E+06	 -8.83608381E+04	 -6.72783617E+02	  3.67012398E+04	 -1.61530200E+05	  6.93440374E+02	  2.96755049E+06	  6.11137638E+05	 -6.72783617E+02	 -1.40464547E-02	 -3.26605134E-01	 -1.01107682E-03	  7.90139152E-03	 -1.52169574E-03	 -3.33339538E-05
       0.210000	 -1.38242553E+03	 -1.60677440E+05	  6.90874809E+02	  3.05207451E+06	 -9.19874748E+04	 -7.51735055E+02	  3.56403325E+04	 -1.56680941E+05	  6.90874809E+02	  2.99129056E+06	  6.13026341E+05	 -7.51735055E+02	 -1.61083247E-02	 -3.63343644E-01	 -1.29190364E-03	  9.09493154E-03	 -1.90226144E-03	 -2.67790586E-05
       0.220000	 -1.29219870E+03	 -1.53860680E+05	  6.26383747E+02	  3.06091241E+06	 -9.61450272E+04	 -8.49162177E+02	  3.41590164E+04	 -1.50026465E+05	  6.26383747E+02	  3.00084814E+06	  6.11014790E+05	 -8.49162177E+02	 -1.79024411E-02	 -3.99533724E-01	 -1.60425267E-03	  1.02320602E-02	 -2.26206339E-03	 -1.26718272E-05
       0.230000	 -1.26138641E+03	 -1.47028571E+05	  5.16438674E+02	  3.07464076E+06	 -1.01425853E+05	 -9.65054214E+02	  3.26163481E+04	 -1.43370728E+05	  5.16438674E+02	  3.01542341E+06	  6.09035840E+05	 -9.65054214E+02	 -1.93487050E-02	 -4.34995571E-01	 -1.94233029E-03	  1.13130512E-02	 -2.59120166E-03	  8.17586529E-06
       0.240000	 -1.34998440E+03	 -1.42008327E+05	  3.84623993E+02	  3.11254157E+06	 -1.08339741E+05	 -1.09591139E+03	  3.13745413E+04	 -1.38505688E+05	  3.84623993E+02	  3.05389794E+06	  6.11031834E+05	 -1.09591139E+03	 -2.03741228E-02	 -4.69612688E-01	 -2.30025639E-03	  1.23426075E-02	 -2.88082084E-03	  3.43273983E-05
       0.250000	 -1.58792045E+03	 -1.40103802E+05	  2.54665770E+02	  3.18884282E+06	 -1.17117451E+05	 -1.23633404E+03	  3.07046003E+04	 -1.36707075E+05	  2.54665770E+02	  3.13017075E+06	  6.20053284E+05	 -1.23633404E+03	 -2.09128790E-02	 -5.03295865E-01	 -2.67219907E-03	  1.33279474E-02	 -3.12291517E-03	  6.38996194E-05
       0.260000	 -1.96526318E+03	 -1.41839521E+05	  1.45438341E+02	  3.31010809E+06	 -1.27626445E+05	 -1.38155725E+03	  3.07369281E+04	 -1.38483043E+05	  1.45438341E+02	  3.25059867E+06	  6.37740011E+05	 -1.38155725E+03	 -2.09057114E-02	 -5.35934195E-01	 -3.05204782E-03	  1.42745878E-02	 -3.30993087E-03	  9.46864933E-05
       0.270000	 -2.43879434E+03	 -1.46991615E+05	  6.77866987E+01	  3.47511545E+06	 -1.39417970E+05	 -1.52990582E+03	  3.14620507E+04	 -1.43605786E+05	  6.77866987E+01	  3.41388929E+06	  6.64247448E+05	 -1.52990582E+03	 -2.02993171E-02	 -5.67346862E-01	 -3.43279816E-03	  1.51809642E-02	 -3.43432819E-03	  1.24293066E-04
       0.280000	 -2.94966525E+03	 -1.54818590E+05	  2.32363531E+01	  3.67662102E+06	 -1.51868509E+05	 -1.68404061E+03	  3.27665553E+04	 -1.51340177E+05	  2.32363531E+01	  3.61284971E+06	  6.98514930E+05	 -1.68404061E+03	 -1.90469353E-02	 -5.97257950E-01	 -3.80606965E-03	  1.60344979E-02	 -3.48841575E-03	  1.50287771E-04
       0.290000	 -3.44326464E+03	 -1.64355526E+05	  4.84748468E+00	  3.90394847E+06	 -1.64347880E+05	 -1.85037577E+03	  3.44814762E+04	 -1.60734634E+05	  4.84748468E+00	  3.83694525E+06	  7.38698180E+05	 -1.85037577E+03	 -1.71110423E-02	 -6.25312367E-01	 -4.16223680E-03	  1.68116271E-02	 -3.46475674E-03	  1.70321365E-04
       0.300000	 -3.88329973E+03	 -1.74657408E+05	  3.34161515E-02	  4.14544187E+06	 -1.76349063E+05	 -2.03693067E+03	  3.64246027E+04	 -1.70861168E+05	  3.34161517E-02	  4.07471627E+06	  7.82607577E+05	 -2.03693067E+03	 -1.44682959E-02	 -6.51135948E-01	 -4.49145935E-03	  1.74827350E-02	 -3.35725951E-03	  1.82173596E-04
       0.310000	 -4.25613079E+03	 -1.84940218E+05	 -5.47213846E+00	  4.39024972E+06	 -1.87543390E+05	 -2.25063223E+03	  3.84287382E+04	 -1.80953671E+05	 -5.47213846E+00	  4.31552701E+06	  8.28065099E+05	 -2.25063223E+03	 -1.11158217E-02	 -6.74424288E-01	 -4.78550431E-03	  1.80207268E-02	 -3.16278321E-03	  1.83771339E-04
       0.320000	 -4.56618044E+03	 -1.94630368E+05	 -2.37349876E+01	  4.62936591E+06	 -1.97761587E+05	 -2.49526791E+03	  4.03575475E+04	 -1.90454977E+05	 -2.37349876E+01	  4.55057422E+06	  8.73162400E+05	 -2.49526791E+03	 -7.07709667E-03	 -6.95031904E-01	 -5.03980891E-03	  1.84103486E-02	 -2.88283790E-03	  1.73296212E-04
