
Predictions were generated on 09-Dec-2020 at 11:35:55 using BeamDyn




Time	RootFxr             	RootFyr             	RootFzr             	RootMxr             	RootMyr             	RootMzr             	TipTDxr             	TipTDyr             	TipTDzr             	TipRDxr             	TipRDyr             	TipRDzr             
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.000000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
       0.002000	 2.664E-03	 6.000E+02	 5.594E-03	-2.824E+04	 1.871E-01	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.004000	 2.183E-04	 6.000E+02	-4.331E-03	-2.824E+04	 5.551E-04	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.006000	-3.558E-06	 6.000E+02	-5.780E-06	-2.824E+04	-1.132E-05	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.008000	-1.965E-07	 6.000E+02	-2.403E-07	-2.824E+04	-6.639E-07	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.010000	-9.016E-09	 6.000E+02	-2.286E-08	-2.824E+04	-2.844E-08	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.012000	-4.433E-10	 6.000E+02	-6.576E-10	-2.824E+04	 4.332E-10	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.014000	-2.940E-10	 6.000E+02	-1.506E-09	-2.824E+04	 1.876E-09	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.016000	 2.009E-10	 6.000E+02	 2.569E-11	-2.824E+04	 2.203E-09	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
       0.018000	-3.616E-11	 6.000E+02	-1.198E-10	-2.824E+04	 2.218E-09	 9.341E+03	-1.372E+01	 5.358E+01	-2.365E+01	-1.045E+00	-5.723E-02	 5.780E-01
