
Predictions were generated on 13-Jun-2022 at 18:34:24 using BeamDyn




Time	RootFxr             	RootFyr             	RootFzr             	RootMxr             	RootMyr             	RootMzr             	TipTDxr             	TipTDyr             	TipTDzr             	TipRDxr             	TipRDyr             	TipRDzr             
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.000000	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00
       0.002000	 -1.72615267E+02	 -4.00046430E+06	  6.61102566E+03	  3.54348758E+07	 -1.94533348E+03	 -6.87064529E+06	  1.71810749E+00	 -3.59245172E+00	 -1.14114408E+00	  6.52044003E-01	  3.40538144E-01	 -1.66342324E-01
       0.004000	 -1.36917890E-01	 -4.00000008E+06	  1.01448135E-01	  3.54354216E+07	 -1.10001958E-01	 -6.87243220E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
       0.006000	 -8.50486382E-03	 -4.00000000E+06	 -1.91555900E-04	  3.54354215E+07	 -6.80820669E-03	 -6.87243219E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
       0.008000	 -5.09720451E-04	 -4.00000000E+06	 -7.13131976E-06	  3.54354215E+07	 -4.08355968E-04	 -6.87243219E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
       0.010000	 -3.01535308E-05	 -4.00000000E+06	 -9.38638368E-06	  3.54354215E+07	 -2.43263665E-05	 -6.87243219E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
       0.012000	 -2.68177223E-06	 -4.00000000E+06	 -6.54312862E-06	  3.54354215E+07	 -1.45100455E-06	 -6.87243219E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
       0.014000	  1.90148739E-07	 -4.00000000E+06	  2.62862341E-06	  3.54354215E+07	 -9.20516641E-08	 -6.87243219E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
       0.016000	 -1.43546913E-07	 -4.00000000E+06	 -3.43292686E-06	  3.54354215E+07	  1.65040774E-07	 -6.87243219E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
       0.018000	  8.66045866E-08	 -4.00000000E+06	  2.08326128E-06	  3.54354215E+07	  1.12722148E-07	 -6.87243219E+06	  1.71810805E+00	 -3.59245231E+00	 -1.14114462E+00	  6.52044084E-01	  3.40538298E-01	 -1.66342576E-01
