
Predictions were generated on 29-Sep-2025 at 15:43:49 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: ! NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the ITI Barge with 4m draft.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	   2.636978E-02	  -1.876910E+06	   1.447439E+02	   6.192760E+07	  -1.084390E+04	  -1.094946E+08	  -3.589896E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   1.046431E+00	  -1.741366E-04	  -1.768276E-01	   8.358824E-06	   6.542654E-02	   3.039767E-06	  -9.815751E+05	   0.000000E+00	  -1.677659E+06	   0.000000E+00	  -2.517843E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.031090E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	  -8.958000E+05	   1.447439E+02	   3.294366E+06	  -1.084390E+04	  -8.431490E+07	  -3.589896E+02
    0.0125	   2.545483E-02	  -1.891151E+06	   6.486792E+02	   6.176985E+07	  -4.711606E+04	  -1.096890E+08	  -3.106339E+02	   8.172818E-05	  -2.831423E-08	  -1.381056E-05	   2.290697E-09	   5.104412E-06	   2.374789E-10	   1.307319E-02	  -5.992863E-06	  -2.209410E-03	   5.265003E-07	   8.157849E-04	   3.799592E-08	   1.048016E+00	  -7.830607E-04	  -1.710491E-01	   3.627763E-05	   6.546611E-02	   2.630312E-06	  -9.943917E+05	   0.000000E+00	  -1.727980E+06	   0.000000E+00	  -2.531013E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.031112E+07	  -4.635064E+00	  -1.032842E+04	   0.000000E+00	  -8.970550E+05	   6.486455E+02	   3.186710E+06	  -4.711149E+04	  -8.436759E+07	  -3.106339E+02
    0.0250	   2.498065E-02	  -1.903453E+06	   1.553706E+03	   6.160654E+07	  -1.090195E+05	  -1.095377E+08	  -4.587943E+02	   3.270712E-04	  -1.898062E-07	  -5.453325E-05	   1.262104E-08	   2.041333E-05	   8.992543E-10	   2.618617E-02	  -2.205161E-05	  -4.282718E-03	   1.189539E-06	   1.633310E-03	   6.617959E-08	   1.046674E+00	  -1.882088E-03	  -1.649458E-01	   8.382826E-05	   6.521515E-02	   3.882968E-06	  -1.007336E+06	   0.000000E+00	  -1.778383E+06	   0.000000E+00	  -2.544227E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.031178E+07	  -2.553776E+01	  -4.130496E+04	   0.000000E+00	  -8.962751E+05	   1.553594E+03	   3.073150E+06	  -1.089941E+05	  -8.405350E+07	  -4.587942E+02
    0.0375	   2.489844E-02	  -1.914841E+06	   2.584888E+03	   6.144538E+07	  -1.712415E+05	  -1.091180E+08	  -1.244807E+03	   7.360804E-04	  -6.455157E-07	  -1.207885E-04	   3.491007E-08	   4.591293E-05	   2.094879E-09	   3.924698E-02	  -5.337858E-05	  -6.304730E-03	   2.400346E-06	   2.445603E-03	   1.311885E-07	   1.043552E+00	  -3.148374E-03	  -1.589307E-01	   1.313723E-04	   6.473298E-02	   1.053513E-05	  -1.020403E+06	   0.000000E+00	  -1.828851E+06	   0.000000E+00	  -2.557472E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.031284E+07	  -7.063791E+01	  -9.290163E+04	   0.000000E+00	  -8.944920E+05	   2.584667E+03	   2.961387E+06	  -1.711713E+05	  -8.344996E+07	  -1.244807E+03
    0.0500	   2.515941E-02	  -1.925428E+06	   3.565787E+03	   6.128849E+07	  -2.145999E+05	  -1.084607E+08	  -1.075677E+03	   1.308084E-03	  -1.588212E-06	  -2.118776E-04	   7.575041E-08	   8.152394E-05	   4.881543E-09	   5.226543E-02	  -9.967369E-05	  -8.253809E-03	   4.057760E-06	   3.251074E-03	   3.325692E-07	   1.038893E+00	  -4.379703E-03	  -1.531196E-01	   1.639602E-04	   6.404456E-02	   9.096031E-06	  -1.033585E+06	   0.000000E+00	  -1.879371E+06	   0.000000E+00	  -2.570739E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.031431E+07	  -1.532749E+02	  -1.649580E+05	   0.000000E+00	  -8.918245E+05	   3.565470E+03	   2.853555E+06	  -2.144472E+05	  -8.258822E+07	  -1.075677E+03
    0.0625	   2.571478E-02	  -1.935255E+06	   4.295874E+03	   6.113131E+07	  -2.177350E+05	  -1.075829E+08	   6.545922E+02	   2.042425E-03	  -3.201665E-06	  -3.268668E-04	   1.391628E-07	   1.271453E-04	   9.421140E-09	   6.521542E-02	  -1.610035E-04	  -1.013281E-02	   6.058373E-06	   4.046490E-03	   3.951461E-07	   1.032742E+00	  -5.345583E-03	  -1.472674E-01	   1.649590E-04	   6.316351E-02	  -5.573149E-06	  -1.046877E+06	   0.000000E+00	  -1.929925E+06	   0.000000E+00	  -2.584015E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.031616E+07	  -2.815839E+02	  -2.572697E+05	   0.000000E+00	  -8.883153E+05	   4.295498E+03	   2.745082E+06	  -2.174540E+05	  -8.148543E+07	   6.545923E+02
    0.0750	   2.651574E-02	  -1.944514E+06	   4.517229E+03	   6.097582E+07	  -1.551293E+05	  -1.065169E+08	   4.074657E+03	   2.938113E-03	  -5.647837E-06	  -4.648775E-04	   2.267554E-07	   1.826348E-04	   1.319356E-08	   7.808050E-02	  -2.308226E-04	  -1.193694E-02	   7.696874E-06	   4.829948E-03	   1.649399E-07	   1.025328E+00	  -5.746268E-03	  -1.414808E-01	   1.145383E-04	   6.211559E-02	  -3.455230E-05	  -1.060272E+06	   0.000000E+00	  -1.980500E+06	   0.000000E+00	  -2.597289E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.031838E+07	  -4.588189E+02	  -3.695488E+05	   0.000000E+00	  -8.841614E+05	   4.516879E+03	   2.637950E+06	  -1.546708E+05	  -8.017442E+07	   4.074657E+03
    0.0875	   2.751350E-02	  -1.953832E+06	   4.064212E+03	   6.081961E+07	  -9.969600E+03	  -1.053308E+08	   8.702229E+03	   3.994012E-03	  -8.974684E-06	  -6.249935E-04	   3.288808E-07	   2.478325E-04	   1.149624E-08	   9.084666E-02	  -3.009195E-04	  -1.366954E-02	   8.348537E-06	   5.599473E-03	  -5.225456E-07	   1.017386E+00	  -5.390053E-03	  -1.356303E-01	  -3.566903E-07	   6.095435E-02	  -7.374220E-05	  -1.073765E+06	   0.000000E+00	  -2.031081E+06	   0.000000E+00	  -2.610550E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.032095E+07	  -6.654617E+02	  -5.014719E+05	   0.000000E+00	  -8.799858E+05	   4.063808E+03	   2.529740E+06	  -9.304570E+03	  -7.872386E+07	   8.702229E+03
    0.1000	   2.865928E-02	  -1.963325E+06	   2.784442E+03	   6.066486E+07	   2.316989E+05	  -1.040515E+08	   1.483041E+04	   5.208874E-03	  -1.312854E-05	  -8.063040E-04	   4.284939E-07	   3.225569E-04	  -1.976194E-09	   1.035141E-01	  -3.612347E-04	  -1.532804E-02	   7.157927E-06	   6.354077E-03	  -1.742301E-06	   1.009019E+00	  -4.098209E-03	  -1.298343E-01	  -1.905165E-04	   5.970140E-02	  -1.256009E-04	  -1.087349E+06	   0.000000E+00	  -2.081652E+06	   0.000000E+00	  -2.623786E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   6.032387E+07	  -8.670290E+02	  -6.526715E+05	   0.000000E+00	  -8.758827E+05	   2.783636E+03	   2.422651E+06	   2.325646E+05	  -7.716106E+07	   1.483041E+04
