
Predictions were generated on 29-Sep-2025 at 15:43:54 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC3 Hywind.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	  -5.621923E-02	  -3.515382E+06	   2.134696E+03	   8.072125E+07	   4.010051E+04	   1.170011E+08	   2.551026E-21	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   1.083502E+00	  -1.011211E-03	   7.264068E-02	   1.182139E-05	   1.128366E-02	  -9.818152E-16	  -5.598316E+05	   0.000000E+00	   3.095671E+04	   0.000000E+00	   2.157090E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070814E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	  -2.955418E+06	   2.134696E+03	  -1.752492E+04	   4.010051E+04	   9.542720E+07	   2.551026E-21
    0.0125	  -5.575502E-02	  -3.533643E+06	   7.083049E+03	   8.072211E+07	   1.317863E+05	   1.174999E+08	   1.418289E-05	   8.456044E-05	  -2.653158E-07	   5.681249E-06	   2.891215E-09	   8.805925E-07	  -3.840416E-16	   1.351642E-02	  -6.062287E-05	   9.094556E-04	   6.544772E-07	   1.407532E-04	  -4.299313E-13	   1.088517E+00	  -3.361551E-03	   7.192519E-02	   3.933822E-05	   1.133393E-02	   4.246625E-05	  -5.620063E+05	   0.000000E+00	   3.177245E+04	   0.000000E+00	   2.154687E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070814E+07	   1.445372E+01	   4.402244E+03	   0.000000E+00	  -2.970043E+06	   7.076726E+03	  -1.735230E+04	   1.317660E+05	   9.594311E+07	  -1.103390E-10
    0.0250	  -5.460426E-02	  -3.546492E+06	   1.501055E+04	   8.072301E+07	   2.803574E+05	   1.179245E+08	  -1.078629E+01	   3.384571E-04	  -1.467541E-06	   2.264699E-05	   1.613440E-08	   3.524333E-06	   4.423635E-09	   2.709371E-02	  -1.473500E-04	   1.803258E-03	   1.634757E-06	   2.820963E-04	   7.962562E-07	   1.090781E+00	  -7.114416E-03	   7.106396E-02	   8.321917E-05	   1.135136E-02	   1.455988E-04	  -5.641839E+05	   0.000000E+00	   3.258920E+04	   0.000000E+00	   2.152209E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070814E+07	   8.065876E+01	   1.761879E+04	   0.000000E+00	  -2.979220E+06	   1.499506E+04	  -1.714456E+04	   2.802591E+05	   9.637590E+07	  -3.783059E-10
    0.0375	  -5.284213E-02	  -3.553773E+06	   2.362287E+04	   8.072393E+07	   4.455431E+05	   1.182727E+08	  -4.518748E+01	   7.622041E-04	  -4.006253E-06	   5.071580E-05	   4.466660E-08	   7.935672E-06	   2.843767E-08	   4.068994E-02	  -2.682619E-04	   2.685802E-03	   3.038221E-06	   4.235346E-04	   3.260857E-06	   1.090201E+00	  -1.116006E-02	   7.010078E-02	   1.303932E-04	   1.133483E-02	   2.513165E-04	  -5.663598E+05	   0.000000E+00	   3.340681E+04	   0.000000E+00	   2.149655E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070813E+07	   2.232954E+02	   3.967189E+04	   0.000000E+00	  -2.982802E+06	   2.359443E+04	  -1.691231E+04	   4.452818E+05	   9.672332E+07	  -6.529895E-10
    0.0500	  -5.054379E-02	  -3.556632E+06	   3.020051E+04	   8.072488E+07	   5.797084E+05	   1.185635E+08	  -1.007394E+02	   1.355873E-03	  -8.321455E-06	   8.973917E-05	   9.387316E-08	   1.411371E-05	   9.052790E-08	   5.427160E-02	  -4.138011E-04	   3.555446E-03	   4.758035E-06	   5.646635E-04	   7.064423E-06	   1.087344E+00	  -1.418360E-02	   6.902434E-02	   1.653708E-04	   1.129106E-02	   2.760049E-04	  -5.685283E+05	   0.000000E+00	   3.422513E+04	   0.000000E+00	   2.147025E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070811E+07	   4.692828E+02	   7.055704E+04	   0.000000E+00	  -2.981940E+06	   3.015626E+04	  -1.665280E+04	   5.791715E+05	   9.700438E+07	  -7.171367E-10
    0.0625	  -4.778443E-02	  -3.556243E+06	   3.194014E+04	   8.072586E+07	   6.336591E+05	   1.188173E+08	  -1.576694E+02	   2.119066E-03	  -1.460001E-05	   1.395442E-04	   1.662769E-07	   2.205215E-05	   1.985532E-07	   6.781384E-02	  -5.672064E-04	   4.410864E-03	   6.588723E-06	   7.051870E-04	   1.062654E-05	   1.082781E+00	  -1.483067E-02	   6.782102E-02	   1.722003E-04	   1.122678E-02	   1.408313E-04	  -5.706851E+05	   0.000000E+00	   3.504400E+04	   0.000000E+00	   2.144315E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070810E+07	   8.312270E+02	   1.102428E+05	   0.000000E+00	  -2.977815E+06	   3.187893E+04	  -1.636276E+04	   6.327229E+05	   9.723963E+07	  -3.659185E-10
    0.0750	  -4.463920E-02	  -3.553917E+06	   2.647234E+04	   8.072686E+07	   5.657976E+05	   1.190561E+08	  -1.819501E+02	   3.051160E-03	  -2.273404E-05	   1.999444E-04	   2.608064E-07	   3.174182E-05	   3.354805E-07	   8.129838E-02	  -6.924061E-04	   5.250393E-03	   8.100993E-06	   8.448854E-04	   1.145862E-05	   1.077158E+00	  -1.195804E-02	   6.649108E-02	   1.374181E-04	   1.114964E-02	  -1.896767E-04	  -5.728251E+05	   0.000000E+00	   3.586327E+04	   0.000000E+00	   2.141527E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070808E+07	   1.303766E+03	   1.586832E+05	   0.000000E+00	  -2.971742E+06	   2.639688E+04	  -1.604224E+04	   5.643504E+05	   9.745098E+07	   4.928323E-10
    0.0875	  -4.118327E-02	  -3.550905E+06	   1.217357E+04	   8.072790E+07	   3.472909E+05	   1.193006E+08	  -1.344240E+02	   4.151368E-03	  -3.207551E-05	   2.707317E-04	   3.699869E-07	   4.317163E-05	   4.522444E-07	   9.471597E-02	  -7.460186E-04	   6.072491E-03	   8.772927E-06	   9.836456E-04	   6.919775E-06	   1.071092E+00	  -4.786116E-03	   6.501976E-02	   5.185428E-05	   1.106695E-02	  -7.120530E-04	  -5.749434E+05	   0.000000E+00	   3.668281E+04	   0.000000E+00	   2.138658E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070806E+07	   1.849535E+03	   2.158229E+05	   0.000000E+00	  -2.964975E+06	   1.209146E+04	  -1.568769E+04	   3.452704E+05	   9.765922E+07	   1.850110E-09
    0.1000	  -3.749183E-02	  -3.547618E+06	  -1.148905E+04	   8.072897E+07	  -3.186319E+04	   1.195570E+08	   2.357285E+01	   5.418832E-03	  -4.139545E-05	   3.516762E-04	   4.793511E-07	   5.632958E-05	   4.672151E-07	   1.080634E-01	  -6.781432E-04	   6.875259E-03	   8.005033E-06	   1.121427E-03	  -5.346496E-06	   1.064791E+00	   6.934569E-03	   6.340061E-02	  -8.740699E-05	   1.098119E-02	  -1.367798E-03	  -5.770351E+05	   0.000000E+00	   3.750245E+04	   0.000000E+00	   2.135708E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070802E+07	   2.396233E+03	   2.816020E+05	   0.000000E+00	  -2.957931E+06	  -1.156442E+04	  -1.529754E+04	  -3.442984E+04	   9.787076E+07	   3.553916E-09
    0.1125	  -3.364003E-02	  -3.544655E+06	  -4.385349E+04	   8.073008E+07	  -5.611710E+05	   1.198342E+08	   3.188691E+02	   6.852647E-03	  -4.883668E-05	   4.425248E-04	   5.668878E-07	   7.120309E-05	   2.758628E-07	   1.213366E-01	  -4.413744E-04	   7.656862E-03	   5.224941E-06	   1.258182E-03	  -2.661302E-05	   1.058563E+00	   2.287222E-02	   6.164548E-02	  -2.764202E-04	   1.089605E-02	  -2.067757E-03	  -5.790954E+05	   0.000000E+00	   3.832203E+04	   0.000000E+00	   2.132675E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070800E+07	   2.833878E+03	   3.559574E+05	   0.000000E+00	  -2.951216E+06	  -4.390302E+04	  -1.487465E+04	  -5.641256E+05	   9.809441E+07	   5.372602E-09
    0.1250	  -2.970305E-02	  -3.542874E+06	  -8.307629E+04	   8.073122E+07	  -1.209892E+06	   1.201472E+08	   7.623810E+02	   8.451907E-03	  -5.199319E-05	   5.430034E-04	   6.039456E-07	   8.777955E-05	  -2.355056E-07	   1.345390E-01	   4.751763E-06	   8.415682E-03	  -5.637230E-08	   1.393946E-03	  -5.685920E-05	   1.052825E+00	   4.212048E-02	   5.975761E-02	  -5.044572E-04	   1.081644E-02	  -2.712282E-03	  -5.811193E+05	   0.000000E+00	   3.914142E+04	   0.000000E+00	   2.129558E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070797E+07	   3.019339E+03	   4.388262E+05	   0.000000E+00	  -2.945692E+06	  -8.307574E+04	  -1.441981E+04	  -1.212910E+06	   9.834535E+07	   7.047255E-09
    0.1375	  -2.575606E-02	  -3.542991E+06	  -1.262751E+05	   8.073238E+07	  -1.929430E+06	   1.205066E+08	   1.347315E+03	   1.021578E-02	  -4.803486E-05	   6.528162E-04	   5.567304E-07	   1.060472E-04	  -1.172448E-06	   1.476775E-01	   6.869789E-04	   9.150110E-03	  -8.164156E-06	   1.528801E-03	  -9.476365E-05	   1.047940E+00	   6.326863E-02	   5.774008E-02	  -7.548376E-04	   1.074670E-02	  -3.218326E-03	  -5.831018E+05	   0.000000E+00	   3.996047E+04	   0.000000E+00	   2.126356E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070793E+07	   2.783820E+03	   5.301495E+05	   0.000000E+00	  -2.942078E+06	  -1.261965E+05	  -1.393375E+04	  -1.931995E+06	   9.863430E+07	   8.362097E-09
    0.1500	  -2.187422E-02	  -3.545267E+06	  -1.699271E+05	   8.073358E+07	  -2.660272E+06	   1.209175E+08	   2.052739E+03	   1.214353E-02	  -3.391656E-05	   7.716484E-04	   3.887949E-07	   1.259954E-04	  -2.618404E-06	   1.607625E-01	   1.614128E-03	   9.858570E-03	  -1.920837E-05	   1.662870E-03	  -1.380847E-04	   1.044034E+00	   8.459502E-02	   5.561105E-02	  -1.007209E-03	   1.068830E-02	  -3.535831E-03	  -5.850379E+05	   0.000000E+00	   4.077903E+04	   0.000000E+00	   2.123069E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.070789E+07	   1.945307E+03	   6.298742E+05	   0.000000E+00	  -2.940640E+06	  -1.697408E+05	  -1.342085E+04	  -2.661667E+06	   9.896632E+07	   9.187064E-09
