
Predictions were generated on 08-Jul-2024 at 15:43:25 using HydroDyn Driver, compiled on Jul  8 2024 at 15:37:46 as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore fixed-bottom HydroDyn input properties for the OC4 Jacket.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	  -3.151849E-01	  -1.099997E+05	   7.960388E+01	   8.020970E+06	   2.324428E+03	   2.877348E+06	   6.349047E-04
    0.0100	  -3.103816E-01	  -7.767386E+05	  -1.612326E+05	   2.847815E+06	  -4.739344E+06	   2.226316E+07	  -1.816737E+04
    0.0200	  -3.055784E-01	  -4.058742E+05	  -1.661072E+05	   2.856865E+06	  -4.919282E+06	   1.132631E+07	  -5.426178E+04
    0.0300	  -3.007751E-01	  -1.260049E+05	  -4.589227E+04	   2.870656E+06	  -1.452120E+06	   2.990341E+06	  -7.487799E+04
    0.0400	  -2.959719E-01	  -7.191027E+04	   1.622466E+05	   2.887386E+06	   4.589179E+06	   1.192094E+06	  -7.769710E+04
    0.0500	  -2.911686E-01	  -2.880772E+05	   3.680598E+05	   2.904869E+06	   1.058717E+07	   7.243903E+06	  -3.183536E+04
    0.0600	  -2.863654E-01	  -5.866898E+05	   4.715682E+05	   2.921021E+06	   1.363889E+07	   1.569514E+07	   5.834858E+04
    0.0700	  -2.815621E-01	  -7.364464E+05	   4.462363E+05	   2.933940E+06	   1.297878E+07	   1.982898E+07	   1.822712E+05
    0.0800	  -2.767589E-01	  -6.017558E+05	   3.371327E+05	   2.942175E+06	   9.922570E+06	   1.571685E+07	   3.193486E+05
    0.0900	  -2.719556E-01	  -2.500153E+05	   2.306822E+05	   2.944810E+06	   6.984292E+06	   5.342975E+06	   4.440740E+05
    0.1000	  -2.671524E-01	   1.262458E+05	   1.870297E+05	   2.941581E+06	   5.905586E+06	  -5.672132E+06	   5.290725E+05
    0.1100	  -2.623492E-01	   3.145815E+05	   1.963272E+05	   2.932884E+06	   6.382940E+06	  -1.113447E+07	   5.567779E+05
    0.1200	  -2.575459E-01	   2.481244E+05	   1.944333E+05	   2.919833E+06	   6.528063E+06	  -9.100758E+06	   5.197981E+05
    0.1300	  -2.527426E-01	   2.141832E+04	   1.107934E+05	   2.904107E+06	   4.265748E+06	  -2.334898E+06	   4.240893E+05
    0.1400	  -2.479394E-01	  -1.616086E+05	  -6.751091E+04	   2.887740E+06	  -7.968888E+05	   3.208061E+06	   2.914655E+05
    0.1500	  -2.431362E-01	  -1.407948E+05	  -2.870356E+05	   2.872797E+06	  -7.115215E+06	   2.845940E+06	   1.517905E+05
    0.1600	  -2.383329E-01	   9.372430E+04	  -4.572274E+05	   2.861083E+06	  -1.205842E+07	  -3.725207E+06	   3.597873E+04
    0.1700	  -2.335297E-01	   4.096690E+05	  -5.168650E+05	   2.853915E+06	  -1.384541E+07	  -1.267195E+07	  -3.304077E+04
    0.1800	  -2.287264E-01	   5.817158E+05	  -4.691028E+05	   2.851871E+06	  -1.256484E+07	  -1.744393E+07	  -4.790504E+04
    0.1900	  -2.239232E-01	   5.249759E+05	  -3.803356E+05	   2.854978E+06	  -1.014211E+07	  -1.559010E+07	  -1.267734E+04
    0.2000	  -2.191199E-01	   2.573331E+05	  -3.265021E+05	   2.862612E+06	  -8.774765E+06	  -7.643716E+06	   4.960635E+04
    0.2100	  -2.143167E-01	  -4.696736E+04	  -3.406213E+05	   2.873643E+06	  -9.405338E+06	   1.312106E+06	   1.133083E+05
    0.2200	  -2.095135E-01	  -1.949656E+05	  -3.896384E+05	   2.886617E+06	  -1.104876E+07	   5.650664E+06	   1.523130E+05
    0.2300	  -2.047102E-01	  -1.368057E+05	  -4.064574E+05	   2.899778E+06	  -1.173014E+07	   3.928738E+06	   1.430112E+05
    0.2400	  -1.999070E-01	   6.741102E+04	  -3.403928E+05	   2.911415E+06	  -9.956488E+06	  -2.095681E+06	   7.609328E+04
    0.2500	  -1.951037E-01	   2.258578E+05	  -1.999688E+05	   2.919983E+06	  -5.966052E+06	  -6.820736E+06	  -4.869856E+04
    0.2600	  -1.973701E-01	   2.025168E+05	  -4.816112E+04	   2.924844E+06	  -1.589940E+06	  -6.297327E+06	  -2.188848E+05
    0.2700	  -1.996364E-01	  -3.004997E+04	   4.093181E+04	   2.925048E+06	   1.010623E+06	   3.145862E+05	  -4.166713E+05
