
Predictions were generated on 31-May-2023 at 21:33:44 using HydroDyn Driver, compiled on May 31 2023 at 15:45:05 as a 64-bit application using double precision at commit v3.5.0-439-g03d62244-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFzi	B1WvsMyi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	   1.119191E-01	  -8.766909E+05	   7.324547E+02	   4.536314E+07	  -2.400521E+04	   5.342924E+07	   7.857404E+02	   5.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   3.316126E-02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	  -2.481871E-02	  -9.563637E-05	   2.403348E-02	   3.466277E-06	  -6.628965E-03	  -1.166936E-07	   2.718885E+05	   4.153677E+05	   4.506832E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   0.000000E+00	   1.262500E+07	   0.000000E+00	  -4.031732E+05	   3.254285E+02	  -3.532728E+05	  -1.685846E+04	   4.569188E+07	   5.681098E+02
    0.0125	   1.104162E-01	  -8.720141E+05	   2.928824E+03	   4.536230E+07	  -9.498552E+04	   5.337503E+07	   1.039402E+04	   4.999998E+00	  -3.154100E-08	   1.874298E-06	   1.226017E-09	   3.316074E-02	  -4.079264E-11	  -3.042399E-04	  -7.373193E-06	   2.994401E-04	   2.882012E-07	  -8.258713E-05	  -9.578910E-09	  -2.388590E-02	  -3.811643E-04	   2.388595E-02	   1.376143E-05	  -6.619827E-03	  -1.052926E-06	   2.894641E+05	   4.111679E+05	   4.343974E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   4.667661E-01	   1.262480E+07	   0.000000E+00	  -4.084471E+05	   1.301577E+03	  -3.511043E+05	  -6.680375E+04	   4.570538E+07	   5.126487E+03
    0.0250	   1.089133E-01	  -8.710886E+05	   6.386245E+03	   4.536239E+07	  -2.038622E+05	   5.314976E+07	   3.025555E+04	   4.999992E+00	  -1.592447E-07	   7.474097E-06	   6.075032E-09	   3.315919E-02	  -2.755810E-10	  -5.873662E-04	  -1.318142E-05	   5.956476E-04	   4.865223E-07	  -1.650151E-04	  -3.042856E-08	  -2.239293E-02	  -8.267439E-04	   2.369358E-02	   2.969104E-05	  -6.588035E-03	  -2.907516E-06	   3.070396E+05	   4.069682E+05	   4.181117E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   2.312871E+00	   1.262421E+07	   0.000000E+00	  -4.154309E+05	   2.836641E+03	  -3.482772E+05	  -1.437612E+05	   4.560329E+07	   1.415649E+04
    0.0375	   1.074105E-01	  -8.737363E+05	   9.980154E+03	   4.536369E+07	  -3.105438E+05	   5.277034E+07	   5.645013E+04	   4.999983E+00	  -3.947286E-07	   1.676519E-05	   1.464377E-08	   3.315661E-02	  -9.374693E-10	  -8.563845E-04	  -2.442014E-05	   8.904906E-04	   8.738307E-07	  -2.471076E-04	  -7.940763E-08	  -2.037922E-02	  -1.280636E-03	   2.344590E-02	   4.560029E-05	  -6.535530E-03	  -5.278280E-06	   3.246152E+05	   4.027684E+05	   4.018260E+06	   0.000000E+00	   0.000000E+00	   1.398911E+08	   5.575139E+00	   1.262323E+07	   0.000000E+00	  -4.240391E+05	   4.427595E+03	  -3.446380E+05	  -2.198635E+05	   4.539640E+07	   2.570032E+04
    0.0500	   1.059076E-01	  -8.789822E+05	   1.250234E+04	   4.536594E+07	  -3.715840E+05	   5.227175E+07	   8.408438E+04	   4.999971E+00	  -8.055729E-07	   2.972125E-05	   2.928349E-08	   3.315302E-02	  -2.403738E-09	  -1.097950E-03	  -3.996007E-05	   1.181957E-03	   1.403896E-06	  -3.284578E-04	  -1.582735E-07	  -1.797662E-02	  -1.579365E-03	   2.315413E-02	   5.538283E-05	  -6.467239E-03	  -7.677489E-06	   3.421908E+05	   3.985687E+05	   3.855403E+06	   0.000000E+00	   0.000000E+00	   1.398910E+08	   1.114874E+01	   1.262186E+07	   0.000000E+00	  -4.338361E+05	   5.533662E+03	  -3.403517E+05	  -2.649862E+05	   4.510902E+07	   3.738396E+04
    0.0625	   1.044047E-01	  -8.857571E+05	   1.278689E+04	   4.536904E+07	  -3.454779E+05	   5.169571E+07	   1.080024E+05	   4.999956E+00	  -1.425508E-06	   4.629667E-05	   5.098270E-08	   3.314841E-02	  -5.031064E-09	  -1.308404E-03	  -5.780160E-05	   1.469460E-03	   2.002426E-06	  -4.089099E-04	  -2.653073E-07	  -1.533455E-02	  -1.565773E-03	   2.282408E-02	   5.318845E-05	  -6.388898E-03	  -9.599781E-06	   3.597663E+05	   3.943689E+05	   3.692546E+06	   0.000000E+00	   0.000000E+00	   1.398910E+08	   1.941001E+01	   1.262010E+07	   0.000000E+00	  -4.443417E+05	   5.633376E+03	  -3.355035E+05	  -2.503137E+05	   4.476980E+07	   4.674789E+04
    0.0750	   1.029018E-01	  -8.928822E+05	   9.960236E+03	   4.537284E+07	  -2.015519E+05	   5.108816E+07	   1.240684E+05	   4.999938E+00	  -2.257372E-06	   6.643895E-05	   7.961516E-08	   3.314280E-02	  -9.125365E-09	  -1.485340E-03	  -7.322551E-05	   1.752755E-03	   2.490704E-06	  -4.883599E-04	  -3.915043E-07	  -1.261754E-02	  -1.122763E-03	   2.246323E-02	   3.467899E-05	  -6.306820E-03	  -1.064488E-05	   3.773419E+05	   3.901691E+05	   3.529689E+06	   0.000000E+00	   0.000000E+00	   1.398909E+08	   3.031089E+01	   1.261797E+07	   0.000000E+00	  -4.550269E+05	   4.336389E+03	  -3.302036E+05	  -1.545259E+05	   4.441027E+07	   5.184419E+04
    0.0875	   1.013989E-01	  -8.991846E+05	   3.640362E+03	   4.537718E+07	   7.260484E+04	   5.049492E+07	   1.295238E+05	   4.999919E+00	  -3.235283E-06	   9.009390E-05	   1.124505E-07	   3.313620E-02	  -1.485046E-08	  -1.628720E-03	  -8.120779E-05	   2.031363E-03	   2.681698E-06	  -5.667942E-04	  -5.251439E-07	  -9.989581E-03	  -2.005916E-04	   2.207936E-02	  -1.940217E-06	  -6.227301E-03	  -1.056186E-05	   3.949174E+05	   3.859694E+05	   3.366832E+06	   0.000000E+00	   0.000000E+00	   1.398908E+08	   4.281190E+01	   1.261546E+07	   0.000000E+00	  -4.653648E+05	   1.472745E+03	  -3.245662E+05	   3.108653E+04	   4.406187E+07	   5.145192E+04
    0.1000	   9.989601E-02	  -9.036004E+05	  -6.008371E+03	   4.538190E+07	   4.691819E+05	   4.995754E+07	   1.234815E+05	   4.999898E+00	  -4.230922E-06	   1.172009E-04	   1.444473E-07	   3.312863E-02	  -2.221081E-08	  -1.740385E-03	  -7.579214E-05	   2.305070E-03	   2.350872E-06	  -6.442713E-04	  -6.513285E-07	  -7.599310E-03	   1.175701E-03	   2.168005E-02	  -5.564353E-05	  -6.156049E-03	  -9.293331E-06	   4.124930E+05	   3.817696E+05	   3.203974E+06	   0.000000E+00	   0.000000E+00	   1.398907E+08	   5.499361E+01	   1.261258E+07	   0.000000E+00	  -4.748781E+05	  -2.882570E+03	  -3.187027E+05	   3.012574E+05	   4.375313E+07	   4.529204E+04
