
Predictions were generated on 29-Sep-2025 at 15:43:58 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	   9.252579E-01	  -5.434886E+06	  -3.334440E+06	   1.392987E+08	  -3.726076E+07	   7.411810E+07	  -3.546747E+07	   5.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   3.316126E-02	   0.000000E+00	   2.755430E-05	  -5.157693E-04	   0.000000E+00	   0.000000E+00	   0.000000E+00	   1.696222E-01	   1.680969E-01	  -9.889536E-06	   2.403348E-02	   3.464371E-06	  -6.628965E-03	  -1.730050E-05	  -3.780194E+06	  -3.334209E+06	  -2.391282E+05	  -3.723662E+07	   6.932850E+07	  -3.555171E+07	   0.000000E+00	   0.000000E+00	   1.398911E+08	   0.000000E+00	  -5.732057E+07	   0.000000E+00	  -1.654693E+06	  -2.306952E+02	  -3.532735E+05	  -2.414291E+04	   6.211018E+07	   8.423844E+04
    0.0125	   9.377514E-01	  -5.431144E+06	  -3.338540E+06	   1.392831E+08	  -3.679667E+07	   7.345502E+07	  -3.825271E+07	   5.000107E+00	   2.700060E-06	   1.465011E-05	   1.805591E-08	   3.315718E-02	   2.117571E-03	   2.200831E-03	  -3.317225E-04	   2.881337E-04	   4.642330E-07	  -8.053311E-05	   1.695680E-01	   1.700431E-01	   2.073518E-03	   2.373930E-02	   2.364768E-05	  -6.569766E-03	  -5.567211E-04	  -3.768863E+06	  -3.323098E+06	  -2.590023E+05	  -3.657116E+07	   6.892810E+07	  -3.520056E+07	   0.000000E+00	   0.000000E+00	   1.398911E+08	   1.213905E+05	  -5.732199E+07	   0.000000E+00	  -1.662281E+06	  -1.544305E+04	  -3.489493E+05	  -3.468991E+05	   6.184891E+07	  -3.052144E+06
    0.0250	   9.501520E-01	  -5.427114E+06	  -3.342316E+06	   1.392675E+08	  -3.632690E+07	   7.278680E+07	  -3.527067E+07	   5.000214E+00	   5.400120E-06	   2.930022E-05	   3.611182E-08	   3.315310E-02	   4.235142E-03	   4.374108E-03	  -1.476757E-04	   5.762675E-04	   1.269533E-06	  -1.610639E-04	   1.695139E-01	   1.719894E-01	   4.156925E-03	   2.344512E-02	   4.357153E-05	  -6.510510E-03	  -1.096142E-03	  -3.757191E+06	  -3.311657E+06	  -2.788567E+05	  -3.590175E+07	   6.852228E+07	  -3.484673E+07	   0.000000E+00	   0.000000E+00	   1.398910E+08	   2.427869E+05	  -5.732316E+07	   0.000000E+00	  -1.669923E+06	  -3.065912E+04	  -3.446257E+05	  -6.679389E+05	   6.158768E+07	  -4.239418E+05
    0.0375	   9.624565E-01	  -5.422860E+06	  -3.345734E+06	   1.392520E+08	  -3.585148E+07	   7.211412E+07	  -3.804399E+07	   5.000321E+00	   8.100180E-06	   4.395034E-05	   5.416774E-08	   3.314902E-02	   6.352714E-03	   6.547385E-03	   3.637114E-05	   8.644012E-04	   2.415891E-06	  -2.415913E-04	   1.694597E-01	   1.739356E-01	   6.240333E-03	   2.315094E-02	   6.323578E-05	  -6.451201E-03	  -1.635562E-03	  -3.745180E+06	  -3.299894E+06	  -2.986855E+05	  -3.522864E+07	   6.811123E+07	  -3.449027E+07	   0.000000E+00	   0.000000E+00	   1.398910E+08	   3.641889E+05	  -5.732407E+07	   0.000000E+00	  -1.677680E+06	  -4.583982E+04	  -3.403029E+05	  -9.870287E+05	   6.132696E+07	  -3.553714E+06
    0.0500	   9.746615E-01	  -5.418382E+06	  -3.348815E+06	   1.392364E+08	  -3.537068E+07	   7.143708E+07	  -4.080672E+07	   5.000429E+00	   1.080024E-05	   5.860045E-05	   7.222365E-08	   3.314494E-02	   8.470285E-03	   8.720662E-03	   2.204179E-04	   1.152535E-03	   3.903297E-06	  -3.221142E-04	   1.694056E-01	   1.758818E-01	   8.323740E-03	   2.285676E-02	   8.264030E-05	  -6.391837E-03	  -2.174983E-03	  -3.732834E+06	  -3.287808E+06	  -3.184831E+05	  -3.455198E+07	   6.769506E+07	  -3.413123E+07	   0.000000E+00	   0.000000E+00	   1.398909E+08	   4.855958E+05	  -5.732472E+07	   0.000000E+00	  -1.685549E+06	  -6.100688E+04	  -3.359810E+05	  -1.304298E+06	   6.106674E+07	  -6.675491E+06
    0.0625	   9.867640E-01	  -5.413688E+06	  -3.351568E+06	   1.392209E+08	  -3.488475E+07	   7.075573E+07	  -4.355586E+07	   5.000535E+00	   1.350030E-05	   7.325057E-05	   9.027956E-08	   3.314087E-02	   1.058786E-02	   1.089394E-02	   4.044648E-04	   1.440669E-03	   5.731734E-06	  -4.026314E-04	   1.693514E-01	   1.778280E-01	   1.040715E-02	   2.256259E-02	   1.017849E-04	  -6.332421E-03	  -2.714403E-03	  -3.720156E+06	  -3.275408E+06	  -3.382436E+05	  -3.387201E+07	   6.727382E+07	  -3.376966E+07	   0.000000E+00	   0.000000E+00	   1.398908E+08	   6.070071E+05	  -5.732512E+07	   0.000000E+00	  -1.693532E+06	  -7.616038E+04	  -3.316601E+05	  -1.619748E+06	   6.080703E+07	  -9.786206E+06
    0.0750	   9.987605E-01	  -5.408777E+06	  -3.353993E+06	   1.392055E+08	  -3.439389E+07	   7.007034E+07	  -4.628838E+07	   5.000643E+00	   1.620036E-05	   8.790068E-05	   1.083355E-07	   3.313679E-02	   1.270543E-02	   1.306722E-02	   5.885116E-04	   1.728802E-03	   7.901185E-06	  -4.831421E-04	   1.692972E-01	   1.797743E-01	   1.249055E-02	   2.226841E-02	   1.206696E-04	  -6.272953E-03	  -3.253824E-03	  -3.707149E+06	  -3.262693E+06	  -3.579613E+05	  -3.318893E+07	   6.684776E+07	  -3.340558E+07	   0.000000E+00	   0.000000E+00	   1.398908E+08	   7.284223E+05	  -5.732526E+07	   0.000000E+00	  -1.701628E+06	  -9.130042E+04	  -3.273401E+05	  -1.933378E+06	   6.054784E+07	  -1.288280E+07
    0.0875	   1.010648E+00	  -5.403652E+06	  -3.356098E+06	   1.391901E+08	  -3.389832E+07	   6.938100E+07	  -4.900132E+07	   5.000750E+00	   1.890042E-05	   1.025508E-04	   1.263914E-07	   3.313271E-02	   1.482300E-02	   1.524049E-02	   7.725584E-04	   2.016936E-03	   1.041163E-05	  -5.636450E-04	   1.692431E-01	   1.817205E-01	   1.457396E-02	   2.197423E-02	   1.392941E-04	  -6.213434E-03	  -3.793245E-03	  -3.693816E+06	  -3.249671E+06	  -3.776304E+05	  -3.250297E+07	   6.641696E+07	  -3.303907E+07	   0.000000E+00	   0.000000E+00	   1.398907E+08	   8.498408E+05	  -5.732514E+07	   0.000000E+00	  -1.709837E+06	  -1.064271E+05	  -3.230210E+05	  -2.245189E+06	   6.028918E+07	  -1.596225E+07
    0.1000	   1.022423E+00	  -5.398321E+06	  -3.357885E+06	   1.391747E+08	  -3.339823E+07	   6.868781E+07	  -5.169166E+07	   5.000857E+00	   2.160048E-05	   1.172009E-04	   1.444473E-07	   3.312863E-02	   1.694057E-02	   1.741377E-02	   9.566052E-04	   2.305070E-03	   1.326305E-05	  -6.441391E-04	   1.691889E-01	   1.836667E-01	   1.665737E-02	   2.168005E-02	   1.576583E-04	  -6.153864E-03	  -4.332665E-03	  -3.680163E+06	  -3.236345E+06	  -3.972452E+05	  -3.181431E+07	   6.598154E+07	  -3.267015E+07	   0.000000E+00	   0.000000E+00	   1.398907E+08	   9.712621E+05	  -5.732476E+07	   0.000000E+00	  -1.718158E+06	  -1.215404E+05	  -3.187029E+05	  -2.555182E+06	   6.003103E+07	  -1.902152E+07
