
Predictions were generated on 29-Sep-2025 at 15:43:49 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the TLP

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	  -5.621923E-02	  -1.178007E+07	  -3.600912E+06	   1.223920E+08	  -6.829758E+07	   2.170187E+08	   2.039721E-02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   2.862682E+00	   5.415253E-01	   6.724742E-03	  -1.289309E-02	   6.806622E-02	  -1.729341E-11	  -1.378208E+06	  -1.636637E+06	  -2.503758E+04	  -3.349928E+07	   3.255117E+07	   2.039721E-02	   0.000000E+00	   0.000000E+00	   1.224271E+08	   0.000000E+00	   0.000000E+00	   0.000000E+00	  -1.040144E+07	  -1.963746E+06	  -1.011699E+04	  -3.477834E+07	   1.844625E+08	   3.162615E-16
    0.0125	  -5.575502E-02	  -1.181873E+07	  -3.606744E+06	   1.223890E+08	  -6.844195E+07	   2.179268E+08	   1.332959E-01	   2.229349E-04	   4.193516E-05	   5.307285E-07	  -9.983314E-07	   5.300380E-06	  -1.783539E-14	   3.557152E-02	   6.667117E-03	   8.529790E-05	  -1.587091E-04	   8.456804E-04	  -6.144161E-12	   2.872404E+00	   5.421930E-01	   7.430342E-03	  -1.288622E-02	   6.823986E-02	   2.445385E-05	  -1.368244E+06	  -1.634759E+06	  -2.693873E+04	  -3.344135E+07	   3.242498E+07	   2.058167E-02	   0.000000E+00	   0.000000E+00	   1.224271E+08	  -2.875031E+03	   1.526423E+04	   0.000000E+00	  -1.044968E+07	  -1.971281E+06	  -1.117852E+04	  -3.497457E+07	   1.854763E+08	  -4.472114E-10
    0.0250	  -5.460426E-02	  -1.180746E+07	  -3.597845E+06	   1.223863E+08	  -6.840342E+07	   2.182432E+08	   5.318993E-01	   8.918161E-04	   1.675858E-04	   2.202655E-06	  -3.986729E-06	   2.119569E-05	   3.025418E-09	   7.142672E-02	   1.343384E-02	   1.843934E-04	  -3.192607E-04	   1.696760E-03	   5.860181E-07	   2.862263E+00	   5.370992E-01	   7.977965E-03	  -1.271529E-02	   6.784415E-02	   8.503733E-05	  -1.358178E+06	  -1.632871E+06	  -2.883767E+04	  -3.338224E+07	   3.229816E+07	   2.074331E-02	   0.000000E+00	   0.000000E+00	   1.224271E+08	  -1.148113E+04	   6.104012E+04	   0.000000E+00	  -1.044799E+07	  -1.964040E+06	  -1.200240E+04	  -3.498239E+07	   1.858670E+08	  -1.555161E-09
    0.0375	  -5.284213E-02	  -1.174948E+07	  -3.577460E+06	   1.223837E+08	  -6.822699E+07	   2.180364E+08	   1.322787E+00	   2.007687E-03	   3.773002E-04	   5.144088E-06	  -8.965037E-06	   4.768591E-05	   1.927746E-08	   1.070622E-01	   2.010998E-02	   2.872736E-04	  -4.768627E-04	   2.539954E-03	   2.215835E-06	   2.832634E+00	   5.273793E-01	   8.423427E-03	  -1.241154E-02	   6.688195E-02	   1.494519E-04	  -1.348019E+06	  -1.630974E+06	  -3.073410E+04	  -3.332200E+07	   3.217070E+07	   2.088255E-02	   0.000000E+00	   0.000000E+00	   1.224271E+08	  -2.581784E+04	   1.373276E+05	   0.000000E+00	  -1.039950E+07	  -1.945281E+06	  -1.267258E+04	  -3.484700E+07	   1.857023E+08	  -2.733175E-09
    0.0500	  -5.054379E-02	  -1.164987E+07	  -3.549673E+06	   1.223813E+08	  -6.796574E+07	   2.173699E+08	   2.620793E+00	   3.566170E-03	   6.695876E-04	   9.403061E-06	  -1.588632E-05	   8.462562E-05	   6.009287E-08	   1.422206E-01	   2.665277E-02	   3.945045E-04	  -6.302689E-04	   3.367912E-03	   4.506544E-06	   2.785468E+00	   5.145850E-01	   8.729301E-03	  -1.201878E-02	   6.540882E-02	   1.729159E-04	  -1.337779E+06	  -1.629068E+06	  -3.262773E+04	  -3.326059E+07	   3.204269E+07	   2.099980E-02	   0.000000E+00	   0.000000E+00	   1.224271E+08	  -4.575002E+04	   2.437079E+05	   0.000000E+00	  -1.030926E+07	  -1.919085E+06	  -1.313278E+04	  -3.462171E+07	   1.850463E+08	  -3.162295E-09
    0.0625	  -4.778443E-02	  -1.151518E+07	  -3.519162E+06	   1.223792E+08	  -6.768027E+07	   2.163262E+08	   4.542778E+00	   5.560058E-03	   1.042637E-03	   1.502045E-05	  -2.469370E-05	   1.317884E-04	   1.291823E-07	   1.767064E-01	   3.302710E-02	   5.047543E-04	  -7.785009E-04	   4.174948E-03	   6.601264E-06	   2.723327E+00	   5.005033E-01	   8.893345E-03	  -1.158756E-02	   6.349783E-02	   1.233599E-04	  -1.327466E+06	  -1.627155E+06	  -3.451827E+04	  -3.319802E+07	   3.191413E+07	   2.109551E-02	   0.000000E+00	   0.000000E+00	   1.224271E+08	  -7.111387E+04	   3.795290E+05	   0.000000E+00	  -1.018384E+07	  -1.890133E+06	  -1.337961E+04	  -3.436740E+07	   1.839821E+08	  -2.256043E-09
    0.0750	  -4.463920E-02	  -1.135313E+07	  -3.490731E+06	   1.223772E+08	  -6.743294E+07	   2.150020E+08	   7.204315E+00	   7.979861E-03	   1.494269E-03	   2.202618E-05	  -3.532038E-05	   1.888809E-04	   2.181555E-07	   2.103432E-01	   3.922935E-02	   6.161827E-04	  -9.214301E-04	   4.955935E-03	   7.452843E-06	   2.649213E+00	   4.869678E-01	   8.920136E-03	  -1.116974E-02	   6.123455E-02	  -2.164259E-05	  -1.317092E+06	  -1.625235E+06	  -3.640547E+04	  -3.313428E+07	   3.178506E+07	   2.117008E-02	   0.000000E+00	   0.000000E+00	   1.224270E+08	  -1.017170E+05	   5.439461E+05	   0.000000E+00	  -1.003094E+07	  -1.863233E+06	  -1.341997E+04	  -3.414666E+07	   1.826074E+08	   3.957155E-10
    0.0875	  -4.118327E-02	  -1.117214E+07	  -3.468811E+06	   1.223755E+08	  -6.728107E+07	   2.135027E+08	   1.071718E+01	   1.081410E-02	   2.022428E-03	   3.042350E-05	  -4.770252E-05	   2.555517E-04	   3.036572E-07	   2.430007E-01	   4.527126E-02	   7.271604E-04	  -1.059392E-03	   5.707029E-03	   5.778309E-06	   2.566424E+00	   4.756718E-01	   8.803791E-03	  -1.081321E-02	   5.871317E-02	  -2.638001E-04	  -1.306667E+06	  -1.623308E+06	  -3.828901E+04	  -3.306936E+07	   3.165552E+07	   2.122396E-02	   0.000000E+00	   0.000000E+00	   1.224270E+08	  -1.373757E+05	   7.359471E+05	   0.000000E+00	  -9.858977E+06	  -1.842815E+06	  -1.324500E+04	  -3.401706E+07	   1.810285E+08	   4.824232E-09
    0.1000	  -3.749183E-02	  -1.098012E+07	  -3.457002E+06	   1.223740E+08	  -6.727130E+07	   2.119259E+08	   1.518987E+01	   1.404993E-02	   2.625308E-03	   4.019516E-05	  -6.178358E-05	   3.314097E-04	   3.469900E-07	   2.745878E-01	   5.118884E-02	   8.357436E-04	  -1.193385E-03	   6.425519E-03	   4.605190E-07	   2.478082E+00	   4.679915E-01	   8.542499E-03	  -1.055691E-02	   5.602306E-02	  -5.835649E-04	  -1.296201E+06	  -1.621377E+06	  -4.016862E+04	  -3.300327E+07	   3.152554E+07	   2.125753E-02	   0.000000E+00	   0.000000E+00	   1.224270E+08	  -1.779269E+05	   9.544057E+05	   0.000000E+00	  -9.675885E+06	  -1.832480E+06	  -1.285198E+04	  -3.402542E+07	   1.793444E+08	   1.067203E-08
