





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000  -3.707106E+06  -3.141637E+06   2.699097E+05  -4.611737E+07   7.146258E+07  -4.029340E+07
    0.1000  -3.683302E+06  -3.112314E+06   1.212096E+05  -4.202648E+07   6.973643E+07  -3.838649E+07
    0.2000  -3.639003E+06  -3.064421E+06  -2.735074E+04  -3.769834E+07   6.763148E+07  -3.627143E+07
    0.3000  -3.574584E+06  -2.998366E+06  -1.749000E+05  -3.316185E+07   6.516333E+07  -3.396133E+07
    0.4000  -3.490532E+06  -2.914670E+06  -3.205769E+05  -2.844710E+07   6.234958E+07  -3.147039E+07
    0.5000  -3.387445E+06  -2.813958E+06  -4.635360E+05  -2.358517E+07   5.920971E+07  -2.881379E+07
    0.6000  -3.266028E+06  -2.696958E+06  -6.029518E+05  -1.860795E+07   5.576498E+07  -2.600761E+07
    0.7000  -3.127089E+06  -2.564494E+06  -7.380247E+05  -1.354787E+07   5.203822E+07  -2.306873E+07
    0.8000  -2.971530E+06  -2.417481E+06  -8.679843E+05  -8.437789E+06   4.805377E+07  -2.001470E+07
    0.9000  -2.800348E+06  -2.256918E+06  -9.920954E+05  -3.310692E+06   4.383725E+07  -1.686370E+07
    1.0000  -2.614620E+06  -2.083884E+06  -1.109661E+06   1.800464E+06   3.941544E+07  -1.363436E+07
    1.1000  -2.415504E+06  -1.899528E+06  -1.220026E+06   6.862982E+06   3.481611E+07  -1.034569E+07
    1.2000  -2.204227E+06  -1.705061E+06  -1.322584E+06   1.184463E+07   3.006780E+07  -7.016959E+06
    1.3000  -1.982083E+06  -1.501754E+06  -1.416776E+06   1.671384E+07   2.519973E+07  -3.667574E+06
    1.4000  -1.750416E+06  -1.290920E+06  -1.502097E+06   2.143993E+07   2.024153E+07  -3.169755E+05
    1.5000  -1.510620E+06  -1.073915E+06  -1.578098E+06   2.599324E+07   1.522313E+07   3.015486E+06
    1.6000  -1.264128E+06  -8.521247E+05  -1.644388E+06   3.034541E+07   1.017452E+07   6.310657E+06
    1.7000  -1.012402E+06  -6.269546E+05  -1.700635E+06   3.446947E+07   5.125615E+06   9.549694E+06
    1.8000  -7.569258E+05  -3.998242E+05  -1.746570E+06   3.834004E+07   1.060575E+05   1.271418E+07
    1.9000  -4.991959E+05  -1.721565E+05  -1.781987E+06   4.193351E+07  -4.854960E+06   1.578621E+07
    2.0000  -2.407121E+05   5.463127E+04  -1.806745E+06   4.522816E+07  -9.728864E+06   1.874852E+07
    2.1000   1.703112E+04   2.791356E+05  -1.820767E+06   4.820429E+07  -1.448787E+07   2.158457E+07
    2.2000   2.725530E+05   4.999762E+05  -1.824039E+06   5.084435E+07  -1.910513E+07   2.427865E+07
    2.3000   5.243954E+05   7.158041E+05  -1.816616E+06   5.313306E+07  -2.355491E+07   2.681596E+07
    2.4000   7.711317E+05   9.253102E+05  -1.798612E+06   5.505747E+07  -2.781273E+07   2.918267E+07
    2.5000   1.011374E+06   1.127234E+06  -1.770206E+06   5.660706E+07  -3.185547E+07   3.136606E+07
    2.6000   1.243783E+06   1.320368E+06  -1.731641E+06   5.777378E+07  -3.566155E+07   3.335453E+07
    2.7000   1.467072E+06   1.503572E+06  -1.683214E+06   5.855211E+07  -3.921102E+07   3.513769E+07
    2.8000   1.680020E+06   1.675772E+06  -1.625285E+06   5.893908E+07  -4.248567E+07   3.670639E+07
    2.9000   1.881471E+06   1.835972E+06  -1.558267E+06   5.893429E+07  -4.546911E+07   3.805282E+07
    3.0000   2.070349E+06   1.983257E+06  -1.482624E+06   5.853990E+07  -4.814689E+07   3.917051E+07
    3.1000   2.245656E+06   2.116800E+06  -1.398870E+06   5.776059E+07  -5.050656E+07   4.005435E+07
    3.2000   2.406483E+06   2.235867E+06  -1.307566E+06   5.660354E+07  -5.253770E+07   4.070065E+07
    3.3000   2.552011E+06   2.339821E+06  -1.209315E+06   5.507840E+07  -5.423199E+07   4.110715E+07
    3.4000   2.681520E+06   2.428123E+06  -1.104755E+06   5.319715E+07  -5.558327E+07   4.127298E+07
    3.5000   2.794386E+06   2.500339E+06  -9.945617E+05   5.097409E+07  -5.658749E+07   4.119872E+07
    3.6000   2.890091E+06   2.556139E+06  -8.794392E+05   4.842569E+07  -5.724278E+07   4.088636E+07
    3.7000   2.968221E+06   2.595301E+06  -7.601167E+05   4.557051E+07  -5.754941E+07   4.033927E+07
    3.8000   3.028469E+06   2.617709E+06  -6.373444E+05   4.242904E+07  -5.750979E+07   3.956218E+07
    3.9000   3.070636E+06   2.623358E+06  -5.118883E+05   3.902358E+07  -5.712840E+07   3.856117E+07
