
Predictions were generated on 29-Sep-2025 at 15:44:05 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	  -3.928512E+06	  -3.506773E+06	   1.887406E+05	  -5.055642E+07	   7.478446E+07	  -4.204938E+07
    0.1000	  -3.891936E+06	  -3.457582E+06	   2.538746E+04	  -4.565289E+07	   7.264742E+07	  -4.003202E+07
    0.2000	  -3.832997E+06	  -3.386872E+06	  -1.376418E+05	  -4.046296E+07	   7.016106E+07	  -3.781945E+07
    0.3000	  -3.751689E+06	  -3.295149E+06	  -2.992209E+05	  -3.502188E+07	   6.734206E+07	  -3.539133E+07
    0.4000	  -3.648151E+06	  -3.183055E+06	  -4.582255E+05	  -2.936732E+07	   6.420738E+07	  -3.272867E+07
    0.5000	  -3.522678E+06	  -3.051373E+06	  -6.135402E+05	  -2.353915E+07	   6.077411E+07	  -2.981463E+07
    0.6000	  -3.375717E+06	  -2.901010E+06	  -7.640662E+05	  -1.757899E+07	   5.705936E+07	  -2.663527E+07
    0.7000	  -3.207881E+06	  -2.732999E+06	  -9.087286E+05	  -1.152990E+07	   5.308039E+07	  -2.318037E+07
    0.8000	  -3.019946E+06	  -2.548490E+06	  -1.046483E+06	  -5.435924E+06	   4.885451E+07	  -1.944409E+07
    0.9000	  -2.812862E+06	  -2.348749E+06	  -1.176330E+06	   6.582836E+05	   4.439909E+07	  -1.542573E+07
    1.0000	  -2.587750E+06	  -2.135150E+06	  -1.297320E+06	   6.707992E+06	   3.973189E+07	  -1.113018E+07
    1.1000	  -2.345904E+06	  -1.909167E+06	  -1.408568E+06	   1.266879E+07	   3.487075E+07	  -6.568486E+06
    1.2000	  -2.088788E+06	  -1.672374E+06	  -1.509260E+06	   1.849702E+07	   2.983409E+07	  -1.758146E+06
    1.3000	  -1.818031E+06	  -1.426424E+06	  -1.598667E+06	   2.415033E+07	   2.464088E+07	   3.276740E+06
    1.4000	  -1.535421E+06	  -1.173049E+06	  -1.676155E+06	   2.958793E+07	   1.931086E+07	   8.505408E+06
    1.5000	  -1.242890E+06	  -9.140458E+05	  -1.741191E+06	   3.477118E+07	   1.386464E+07	   1.389059E+07
    1.6000	  -9.425006E+05	  -6.512616E+05	  -1.793354E+06	   3.966384E+07	   8.323964E+06	   1.938888E+07
    1.7000	  -6.364340E+05	  -3.865842E+05	  -1.832342E+06	   4.423242E+07	   2.711767E+06	   2.495121E+07
