
Predictions were generated on 12-Feb-2024 at 14:25:23 using HydroDyn Driver, compiled on Dec 20 2023 at 14:52:34 as a 64-bit application using double precision at commit v2.5.0-3665-g13e4c61c-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for the MacCamy-Fuchs diffraction correction for strip-theory memebers

Time	Wave1Elev	HydroFxi	HydroMyi
(s)	(m)	(N)	(N-m)
    0.0000	  -4.067737E+00	   1.835019E+07	  -2.457386E+08
    0.1000	  -3.777394E+00	   1.969647E+07	  -2.613251E+08
    0.2000	  -3.468719E+00	   2.099921E+07	  -2.757534E+08
    0.3000	  -3.143669E+00	   2.225164E+07	  -2.889320E+08
    0.4000	  -2.804338E+00	   2.344534E+07	  -3.007824E+08
    0.5000	  -2.452938E+00	   2.457022E+07	  -3.112247E+08
    0.6000	  -2.091788E+00	   2.561658E+07	  -3.201774E+08
    0.7000	  -1.723287E+00	   2.657077E+07	  -3.275864E+08
    0.8000	  -1.349901E+00	   2.742093E+07	  -3.333978E+08
    0.9000	  -9.741340E-01	   2.815348E+07	  -3.375674E+08
    1.0000	  -5.985143E-01	   2.875305E+07	  -3.400996E+08
    1.1000	  -2.255646E-01	   2.920675E+07	  -3.409800E+08
    1.2000	   1.422174E-01	   2.949910E+07	  -3.402391E+08
    1.3000	   5.023844E-01	   2.960533E+07	  -3.379430E+08
    1.4000	   8.525615E-01	   2.951478E+07	  -3.341597E+08
    1.5000	   1.190470E+00	   2.922261E+07	  -3.289832E+08
    1.6000	   1.513949E+00	   2.872740E+07	  -3.225187E+08
    1.7000	   1.820976E+00	   2.803130E+07	  -3.148787E+08
    1.8000	   2.109691E+00	   2.714015E+07	  -3.061786E+08
    1.9000	   2.378410E+00	   2.606339E+07	  -2.965333E+08
    2.0000	   2.625646E+00	   2.481393E+07	  -2.860538E+08
    2.1000	   2.850122E+00	   2.340790E+07	  -2.748447E+08
    2.2000	   3.050783E+00	   2.186424E+07	  -2.630029E+08
    2.3000	   3.226813E+00	   2.020429E+07	  -2.506163E+08
    2.4000	   3.377634E+00	   1.845127E+07	  -2.377643E+08
    2.5000	   3.502920E+00	   1.662967E+07	  -2.245185E+08
    2.6000	   3.602594E+00	   1.476465E+07	  -2.109440E+08
    2.7000	   3.676831E+00	   1.288141E+07	  -1.971014E+08
    2.8000	   3.726053E+00	   1.100460E+07	  -1.830485E+08
    2.9000	   3.750926E+00	   9.157708E+06	  -1.688428E+08
    3.0000	   3.752349E+00	   7.362528E+06	  -1.545424E+08
    3.1000	   3.731442E+00	   5.638714E+06	  -1.402079E+08
    3.2000	   3.689536E+00	   4.003397E+06	  -1.259028E+08
    3.3000	   3.628151E+00	   2.470884E+06	  -1.116932E+08
    3.4000	   3.548980E+00	   1.052505E+06	  -9.764798E+07
    3.5000	   3.453867E+00	  -2.434910E+05	  -8.383718E+07
    3.6000	   3.344783E+00	  -1.411896E+06	  -7.033044E+07
    3.7000	   3.223801E+00	  -2.450436E+06	  -5.719509E+07
    3.8000	   3.093074E+00	  -3.359555E+06	  -4.449424E+07
    3.9000	   2.954800E+00	  -4.142152E+06	  -3.228456E+07
    4.0000	   2.811202E+00	  -4.803234E+06	  -2.061459E+07
    4.1000	   2.664493E+00	  -5.349560E+06	  -9.523113E+06
    4.2000	   2.516853E+00	  -5.789246E+06	   9.618842E+05
    4.3000	   2.370399E+00	  -6.131369E+06	   1.082381E+07
    4.4000	   2.227158E+00	  -6.385610E+06	   2.005767E+07
    4.5000	   2.089042E+00	  -6.561900E+06	   2.866963E+07
    4.6000	   1.957823E+00	  -6.670132E+06	   3.667639E+07
    4.7000	   1.835110E+00	  -6.719925E+06	   4.410406E+07
    4.8000	   1.722333E+00	  -6.720440E+06	   5.098691E+07
    4.9000	   1.620719E+00	  -6.680276E+06	   5.736604E+07
    5.0000	   1.531281E+00	  -6.607410E+06	   6.328795E+07
    5.1000	   1.454808E+00	  -6.509220E+06	   6.880321E+07
    5.2000	   1.391849E+00	  -6.392528E+06	   7.396517E+07
    5.3000	   1.342714E+00	  -6.263705E+06	   7.882891E+07
    5.4000	   1.307470E+00	  -6.128793E+06	   8.345011E+07
    5.5000	   1.285939E+00	  -5.993632E+06	   8.788423E+07
    5.6000	   1.277706E+00	  -5.863996E+06	   9.218555E+07
    5.7000	   1.282127E+00	  -5.745710E+06	   9.640653E+07
    5.8000	   1.298337E+00	  -5.644728E+06	   1.005969E+08
    5.9000	   1.325263E+00	  -5.567188E+06	   1.048028E+08
    6.0000	   1.361647E+00	  -5.519408E+06	   1.090664E+08
    6.1000	   1.406061E+00	  -5.507839E+06	   1.134246E+08
    6.2000	   1.456925E+00	  -5.538964E+06	   1.179088E+08
    6.3000	   1.512540E+00	  -5.619152E+06	   1.225441E+08
    6.4000	   1.571103E+00	  -5.754464E+06	   1.273486E+08
    6.5000	   1.630742E+00	  -5.950432E+06	   1.323338E+08
    6.6000	   1.689540E+00	  -6.211809E+06	   1.375038E+08
    6.7000	   1.745560E+00	  -6.542324E+06	   1.428558E+08
    6.8000	   1.796878E+00	  -6.944422E+06	   1.483804E+08
    6.9000	   1.841609E+00	  -7.419048E+06	   1.540620E+08
    7.0000	   1.877931E+00	  -7.965448E+06	   1.598796E+08
    7.1000	   1.904115E+00	  -8.581024E+06	   1.658076E+08
    7.2000	   1.918546E+00	  -9.261247E+06	   1.718163E+08
    7.3000	   1.919749E+00	  -9.999636E+06	   1.778726E+08
    7.4000	   1.906406E+00	  -1.078780E+07	   1.839405E+08
    7.5000	   1.877376E+00	  -1.161558E+07	   1.899816E+08
    7.6000	   1.831709E+00	  -1.247121E+07	   1.959549E+08
    7.7000	   1.768658E+00	  -1.334158E+07	   2.018169E+08
    7.8000	   1.687695E+00	  -1.421256E+07	   2.075214E+08
    7.9000	   1.588506E+00	  -1.506933E+07	   2.130188E+08
    8.0000	   1.471007E+00	  -1.589679E+07	   2.182562E+08
    8.1000	   1.335332E+00	  -1.667994E+07	   2.231765E+08
    8.2000	   1.181844E+00	  -1.740428E+07	   2.277190E+08
    8.3000	   1.011114E+00	  -1.805621E+07	   2.318188E+08
    8.4000	   8.239301E-01	  -1.862338E+07	   2.354078E+08
    8.5000	   6.212690E-01	  -1.909498E+07	   2.384149E+08
    8.6000	   4.042971E-01	  -1.946202E+07	   2.407677E+08
    8.7000	   1.743445E-01	  -1.971750E+07	   2.423938E+08
    8.8000	  -6.710324E-02	  -1.985650E+07	   2.432248E+08
    8.9000	  -3.184337E-01	  -1.987976E+07	   2.431965E+08
    9.0000	  -5.779171E-01	  -1.978998E+07	   2.422441E+08
    9.1000	  -8.437365E-01	  -1.958919E+07	   2.403187E+08
    9.2000	  -1.114002E+00	  -1.928114E+07	   2.373857E+08
