
Predictions were generated on 14-Feb-2024 at 14:12:44 using HydroDyn Driver, compiled on Feb 13 2024 at 17:43:26 as a 64-bit application using double precision at commit v2.5.0-3856-g75eff1d1-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for MHstLMod=2

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	M1N1FBxi	M1N1FByi	M1N1FBzi	M1N1MBxi	M1N1MByi	M1N1MBzi	M1N2FBxi	M1N2FByi	M1N2FBzi	M1N2MBxi	M1N2MByi	M1N2MBzi	M1N3FBxi	M1N3FByi	M1N3FBzi	M1N3MBxi	M1N3MByi	M1N3MBzi	M1N4FBxi	M1N4FByi	M1N4FBzi	M1N4MBxi	M1N4MByi	M1N4MBzi	M1N5FBxi	M1N5FByi	M1N5FBzi	M1N5MBxi	M1N5MByi	M1N5MBzi	M1N6FBxi	M1N6FByi	M1N6FBzi	M1N6MBxi	M1N6MByi	M1N6MBzi	M1N7FBxi	M1N7FByi	M1N7FBzi	M1N7MBxi	M1N7MByi	M1N7MBzi	M1N8FBxi	M1N8FByi	M1N8FBzi	M1N8MBxi	M1N8MByi	M1N8MBzi	M1N9FBxi	M1N9FByi	M1N9FBzi	M1N9MBxi	M1N9MByi	M1N9MBzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)
    0.0000	  -4.225067E+00	   3.414729E+04	  -2.818773E+04	   3.412105E+06	   2.020966E+07	   2.176114E+07	  -4.043552E+04	  -8.061970E+04	   7.174656E+04	   4.171147E+05	   5.874240E+04	   6.872730E+04	  -1.178923E+03	  -7.127213E+04	   6.205147E+04	   3.675130E+05	   5.436556E+04	   6.367698E+04	  -8.731665E+02	  -5.065796E+04	   4.183985E+04	   2.588550E+05	   4.692366E+04	   5.512459E+04	  -2.463838E+02	  -2.254456E+04	   1.781763E+04	   1.141985E+05	   3.473728E+04	   4.096456E+04	   3.003562E+02	  -2.848890E+03	   2.155968E+03	   1.429911E+04	   1.280798E+04	   1.515331E+04	   2.630350E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0500	  -4.182549E+00	   3.538072E+04	  -2.887555E+04	   3.465694E+06	   2.040408E+07	   2.195634E+07	  -4.693982E+04	  -8.086362E+04	   7.215837E+04	   4.185212E+05	   5.871562E+04	   6.868116E+04	  -1.224156E+03	  -7.164455E+04	   6.251311E+04	   3.694940E+05	   5.434295E+04	   6.363750E+04	  -9.129704E+02	  -5.141210E+04	   4.249712E+04	   2.626226E+05	   4.675962E+04	   5.492127E+04	  -2.783599E+02	  -2.366336E+04	   1.867730E+04	   1.197495E+05	   3.655900E+04	   4.311795E+04	   3.318257E+02	  -3.463995E+03	   2.614104E+03	   1.736028E+04	   1.478451E+04	   1.749361E+04	   3.092931E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.1000	  -4.138999E+00	   3.662718E+04	  -2.954091E+04	   3.519916E+06	   2.059624E+07	   2.214833E+07	  -5.396536E+04	  -8.109689E+04	   7.256944E+04	   4.198836E+05	   5.868531E+04	   6.863062E+04	  -1.270113E+03	  -7.200507E+04	   6.297296E+04	   3.714246E+05	   5.431845E+04	   6.359553E+04	  -9.536589E+02	  -5.214221E+04	   4.314188E+04	   2.662750E+05	   4.661711E+04	   5.474300E+04	  -3.111572E+02	  -2.481175E+04	   1.955882E+04	   1.254400E+05	   3.829779E+04	   4.517320E+04	   3.615538E+02	  -4.126174E+03	   3.105181E+03	   2.064784E+04	   1.665648E+04	   1.971042E+04	   3.541087E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.1500	  -4.094427E+00	   3.788569E+04	  -3.018166E+04	   3.574714E+06	   2.078573E+07	   2.233665E+07	  -6.153275E+04	  -8.131899E+04	   7.297930E+04	   4.211992E+05	   5.865133E+04	   6.857555E+04	  -1.316751E+03	  -7.235307E+04	   6.343059E+04	   3.733019E+05	   5.429188E+04	   6.355082E+04	  -9.952012E+02	  -5.284854E+04	   4.377461E+04	   2.698142E+05	   4.649246E+04	   5.458545E+04	  -3.448069E+02	  -2.598882E+04	   2.046148E+04	   1.312649E+05	   3.990504E+04	   4.707262E+04	   3.879844E+02	  -4.833859E+03	   3.627800E+03	   2.415298E+04	   1.837880E+04	   2.175022E+04	   3.959655E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.2000	  -4.048845E+00	   3.915449E+04	  -3.079493E+04	   3.630031E+06	   2.097210E+07	   2.252081E+07	  -6.966302E+04	  -8.152940E+04	   7.338755E+04	   4.224654E+05	   5.861357E+04	   6.851584E+04	  -1.364034E+03	  -7.268793E+04	   6.388558E+04	   3.751231E+05	   5.426304E+04	   6.350318E+04	  -1.037569E+03	  -5.353121E+04	   4.439569E+04	   2.732418E+05	   4.638267E+04	   5.444513E+04	  -3.793279E+02	  -2.719354E+04	   2.138452E+04	   1.372187E+05	   4.133391E+04	   4.876060E+04	   4.094634E+02	  -5.585558E+03	   4.180629E+03	   2.786731E+04	   1.990748E+04	   2.356073E+04	   4.332393E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.2500	  -4.002264E+00	   4.043204E+04	  -3.137790E+04	   3.685808E+06	   2.115493E+07	   2.270033E+07	  -7.837765E+04	  -8.172765E+04	   7.379373E+04	   4.236800E+05	   5.857194E+04	   6.845137E+04	  -1.411926E+03	  -7.300909E+04	   6.433754E+04	   3.768856E+05	   5.423173E+04	   6.345239E+04	  -1.080732E+03	  -5.419030E+04	   4.500544E+04	   2.765587E+05	   4.628529E+04	   5.431910E+04	  -4.147307E+02	  -2.842488E+04	   2.232719E+04	   1.432960E+05	   4.253914E+04	   5.018329E+04	   4.242196E+02	  -6.379850E+03	   4.762426E+03	   3.178286E+04	   2.119961E+04	   2.509090E+04	   4.641815E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.3000	  -3.954696E+00	   4.171665E+04	  -3.192795E+04	   3.741984E+06	   2.133379E+07	   2.287475E+07	  -8.769616E+04	  -8.191330E+04	   7.419746E+04	   4.248407E+05	   5.852633E+04	   6.838203E+04	  -1.460378E+03	  -7.331605E+04	   6.478608E+04	   3.785869E+05	   5.419779E+04	   6.339824E+04	  -1.124652E+03	  -5.482576E+04	   4.560404E+04	   2.797656E+05	   4.619822E+04	   5.420493E+04	  -4.510187E+02	  -2.968161E+04	   2.328861E+04	   1.494904E+05	   4.347667E+04	   5.128827E+04	   4.303729E+02	  -7.215256E+03	   5.371913E+03	   3.589142E+04	   2.221307E+04	   2.629056E+04	   4.869290E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.3500	  -3.906152E+00	   4.300640E+04	  -3.244206E+04	   3.798498E+06	   2.150829E+07	   2.304362E+07	  -9.763889E+04	  -8.208597E+04	   7.459832E+04	   4.259456E+05	   5.847665E+04	   6.830774E+04	  -1.509343E+03	  -7.360833E+04	   6.523084E+04	   3.802250E+05	   5.416103E+04	   6.334056E+04	  -1.169293E+03	  -5.543757E+04	   4.619173E+04	   2.828630E+05	   4.611972E+04	   5.410055E+04	  -4.881924E+02	  -3.096257E+04	   2.426793E+04	   1.557959E+05	   4.410386E+04	   5.202469E+04	   4.259286E+02	  -8.090347E+03	   6.007881E+03	   4.018508E+04	   2.290685E+04	   2.711084E+04	   4.994996E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.4000	  -3.856644E+00	   4.429954E+04	  -3.291749E+04	   3.855290E+06	   2.167802E+07	   2.320649E+07	  -1.082251E+05	  -8.224531E+04	   7.499593E+04	   4.269928E+05	   5.842282E+04	   6.822841E+04	  -1.558770E+03	  -7.388550E+04	   6.567145E+04	   3.817978E+05	   5.412132E+04	   6.327918E+04	  -1.214612E+03	  -5.602565E+04	   4.676863E+04	   2.858513E+05	   4.604827E+04	   5.400417E+04	  -5.262421E+02	  -3.226644E+04	   2.526423E+04	   1.622057E+05	   4.437929E+04	   5.234319E+04	   4.087802E+02	  -9.003634E+03	   6.669095E+03	   4.465571E+04	   2.324094E+04	   2.750398E+04	   4.997952E+02	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
