
Predictions were generated on 27-Feb-2025 at 15:14:38 using HydroDyn Driver, compiled on Feb 26 2025 at 11:10:13 as a 64-bit application using double precision at commit v3.5.3-2311-gca3fb2d1-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for MHstLMod=2

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	M1N1FBxi	M1N1FByi	M1N1FBzi	M1N1MBxi	M1N1MByi	M1N1MBzi	M1N2FBxi	M1N2FByi	M1N2FBzi	M1N2MBxi	M1N2MByi	M1N2MBzi	M1N3FBxi	M1N3FByi	M1N3FBzi	M1N3MBxi	M1N3MByi	M1N3MBzi	M1N4FBxi	M1N4FByi	M1N4FBzi	M1N4MBxi	M1N4MByi	M1N4MBzi	M1N5FBxi	M1N5FByi	M1N5FBzi	M1N5MBxi	M1N5MByi	M1N5MBzi	M1N6FBxi	M1N6FByi	M1N6FBzi	M1N6MBxi	M1N6MByi	M1N6MBzi	M1N7FBxi	M1N7FByi	M1N7FBzi	M1N7MBxi	M1N7MByi	M1N7MBzi	M1N8FBxi	M1N8FByi	M1N8FBzi	M1N8MBxi	M1N8MByi	M1N8MBzi	M1N9FBxi	M1N9FByi	M1N9FBzi	M1N9MBxi	M1N9MByi	M1N9MBzi	J1FBxi	J1FByi	J1FBzi	J1MBxi	J1MByi	J1MBzi	J2FBxi	J2FByi	J2FBzi	J2MBxi	J2MByi	J2MBzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N/m)	(N/m)	(N/m)	(N-m/m)	(N-m/m)	(N-m/m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	   9.331236E-01	   1.317236E+05	   3.536605E+04	   6.945873E+06	  -4.562720E+06	   9.913844E+06	  -1.256366E+06	  -1.046737E+04	  -1.924522E+04	   2.509424E+05	  -4.628187E+04	  -5.958092E+04	  -1.843834E+04	  -1.004257E+04	  -1.922502E+04	   2.355930E+05	  -5.080204E+04	  -6.805016E+04	  -1.891556E+04	  -9.239562E+03	  -1.868030E+04	   2.151737E+05	  -5.331295E+04	  -7.365408E+04	  -1.868226E+04	  -8.083034E+03	  -1.758181E+04	   1.909800E+05	  -5.283573E+04	  -7.456196E+04	  -1.757563E+04	  -6.576918E+03	  -1.592351E+04	   1.629934E+05	  -4.893826E+04	  -6.991971E+04	  -1.551422E+04	  -4.722765E+03	  -1.370964E+04	   1.312442E+05	  -4.120919E+04	  -5.890518E+04	  -1.242470E+04	  -2.529711E+03	  -1.092729E+04	   9.569444E+04	  -2.917546E+04	  -4.059524E+04	  -8.215593E+03	   7.709731E+00	  -7.582123E+03	   5.636341E+04	  -1.239382E+04	  -1.411712E+04	  -2.806114E+03	   2.599706E+03	  -4.036294E+03	   1.725445E+04	   7.402406E+03	   1.785065E+04	   3.236694E+03	   3.421824E+05	   6.065961E+05	   6.221498E+04	   1.028612E+06	  -6.314261E+05	   4.990358E+05	   4.383017E+04	   7.769893E+04	   7.969121E+03	   2.300674E+04	  -1.837746E+04	   5.264316E+04
    0.0500	   8.558517E-01	   1.229092E+05	   3.298934E+04	   6.941528E+06	  -4.539579E+06	   1.000561E+07	  -1.209794E+06	  -1.057370E+04	  -1.917026E+04	   2.508685E+05	  -4.632311E+04	  -5.962549E+04	  -1.844384E+04	  -1.015042E+04	  -1.914018E+04	   2.355162E+05	  -5.064286E+04	  -6.771425E+04	  -1.888902E+04	  -9.348207E+03	  -1.858526E+04	   2.150944E+05	  -5.290528E+04	  -7.285962E+04	  -1.861339E+04	  -8.191582E+03	  -1.747734E+04	   1.908988E+05	  -5.215259E+04	  -7.327142E+04	  -1.745746E+04	  -6.684039E+03	  -1.581069E+04	   1.629112E+05	  -4.795415E+04	  -6.809799E+04	  -1.534009E+04	  -4.827722E+03	  -1.358926E+04	   1.311617E+05	  -3.990345E+04	  -5.652559E+04	  -1.218888E+04	  -2.630726E+03	  -1.080085E+04	   9.561283E+04	  -2.752960E+04	  -3.763463E+04	  -7.912886E+03	  -8.866424E+01	  -7.450476E+03	   5.628327E+04	  -1.039415E+04	  -1.056037E+04	  -2.432234E+03	   2.509352E+03	  -3.901499E+03	   1.717697E+04	   9.732305E+03	   2.195694E+04	   3.678188E+03	   3.424327E+05	   6.070398E+05	   6.226049E+04	   1.027663E+06	  -6.308484E+05	   4.986252E+05	   3.944700E+04	   6.992877E+04	   7.172182E+03	   2.143730E+04	  -1.732185E+04	   5.098285E+04
    0.1000	   7.783685E-01	   1.139791E+05	   3.058362E+04	   6.937126E+06	  -4.520131E+06	   1.009148E+07	  -1.162548E+06	  -1.068171E+04	  -1.909781E+04	   2.507942E+05	  -4.642367E+04	  -5.978890E+04	  -1.845728E+04	  -1.026022E+04	  -1.905765E+04	   2.354389E+05	  -5.054679E+04	  -6.750337E+04	  -1.887119E+04	  -9.459125E+03	  -1.849229E+04	   2.150142E+05	  -5.256441E+04	  -7.219609E+04	  -1.855402E+04	  -8.302729E+03	  -1.737466E+04	   1.908166E+05	  -5.153920E+04	  -7.211632E+04	  -1.734942E+04	  -6.794122E+03	  -1.569932E+04	   1.628278E+05	  -4.704203E+04	  -6.641498E+04	  -1.517662E+04	  -4.935987E+03	  -1.346999E+04	   1.310776E+05	  -3.867100E+04	  -5.428626E+04	  -1.196405E+04	  -2.735431E+03	  -1.067513E+04	   9.552935E+04	  -2.595742E+04	  -3.481430E+04	  -7.621340E+03	  -1.890956E+02	  -7.319163E+03	   5.620098E+04	  -8.467451E+03	  -7.141990E+03	  -2.069468E+03	   2.414583E+03	  -3.766644E+03	   1.709705E+04	   1.199077E+04	   2.592818E+04	   4.108789E+03	   3.425491E+05	   6.072462E+05	   6.228166E+04	   1.027227E+06	  -6.305962E+05	   4.985640E+05	   3.521635E+04	   6.242898E+04	   6.402973E+03	   1.939771E+04	  -1.596658E+04	   4.898676E+04
    0.1500	   7.006934E-01	   1.049418E+05	   2.815099E+04	   6.932670E+06	  -4.504396E+06	   1.017142E+07	  -1.114680E+06	  -1.079130E+04	  -1.902794E+04	   2.507197E+05	  -4.658382E+04	  -6.007067E+04	  -1.847891E+04	  -1.037187E+04	  -1.897752E+04	   2.353610E+05	  -5.051423E+04	  -6.741731E+04	  -1.886235E+04	  -9.572209E+03	  -1.840146E+04	   2.149334E+05	  -5.229090E+04	  -7.166359E+04	  -1.850443E+04	  -8.416368E+03	  -1.727385E+04	   1.907333E+05	  -5.099629E+04	  -7.109712E+04	  -1.725183E+04	  -6.907061E+03	  -1.558952E+04	   1.627431E+05	  -4.620283E+04	  -6.487151E+04	  -1.502414E+04	  -5.047455E+03	  -1.335195E+04	   1.309920E+05	  -3.751295E+04	  -5.218843E+04	  -1.175059E+04	  -2.843732E+03	  -1.055026E+04	   9.544408E+04	  -2.446029E+04	  -3.213592E+04	  -7.341366E+03	  -2.934871E+02	  -7.188308E+03	   5.611661E+04	  -6.615338E+03	  -3.864101E+03	  -1.718266E+03	   2.315492E+03	  -3.631855E+03	   1.701478E+04	   1.417599E+04	   2.976182E+04	   4.528017E+03	   3.425316E+05	   6.072150E+05	   6.227846E+04	   1.027269E+06	  -6.306471E+05	   4.988280E+05	   3.114211E+04	   5.520646E+04	   5.662201E+03	   1.692558E+04	  -1.433557E+04	   4.668107E+04
    0.2000	   6.228455E-01	   9.580567E+04	   2.569358E+04	   6.928166E+06	  -4.492390E+06	   1.024538E+07	  -1.066244E+06	  -1.090238E+04	  -1.896071E+04	   2.506448E+05	  -4.680378E+04	  -6.047028E+04	  -1.850896E+04	  -1.048527E+04	  -1.889985E+04	   2.352827E+05	  -5.054555E+04	  -6.745579E+04	  -1.886275E+04	  -9.687352E+03	  -1.831288E+04	   2.148519E+05	  -5.208527E+04	  -7.126217E+04	  -1.846490E+04	  -8.532391E+03	  -1.717503E+04	   1.906492E+05	  -5.052454E+04	  -7.021419E+04	  -1.716501E+04	  -7.022747E+03	  -1.548139E+04	   1.626572E+05	  -4.543744E+04	  -6.346834E+04	  -1.488300E+04	  -5.162019E+03	  -1.323525E+04	   1.309050E+05	  -3.643043E+04	  -5.023327E+04	  -1.154887E+04	  -2.955520E+03	  -1.042636E+04	   9.535709E+04	  -2.303954E+04	  -2.960108E+04	  -7.073374E+03	  -4.017380E+02	  -7.058035E+03	   5.603024E+04	  -4.839379E+03	  -7.287609E+02	  -1.379078E+03	   2.212175E+03	  -3.497261E+03	   1.693022E+04	   1.628616E+04	   3.345537E+04	   4.935382E+03	   3.423800E+05	   6.069464E+05	   6.225091E+04	   1.027754E+06	  -6.309783E+05	   4.993928E+05	   2.722802E+04	   4.826786E+04	   4.950550E+03	   1.406031E+04	  -1.245383E+04	   4.409316E+04
    0.2500	   5.448438E-01	   8.657945E+04	   2.321355E+04	   6.923616E+06	  -4.484126E+06	   1.031332E+07	  -1.017294E+06	  -1.101483E+04	  -1.889620E+04	   2.505697E+05	  -4.708375E+04	  -6.098710E+04	  -1.854770E+04	  -1.060030E+04	  -1.882473E+04	   2.352040E+05	  -5.064106E+04	  -6.761845E+04	  -1.887266E+04	  -9.804443E+03	  -1.822663E+04	   2.147698E+05	  -5.194800E+04	  -7.099177E+04	  -1.843572E+04	  -8.650686E+03	  -1.707827E+04	   1.905643E+05	  -5.012462E+04	  -6.946782E+04	  -1.708926E+04	  -7.141070E+03	  -1.537502E+04	   1.625702E+05	  -4.474670E+04	  -6.220612E+04	  -1.475355E+04	  -5.279567E+03	  -1.312001E+04	   1.308166E+05	  -3.542448E+04	  -4.842182E+04	  -1.135927E+04	  -3.070687E+03	  -1.030354E+04	   9.526846E+04	  -2.169644E+04	  -2.721126E+04	  -6.817772E+03	  -5.137424E+02	  -6.928468E+03	   5.594196E+04	  -3.141083E+03	   2.262114E+03	  -1.052347E+03	   2.104733E+03	  -3.362989E+03	   1.684347E+04	   1.831954E+04	   3.700649E+04	   5.330406E+03	   3.420947E+05	   6.064405E+05	   6.219903E+04	   1.028645E+06	  -6.315671E+05	   5.002336E+05	   2.347771E+04	   4.161958E+04	   4.268675E+03	   1.084301E+04	  -1.034750E+04	   4.125161E+04
    0.3000	   4.667075E-01	   7.727179E+04	   2.071308E+04	   6.919026E+06	  -4.479615E+06	   1.037520E+07	  -9.678816E+05	  -1.112855E+04	  -1.883446E+04	   2.504945E+05	  -4.742390E+04	  -6.162046E+04	  -1.859534E+04	  -1.071687E+04	  -1.875222E+04	   2.351251E+05	  -5.080105E+04	  -6.790485E+04	  -1.889234E+04	  -9.923372E+03	  -1.814278E+04	   2.146872E+05	  -5.187953E+04	  -7.085223E+04	  -1.841718E+04	  -8.771141E+03	  -1.698368E+04	   1.904786E+05	  -4.979715E+04	  -6.885822E+04	  -1.702490E+04	  -7.261916E+03	  -1.527053E+04	   1.624823E+05	  -4.413142E+04	  -6.108541E+04	  -1.463611E+04	  -5.399989E+03	  -1.300633E+04	   1.307270E+05	  -3.449611E+04	  -4.675506E+04	  -1.118216E+04	  -3.189125E+03	  -1.018192E+04	   9.517830E+04	  -2.043222E+04	  -2.496783E+04	  -6.574967E+03	  -6.293926E+02	  -6.799728E+03	   5.585185E+04	  -1.521936E+03	   5.106678E+03	  -7.385217E+02	   1.993272E+03	  -3.229167E+03	   1.675460E+04	   2.027444E+04	   4.041293E+04	   5.712606E+03	   3.416757E+05	   6.056979E+05	   6.212286E+04	   1.029906E+06	  -6.323904E+05	   5.013254E+05	   1.989464E+04	   3.526777E+04	   3.617207E+03	   7.316441E+03	  -8.043748E+03	   3.818612E+04
    0.3500	   3.884562E-01	   6.789150E+04	   1.819431E+04	   6.914400E+06	  -4.478860E+06	   1.043098E+07	  -9.180611E+05	  -1.124343E+04	  -1.877555E+04	   2.504193E+05	  -4.782435E+04	  -6.236961E+04	  -1.865213E+04	  -1.083485E+04	  -1.868239E+04	   2.350459E+05	  -5.102577E+04	  -6.831447E+04	  -1.892203E+04	  -1.004402E+04	  -1.806142E+04	   2.146041E+05	  -5.188025E+04	  -7.084334E+04	  -1.840955E+04	  -8.893641E+03	  -1.689134E+04	   1.903922E+05	  -4.954270E+04	  -6.838548E+04	  -1.697222E+04	  -7.385170E+03	  -1.516800E+04	   1.623934E+05	  -4.359236E+04	  -6.010666E+04	  -1.453102E+04	  -5.523167E+03	  -1.289431E+04	   1.306362E+05	  -3.364631E+04	  -4.523384E+04	  -1.101790E+04	  -3.310718E+03	  -1.006161E+04	   9.508667E+04	  -1.924808E+04	  -2.287207E+04	  -6.345360E+03	  -7.485744E+02	  -6.671939E+03	   5.576000E+04	   1.663606E+01	   7.803214E+03	  -4.380423E+02	   1.877900E+03	  -3.095921E+03	   1.666371E+04	   2.214919E+04	   4.367254E+04	   6.081503E+03	   3.411236E+05	   6.047191E+05	   6.202248E+04	   1.031500E+06	  -6.334249E+05	   5.026433E+05	   1.648208E+04	   2.921824E+04	   2.996743E+03	   3.524874E+03	  -5.570691E+03	   3.492743E+04
    0.4000	   3.101093E-01	   5.844739E+04	   1.565947E+04	   6.909742E+06	  -4.481866E+06	   1.048063E+07	  -8.678844E+05	  -1.135935E+04	  -1.871953E+04	   2.503441E+05	  -4.828519E+04	  -6.323370E+04	  -1.871829E+04	  -1.095414E+04	  -1.861532E+04	   2.349665E+05	  -5.131541E+04	  -6.884671E+04	  -1.896198E+04	  -1.016629E+04	  -1.798262E+04	   2.145207E+05	  -5.195054E+04	  -7.096480E+04	  -1.841309E+04	  -9.018067E+03	  -1.680134E+04	   1.903053E+05	  -4.936179E+04	  -6.804962E+04	  -1.693153E+04	  -7.510713E+03	  -1.506754E+04	   1.623038E+05	  -4.313024E+04	  -5.927027E+04	  -1.443860E+04	  -5.648984E+03	  -1.278407E+04	   1.305444E+05	  -3.287600E+04	  -4.385894E+04	  -1.086686E+04	  -3.435347E+03	  -9.942732E+03	   9.499367E+04	  -1.814517E+04	  -2.092515E+04	  -6.129351E+03	  -8.711752E+02	  -6.545221E+03	   5.566649E+04	   1.473244E+03	   1.035010E+04	  -1.513480E+02	   1.758729E+03	  -2.963378E+03	   1.657088E+04	   2.394218E+04	   4.678328E+04	   6.436620E+03	   3.404388E+05	   6.035052E+05	   6.189797E+04	   1.033391E+06	  -6.346474E+05	   5.041620E+05	   1.324320E+04	   2.347659E+04	   2.407855E+03	  -4.859358E+02	  -2.957402E+03	   3.150732E+04
