
Predictions were generated on 13-Feb-2024 at 17:55:51 using HydroDyn Driver, compiled on Feb 13 2024 at 17:43:26 as a 64-bit application using double precision at commit v2.5.0-3856-g75eff1d1-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.0000	   9.331236E-01	   1.778790E+04	   4.769457E+03	   9.419227E+06	   3.556846E+07	   3.004359E+07	  -8.842513E+04
    0.1000	   7.783685E-01	   1.495566E+04	   4.009731E+03	   9.419030E+06	   3.557279E+07	   3.002934E+07	  -7.428177E+04
    0.2000	   6.228455E-01	   1.204884E+04	   3.230115E+03	   9.418982E+06	   3.557690E+07	   3.001772E+07	  -5.979371E+04
    0.3000	   4.667075E-01	   9.078793E+03	   2.433677E+03	   9.419084E+06	   3.558076E+07	   3.000882E+07	  -4.501847E+04
    0.4000	   3.101093E-01	   6.057203E+03	   1.623552E+03	   9.419337E+06	   3.558433E+07	   3.000273E+07	  -3.001504E+04
    0.5000	   1.532048E-01	   2.996060E+03	   8.029755E+02	   9.419740E+06	   3.558760E+07	   2.999950E+07	  -1.484358E+04
    0.6000	  -3.850810E-03	  -9.239716E+01	  -2.476085E+01	   9.420291E+06	   3.559054E+07	   2.999919E+07	   4.347598E+02
    0.7000	  -1.609028E-01	  -3.195732E+03	  -8.563113E+02	   9.420989E+06	   3.559313E+07	   3.000182E+07	   1.575814E+04
    0.8000	  -3.177957E-01	  -6.301362E+03	  -1.688287E+03	   9.421830E+06	   3.559535E+07	   3.000740E+07	   3.106427E+04
    0.9000	  -4.743753E-01	  -9.396601E+03	  -2.517283E+03	   9.422813E+06	   3.559720E+07	   3.001593E+07	   4.629067E+04
    1.0000	  -6.304863E-01	  -1.246874E+04	  -3.339866E+03	   9.423933E+06	   3.559865E+07	   3.002737E+07	   6.137498E+04
    1.1000	  -7.859755E-01	  -1.550504E+04	  -4.152639E+03	   9.425186E+06	   3.559970E+07	   3.004169E+07	   7.625506E+04
    1.2000	  -9.406888E-01	  -1.849289E+04	  -4.952179E+03	   9.426567E+06	   3.560035E+07	   3.005882E+07	   9.086962E+04
    1.3000	  -1.094474E+00	  -2.141977E+04	  -5.735160E+03	   9.428071E+06	   3.560060E+07	   3.007868E+07	   1.051581E+05
    1.4000	  -1.247179E+00	  -2.427334E+04	  -6.498215E+03	   9.429692E+06	   3.560045E+07	   3.010116E+07	   1.190610E+05
    1.5000	  -1.398653E+00	  -2.704146E+04	  -7.238152E+03	   9.431423E+06	   3.559990E+07	   3.012616E+07	   1.325204E+05
    1.6000	  -1.548747E+00	  -2.971136E+04	  -7.951735E+03	   9.433257E+06	   3.559897E+07	   3.015355E+07	   1.454754E+05
    1.7000	  -1.697312E+00	  -3.227051E+04	  -8.635938E+03	   9.435188E+06	   3.559767E+07	   3.018316E+07	   1.578671E+05
    1.8000	  -1.844202E+00	  -3.470894E+04	  -9.287768E+03	   9.437206E+06	   3.559600E+07	   3.021485E+07	   1.696482E+05
    1.9000	  -1.989273E+00	  -3.701591E+04	  -9.904399E+03	   9.439305E+06	   3.559400E+07	   3.024843E+07	   1.807684E+05
    2.0000	  -2.132380E+00	  -3.918134E+04	  -1.048311E+04	   9.441476E+06	   3.559168E+07	   3.028372E+07	   1.911806E+05
    2.1000	  -2.273383E+00	  -4.119550E+04	  -1.102139E+04	   9.443709E+06	   3.558906E+07	   3.032052E+07	   2.008399E+05
    2.2000	  -2.412142E+00	  -4.304947E+04	  -1.151673E+04	   9.445997E+06	   3.558618E+07	   3.035862E+07	   2.097050E+05
    2.3000	  -2.548521E+00	  -4.473479E+04	  -1.196703E+04	   9.448329E+06	   3.558305E+07	   3.039780E+07	   2.177376E+05
    2.4000	  -2.682384E+00	  -4.624397E+04	  -1.237010E+04	   9.450696E+06	   3.557970E+07	   3.043785E+07	   2.249034E+05
    2.5000	  -2.813601E+00	  -4.756996E+04	  -1.272427E+04	   9.453088E+06	   3.557618E+07	   3.047853E+07	   2.311712E+05
    2.6000	  -2.942041E+00	  -4.870659E+04	  -1.302769E+04	   9.455496E+06	   3.557250E+07	   3.051962E+07	   2.365131E+05
    2.7000	  -3.067578E+00	  -4.964843E+04	  -1.327927E+04	   9.457910E+06	   3.556870E+07	   3.056087E+07	   2.409061E+05
    2.8000	  -3.190086E+00	  -5.039132E+04	  -1.347733E+04	   9.460320E+06	   3.556482E+07	   3.060206E+07	   2.443316E+05
