
These predictions were generated by HydroDyn on 07-Mar-2023 at 16:37:48.




    Time                      Wave1Elev                       HydroFxi                       HydroFyi                       HydroFzi                       HydroMxi                       HydroMyi                       HydroMzi                       B1WvsFxi                       B2WvsFxi                       B3WvsFxi                       B4WvsFxi                       B1WvsFyi                       B2WvsFyi                       B3WvsFyi                       B4WvsFyi                       B1WvsFzi                       B2WvsFzi                       B3WvsFzi                       B4WvsFzi                       B1WvsMxi                       B2WvsMxi                       B3WvsMxi                       B4WvsMxi                       B1WvsMyi                       B2WvsMyi                       B3WvsMyi                       B4WvsMyi                       B1WvsMzi                       B2WvsMzi                       B3WvsMzi                       B4WvsMzi                      B1WvsF1xi                      B2WvsF1xi                      B3WvsF1xi                      B4WvsF1xi                      B1WvsF1yi                      B2WvsF1yi                      B3WvsF1yi                      B4WvsF1yi                      B1WvsF1zi                      B2WvsF1zi                      B3WvsF1zi                      B4WvsF1zi                      B1WvsM1xi                      B2WvsM1xi                      B3WvsM1xi                      B4WvsM1xi                      B1WvsM1yi                      B2WvsM1yi                      B3WvsM1yi                      B4WvsM1yi                      B1WvsM1zi                      B2WvsM1zi                      B3WvsM1zi                      B4WvsM1zi                        B1Surge                         B1Sway                        B1Heave                         B1Roll                        B1Pitch                          B1Yaw                        B2Surge                         B2Sway                        B2Heave                         B2Roll                        B2Pitch                          B2Yaw                        B3Surge                         B3Sway                        B3Heave                         B3Roll                        B3Pitch                          B3Yaw                        B4Surge                         B4Sway                        B4Heave                         B4Roll                        B4Pitch                          B4Yaw
   (sec)                            (m)                            (N)                            (N)                            (N)                          (N-m)                          (N-m)                          (N-m)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                            (N)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                          (N-m)                            (m)                            (m)                            (m)                          (rad)                          (rad)                          (rad)                            (m)                            (m)                            (m)                          (rad)                          (rad)                          (rad)                            (m)                            (m)                            (m)                          (rad)                          (rad)                          (rad)                            (m)                            (m)                            (m)                          (rad)                          (rad)                          (rad)
    0.0000                    -2.0654E-01                     1.5859E+05                     9.5282E-02                     5.2757E+07                     3.0663E+00                    -4.4072E+06                     3.0373E+00                     1.9657E+05                    -1.5764E+05                     2.9010E+05                    -1.5764E+05                    -4.0171E-02                     5.8552E-02                     1.8349E-02                     5.8552E-02                    -6.1835E+04                     3.0704E+05                     8.4681E+04                     3.0704E+05                    -2.7171E-01                     1.4753E+00                     3.8731E-01                     1.4753E+00                    -1.0138E+06                     2.4631E+06                    -2.2248E+06                     2.4631E+06                     6.0223E-02                     5.9024E-01                     6.3608E-01                     5.9024E-01                     1.9657E+05                    -1.5764E+05                     2.9010E+05                    -1.5764E+05                    -4.0171E-02                     5.8552E-02                     1.8349E-02                     5.8552E-02                    -6.1835E+04                     3.0704E+05                     8.4681E+04                     3.0704E+05                    -2.7171E-01                     1.4753E+00                     3.8731E-01                     1.4753E+00                    -1.0138E+06                     2.4631E+06                    -2.2248E+06                     2.4631E+06                     6.0223E-02                     5.9024E-01                     6.3608E-01                     5.9024E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.0125                    -2.0134E-01                     1.8685E+05                     9.4749E-02                     5.2751E+07                     3.0610E+00                    -4.7356E+06                     3.0714E+00                     1.9637E+05                    -1.4773E+05                     2.9865E+05                    -1.4773E+05                    -4.0170E-02                     5.8707E-02                     1.7506E-02                     5.8707E-02                    -6.1984E+04                     3.0490E+05                     8.2466E+04                     3.0490E+05                    -2.7395E-01                     1.4751E+00                     3.8464E-01                     1.4751E+00                    -1.0114E+06                     2.3395E+06                    -2.3012E+06                     2.3395E+06                     6.0589E-02                     5.9302E-01                     6.3546E-01                     5.9302E-01                     1.9637E+05                    -1.4773E+05                     2.9865E+05                    -1.4773E+05                    -4.0170E-02                     5.8707E-02                     1.7506E-02                     5.8707E-02                    -6.1984E+04                     3.0490E+05                     8.2466E+04                     3.0490E+05                    -2.7395E-01                     1.4751E+00                     3.8464E-01                     1.4751E+00                    -1.0114E+06                     2.3395E+06                    -2.3012E+06                     2.3395E+06                     6.0589E-02                     5.9302E-01                     6.3546E-01                     5.9302E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.0250                    -1.9614E-01                     2.1512E+05                     9.4217E-02                     5.2744E+07                     3.0557E+00                    -5.0640E+06                     3.1056E+00                     1.9616E+05                    -1.3782E+05                     3.0720E+05                    -1.3782E+05                    -4.0169E-02                     5.8861E-02                     1.6664E-02                     5.8861E-02                    -6.2134E+04                     3.0276E+05                     8.0252E+04                     3.0276E+05                    -2.7620E-01                     1.4749E+00                     3.8198E-01                     1.4749E+00                    -1.0090E+06                     2.2159E+06                    -2.3776E+06                     2.2159E+06                     6.0956E-02                     5.9581E-01                     6.3484E-01                     5.9581E-01                     1.9616E+05                    -1.3782E+05                     3.0720E+05                    -1.3782E+05                    -4.0169E-02                     5.8861E-02                     1.6664E-02                     5.8861E-02                    -6.2134E+04                     3.0276E+05                     8.0252E+04                     3.0276E+05                    -2.7620E-01                     1.4749E+00                     3.8198E-01                     1.4749E+00                    -1.0090E+06                     2.2159E+06                    -2.3776E+06                     2.2159E+06                     6.0956E-02                     5.9581E-01                     6.3484E-01                     5.9581E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.0375                    -1.9093E-01                     2.4338E+05                     9.3684E-02                     5.2738E+07                     3.0503E+00                    -5.3923E+06                     3.1397E+00                     1.9596E+05                    -1.2790E+05                     3.1575E+05                    -1.2790E+05                    -4.0168E-02                     5.9015E-02                     1.5821E-02                     5.9015E-02                    -6.2283E+04                     3.0061E+05                     7.8037E+04                     3.0061E+05                    -2.7844E-01                     1.4747E+00                     3.7931E-01                     1.4747E+00                    -1.0066E+06                     2.0924E+06                    -2.4540E+06                     2.0924E+06                     6.1322E-02                     5.9860E-01                     6.3423E-01                     5.9860E-01                     1.9596E+05                    -1.2790E+05                     3.1575E+05                    -1.2790E+05                    -4.0168E-02                     5.9015E-02                     1.5821E-02                     5.9015E-02                    -6.2283E+04                     3.0061E+05                     7.8037E+04                     3.0061E+05                    -2.7844E-01                     1.4747E+00                     3.7931E-01                     1.4747E+00                    -1.0066E+06                     2.0924E+06                    -2.4540E+06                     2.0924E+06                     6.1322E-02                     5.9860E-01                     6.3423E-01                     5.9860E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.0500                    -1.8573E-01                     2.7164E+05                     9.3152E-02                     5.2731E+07                     3.0450E+00                    -5.7205E+06                     3.1738E+00                     1.9576E+05                    -1.1799E+05                     3.2429E+05                    -1.1799E+05                    -4.0166E-02                     5.9170E-02                     1.4978E-02                     5.9170E-02                    -6.2433E+04                     2.9847E+05                     7.5823E+04                     2.9847E+05                    -2.8069E-01                     1.4745E+00                     3.7664E-01                     1.4745E+00                    -1.0042E+06                     1.9688E+06                    -2.5304E+06                     1.9688E+06                     6.1688E-02                     6.0139E-01                     6.3361E-01                     6.0139E-01                     1.9576E+05                    -1.1799E+05                     3.2429E+05                    -1.1799E+05                    -4.0166E-02                     5.9170E-02                     1.4978E-02                     5.9170E-02                    -6.2433E+04                     2.9847E+05                     7.5823E+04                     2.9847E+05                    -2.8069E-01                     1.4745E+00                     3.7664E-01                     1.4745E+00                    -1.0042E+06                     1.9688E+06                    -2.5304E+06                     1.9688E+06                     6.1688E-02                     6.0139E-01                     6.3361E-01                     6.0139E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.0625                    -1.8053E-01                     2.9990E+05                     9.2619E-02                     5.2725E+07                     3.0397E+00                    -6.0486E+06                     3.2079E+00                     1.9555E+05                    -1.0808E+05                     3.3284E+05                    -1.0808E+05                    -4.0165E-02                     5.9324E-02                     1.4136E-02                     5.9324E-02                    -6.2582E+04                     2.9633E+05                     7.3608E+04                     2.9633E+05                    -2.8293E-01                     1.4743E+00                     3.7398E-01                     1.4743E+00                    -1.0018E+06                     1.8452E+06                    -2.6067E+06                     1.8452E+06                     6.2055E-02                     6.0418E-01                     6.3300E-01                     6.0418E-01                     1.9555E+05                    -1.0808E+05                     3.3284E+05                    -1.0808E+05                    -4.0165E-02                     5.9324E-02                     1.4136E-02                     5.9324E-02                    -6.2582E+04                     2.9633E+05                     7.3608E+04                     2.9633E+05                    -2.8293E-01                     1.4743E+00                     3.7398E-01                     1.4743E+00                    -1.0018E+06                     1.8452E+06                    -2.6067E+06                     1.8452E+06                     6.2055E-02                     6.0418E-01                     6.3300E-01                     6.0418E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.0750                    -1.7533E-01                     3.2816E+05                     9.2087E-02                     5.2718E+07                     3.0344E+00                    -6.3766E+06                     3.2420E+00                     1.9535E+05                    -9.8167E+04                     3.4139E+05                    -9.8167E+04                    -4.0164E-02                     5.9479E-02                     1.3293E-02                     5.9479E-02                    -6.2732E+04                     2.9419E+05                     7.1394E+04                     2.9419E+05                    -2.8517E-01                     1.4741E+00                     3.7131E-01                     1.4741E+00                    -9.9944E+05                     1.7217E+06                    -2.6831E+06                     1.7217E+06                     6.2421E-02                     6.0696E-01                     6.3238E-01                     6.0696E-01                     1.9535E+05                    -9.8167E+04                     3.4139E+05                    -9.8167E+04                    -4.0164E-02                     5.9479E-02                     1.3293E-02                     5.9479E-02                    -6.2732E+04                     2.9419E+05                     7.1394E+04                     2.9419E+05                    -2.8517E-01                     1.4741E+00                     3.7131E-01                     1.4741E+00                    -9.9944E+05                     1.7217E+06                    -2.6831E+06                     1.7217E+06                     6.2421E-02                     6.0696E-01                     6.3238E-01                     6.0696E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.0875                    -1.7012E-01                     3.5641E+05                     9.1554E-02                     5.2712E+07                     3.0291E+00                    -6.7046E+06                     3.2761E+00                     1.9515E+05                    -8.8254E+04                     3.4994E+05                    -8.8254E+04                    -4.0163E-02                     5.9633E-02                     1.2450E-02                     5.9633E-02                    -6.2881E+04                     2.9205E+05                     6.9179E+04                     2.9205E+05                    -2.8742E-01                     1.4739E+00                     3.6864E-01                     1.4739E+00                    -9.9705E+05                     1.5981E+06                    -2.7595E+06                     1.5981E+06                     6.2787E-02                     6.0975E-01                     6.3176E-01                     6.0975E-01                     1.9515E+05                    -8.8254E+04                     3.4994E+05                    -8.8254E+04                    -4.0163E-02                     5.9633E-02                     1.2450E-02                     5.9633E-02                    -6.2881E+04                     2.9205E+05                     6.9179E+04                     2.9205E+05                    -2.8742E-01                     1.4739E+00                     3.6864E-01                     1.4739E+00                    -9.9705E+05                     1.5981E+06                    -2.7595E+06                     1.5981E+06                     6.2787E-02                     6.0975E-01                     6.3176E-01                     6.0975E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
    0.1000                    -1.6492E-01                     3.8466E+05                     9.1022E-02                     5.2706E+07                     3.0237E+00                    -7.0324E+06                     3.3102E+00                     1.9494E+05                    -7.8342E+04                     3.5849E+05                    -7.8342E+04                    -4.0161E-02                     5.9788E-02                     1.1608E-02                     5.9788E-02                    -6.3031E+04                     2.8990E+05                     6.6965E+04                     2.8990E+05                    -2.8966E-01                     1.4737E+00                     3.6598E-01                     1.4737E+00                    -9.9465E+05                     1.4745E+06                    -2.8359E+06                     1.4745E+06                     6.3154E-02                     6.1254E-01                     6.3115E-01                     6.1254E-01                     1.9494E+05                    -7.8342E+04                     3.5849E+05                    -7.8342E+04                    -4.0161E-02                     5.9788E-02                     1.1608E-02                     5.9788E-02                    -6.3031E+04                     2.8990E+05                     6.6965E+04                     2.8990E+05                    -2.8966E-01                     1.4737E+00                     3.6598E-01                     1.4737E+00                    -9.9465E+05                     1.4745E+06                    -2.8359E+06                     1.4745E+06                     6.3154E-02                     6.1254E-01                     6.3115E-01                     6.1254E-01                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00                     0.0000E+00
