
Predictions were generated on 31-May-2023 at 21:34:14 using HydroDyn Driver, compiled on May 31 2023 at 15:45:05 as a 64-bit application using double precision at commit v3.5.0-439-g03d62244-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Sample file demonstrating NBodyMod=3 inputs, based on NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	Wave1Elev	HydroFxi	HydroFzi	HydroMyi	B1WvsFxi	B2WvsFxi	B3WvsFxi	B4WvsFxi	B1WvsFyi	B2WvsFyi	B3WvsFyi	B4WvsFyi	B1WvsFzi	B2WvsFzi	B3WvsFzi	B4WvsFzi	B1WvsMxi	B2WvsMxi	B3WvsMxi	B4WvsMxi	B1WvsMyi	B2WvsMyi	B3WvsMyi	B4WvsMyi	B1WvsMzi	B2WvsMzi	B3WvsMzi	B4WvsMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B2Surge	B2Sway	B2Heave	B2Roll	B2Pitch	B2Yaw	B3Surge	B3Sway	B3Heave	B3Roll	B3Pitch	B3Yaw	B4Surge	B4Sway	B4Heave	B4Roll	B4Pitch	B4Yaw
(s)	(m)	(N)	(N)	(N-m)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m)	(m)	(m)	(rad)	(rad)	(rad)
    0.0000	   1.119191E-01	   2.017455E+05	   4.579816E+07	   3.795112E+06	  -9.396909E+03	   1.420220E+05	  -6.128609E+04	   1.420220E+05	  -1.434826E-02	  -8.795302E-03	   8.457708E-02	  -1.869763E-02	  -2.477119E+04	   6.735981E+04	   1.666140E+05	   6.735977E+04	  -2.302222E-01	   5.908383E-01	   8.265432E-01	   6.838335E-01	   1.783673E+05	  -3.510268E+05	   1.207951E+06	  -3.510258E+05	   3.121742E-02	   1.452020E-01	   5.468751E-01	   1.495368E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0125	   1.104162E-01	   2.212881E+05	   4.579204E+07	   3.609177E+06	  -1.141800E+04	   1.474735E+05	  -5.068842E+04	   1.474735E+05	  -1.445746E-02	  -9.070027E-03	   8.367764E-02	  -1.903688E-02	  -2.508994E+04	   6.529063E+04	   1.648673E+05	   6.529059E+04	  -2.312596E-01	   5.996584E-01	   8.240255E-01	   6.911975E-01	   1.901919E+05	  -4.053694E+05	   1.109538E+06	  -4.053684E+05	   3.147509E-02	   1.480892E-01	   5.479549E-01	   1.524373E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0250	   1.089133E-01	   2.408298E+05	   4.578592E+07	   3.423216E+06	  -1.343909E+04	   1.529250E+05	  -4.009075E+04	   1.529250E+05	  -1.456666E-02	  -9.344751E-03	   8.277820E-02	  -1.937614E-02	  -2.540868E+04	   6.322145E+04	   1.631206E+05	   6.322141E+04	  -2.322969E-01	   6.084784E-01	   8.215078E-01	   6.985614E-01	   2.020164E+05	  -4.597120E+05	   1.011125E+06	  -4.597110E+05	   3.173276E-02	   1.509764E-01	   5.490347E-01	   1.553378E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0375	   1.074105E-01	   2.603707E+05	   4.577980E+07	   3.237231E+06	  -1.546017E+04	   1.583765E+05	  -2.949308E+04	   1.583766E+05	  -1.467586E-02	  -9.619475E-03	   8.187876E-02	  -1.971540E-02	  -2.572743E+04	   6.115227E+04	   1.613739E+05	   6.115223E+04	  -2.333343E-01	   6.172984E-01	   8.189901E-01	   7.059254E-01	   2.138409E+05	  -5.140546E+05	   9.127119E+05	  -5.140536E+05	   3.199043E-02	   1.538637E-01	   5.501145E-01	   1.582383E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0500	   1.059076E-01	   2.799108E+05	   4.577368E+07	   3.051219E+06	  -1.748126E+04	   1.638280E+05	  -1.889541E+04	   1.638281E+05	  -1.478506E-02	  -9.894200E-03	   8.097932E-02	  -2.005466E-02	  -2.604617E+04	   5.908309E+04	   1.596272E+05	   5.908305E+04	  -2.343716E-01	   6.261185E-01	   8.164724E-01	   7.132894E-01	   2.256655E+05	  -5.683971E+05	   8.142988E+05	  -5.683962E+05	   3.224811E-02	   1.567509E-01	   5.511943E-01	   1.611388E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0625	   1.044047E-01	   2.994501E+05	   4.576755E+07	   2.865182E+06	  -1.950235E+04	   1.692795E+05	  -8.297746E+03	   1.692796E+05	  -1.489426E-02	  -1.016892E-02	   8.007988E-02	  -2.039392E-02	  -2.636492E+04	   5.701392E+04	   1.578806E+05	   5.701387E+04	  -2.354089E-01	   6.349385E-01	   8.139547E-01	   7.206534E-01	   2.374900E+05	  -6.227397E+05	   7.158856E+05	  -6.227388E+05	   3.250578E-02	   1.596382E-01	   5.522740E-01	   1.640393E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0750	   1.029018E-01	   3.189885E+05	   4.576142E+07	   2.679118E+06	  -2.152344E+04	   1.747310E+05	   2.299926E+03	   1.747311E+05	  -1.500346E-02	  -1.044365E-02	   7.918043E-02	  -2.073318E-02	  -2.668367E+04	   5.494474E+04	   1.561339E+05	   5.494468E+04	  -2.364463E-01	   6.437585E-01	   8.114370E-01	   7.280173E-01	   2.493145E+05	  -6.770822E+05	   6.174726E+05	  -6.770814E+05	   3.276346E-02	   1.625254E-01	   5.533538E-01	   1.669398E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0875	   1.013989E-01	   3.385262E+05	   4.575529E+07	   2.493029E+06	  -2.354453E+04	   1.801825E+05	   1.289759E+04	   1.801826E+05	  -1.511266E-02	  -1.071837E-02	   7.828099E-02	  -2.107244E-02	  -2.700241E+04	   5.287556E+04	   1.543872E+05	   5.287550E+04	  -2.374836E-01	   6.525786E-01	   8.089193E-01	   7.353813E-01	   2.611391E+05	  -7.314248E+05	   5.190595E+05	  -7.314239E+05	   3.302113E-02	   1.654126E-01	   5.544336E-01	   1.698403E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.1000	   9.989601E-02	   3.580631E+05	   4.574916E+07	   2.306914E+06	  -2.556562E+04	   1.856340E+05	   2.349527E+04	   1.856342E+05	  -1.522186E-02	  -1.099310E-02	   7.738155E-02	  -2.141170E-02	  -2.732116E+04	   5.080638E+04	   1.526405E+05	   5.080632E+04	  -2.385210E-01	   6.613986E-01	   8.064016E-01	   7.427453E-01	   2.729636E+05	  -7.857674E+05	   4.206464E+05	  -7.857665E+05	   3.327880E-02	   1.682999E-01	   5.555134E-01	   1.727408E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.1125	   9.839311E-02	   3.775991E+05	   4.574303E+07	   2.120774E+06	  -2.758670E+04	   1.910855E+05	   3.409293E+04	   1.910857E+05	  -1.533107E-02	  -1.126782E-02	   7.648212E-02	  -2.175096E-02	  -2.763990E+04	   4.873720E+04	   1.508939E+05	   4.873714E+04	  -2.395583E-01	   6.702187E-01	   8.038839E-01	   7.501093E-01	   2.847881E+05	  -8.401100E+05	   3.222333E+05	  -8.401091E+05	   3.353648E-02	   1.711871E-01	   5.565932E-01	   1.756413E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.1250	   9.689023E-02	   3.971343E+05	   4.573690E+07	   1.934608E+06	  -2.960779E+04	   1.965371E+05	   4.469060E+04	   1.965372E+05	  -1.544027E-02	  -1.154254E-02	   7.558268E-02	  -2.209022E-02	  -2.795865E+04	   4.666802E+04	   1.491472E+05	   4.666796E+04	  -2.405957E-01	   6.790388E-01	   8.013662E-01	   7.574732E-01	   2.966127E+05	  -8.944525E+05	   2.238202E+05	  -8.944518E+05	   3.379415E-02	   1.740744E-01	   5.576730E-01	   1.785418E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
