
These predictions were generated by HydroDyn on 10-Jul-2022 at 11:37:13.




    Time                       HydroFxi                       HydroFyi                       HydroFzi                       HydroMxi                       HydroMyi                       HydroMzi                        M1N1Vxi                        M1N1Vzi                        M1N1Axi                        M1N1Azi                       M1N1FDxi                       M1N1FDzi                       M1N1FIxi                       M1N1FIzi
   (sec)                            (N)                            (N)                            (N)                          (N-m)                          (N-m)                          (N-m)                          (m/s)                          (m/s)                        (m/s^2)                        (m/s^2)                          (N/m)                          (N/m)                          (N/m)                          (N/m)
    0.0000                      6.49483740E+05                      8.21337356E-10                      9.01447411E+06                      3.27955764E-08                     -9.45564125E+06                     -3.79279941E-08                      1.08906615E+00                     -4.94341731E-01                     -3.93907428E-01                     -5.39569139E-01                      1.50592864E+03                     -9.50254663E+02                     -3.76924435E+02                      2.37842746E+02
    0.0250                      6.03786033E+05                      6.08779520E-10                      9.01268424E+06                      3.61834914E-08                     -8.56944765E+06                     -3.91891380E-08                      1.07791809E+00                     -5.07166946E-01                     -4.04126969E-01                     -5.34045923E-01                      1.49936770E+03                     -9.46114653E+02                     -4.73597223E+02                      2.98844154E+02
    0.0500                      5.58116958E+05                      9.52580029E-10                      9.01090035E+06                      2.32311785E-08                     -7.68392979E+06                     -3.80858539E-08                      1.06677004E+00                     -5.19992161E-01                     -4.14346510E-01                     -5.28522706E-01                      1.49282109E+03                     -9.41983682E+02                     -5.70270012E+02                      3.59845563E+02
    0.0750                      5.12476518E+05                      7.52165257E-10                      9.00912233E+06                      4.67592330E-08                     -6.79908742E+06                     -3.85993321E-08                      1.05562199E+00                     -5.32817377E-01                     -4.24566053E-01                     -5.22999489E-01                      1.48628880E+03                     -9.37861748E+02                     -6.66942807E+02                      4.20846976E+02
    0.1000                      4.66864731E+05                      7.75746654E-10                      9.00735008E+06                      3.00148147E-08                     -5.91492055E+06                     -3.86964766E-08                      1.04447393E+00                     -5.45642591E-01                     -4.34785593E-01                     -5.17476272E-01                      1.47977084E+03                     -9.33748853E+02                     -7.63615588E+02                      4.81848380E+02
    0.1250                      4.21281595E+05                      6.53394439E-10                      9.00558350E+06                      3.18085188E-08                     -5.03142885E+06                     -4.03531375E-08                      1.03332588E+00                     -5.58467805E-01                     -4.45005134E-01                     -5.11953056E-01                      1.47326719E+03                     -9.29644996E+02                     -8.60288369E+02                      5.42849784E+02
    0.1500                      3.75727101E+05                      5.76687136E-10                      9.00382247E+06                      3.59475690E-08                     -4.14861183E+06                     -3.88387781E-08                      1.02217782E+00                     -5.71293023E-01                     -4.55224677E-01                     -5.06429838E-01                      1.46677787E+03                     -9.25550176E+02                     -9.56961179E+02                      6.03851206E+02
    0.1750                      3.30201292E+05                      9.89009222E-10                      9.00206690E+06                      2.63224558E-08                     -3.26647005E+06                     -3.75342118E-08                      1.01102978E+00                     -5.84118234E-01                     -4.65444215E-01                     -5.00906623E-01                      1.46030288E+03                     -9.21464397E+02                     -1.05363393E+03                      6.64852591E+02
    0.2000                      2.84704114E+05                      7.89082341E-10                      9.00031666E+06                      3.00286925E-08                     -2.38500221E+06                     -3.64361319E-08                      9.99881719E-01                     -5.96943452E-01                     -4.75663759E-01                     -4.95383405E-01                      1.45384221E+03                     -9.17387654E+02                     -1.15030674E+03                      7.25854013E+02
    0.2250                      2.39235622E+05                      4.85234682E-10                      8.99857166E+06                      3.29456300E-08                     -1.50420909E+06                     -3.99315997E-08                      9.88733670E-01                     -6.09768662E-01                     -4.85883296E-01                     -4.89860190E-01                      1.44739586E+03                     -9.13319951E+02                     -1.24697949E+03                      7.86855399E+02
    0.2500                      1.93795760E+05                      8.03339600E-10                      8.99683177E+06                      2.39215985E-08                     -6.24089352E+05                     -3.99541240E-08                      9.77585614E-01                     -6.22593880E-01                     -4.96102840E-01                     -4.84336972E-01                      1.44096384E+03                     -9.09261284E+02                     -1.34365230E+03                      8.47856821E+02
    0.2750                      1.46469585E+05                      1.04706825E-09                      8.99478902E+06                      2.03949057E-08                      2.79315202E+05                     -3.79765934E-08                      9.64030406E-01                     -6.33886048E-01                     -5.05100810E-01                     -4.77621157E-01                      1.42747438E+03                     -9.00749314E+02                     -1.43701656E+03                      9.06770517E+02
    0.3000                      9.91817779E+04                      8.59067591E-10                      8.99275665E+06                      3.68713092E-08                      1.18196067E+06                     -3.99662671E-08                      9.50475198E-01                     -6.45178216E-01                     -5.14098780E-01                     -4.70905342E-01                      1.41404836E+03                     -8.92277375E+02                     -1.53038082E+03                      9.65684213E+02
    0.3250                      5.19323478E+04                      7.94557562E-10                      8.99073451E+06                      2.96938908E-08                      2.08384631E+06                     -3.83044020E-08                      9.36920006E-01                     -6.56470371E-01                     -5.23096739E-01                     -4.64189536E-01                      1.40068580E+03                     -8.83845475E+02                     -1.62374497E+03                      1.02459784E+03
    0.3500                      4.72117385E+03                      6.67218017E-10                      8.98872245E+06                      3.06783464E-08                      2.98497463E+06                     -3.79245246E-08                      9.23364797E-01                     -6.67762539E-01                     -5.32094709E-01                     -4.57473721E-01                      1.38738665E+03                     -8.75453595E+02                     -1.71710923E+03                      1.08351153E+03
    0.3750                     -4.24516979E+04                      7.72114577E-10                      8.98672035E+06                      4.30911603E-08                      3.88534495E+06                     -3.77024800E-08                      9.09809589E-01                     -6.79054707E-01                     -5.41092679E-01                     -4.50757906E-01                      1.37415095E+03                     -8.67101744E+02                     -1.81047348E+03                      1.14242523E+03
    0.4000                     -8.95862796E+04                      8.64597022E-10                      8.98472809E+06                      3.10556488E-08                      4.78495765E+06                     -3.64361319E-08                      8.96254381E-01                     -6.90346875E-01                     -5.50090649E-01                     -4.44042091E-01                      1.36097868E+03                     -8.58789923E+02                     -1.90383774E+03                      1.20133893E+03
    0.4250                     -1.36682586E+05                      7.92605998E-10                      8.98274555E+06                      2.78186548E-08                      5.68381316E+06                     -3.81673859E-08                      8.82699173E-01                     -7.01639044E-01                     -5.59088619E-01                     -4.37326276E-01                      1.34786985E+03                     -8.50518131E+02                     -1.99720200E+03                      1.26025262E+03
    0.4500                     -1.83740577E+05                      7.06574556E-10                      8.98077258E+06                      3.63109935E-08                      6.58191085E+06                     -4.01275963E-08                      8.69143981E-01                     -7.12931198E-01                     -5.68086578E-01                     -4.30610469E-01                      1.33482447E+03                     -8.42286379E+02                     -2.09056615E+03                      1.31916625E+03
    0.4750                     -2.30760384E+05                      8.42208248E-10                      8.97880905E+06                      2.52807543E-08                      7.47925335E+06                     -3.99003747E-08                      8.55588773E-01                     -7.24223367E-01                     -5.77084548E-01                     -4.23894654E-01                      1.32184251E+03                     -8.34094646E+02                     -2.18393041E+03                      1.37807994E+03
    0.5000                     -2.77741973E+05                      5.07298197E-10                      8.97685481E+06                      3.99790663E-08                      8.37584005E+06                     -3.84432070E-08                      8.42033565E-01                     -7.35515535E-01                     -5.86082518E-01                     -4.17178839E-01                      1.30892400E+03                     -8.25942944E+02                     -2.27729466E+03                      1.43699364E+03
    0.5250                     -3.25353369E+05                      5.94034370E-10                      8.97467774E+06                      3.20305634E-08                      9.27248960E+06                     -3.99021094E-08                      8.26405016E-01                     -7.44996628E-01                     -5.93637352E-01                     -4.09435798E-01                      1.28966263E+03                     -8.13788847E+02                     -2.36505139E+03                      1.49236893E+03
    0.5500                     -3.72904970E+05                      9.37130148E-10                      8.97251470E+06                      2.42945640E-08                      1.01681212E+07                     -3.99090415E-08                      8.10776429E-01                     -7.54477744E-01                     -6.01192204E-01                     -4.01692738E-01                      1.27054399E+03                     -8.01724813E+02                     -2.45280833E+03                      1.54774436E+03
    0.5750                     -4.20396578E+05                      7.20723394E-10                      8.97036554E+06                      3.15786679E-08                      1.10627311E+07                     -3.99576002E-08                      7.95147879E-01                     -7.63958837E-01                     -6.08747038E-01                     -3.93949697E-01                      1.25156817E+03                     -7.89750898E+02                     -2.54056506E+03                      1.60311965E+03
    0.6000                     -4.67828453E+05                      9.57838409E-10                      8.96823010E+06                      3.80968914E-08                      1.19563243E+07                     -3.98119173E-08                      7.79519293E-01                     -7.73439953E-01                     -6.16301889E-01                     -3.86206637E-01                      1.23273508E+03                     -7.77867045E+02                     -2.62832200E+03                      1.65849508E+03
