
Predictions were generated on 31-May-2023 at 22:53:42 using HydroDyn Driver, compiled on May 31 2023 at 21:49:36 as a 64-bit application using double precision at commit v3.5.0-439-g0b6ef93e-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore fixed-bottom HydroDyn input properties for the OC3 Tripod

Time	HydroFxi	HydroFzi	HydroMyi	M1N1Vxi	M1N1Vzi	M1N1Axi	M1N1Azi	M1N1FDxi	M1N1FDzi	M1N1FIxi	M1N1FIzi
(s)	(N)	(N)	(N-m)	(m/s)	(m/s)	(m/s^2)	(m/s^2)	(N/m)	(N/m)	(N/m)	(N/m)
    0.0000	   6.782058E+05	   8.997617E+06	  -9.480807E+06	   1.094470E+00	  -4.958267E-01	  -3.958356E-01	  -5.412257E-01	   1.519590E+03	  -9.588751E+02	  -3.831526E+02	   2.417727E+02
    0.0250	   6.315042E+05	   8.995754E+06	  -8.594265E+06	   1.083267E+00	  -5.086913E-01	  -4.061059E-01	  -5.356858E-01	   1.512935E+03	  -9.546757E+02	  -4.802571E+02	   3.030466E+02
    0.0500	   5.848329E+05	   8.993892E+06	  -7.708408E+06	   1.072064E+00	  -5.215560E-01	  -4.163762E-01	  -5.301459E-01	   1.506295E+03	  -9.504857E+02	  -5.773622E+02	   3.643208E+02
    0.0750	   5.381918E+05	   8.992032E+06	  -6.823236E+06	   1.060861E+00	  -5.344205E-01	  -4.266464E-01	  -5.246061E-01	   1.499669E+03	  -9.463049E+02	  -6.744666E+02	   4.255945E+02
    0.1000	   4.915809E+05	   8.990174E+06	  -5.938747E+06	   1.049659E+00	  -5.472852E-01	  -4.369167E-01	  -5.190663E-01	   1.493058E+03	  -9.421333E+02	  -7.715714E+02	   4.868685E+02
    0.1250	   4.450002E+05	   8.988317E+06	  -5.054940E+06	   1.038456E+00	  -5.601498E-01	  -4.471870E-01	  -5.135264E-01	   1.486462E+03	  -9.379709E+02	  -8.686761E+02	   5.481426E+02
    0.1500	   3.984498E+05	   8.986461E+06	  -4.171819E+06	   1.027253E+00	  -5.730144E-01	  -4.574573E-01	  -5.079865E-01	   1.479880E+03	  -9.338177E+02	  -9.657809E+02	   6.094166E+02
    0.1750	   3.519296E+05	   8.984606E+06	  -3.289381E+06	   1.016050E+00	  -5.858790E-01	  -4.677276E-01	  -5.024467E-01	   1.473312E+03	  -9.296736E+02	  -1.062886E+03	   6.706906E+02
    0.2000	   3.054397E+05	   8.982752E+06	  -2.407625E+06	   1.004848E+00	  -5.987437E-01	  -4.779978E-01	  -4.969069E-01	   1.466760E+03	  -9.255389E+02	  -1.159990E+03	   7.319643E+02
    0.2250	   2.589799E+05	   8.980899E+06	  -1.526552E+06	   9.936450E-01	  -6.116083E-01	  -4.882681E-01	  -4.913670E-01	   1.460222E+03	  -9.214131E+02	  -1.257095E+03	   7.932385E+02
    0.2500	   2.125505E+05	   8.979046E+06	  -6.461621E+05	   9.824424E-01	  -6.244730E-01	  -4.985384E-01	  -4.858272E-01	   1.453699E+03	  -9.172971E+02	  -1.354199E+03	   8.545121E+02
    0.2750	   1.641183E+05	   8.976933E+06	   2.577764E+05	   9.688205E-01	  -6.357999E-01	  -5.075811E-01	  -4.790910E-01	   1.440056E+03	  -9.086881E+02	  -1.447970E+03	   9.136823E+02
    0.3000	   1.157267E+05	   8.974826E+06	   1.160946E+06	   9.551987E-01	  -6.471268E-01	  -5.166238E-01	  -4.723549E-01	   1.426477E+03	  -9.001199E+02	  -1.541740E+03	   9.728519E+02
    0.3250	   6.737562E+04	   8.972726E+06	   2.063349E+06	   9.415768E-01	  -6.584538E-01	  -5.256665E-01	  -4.656188E-01	   1.412963E+03	  -8.915922E+02	  -1.635510E+03	   1.032022E+03
    0.3500	   1.906505E+04	   8.970632E+06	   2.964984E+06	   9.279551E-01	  -6.697808E-01	  -5.347093E-01	  -4.588827E-01	   1.399513E+03	  -8.831052E+02	  -1.729281E+03	   1.091192E+03
    0.3750	  -2.920507E+04	   8.968544E+06	   3.865854E+06	   9.143332E-01	  -6.811078E-01	  -5.437520E-01	  -4.521466E-01	   1.386127E+03	  -8.746587E+02	  -1.823051E+03	   1.150362E+03
    0.4000	  -7.743470E+04	   8.966462E+06	   4.765958E+06	   9.007114E-01	  -6.924347E-01	  -5.527947E-01	  -4.454105E-01	   1.372806E+03	  -8.662529E+02	  -1.916821E+03	   1.209532E+03
    0.4250	  -1.256238E+05	   8.964387E+06	   5.665296E+06	   8.870895E-01	  -7.037616E-01	  -5.618374E-01	  -4.386743E-01	   1.359548E+03	  -8.578874E+02	  -2.010591E+03	   1.268701E+03
    0.4500	  -1.737725E+05	   8.962317E+06	   6.563868E+06	   8.734678E-01	  -7.150886E-01	  -5.708801E-01	  -4.319382E-01	   1.346356E+03	  -8.495628E+02	  -2.104361E+03	   1.327871E+03
    0.4750	  -2.218808E+05	   8.960253E+06	   7.461676E+06	   8.598459E-01	  -7.264156E-01	  -5.799228E-01	  -4.252021E-01	   1.333227E+03	  -8.412786E+02	  -2.198132E+03	   1.387041E+03
    0.5000	  -2.699487E+05	   8.958194E+06	   8.358720E+06	   8.462241E-01	  -7.377425E-01	  -5.889655E-01	  -4.184660E-01	   1.320163E+03	  -8.330350E+02	  -2.291902E+03	   1.446211E+03
    0.5250	  -3.187304E+05	   8.955961E+06	   9.256073E+06	   8.305185E-01	  -7.472530E-01	  -5.965580E-01	  -4.106995E-01	   1.300702E+03	  -8.207550E+02	  -2.380029E+03	   1.501820E+03
    0.5500	  -3.674488E+05	   8.953739E+06	   1.015240E+07	   8.148131E-01	  -7.567633E-01	  -6.041505E-01	  -4.029329E-01	   1.281386E+03	  -8.085662E+02	  -2.468156E+03	   1.557429E+03
    0.5750	  -4.161039E+05	   8.951528E+06	   1.104769E+07	   7.991076E-01	  -7.662737E-01	  -6.117429E-01	  -3.951664E-01	   1.262214E+03	  -7.964684E+02	  -2.556282E+03	   1.613037E+03
    0.6000	  -4.646958E+05	   8.949328E+06	   1.194195E+07	   7.834021E-01	  -7.757842E-01	  -6.193355E-01	  -3.873999E-01	   1.243187E+03	  -7.844620E+02	  -2.644409E+03	   1.668646E+03
    0.6250	  -5.132245E+05	   8.947138E+06	   1.283519E+07	   7.676966E-01	  -7.852945E-01	  -6.269279E-01	  -3.796334E-01	   1.224304E+03	  -7.725467E+02	  -2.732536E+03	   1.724255E+03
    0.6500	  -5.616901E+05	   8.944958E+06	   1.372740E+07	   7.519912E-01	  -7.948049E-01	  -6.345204E-01	  -3.718669E-01	   1.205565E+03	  -7.607226E+02	  -2.820663E+03	   1.779864E+03
    0.6750	  -6.100926E+05	   8.942789E+06	   1.461858E+07	   7.362857E-01	  -8.043154E-01	  -6.421129E-01	  -3.641003E-01	   1.186971E+03	  -7.489897E+02	  -2.908789E+03	   1.835473E+03
    0.7000	  -6.584321E+05	   8.940630E+06	   1.550874E+07	   7.205801E-01	  -8.138257E-01	  -6.497054E-01	  -3.563338E-01	   1.168522E+03	  -7.373478E+02	  -2.996916E+03	   1.891081E+03
    0.7250	  -7.067085E+05	   8.938481E+06	   1.639787E+07	   7.048746E-01	  -8.233361E-01	  -6.572978E-01	  -3.485673E-01	   1.150217E+03	  -7.257972E+02	  -3.085043E+03	   1.946690E+03
    0.7500	  -7.549221E+05	   8.936341E+06	   1.728597E+07	   6.891692E-01	  -8.328465E-01	  -6.648903E-01	  -3.408008E-01	   1.132056E+03	  -7.143379E+02	  -3.173170E+03	   2.002299E+03
    0.7750	  -8.024858E+05	   8.934111E+06	   1.815033E+07	   6.717666E-01	  -8.403062E-01	  -6.708456E-01	  -3.321950E-01	   1.108517E+03	  -6.994843E+02	  -3.253483E+03	   2.052978E+03
    0.8000	  -8.499539E+05	   8.931895E+06	   1.901326E+07	   6.543643E-01	  -8.477659E-01	  -6.768009E-01	  -3.235894E-01	   1.085225E+03	  -6.847867E+02	  -3.333797E+03	   2.103656E+03
    0.8250	  -8.973264E+05	   8.929692E+06	   1.987476E+07	   6.369618E-01	  -8.552254E-01	  -6.827562E-01	  -3.149837E-01	   1.062180E+03	  -6.702451E+02	  -3.414110E+03	   2.154334E+03
    0.8500	  -9.446050E+05	   8.927503E+06	   2.073488E+07	   6.195592E-01	  -8.626851E-01	  -6.887115E-01	  -3.063780E-01	   1.039382E+03	  -6.558596E+02	  -3.494424E+03	   2.205013E+03
    0.8750	  -9.917983E+05	   8.925327E+06	   2.159398E+07	   6.021568E-01	  -8.701447E-01	  -6.946667E-01	  -2.977723E-01	   1.016832E+03	  -6.416301E+02	  -3.574736E+03	   2.255691E+03
    0.9000	  -1.038908E+06	   8.923163E+06	   2.245212E+07	   5.847543E-01	  -8.776045E-01	  -7.006220E-01	  -2.891666E-01	   9.945291E+02	  -6.275569E+02	  -3.655050E+03	   2.306370E+03
    0.9250	  -1.085934E+06	   8.921011E+06	   2.330930E+07	   5.673518E-01	  -8.850641E-01	  -7.065774E-01	  -2.805610E-01	   9.724733E+02	  -6.136395E+02	  -3.735363E+03	   2.357048E+03
    0.9500	  -1.132877E+06	   8.918871E+06	   2.416553E+07	   5.499494E-01	  -8.925236E-01	  -7.125327E-01	  -2.719553E-01	   9.506650E+02	  -5.998782E+02	  -3.815677E+03	   2.407727E+03
    0.9750	  -1.179737E+06	   8.916743E+06	   2.502080E+07	   5.325469E-01	  -8.999833E-01	  -7.184880E-01	  -2.633496E-01	   9.291038E+02	  -5.862729E+02	  -3.895990E+03	   2.458406E+03
    1.0000	  -1.226514E+06	   8.914626E+06	   2.587511E+07	   5.151444E-01	  -9.074429E-01	  -7.244433E-01	  -2.547439E-01	   9.077901E+02	  -5.728238E+02	  -3.976304E+03	   2.509084E+03
    1.0250	  -1.271268E+06	   8.912495E+06	   2.668208E+07	   4.964735E-01	  -9.126682E-01	  -7.286147E-01	  -2.455109E-01	   8.823109E+02	  -5.567462E+02	  -4.046826E+03	   2.553584E+03
    1.0500	  -1.315900E+06	   8.910377E+06	   2.748755E+07	   4.778026E-01	  -9.178935E-01	  -7.327862E-01	  -2.362780E-01	   8.571945E+02	  -5.408975E+02	  -4.117348E+03	   2.598084E+03
    1.0750	  -1.360408E+06	   8.908274E+06	   2.829153E+07	   4.591317E-01	  -9.231186E-01	  -7.369577E-01	  -2.270450E-01	   8.324404E+02	  -5.252775E+02	  -4.187871E+03	   2.642584E+03
    1.1000	  -1.404794E+06	   8.906184E+06	   2.909402E+07	   4.404607E-01	  -9.283439E-01	  -7.411292E-01	  -2.178121E-01	   8.080493E+02	  -5.098864E+02	  -4.258393E+03	   2.687085E+03
    1.1250	  -1.449057E+06	   8.904108E+06	   2.989504E+07	   4.217898E-01	  -9.335691E-01	  -7.453007E-01	  -2.085792E-01	   7.840207E+02	  -4.947242E+02	  -4.328916E+03	   2.731585E+03
    1.1500	  -1.493198E+06	   8.902045E+06	   3.069459E+07	   4.031189E-01	  -9.387944E-01	  -7.494721E-01	  -1.993462E-01	   7.603550E+02	  -4.797909E+02	  -4.399438E+03	   2.776085E+03
    1.1750	  -1.537218E+06	   8.899995E+06	   3.149270E+07	   3.844480E-01	  -9.440196E-01	  -7.536436E-01	  -1.901132E-01	   7.370516E+02	  -4.650863E+02	  -4.469960E+03	   2.820586E+03
    1.2000	  -1.581116E+06	   8.897957E+06	   3.228938E+07	   3.657771E-01	  -9.492449E-01	  -7.578151E-01	  -1.808803E-01	   7.141112E+02	  -4.506107E+02	  -4.540483E+03	   2.865086E+03
    1.2250	  -1.624894E+06	   8.895931E+06	   3.308463E+07	   3.471062E-01	  -9.544700E-01	  -7.619865E-01	  -1.716473E-01	   6.915333E+02	  -4.363638E+02	  -4.611005E+03	   2.909586E+03
    1.2500	  -1.668552E+06	   8.893918E+06	   3.387849E+07	   3.284353E-01	  -9.596953E-01	  -7.661581E-01	  -1.624144E-01	   6.693182E+02	  -4.223459E+02	  -4.681528E+03	   2.954087E+03
    1.2750	  -1.708845E+06	   8.891954E+06	   3.460179E+07	   3.089556E-01	  -9.625574E-01	  -7.684429E-01	  -1.527815E-01	   6.442278E+02	  -4.065136E+02	  -4.740522E+03	   2.991313E+03
    1.3000	  -1.748975E+06	   8.890004E+06	   3.532309E+07	   2.894760E-01	  -9.654196E-01	  -7.707280E-01	  -1.431487E-01	   6.196168E+02	  -3.909838E+02	  -4.799518E+03	   3.028540E+03
    1.3250	  -1.788943E+06	   8.888067E+06	   3.604239E+07	   2.699963E-01	  -9.682816E-01	  -7.730128E-01	  -1.335158E-01	   5.954849E+02	  -3.757564E+02	  -4.858512E+03	   3.065765E+03
    1.3500	  -1.828748E+06	   8.886141E+06	   3.675972E+07	   2.505167E-01	  -9.711439E-01	  -7.752978E-01	  -1.238829E-01	   5.718325E+02	  -3.608315E+02	  -4.917507E+03	   3.102992E+03
    1.3750	  -1.868393E+06	   8.884227E+06	   3.747508E+07	   2.310371E-01	  -9.740059E-01	  -7.775828E-01	  -1.142501E-01	   5.486593E+02	  -3.462090E+02	  -4.976502E+03	   3.140218E+03
    1.4000	  -1.907878E+06	   8.882325E+06	   3.818850E+07	   2.115574E-01	  -9.768682E-01	  -7.798677E-01	  -1.046172E-01	   5.259655E+02	  -3.318890E+02	  -5.035498E+03	   3.177445E+03
    1.4250	  -1.947203E+06	   8.880432E+06	   3.890001E+07	   1.920778E-01	  -9.797302E-01	  -7.821526E-01	  -9.498432E-02	   5.037509E+02	  -3.178714E+02	  -5.094492E+03	   3.214671E+03
    1.4500	  -1.986369E+06	   8.878551E+06	   3.960960E+07	   1.725981E-01	  -9.825923E-01	  -7.844375E-01	  -8.535146E-02	   4.820156E+02	  -3.041562E+02	  -5.153487E+03	   3.251897E+03
    1.4750	  -2.025378E+06	   8.876678E+06	   4.031732E+07	   1.531185E-01	  -9.854544E-01	  -7.867225E-01	  -7.571859E-02	   4.607596E+02	  -2.907435E+02	  -5.212482E+03	   3.289124E+03
    1.5000	  -2.064230E+06	   8.874815E+06	   4.102317E+07	   1.336389E-01	  -9.883166E-01	  -7.890075E-01	  -6.608573E-02	   4.399830E+02	  -2.776333E+02	  -5.271477E+03	   3.326350E+03
    1.5250	  -2.098483E+06	   8.873051E+06	   4.163709E+07	   1.138302E-01	  -9.887451E-01	  -7.893496E-01	  -5.629014E-02	   4.175721E+02	  -2.634918E+02	  -5.317492E+03	   3.355386E+03
    1.5500	  -2.132538E+06	   8.871295E+06	   4.224853E+07	   9.402148E-02	  -9.891737E-01	  -7.896918E-01	  -4.649454E-02	   3.957470E+02	  -2.497200E+02	  -5.363507E+03	   3.384422E+03
    1.5750	  -2.166395E+06	   8.869547E+06	   4.285750E+07	   7.421276E-02	  -9.896023E-01	  -7.900339E-01	  -3.669895E-02	   3.745077E+02	  -2.363177E+02	  -5.409521E+03	   3.413457E+03
    1.6000	  -2.200056E+06	   8.867805E+06	   4.346402E+07	   5.440407E-02	  -9.900309E-01	  -7.903761E-01	  -2.690335E-02	   3.538542E+02	  -2.232852E+02	  -5.455537E+03	   3.442493E+03
    1.6250	  -2.233523E+06	   8.866070E+06	   4.406813E+07	   3.459539E-02	  -9.904595E-01	  -7.907182E-01	  -1.710776E-02	   3.337864E+02	  -2.106222E+02	  -5.501551E+03	   3.471529E+03
    1.6500	  -2.266796E+06	   8.864339E+06	   4.466984E+07	   1.478669E-02	  -9.908881E-01	  -7.910604E-01	  -7.312167E-03	   3.143044E+02	  -1.983289E+02	  -5.547566E+03	   3.500565E+03
    1.6750	  -2.299878E+06	   8.862613E+06	   4.526919E+07	  -5.022003E-03	  -9.913167E-01	  -7.914025E-01	   2.483428E-03	   2.954082E+02	  -1.864052E+02	  -5.593581E+03	   3.529600E+03
    1.7000	  -2.332769E+06	   8.860889E+06	   4.586620E+07	  -2.483070E-02	  -9.917453E-01	  -7.917446E-01	   1.227902E-02	   2.770977E+02	  -1.748512E+02	  -5.639596E+03	   3.558636E+03
    1.7250	  -2.365473E+06	   8.859168E+06	   4.646091E+07	  -4.463939E-02	  -9.921738E-01	  -7.920868E-01	   2.207462E-02	   2.593730E+02	  -1.636667E+02	  -5.685610E+03	   3.587672E+03
    1.7500	  -2.397991E+06	   8.857448E+06	   4.705334E+07	  -6.444809E-02	  -9.926025E-01	  -7.924290E-01	   3.187021E-02	   2.422341E+02	  -1.528519E+02	  -5.731625E+03	   3.616708E+03
    1.7750	  -2.424850E+06	   8.855860E+06	   4.753528E+07	  -8.409811E-02	  -9.905869E-01	  -7.908198E-01	   4.158733E-02	   2.245310E+02	  -1.416811E+02	  -5.763526E+03	   3.636837E+03
    1.8000	  -2.451487E+06	   8.854270E+06	   4.801436E+07	  -1.037481E-01	  -9.885713E-01	  -7.892108E-01	   5.130445E-02	   2.074995E+02	  -1.309341E+02	  -5.795429E+03	   3.656968E+03
    1.8250	  -2.477906E+06	   8.852676E+06	   4.849062E+07	  -1.233982E-01	  -9.865558E-01	  -7.876016E-01	   6.102157E-02	   1.911398E+02	  -1.206109E+02	  -5.827330E+03	   3.677098E+03
    1.8500	  -2.504108E+06	   8.851078E+06	   4.896410E+07	  -1.430482E-01	  -9.845402E-01	  -7.859927E-01	   7.073870E-02	   1.754516E+02	  -1.107116E+02	  -5.859232E+03	   3.697229E+03
    1.8750	  -2.530097E+06	   8.849474E+06	   4.943482E+07	  -1.626982E-01	  -9.825248E-01	  -7.843836E-01	   8.045582E-02	   1.604352E+02	  -1.012361E+02	  -5.891134E+03	   3.717359E+03
    1.9000	  -2.555876E+06	   8.847862E+06	   4.990286E+07	  -1.823482E-01	  -9.805092E-01	  -7.827745E-01	   9.017295E-02	   1.460904E+02	  -9.218438E+01	  -5.923036E+03	   3.737489E+03
    1.9250	  -2.581449E+06	   8.846241E+06	   5.036823E+07	  -2.019983E-01	  -9.784936E-01	  -7.811654E-01	   9.989007E-02	   1.324173E+02	  -8.355652E+01	  -5.954937E+03	   3.757619E+03
    1.9500	  -2.606820E+06	   8.844610E+06	   5.083099E+07	  -2.216483E-01	  -9.764781E-01	  -7.795563E-01	   1.096072E-01	   1.194159E+02	  -7.535253E+01	  -5.986839E+03	   3.777750E+03
    1.9750	  -2.631991E+06	   8.842966E+06	   5.129118E+07	  -2.412983E-01	  -9.744625E-01	  -7.779472E-01	   1.193243E-01	   1.070862E+02	  -6.757234E+01	  -6.018740E+03	   3.797880E+03
    2.0000	  -2.656968E+06	   8.841309E+06	   5.174887E+07	  -2.609483E-01	  -9.724470E-01	  -7.763382E-01	   1.290414E-01	   9.542811E+01	  -6.021600E+01	  -6.050643E+03	   3.818010E+03
    2.0250	  -2.675458E+06	   8.839802E+06	   5.208122E+07	  -2.799558E-01	  -9.680370E-01	  -7.728175E-01	   1.384408E-01	   8.400023E+01	  -5.300491E+01	  -6.067645E+03	   3.828739E+03
    2.0500	  -2.693730E+06	   8.838276E+06	   5.241060E+07	  -2.989632E-01	  -9.636270E-01	  -7.692968E-01	   1.478402E-01	   7.330093E+01	  -4.625356E+01	  -6.084648E+03	   3.839468E+03
    2.0750	  -2.711788E+06	   8.836730E+06	   5.273705E+07	  -3.179707E-01	  -9.592169E-01	  -7.657762E-01	   1.572396E-01	   6.333022E+01	  -3.996194E+01	  -6.101651E+03	   3.850197E+03
    2.1000	  -2.729637E+06	   8.835161E+06	   5.306064E+07	  -3.369782E-01	  -9.548069E-01	  -7.622554E-01	   1.666389E-01	   5.408809E+01	  -3.413008E+01	  -6.118654E+03	   3.860926E+03
    2.1250	  -2.747282E+06	   8.833569E+06	   5.338142E+07	  -3.559857E-01	  -9.503969E-01	  -7.587348E-01	   1.760383E-01	   4.557455E+01	  -2.875796E+01	  -6.135657E+03	   3.871656E+03
    2.1500	  -2.764729E+06	   8.831951E+06	   5.369948E+07	  -3.749931E-01	  -9.459869E-01	  -7.552142E-01	   1.854377E-01	   3.778962E+01	  -2.384559E+01	  -6.152660E+03	   3.882385E+03
