





     Time        HydroFxi        HydroFyi        HydroFzi        HydroMxi        HydroMyi        HydroMzi        M1N1FDxi        M1N1FDyi        M1N2FDxi        M1N2FDyi        M1N3FDxi        M1N3FDyi        M1N4FDxi        M1N4FDyi        M1N5FDxi        M1N5FDyi        M1N6FDxi        M1N6FDyi        M1N7FDxi        M1N7FDyi        M1N8FDxi        M1N8FDyi        M1N9FDxi        M1N9FDyi        M1N1FIxi        M1N1FIyi        M1N2FIxi        M1N2FIyi        M1N3FIxi        M1N3FIyi        M1N4FIxi        M1N4FIyi        M1N5FIxi        M1N5FIyi        M1N6FIxi        M1N6FIyi        M1N7FIxi        M1N7FIyi        M1N8FIxi        M1N8FIyi        M1N9FIxi        M1N9FIyi        J1FDzi          J1FIzi
     (sec)         (N)             (N)             (N)            (N-m)           (N-m)           (N-m)            (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
     0.00  -8.3253027e+05  -2.6771599e+06   2.3106867e+07  -2.2455526e+07   7.2938467e+06   0.0000000e+00  -1.6831367e+03  -3.9812397e+02  -1.8226651e+03  -4.0548422e+02  -1.9703759e+03  -4.0703673e+02  -2.1262065e+03  -4.0119574e+02  -2.3741091e+03  -3.9838266e+02  -3.3051367e+03  -4.8278809e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.5038973e+04  -1.5331695e+05  -4.6058083e+04  -1.6001596e+05  -4.7002423e+04  -1.6709860e+05  -4.7850732e+04  -1.7458874e+05  -5.0257592e+04  -1.8903303e+05  -6.6001563e+04  -2.5631042e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3776519e+05   2.3242945e+05
     0.10  -7.2192177e+05  -2.6864884e+06   2.3166466e+07  -2.2251841e+07   6.2991582e+06   0.0000000e+00  -1.8128926e+03  -5.8748533e+02  -1.9597804e+03  -6.0899721e+02  -2.1145798e+03  -6.2546614e+02  -2.2770080e+03  -6.3531227e+02  -2.4466352e+03  -6.3668249e+02  -3.9757514e+03  -9.5104300e+02  -2.5584125e+00  -6.1200012e-01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.8449431e+04  -1.5351540e+05  -3.9314537e+04  -1.6062386e+05  -4.0120787e+04  -1.6818830e+05  -4.0850833e+04  -1.7624283e+05  -4.1484284e+04  -1.8482372e+05  -6.3659351e+04  -2.9401853e+05  -4.0965056e+01  -1.8920214e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.2889075e+05   3.0090222e+05
     0.20  -6.0860445e+05  -2.6850663e+06   2.3223269e+07  -2.1962515e+07   5.2866130e+06   0.0000000e+00  -1.9437315e+03  -7.9453756e+02  -2.0986614e+03  -8.3191788e+02  -2.2614331e+03  -8.6516683e+02  -2.4315831e+03  -8.9270051e+02  -2.6084456e+03  -9.1265373e+02  -4.4051164e+03  -1.4564981e+03  -2.0961739e+02  -6.9307439e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.1772659e+04  -1.5303843e+05  -3.2488759e+04  -1.6051326e+05  -3.3163483e+04  -1.6851316e+05  -3.3783669e+04  -1.7708232e+05  -3.4333741e+04  -1.8626841e+05  -5.4915890e+04  -3.0953187e+05  -2.6131717e+03  -1.4729069e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.1952482e+05   3.6707197e+05
     0.30  -4.9288254e+05  -2.6721910e+06   2.3277204e+07  -2.1585852e+07   4.2593906e+06   0.0000000e+00  -2.0732856e+03  -1.0189070e+03  -2.2368841e+03  -1.0741141e+03  -2.4084839e+03  -1.1263293e+03  -2.5874921e+03  -1.1739736e+03  -2.7730662e+03  -1.2151693e+03  -4.5838186e+03  -1.9295316e+03  -7.1028164e+02  -2.9898890e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.5024014e+04  -1.5185326e+05  -2.5594584e+04  -1.5964505e+05  -2.6142437e+04  -1.6802685e+05  -2.6658820e+04  -1.7705257e+05  -2.7133227e+04  -1.8678094e+05  -4.2609641e+04  -3.0507859e+05  -6.6025399e+03  -4.7273188e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0979252e+05   4.3073860e+05
     0.40  -3.7506172e+05  -2.6472090e+06   2.3328209e+07  -2.1120617e+07   3.2206936e+06   0.0000000e+00  -2.1990871e+03  -1.2595417e+03  -2.3718698e+03  -1.3347079e+03  -2.5530565e+03  -1.4083278e+03  -2.7419832e+03  -1.4788569e+03  -2.9377007e+03  -1.5444316e+03  -4.5692382e+03  -2.3331940e+03  -1.4399692e+03  -7.3529269e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.8218567e+04  -1.4993174e+05  -1.8645448e+04  -1.5798516e+05  -1.9069055e+04  -1.6668848e+05  -1.9485198e+04  -1.7610487e+05  -1.9888627e+04  -1.8630362e+05  -2.9510483e+04  -2.8729184e+05  -9.3000595e+03  -9.0538376e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.9823063e+04   4.9171291e+05
     0.50  -2.5545150e+05  -2.6095307e+06   2.3376238e+07  -2.0566093e+07   2.1737558e+06   0.0000000e+00  -2.3186283e+03  -1.5147408e+03  -2.5009530e+03  -1.6120897e+03  -2.6923270e+03  -1.7097117e+03  -2.8920778e+03  -1.8061492e+03  -3.0992248e+03  -1.8996060e+03  -4.4274138e+03  -2.6570487e+03  -2.3225901e+03  -1.3938690e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.1371240e+04  -1.4725091e+05  -1.1654576e+04  -1.5550520e+05  -1.1954445e+04  -1.6446335e+05  -1.2271314e+04  -1.7419723e+05  -1.2605305e+04  -1.8478610e+05  -1.7317177e+04  -2.6239948e+05  -9.0844690e+03  -1.3765292e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   8.9747840e+04   5.4981726e+05
     0.60  -1.3436780e+05  -2.5586447e+06   2.3421258e+07  -1.9922126e+07   1.1218507e+06   0.0000000e+00  -2.4294161e+03  -1.7821932e+03  -2.6214435e+03  -1.9039453e+03  -2.8233952e+03  -2.0282178e+03  -3.0346534e+03  -2.1537113e+03  -3.2542827e+03  -2.2787772e+03  -4.2286530e+03  -2.9171582e+03  -3.2750445e+03  -2.2593064e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.4969560e+03  -1.4379351e+05  -4.6351597e+03  -1.5218298e+05  -4.8096421e+03  -1.6132360e+05  -5.0255586e+03  -1.7129521e+05  -5.2884410e+03  -1.8218627e+05  -6.8078900e+03  -2.3578477e+05  -5.2726347e+03  -1.8261267e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   7.9698494e+04   6.0488631e+05
     0.70  -1.2135841e+04  -2.4941334e+06   2.3463245e+07  -1.9189161e+07   6.8297303e+04   0.0000000e+00  -2.5290226e+03  -2.0590248e+03  -2.7306851e+03  -2.2072975e+03  -2.9433530e+03  -2.3608004e+03  -3.1665241e+03  -2.5184811e+03  -3.3993831e+03  -2.6789410e+03  -4.0415196e+03  -3.1530517e+03  -4.2135020e+03  -3.2872264e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.3892076e+03  -1.3954840e+05   2.3994503e+03  -1.4800311e+05   2.3541535e+03  -1.5724880e+05   2.2435134e+03  -1.6737253e+05   2.0566222e+03  -1.7847106e+05   1.9775112e+03  -2.1163952e+05   2.0616621e+03  -2.2064561e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.9804930e+04   6.5676763e+05
     0.80   1.1090675e+05  -2.4156862e+06   2.3502188e+07  -1.8368284e+07  -9.8353388e+05   0.0000000e+00  -2.6151338e+03  -2.3418567e+03  -2.8261120e+03  -2.5185608e+03  -3.0493506e+03  -2.7036816e+03  -3.2845197e+03  -2.8965145e+03  -3.5309936e+03  -3.0960316e+03  -3.9259470e+03  -3.4212145e+03  -5.0606997e+03  -4.4100797e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.2718728e+03  -1.3451094e+05   9.4355545e+03  -1.4295736e+05   9.5253446e+03  -1.5222651e+05   9.5268957e+03  -1.6241175e+05   9.4240356e+03  -1.7361715e+05   9.5341365e+03  -1.9274179e+05   1.2289876e+04  -2.4845173e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.0193338e+04   7.0532230e+05
