## This file was generated by InflowWind_Driver on 26-Jun-2023 at 16:38:16.
## This file contains the wind velocity and acceleration at the 300 points specified in the file /Users/aplatt/software-development/GitHub/openfast-5/build/reg_tests/modules/inflowwind/ifw_BoxExceed/Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W                 UA                 VA                 WA
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)            (m/s/s)            (m/s/s)            (m/s/s)
      0.50000000         0.00000000      -198.75000000        47.00000000        10.69385098         0.23033952        -0.00875520        -0.71997024        -0.21063923        -0.42679994
      0.50000000         0.00000000      -198.75000000       163.25000000        13.11480121         0.08563044         0.38983327         0.40151554        -0.20010738         0.38879852
      0.50000000         0.00000000      -197.50000000        88.25000000        12.15153671         0.05111408         0.11899089        -0.31232455        -0.42883764        -0.35414360
      0.50000000         0.00000000      -196.25000000       198.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -195.00000000       224.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -190.00000000        17.00000000         3.86798865         0.08331429        -0.00316677        -0.26041477        -0.07618866        -0.15437445
      0.50000000         0.00000000      -190.00000000       278.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -190.00000000       209.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -188.75000000       177.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -186.25000000        79.50000000        11.91073779        -0.04628771         0.18011572         0.13139332         0.10932666         0.42643965
      0.50000000         0.00000000      -186.25000000        60.75000000        11.32683945         0.11204885        -0.07944982         0.57089269         0.01614556         0.33246439
      0.50000000         0.00000000      -185.00000000        57.00000000        11.13987900         0.06264045        -0.16506076         0.54258909        -0.14047185         0.33130714
      0.50000000         0.00000000      -185.00000000       244.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -183.75000000       209.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -183.75000000        29.50000000         6.71209796         0.14457480        -0.00549528        -0.45189622        -0.13220973        -0.26788507
      0.50000000         0.00000000      -182.50000000        12.00000000         2.73034493         0.05881009        -0.00223537        -0.18382219        -0.05378023        -0.10897020
      0.50000000         0.00000000      -178.75000000        60.75000000        11.32683945         0.11204885        -0.07944982         0.57089269         0.01614556         0.33246439
      0.50000000         0.00000000      -177.50000000       127.00000000        13.14180303         0.12933003         0.07097500        -0.31638786         0.26994518        -0.41126625
      0.50000000         0.00000000      -176.25000000       139.50000000        13.12999322        -0.23084613         0.03099408        -0.05402385        -0.44682277         0.45570188
      0.50000000         0.00000000      -172.50000000       215.75000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -168.75000000        62.00000000        11.37806986         0.08086264        -0.07131164         0.26318976         0.15839796         0.38794210
      0.50000000         0.00000000      -168.75000000       165.75000000        13.35374377         0.00963973         0.31114121         0.61002476         0.19506687         0.27723711
      0.50000000         0.00000000      -165.00000000       105.75000000        12.62414109         0.19574936        -0.11678975        -0.41528843        -0.61092160         0.40457877
      0.50000000         0.00000000      -163.75000000       210.75000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -161.25000000       120.75000000        12.67066127         0.00598695        -0.02070117        -0.31615981         0.42376809        -0.44683265
      0.50000000         0.00000000      -161.25000000       138.25000000        13.12264828        -0.15883307         0.05588398         0.07516566        -0.41412576         0.54008549
      0.50000000         0.00000000      -160.00000000        79.50000000        11.91073779        -0.04628771         0.18011572         0.13139332         0.10932666         0.42643965
      0.50000000         0.00000000      -158.75000000       100.75000000        12.88524977        -0.25164470         0.02181981        -0.43769238        -0.32729809        -0.13419699
      0.50000000         0.00000000      -157.50000000        52.00000000        10.90253559         0.01580322        -0.29731916         0.11968189        -0.83726204        -0.03047385
      0.50000000         0.00000000      -157.50000000       194.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -156.25000000       245.75000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -155.00000000        97.00000000        12.77313768        -0.18865507         0.07845882         0.20354505         0.09766746        -0.29325035
      0.50000000         0.00000000      -155.00000000        13.25000000         3.01475586         0.06493614        -0.00246822        -0.20297033        -0.05938233        -0.12032126
      0.50000000         0.00000000      -155.00000000        24.50000000         5.57445424         0.12007060        -0.00456388        -0.37530364        -0.10980130        -0.22248082
      0.50000000         0.00000000      -153.75000000       140.75000000        13.10532646        -0.18522906         0.00369654         0.15852595        -0.25233381         0.39751450
      0.50000000         0.00000000      -153.75000000       182.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -150.00000000       109.50000000        12.51119765        -0.04313418        -0.30415224         0.14393982         0.01126308         0.42069784
      0.50000000         0.00000000      -146.25000000        34.50000000         7.84974168         0.16907901        -0.00642669        -0.52848879        -0.15461815        -0.31328932
      0.50000000         0.00000000      -142.50000000       113.25000000        12.61120036         0.07792451        -0.22471467        -0.64033486         0.46893320        -0.79928192
      0.50000000         0.00000000      -142.50000000        94.50000000        12.42099114        -0.20846913         0.12460340        -0.20290096         0.17388076        -0.15645416
      0.50000000         0.00000000      -141.25000000       192.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -141.25000000        23.25000000         5.29004330         0.11394455        -0.00433103        -0.35615549        -0.10419919        -0.21112976
      0.50000000         0.00000000      -140.00000000        43.25000000         9.84061819         0.21196136        -0.00805664        -0.66252581        -0.19383290        -0.39274675
      0.50000000         0.00000000      -140.00000000        85.75000000        11.91353422        -0.05924019         0.08609136         0.67756543         0.45311034        -0.04257116
      0.50000000         0.00000000      -138.75000000       163.25000000        13.11480121         0.08563044         0.38983327         0.40151554        -0.20010738         0.38879852
      0.50000000         0.00000000      -136.25000000        52.00000000        10.90253559         0.01580322        -0.29731916         0.11968189        -0.83726204        -0.03047385
      0.50000000         0.00000000      -135.00000000       174.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -135.00000000        85.75000000        11.91353422        -0.05924019         0.08609136         0.67756543         0.45311034        -0.04257116
      0.50000000         0.00000000      -133.75000000       102.00000000        12.87473163        -0.23246494        -0.00177577        -0.62301645        -0.45657998        -0.04192940
      0.50000000         0.00000000      -132.50000000        90.75000000        12.24558779        -0.02595420         0.13678579        -0.56785461        -0.38678491        -0.32559358
      0.50000000         0.00000000      -128.75000000       217.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -127.50000000        93.25000000        12.25629881        -0.21152998         0.14583591        -0.39823007         0.19021412        -0.10013111
      0.50000000         0.00000000      -125.00000000       269.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -123.75000000       257.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -123.75000000       192.00000000        13.75344982        -0.13108544        -0.04012579        -0.22555326        -0.86849768        -0.16458878
      0.50000000         0.00000000      -122.50000000        45.75000000        10.42702706         0.31499100        -0.02434420        -0.70178341        -0.17782955        -0.21560427
      0.50000000         0.00000000      -122.50000000         5.75000000         1.31050067         0.03958903        -0.00305965        -0.08820229        -0.02235016        -0.02709780
      0.50000000         0.00000000      -122.50000000       108.25000000        12.49814470         0.06463050        -0.24183385        -0.05309413        -0.25838105         0.48735191
      0.50000000         0.00000000      -120.00000000        32.00000000         7.30552243         0.28381636        -0.02809432        -0.49153729        -0.10535305        -0.01102288
      0.50000000         0.00000000      -117.50000000       119.50000000        12.60863835        -0.28791856        -0.08379999        -0.82286935         0.64217828        -0.88349676
      0.50000000         0.00000000      -117.50000000        70.75000000        11.33615448        -0.38563262        -0.05271644         0.73124071        -0.30668156         0.31070445
      0.50000000         0.00000000      -116.25000000       119.50000000        12.58936324        -0.31708531        -0.09711859        -0.86443493         0.60408325        -0.90100817
      0.50000000         0.00000000      -115.00000000       205.75000000        13.66899000        -0.11664943         0.11839547        -0.61750296        -0.91526942        -0.72930240
      0.50000000         0.00000000      -113.75000000       210.75000000        13.67595461        -0.11783983         0.10532370        -0.58518252        -0.91141259        -0.68273574
      0.50000000         0.00000000      -110.00000000       224.50000000        13.71674736        -0.12481220         0.02876045        -0.39587704        -0.88882259        -0.40998802
