## This file was generated by InflowWind_Driver on 07-Apr-2023 at 19:18:59.
## This file contains the wind velocity and acceleration at the 300 points specified in the file ./Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W                 UA                 VA                 WA
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)            (m/s/s)            (m/s/s)            (m/s/s)
      0.50000000         0.00000000      -198.75000000        47.00000000        10.69382869         0.15859403        -0.01485038        -2.42194383        -0.56477011         0.17814888
      0.50000000         0.00000000      -198.75000000       163.25000000        13.11479229         0.12107090         0.21275139         2.24621025        -0.23763495         0.48334742
      0.50000000         0.00000000      -197.50000000        88.25000000        12.15153846        -0.00148507         0.05789216        -1.00237060        -2.66153640        -0.57208078
      0.50000000         0.00000000      -196.25000000       198.25000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -195.00000000       224.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -190.00000000        17.00000000         3.86798059         0.05736380        -0.00537141        -0.87602224        -0.20427855         0.06443683
      0.50000000         0.00000000      -190.00000000       278.25000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -190.00000000       209.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -188.75000000       177.00000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -186.25000000        79.50000000        11.91074217        -0.03205710         0.10604453        -0.17799815         0.85030091         1.03482395
      0.50000000         0.00000000      -186.25000000        60.75000000        11.32684256         0.06799255        -0.14803115         1.15578130         0.30160260         1.75146687
      0.50000000         0.00000000      -185.00000000        57.00000000        11.13988816         0.17944169        -0.09917299         1.06472439         0.64355243         0.80928539
      0.50000000         0.00000000      -185.00000000       244.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -183.75000000       209.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -183.75000000        29.50000000         6.71208396         0.09954306        -0.00932098        -1.52015623        -0.35448337         0.11181685
      0.50000000         0.00000000      -182.50000000        12.00000000         2.73033924         0.04049209        -0.00379159        -0.61836864        -0.14419662         0.04548482
      0.50000000         0.00000000      -178.75000000        60.75000000        11.32684256         0.06799255        -0.14803115         1.15578130         0.30160260         1.75146687
      0.50000000         0.00000000      -177.50000000       127.00000000        13.14178269        -0.18605069        -0.04289794        -0.88732256         0.67795318         0.43938862
      0.50000000         0.00000000      -176.25000000       139.50000000        13.12997610         0.01110963        -0.11030394        -0.20636520        -1.83608802         1.87453813
      0.50000000         0.00000000      -172.50000000       215.75000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -168.75000000        62.00000000        11.37807465        -0.00561047        -0.06925209         0.83190217         0.64527861         1.57183815
      0.50000000         0.00000000      -168.75000000       165.75000000        13.35373626         0.00464572         0.03400002         2.50631363         0.52542145         0.29392556
      0.50000000         0.00000000      -165.00000000       105.75000000        12.62412993         0.20597384        -0.19524147        -0.73887375        -0.67336755         0.64200133
      0.50000000         0.00000000      -163.75000000       210.75000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -161.25000000       120.75000000        12.67066403         0.21865339        -0.01127228        -0.62254321         0.43313614        -1.46634652
      0.50000000         0.00000000      -161.25000000       138.25000000        13.12263091         0.00226545        -0.11931492         0.02044547        -1.60974479         1.58616818
      0.50000000         0.00000000      -160.00000000        79.50000000        11.91074217        -0.03205710         0.10604453        -0.17799815         0.85030091         1.03482395
      0.50000000         0.00000000      -158.75000000       100.75000000        12.88524732        -0.16419047         0.03692372        -1.50844360        -1.30689548        -0.33669979
      0.50000000         0.00000000      -157.50000000        52.00000000        10.90254126        -0.05800421        -0.32640438        -0.48181849        -2.86018623        -0.85081486
      0.50000000         0.00000000      -157.50000000       194.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -156.25000000       245.75000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -155.00000000        97.00000000        12.77312384        -0.14472733         0.07190577         0.99998930        -0.84085028        -0.27474001
      0.50000000         0.00000000      -155.00000000        13.25000000         3.01474958         0.04471002        -0.00418654        -0.68278204        -0.15921711         0.05022282
      0.50000000         0.00000000      -155.00000000        24.50000000         5.57444261         0.08267136        -0.00774116        -1.26250263        -0.29440144         0.09286484
      0.50000000         0.00000000      -153.75000000       140.75000000        13.10530445        -0.05556706        -0.04306680         0.27201291        -0.93329094         0.90761793
      0.50000000         0.00000000      -153.75000000       182.00000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -150.00000000       109.50000000        12.51118432        -0.10449530        -0.41883724         0.00458594         0.62999445        -1.08005315
      0.50000000         0.00000000      -146.25000000        34.50000000         7.84972531         0.11641477        -0.01090081        -1.77780983        -0.41456529         0.13076886
      0.50000000         0.00000000      -142.50000000       113.25000000        12.61117872        -0.11216368        -0.07408588        -1.20548106         0.98340797        -2.63761372
      0.50000000         0.00000000      -142.50000000        94.50000000        12.42101743        -0.18061437         0.07398333         0.39655182         0.33666402         0.75140915
      0.50000000         0.00000000      -141.25000000       192.00000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -141.25000000        23.25000000         5.29003228         0.07845343        -0.00734620        -1.19808923        -0.27938096         0.08812684
      0.50000000         0.00000000      -140.00000000        43.25000000         9.84059768         0.14594025        -0.01366551        -2.22870363        -0.51970866         0.16393488
      0.50000000         0.00000000      -140.00000000        85.75000000        11.91354318        -0.09298559         0.17866216         1.74735710        -1.86479983        -0.33745278
      0.50000000         0.00000000      -138.75000000       163.25000000        13.11479229         0.12107090         0.21275139         2.24621025        -0.23763495         0.48334742
      0.50000000         0.00000000      -136.25000000        52.00000000        10.90254126        -0.05800421        -0.32640438        -0.48181849        -2.86018623        -0.85081486
      0.50000000         0.00000000      -135.00000000       174.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -135.00000000        85.75000000        11.91354318        -0.09298559         0.17866216         1.74735710        -1.86479983        -0.33745278
      0.50000000         0.00000000      -133.75000000       102.00000000        12.87473350        -0.14087339         0.00901773        -2.12663117        -1.31489527        -0.21969493
      0.50000000         0.00000000      -132.50000000        90.75000000        12.24560434        -0.05511719         0.03692025        -1.20289266        -1.49453034         0.05947820
      0.50000000         0.00000000      -128.75000000       217.00000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -127.50000000        93.25000000        12.25634291        -0.19277324         0.07372602         0.07243713         0.80937624         1.19251247
      0.50000000         0.00000000      -125.00000000       269.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -123.75000000       257.00000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -123.75000000       192.00000000        13.75343507        -0.24089210         0.02603499        -0.74694943        -0.90675532         1.58311229
      0.50000000         0.00000000      -122.50000000        45.75000000        10.42735698         0.15465105        -0.04718268        -2.45912970        -0.92609027        -0.18468207
      0.50000000         0.00000000      -122.50000000         5.75000000         1.42359675         0.04531592         0.00579047        -0.13144210        -0.10704644        -0.05102774
      0.50000000         0.00000000      -122.50000000       108.25000000        12.49813065         0.00735947        -0.32947627        -0.32559201        -0.01583798        -0.42346838
      0.50000000         0.00000000      -120.00000000        32.00000000         7.31992850         0.11678242        -0.04328634        -1.73168107        -0.95693999        -0.42885531
      0.50000000         0.00000000      -117.50000000       119.50000000        12.60863642         0.06775856        -0.06831636        -1.69846021         1.87790600        -0.95349997
      0.50000000         0.00000000      -117.50000000        70.75000000        11.33616762        -0.20433932         0.17859324         2.43562512        -1.10184145        -0.23891411
      0.50000000         0.00000000      -116.25000000       119.50000000        12.58936066         0.06912337        -0.08677897        -1.77704596         2.04059759        -1.01223106
      0.50000000         0.00000000      -115.00000000       205.75000000        13.66897535        -0.24359745         0.00705658        -1.52045256        -0.30215759         1.79132157
      0.50000000         0.00000000      -113.75000000       210.75000000        13.67593996        -0.24337436         0.00862155        -1.45666898        -0.35201312         1.77415249
      0.50000000         0.00000000      -110.00000000       224.50000000        13.71673266        -0.24206772         0.01778782        -1.08307924        -0.64402423         1.67359072
      0.50000000         0.00000000      -110.00000000        50.75000000        10.91327532        -0.16703487        -0.42647051         1.41954919        -3.44267411        -1.62495742
      0.50000000         0.00000000      -108.75000000        93.25000000        11.72052064         0.01665158         0.09961856        -0.18544991         1.94983946         2.50203194
      0.50000000         0.00000000      -108.75000000       133.25000000        12.97729029        -0.21004156        -0.03823767        -1.10485765         2.14169312        -3.30783284
      0.50000000         0.00000000      -108.75000000       148.25000000        12.97187942         0.42208574        -0.57513925         1.43653817         0.42699788         3.63990032
      0.50000000         0.00000000      -107.50000000       149.50000000        13.01059329         0.26599441        -0.53225485         2.57776810        -0.00125020         2.07190802
      0.50000000         0.00000000      -107.50000000       179.50000000        13.42886219        -0.25128857        -0.04689774        -3.71946871         1.41667215         2.38324622
      0.50000000         0.00000000      -107.50000000       120.75000000        12.46539654         0.35389361        -0.13771987        -2.15009853         2.19521677        -3.32352920
      0.50000000         0.00000000      -103.75000000       273.25000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000      -101.25000000       100.75000000        12.05242774        -0.65410838        -0.04821239         0.63220580         1.97887255        -1.11193968
      0.50000000         0.00000000      -100.00000000       122.00000000        12.41607373         0.73684160        -0.05703047        -2.81086981         1.74520046        -6.46319442
      0.50000000         0.00000000       -98.75000000       278.25000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000       -96.25000000        93.25000000        11.30834955         0.17774763         0.11953590        -0.38382462         2.82711911         3.50935491
      0.50000000         0.00000000       -96.25000000       139.50000000        13.03174724         0.59769349         0.33994552         4.70141274        -3.23603208        -2.26632106
      0.50000000         0.00000000       -95.00000000       239.50000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000       -93.75000000        60.75000000        10.44890200         0.40697968        -0.38930987         1.40775846        -6.36239189        -0.57761958
      0.50000000         0.00000000       -93.75000000        74.50000000        11.42899221        -0.04997501         0.18917167         5.50902486        -1.78048727         2.00226373
      0.50000000         0.00000000       -93.75000000        93.25000000        11.22591533         0.20996684         0.12351937        -0.42349956         3.00257504         3.71081950
      0.50000000         0.00000000       -92.50000000        98.25000000        12.08726737        -0.96782934        -0.36769813         4.64707279         1.56853039        -4.44077707
      0.50000000         0.00000000       -91.25000000        79.50000000        11.81593457         0.09654276        -0.13025763         0.60141298         2.40956467        -2.14479037
      0.50000000         0.00000000       -88.75000000       238.25000000        13.77244949        -0.24028304         0.03030760        -0.57281068        -1.04286840         1.53623814
      0.50000000         0.00000000       -87.50000000       113.25000000        11.85579129         0.36667980         0.65343815         4.95598654         3.18804069        -6.72351063
      0.50000000         0.00000000       -85.00000000        97.00000000        11.90468075        -1.02576296        -0.48825436         5.79015193         1.83551806        -5.16289220
      0.50000000         0.00000000       -85.00000000         4.50000000         2.78066245         0.22547169         0.04737711         2.38164555        -1.05793387        -1.14590635
