## This file was generated by InflowWind_Driver on May-27-2021 at 16:34:30
## This file contains output channels requested from the OutList section of the input fileifw_primary.out
#
#
#
#
                Time           Wind1VelX           Wind1VelY           Wind1VelZ
                 (s)               (m/s)               (m/s)               (m/s)
          30.0000000          15.4972668          -0.5432220          -0.2768537
          30.1000000          14.7959251          -0.1285300           0.0846013
          30.2000000          15.2680378           0.0624847          -0.2634476
          30.3000000          15.3850508          -0.6745488          -0.5409994
          30.4000000          15.5527697          -0.4429633          -0.3588678
          30.5000000          15.7256613           0.0333432          -0.0965121
          30.6000000          15.5496368           0.2569877          -0.4907115
          30.7000000          15.7216349           0.5687792          -0.4582984
          30.8000000          15.7473812           0.4956441          -0.0922335
          30.9000000          15.8338213          -0.0351593           0.0206998
