## This file was generated by InflowWind_Driver on 07-Apr-2023 at 18:24:05.
## This file contains the wind velocity and acceleration at the 1000 points specified in the file ./Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W                 UA                 VA                 WA
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)            (m/s/s)            (m/s/s)            (m/s/s)
     30.00000000        -4.50000000        -4.50000000       145.50000000        15.51351569        -0.38953312         0.16709498        -4.10300808        -2.96502684        -8.01888639
     30.00000000        -4.50000000        -3.50000000       145.50000000        15.57032997        -0.40676648         0.20312544        -4.95893627        -3.27784706        -6.73409434
     30.00000000        -4.50000000        -2.50000000       145.50000000        15.62714424        -0.42399985         0.23915590        -5.81486446        -3.59066727        -5.44930228
     30.00000000        -4.50000000        -1.50000000       145.50000000        15.68395852        -0.44123321         0.27518636        -6.67079264        -3.90348749        -4.16451022
     30.00000000        -4.50000000        -0.50000000       145.50000000        15.74077279        -0.45846658         0.31121682        -7.52672083        -4.21630771        -2.87971817
     30.00000000        -4.50000000         0.50000000       145.50000000        15.59456465        -0.45868151         0.16838564        -7.73222106        -3.17751993        -1.25391943
     30.00000000        -4.50000000         1.50000000       145.50000000        15.24533408        -0.44187802        -0.15330720        -7.28729333        -0.78712415         0.71288599
     30.00000000        -4.50000000         2.50000000       145.50000000        14.89610352        -0.42507453        -0.47500003        -6.84236560         1.60327163         2.67969141
     30.00000000        -4.50000000         3.50000000       145.50000000        14.54687296        -0.40827103        -0.79669287        -6.39743787         3.99366740         4.64649683
     30.00000000        -4.50000000         4.50000000       145.50000000        14.19764239        -0.39146754        -1.11838570        -5.95251014         6.38406318         6.61330224
     30.00000000        -4.50000000        -4.50000000       146.50000000        15.41135467         0.02697299         0.68496503        -7.29113404        -4.84647746        -8.35587306
     30.00000000        -4.50000000        -3.50000000       146.50000000        15.52555201        -0.06434417         0.53428432        -6.80584877        -4.22492156        -6.16810751
     30.00000000        -4.50000000        -2.50000000       146.50000000        15.63974935        -0.15566134         0.38360362        -6.32056350        -3.60336567        -3.98034197
     30.00000000        -4.50000000        -1.50000000       146.50000000        15.75394668        -0.24697850         0.23292291        -5.83527823        -2.98180977        -1.79257643
     30.00000000        -4.50000000        -0.50000000       146.50000000        15.86814402        -0.33829566         0.08224221        -5.34999296        -2.36025388         0.39518911
     30.00000000        -4.50000000         0.50000000       146.50000000        15.77083918        -0.35999041        -0.07402116        -4.96335968        -0.32833638         1.91419908
     30.00000000        -4.50000000         1.50000000       146.50000000        15.46203216        -0.31206276        -0.23586720        -4.67537839         3.11394273         2.76445347
     30.00000000        -4.50000000         2.50000000       146.50000000        15.15322513        -0.26413510        -0.39771324        -4.38739710         6.55622184         3.61470786
     30.00000000        -4.50000000         3.50000000       146.50000000        14.84441811        -0.21620744        -0.55955927        -4.09941582         9.99850095         4.46496225
     30.00000000        -4.50000000         4.50000000       146.50000000        14.53561109        -0.16827978        -0.72140531        -3.81143453        13.44078006         5.31521664
     30.00000000        -4.50000000        -4.50000000       147.50000000        15.30919364         0.44347909         1.20283508       -10.47926001        -6.72792807        -8.69285972
     30.00000000        -4.50000000        -3.50000000       147.50000000        15.48077404         0.27807813         0.86544321        -8.65276128        -5.17199607        -5.60212069
     30.00000000        -4.50000000        -2.50000000       147.50000000        15.65235445         0.11267717         0.52805133        -6.82626255        -3.61606406        -2.51138166
     30.00000000        -4.50000000        -1.50000000       147.50000000        15.82393485        -0.05272379         0.19065946        -4.99976382        -2.06013206         0.57935736
     30.00000000        -4.50000000        -0.50000000       147.50000000        15.99551526        -0.21812475        -0.14673241        -3.17326509        -0.50420005         3.67009639
     30.00000000        -4.50000000         0.50000000       147.50000000        15.94711372        -0.26129932        -0.31642796        -2.19449830         2.52084717         5.08231758
     30.00000000        -4.50000000         1.50000000       147.50000000        15.67873023        -0.18224749        -0.31842720        -2.06346345         7.01500961         4.81602095
     30.00000000        -4.50000000         2.50000000       147.50000000        15.41034675        -0.10319567        -0.32042644        -1.93242861        11.50917206         4.54972431
     30.00000000        -4.50000000         3.50000000       147.50000000        15.14196326        -0.02414385        -0.32242568        -1.80139376        16.00333450         4.28342768
     30.00000000        -4.50000000         4.50000000       147.50000000        14.87357978         0.05490797        -0.32442492        -1.67035892        20.49749695         4.01713104
     30.00000000        -4.50000000        -4.50000000       148.50000000        15.30831873         0.53850969         1.40634450        -9.28998416        -7.40949102        -8.98114290
     30.00000000        -4.50000000        -3.50000000       148.50000000        15.46143540         0.34693534         0.98210598        -7.27911838        -5.38826842        -5.34543576
     30.00000000        -4.50000000        -2.50000000       148.50000000        15.61455208         0.15536100         0.55786747        -5.26825261        -3.36704582        -1.70972862
     30.00000000        -4.50000000        -1.50000000       148.50000000        15.76766875        -0.03621335         0.13362896        -3.25738683        -1.34582322         1.92597853
     30.00000000        -4.50000000        -0.50000000       148.50000000        15.92078542        -0.22778769        -0.29060955        -1.24652106         0.67539938         5.56168567
     30.00000000        -4.50000000         0.50000000       148.50000000        15.87232800        -0.28480522        -0.45582820        -0.04972386         3.79960518         7.01868814
     30.00000000        -4.50000000         1.50000000       148.50000000        15.62229647        -0.20726593        -0.36202699         0.33300475         8.02679417         6.29698594
     30.00000000        -4.50000000         2.50000000       148.50000000        15.37226494        -0.12972663        -0.26822577         0.71573337        12.25398317         5.57528374
     30.00000000        -4.50000000         3.50000000       148.50000000        15.12223341        -0.05218734        -0.17442456         1.09846198        16.48117217         4.85358154
