## This file was generated by InflowWind_Driver on 21-Apr-2023 at 16:49:28.
## This file contains the wind velocity at the 1000 points specified in the file ./Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)
     30.00000000        -4.50000000        -4.50000000       145.50000000        22.10831569        -7.64680986        -1.94407440
     30.00000000        -4.50000000        -3.50000000       145.50000000        22.10876750        -7.64696733        -1.94403308
     30.00000000        -4.50000000        -2.50000000       145.50000000        22.10921928        -7.64712478        -1.94399176
     30.00000000        -4.50000000        -1.50000000       145.50000000        22.10967102        -7.64728222        -1.94395045
     30.00000000        -4.50000000        -0.50000000       145.50000000        22.11012272        -7.64743965        -1.94390914
     30.00000000        -4.50000000         0.50000000       145.50000000        22.11057439        -7.64759706        -1.94386783
     30.00000000        -4.50000000         1.50000000       145.50000000        22.11102601        -7.64775446        -1.94382653
     30.00000000        -4.50000000         2.50000000       145.50000000        22.11147760        -7.64791185        -1.94378523
     30.00000000        -4.50000000         3.50000000       145.50000000        22.11192915        -7.64806922        -1.94374393
     30.00000000        -4.50000000         4.50000000       145.50000000        22.11238067        -7.64822659        -1.94370264
     30.00000000        -4.50000000        -4.50000000       146.50000000        22.13797577        -7.65714699        -1.94136185
     30.00000000        -4.50000000        -3.50000000       146.50000000        22.13842513        -7.65730360        -1.94132076
     30.00000000        -4.50000000        -2.50000000       146.50000000        22.13887445        -7.65746020        -1.94127967
     30.00000000        -4.50000000        -1.50000000       146.50000000        22.13932374        -7.65761678        -1.94123858
     30.00000000        -4.50000000        -0.50000000       146.50000000        22.13977299        -7.65777336        -1.94119749
     30.00000000        -4.50000000         0.50000000       146.50000000        22.14022220        -7.65792992        -1.94115641
     30.00000000        -4.50000000         1.50000000       146.50000000        22.14067138        -7.65808646        -1.94111533
     30.00000000        -4.50000000         2.50000000       146.50000000        22.14112051        -7.65824300        -1.94107425
     30.00000000        -4.50000000         3.50000000       146.50000000        22.14156962        -7.65839952        -1.94103318
     30.00000000        -4.50000000         4.50000000       146.50000000        22.14201868        -7.65855602        -1.94099211
     30.00000000        -4.50000000        -4.50000000       147.50000000        22.16747530        -7.66742816        -1.93866399
     30.00000000        -4.50000000        -3.50000000       147.50000000        22.16792224        -7.66758393        -1.93862312
     30.00000000        -4.50000000        -2.50000000       147.50000000        22.16836914        -7.66773968        -1.93858225
     30.00000000        -4.50000000        -1.50000000       147.50000000        22.16881600        -7.66789542        -1.93854138
     30.00000000        -4.50000000        -0.50000000       147.50000000        22.16926283        -7.66805115        -1.93850052
     30.00000000        -4.50000000         0.50000000       147.50000000        22.16970961        -7.66820687        -1.93845966
     30.00000000        -4.50000000         1.50000000       147.50000000        22.17015637        -7.66836257        -1.93841880
     30.00000000        -4.50000000         2.50000000       147.50000000        22.17060308        -7.66851826        -1.93837794
     30.00000000        -4.50000000         3.50000000       147.50000000        22.17104976        -7.66867394        -1.93833709
     30.00000000        -4.50000000         4.50000000       147.50000000        22.17149641        -7.66882960        -1.93829625
     30.00000000        -4.50000000        -4.50000000       148.50000000        22.19681622        -7.67765406        -1.93598064
     30.00000000        -4.50000000        -3.50000000       148.50000000        22.19726076        -7.67780899        -1.93593999
