## This file was generated by InflowWind_Driver on Jul-10-2022 at 10:53:40
## This file contains the wind velocity at the 1000 points specified in the file Points.Velocity.dat
# 
# 
# 
# 
          T                  X                  Y                  Z                  U                  V                  W
         (s)                (m)                (m)                (m)               (m/s)              (m/s)              (m/s)
       30.00000000        -4.50000000        -4.50000000       145.50000000        15.51351547        -0.38953310         0.16709498
       30.00000000        -4.50000000        -3.50000000       145.50000000        15.57032967        -0.40676647         0.20312545
       30.00000000        -4.50000000        -2.50000000       145.50000000        15.62714386        -0.42399985         0.23915590
       30.00000000        -4.50000000        -1.50000000       145.50000000        15.68395805        -0.44123322         0.27518636
       30.00000000        -4.50000000        -0.50000000       145.50000000        15.74077320        -0.45846659         0.31121683
       30.00000000        -4.50000000         0.50000000       145.50000000        15.59456444        -0.45868152         0.16838564
       30.00000000        -4.50000000         1.50000000       145.50000000        15.24533367        -0.44187802        -0.15330720
       30.00000000        -4.50000000         2.50000000       145.50000000        14.89610386        -0.42507452        -0.47500002
       30.00000000        -4.50000000         3.50000000       145.50000000        14.54687309        -0.40827104        -0.79669285
       30.00000000        -4.50000000         4.50000000       145.50000000        14.19764233        -0.39146754        -1.11838567
       30.00000000        -4.50000000        -4.50000000       146.50000000        15.41135502         0.02697299         0.68496501
       30.00000000        -4.50000000        -3.50000000       146.50000000        15.52555180        -0.06434418         0.53428429
       30.00000000        -4.50000000        -2.50000000       146.50000000        15.63974953        -0.15566133         0.38360363
       30.00000000        -4.50000000        -1.50000000       146.50000000        15.75394630        -0.24697851         0.23292291
       30.00000000        -4.50000000        -0.50000000       146.50000000        15.86814404        -0.33829567         0.08224221
       30.00000000        -4.50000000         0.50000000       146.50000000        15.77083874        -0.35999042        -0.07402116
       30.00000000        -4.50000000         1.50000000       146.50000000        15.46203232        -0.31206277        -0.23586720
       30.00000000        -4.50000000         2.50000000       146.50000000        15.15322495        -0.26413509        -0.39771324
       30.00000000        -4.50000000         3.50000000       146.50000000        14.84441853        -0.21620744        -0.55955929
       30.00000000        -4.50000000         4.50000000       146.50000000        14.53561115        -0.16827978        -0.72140533
       30.00000000        -4.50000000        -4.50000000       147.50000000        15.30919361         0.44347909         1.20283508
       30.00000000        -4.50000000        -3.50000000       147.50000000        15.48077393         0.27807814         0.86544323
       30.00000000        -4.50000000        -2.50000000       147.50000000        15.65235424         0.11267717         0.52805132
       30.00000000        -4.50000000        -1.50000000       147.50000000        15.82393456        -0.05272379         0.19065946
       30.00000000        -4.50000000        -0.50000000       147.50000000        15.99551487        -0.21812475        -0.14673240
       30.00000000        -4.50000000         0.50000000       147.50000000        15.94711399        -0.26129931        -0.31642798
       30.00000000        -4.50000000         1.50000000       147.50000000        15.67873001        -0.18224749        -0.31842721
       30.00000000        -4.50000000         2.50000000       147.50000000        15.41034698        -0.10319567        -0.32042643
       30.00000000        -4.50000000         3.50000000       147.50000000        15.14196301        -0.02414385        -0.32242569
       30.00000000        -4.50000000         4.50000000       147.50000000        14.87357998         0.05490797        -0.32442492
       30.00000000        -4.50000000        -4.50000000       148.50000000        15.30831909         0.53850967         1.40634453
       30.00000000        -4.50000000        -3.50000000       148.50000000        15.46143532         0.34693533         0.98210597
       30.00000000        -4.50000000        -2.50000000       148.50000000        15.61455250         0.15536100         0.55786747
       30.00000000        -4.50000000        -1.50000000       148.50000000        15.76766872        -0.03621335         0.13362896
       30.00000000        -4.50000000        -0.50000000       148.50000000        15.92078495        -0.22778769        -0.29060957
       30.00000000        -4.50000000         0.50000000       148.50000000        15.87232780        -0.28480521        -0.45582819
       30.00000000        -4.50000000         1.50000000       148.50000000        15.62229633        -0.20726593        -0.36202699
       30.00000000        -4.50000000         2.50000000       148.50000000        15.37226486        -0.12972663        -0.26822576
       30.00000000        -4.50000000         3.50000000       148.50000000        15.12223339        -0.05218734        -0.17442456
       30.00000000        -4.50000000         4.50000000       148.50000000        14.87220192         0.02535195        -0.08062334
       30.00000000        -4.50000000        -4.50000000       149.50000000        15.40873146         0.31205925         1.29548788
       30.00000000        -4.50000000        -3.50000000       149.50000000        15.46753693         0.14222276         0.88426900
       30.00000000        -4.50000000        -2.50000000       149.50000000        15.52634144        -0.02761374         0.47305006
       30.00000000        -4.50000000        -1.50000000       149.50000000        15.58514595        -0.19745024         0.06183114
       30.00000000        -4.50000000        -0.50000000       149.50000000        15.64395142        -0.36728671        -0.34938776
       30.00000000        -4.50000000         0.50000000       149.50000000        15.54647732        -0.43051022        -0.49222010
       30.00000000        -4.50000000         1.50000000       149.50000000        15.29272652        -0.38712072        -0.36666590
       30.00000000        -4.50000000         2.50000000       149.50000000        15.03897476        -0.34373119        -0.24111167
       30.00000000        -4.50000000         3.50000000       149.50000000        14.78522301        -0.30034170        -0.11555744
       30.00000000        -4.50000000         4.50000000       149.50000000        14.53147125        -0.25695220         0.00999679
       30.00000000        -4.50000000        -4.50000000       150.50000000        15.50914478         0.08560881         1.18463123
       30.00000000        -4.50000000        -3.50000000       150.50000000        15.47363758        -0.06248983         0.78643197
       30.00000000        -4.50000000        -2.50000000       150.50000000        15.43813038        -0.21058847         0.38823265
       30.00000000        -4.50000000        -1.50000000       150.50000000        15.40262413        -0.35868710        -0.00996667
       30.00000000        -4.50000000        -0.50000000       150.50000000        15.36711693        -0.50678575        -0.40816599
       30.00000000        -4.50000000         0.50000000       150.50000000        15.22062778        -0.57621521        -0.52861202
       30.00000000        -4.50000000         1.50000000       150.50000000        14.96315575        -0.56697547        -0.37130481
       30.00000000        -4.50000000         2.50000000       150.50000000        14.70568466        -0.55773580        -0.21399756
       30.00000000        -4.50000000         3.50000000       150.50000000        14.44821262        -0.54849607        -0.05669032
       30.00000000        -4.50000000         4.50000000       150.50000000        14.19074154        -0.53925633         0.10061692
       30.00000000        -4.50000000        -4.50000000       151.50000000        15.60955715        -0.14084162         1.07377470
       30.00000000        -4.50000000        -3.50000000       151.50000000        15.47973919        -0.26720241         0.68859494
       30.00000000        -4.50000000        -2.50000000       151.50000000        15.34992027        -0.39356321         0.30341524
       30.00000000        -4.50000000        -1.50000000       151.50000000        15.22010136        -0.51992399        -0.08176449
       30.00000000        -4.50000000        -0.50000000       151.50000000        15.09028244        -0.64628482        -0.46694422
       30.00000000        -4.50000000         0.50000000       151.50000000        14.89477730        -0.72192025        -0.56500393
       30.00000000        -4.50000000         1.50000000       151.50000000        14.63358593        -0.74683028        -0.37594369
       30.00000000        -4.50000000         2.50000000       151.50000000        14.37239361        -0.77174038        -0.18688345
       30.00000000        -4.50000000         3.50000000       151.50000000        14.11120224        -0.79665041         0.00217680
       30.00000000        -4.50000000         4.50000000       151.50000000        13.85001087        -0.82156050         0.19123705
       30.00000000        -4.50000000        -4.50000000       152.50000000        15.70997047        -0.36729205         0.96291810
       30.00000000        -4.50000000        -3.50000000       152.50000000        15.48583984        -0.47191501         0.59075797
       30.00000000        -4.50000000        -2.50000000       152.50000000        15.26170921        -0.57653797         0.21859783
       30.00000000        -4.50000000        -1.50000000       152.50000000        15.03757858        -0.68116087        -0.15356231
       30.00000000        -4.50000000        -0.50000000       152.50000000        14.81344795        -0.78578383        -0.52572244
       30.00000000        -4.50000000         0.50000000       152.50000000        14.56892681        -0.86762524        -0.60139585
       30.00000000        -4.50000000         1.50000000       152.50000000        14.30401516        -0.92668509        -0.38058260
       30.00000000        -4.50000000         2.50000000       152.50000000        14.03910351        -0.98574495        -0.15976934
       30.00000000        -4.50000000         3.50000000       152.50000000        13.77419186        -1.04480481         0.06104392
       30.00000000        -4.50000000         4.50000000       152.50000000        13.50928020        -1.10386467         0.28185716
       30.00000000        -4.50000000        -4.50000000       153.50000000        15.89508152        -0.41595623         0.68577164
       30.00000000        -4.50000000        -3.50000000       153.50000000        15.64760399        -0.42015392         0.35046104
       30.00000000        -4.50000000        -2.50000000       153.50000000        15.40012550        -0.42435160         0.01515045
       30.00000000        -4.50000000        -1.50000000       153.50000000        15.15264797        -0.42854929        -0.32016015
       30.00000000        -4.50000000        -0.50000000       153.50000000        14.90516949        -0.43274698        -0.65547073
       30.00000000        -4.50000000         0.50000000       153.50000000        14.65248203        -0.51686901        -0.70370269
       30.00000000        -4.50000000         1.50000000       153.50000000        14.39458466        -0.68091542        -0.46485600
       30.00000000        -4.50000000         2.50000000       153.50000000        14.13668633        -0.84496182        -0.22600931
       30.00000000        -4.50000000         3.50000000       153.50000000        13.87878895        -1.00900817         0.01283737
       30.00000000        -4.50000000         4.50000000       153.50000000        13.62089062        -1.17305458         0.25168407
       30.00000000        -4.50000000        -4.50000000       154.50000000        16.12254333        -0.37572551         0.32547864
       30.00000000        -4.50000000        -3.50000000       154.50000000        15.88720131        -0.24015346         0.03893278
       30.00000000        -4.50000000        -2.50000000       154.50000000        15.65185833        -0.10458141        -0.24761309
       30.00000000        -4.50000000        -1.50000000       154.50000000        15.41651630         0.03099065        -0.53415895
       30.00000000        -4.50000000        -0.50000000       154.50000000        15.18117332         0.16656271        -0.82070482
       30.00000000        -4.50000000         0.50000000       154.50000000        14.94074440         0.08212273        -0.83896762
       30.00000000        -4.50000000         1.50000000       154.50000000        14.69522667        -0.22232930        -0.58894747
       30.00000000        -4.50000000         2.50000000       154.50000000        14.44970989        -0.52678132        -0.33892727
       30.00000000        -4.50000000         3.50000000       154.50000000        14.20419312        -0.83123338        -0.08890708
       30.00000000        -4.50000000         4.50000000       154.50000000        13.95867634        -1.13568532         0.16111311
       30.00000000        -3.50000000        -4.50000000       145.50000000        15.72624779        -0.19265841         0.36120111
       30.00000000        -3.50000000        -3.50000000       145.50000000        15.80834293        -0.39939168         0.29000497
       30.00000000        -3.50000000        -2.50000000       145.50000000        15.89043808        -0.60612494         0.21880886
       30.00000000        -3.50000000        -1.50000000       145.50000000        15.97253323        -0.81285816         0.14761274
       30.00000000        -3.50000000        -0.50000000       145.50000000        16.05462837        -1.01959145         0.07641662
       30.00000000        -3.50000000         0.50000000       145.50000000        15.89805508        -1.04986727        -0.10056446
       30.00000000        -3.50000000         1.50000000       145.50000000        15.50281525        -0.90368587        -0.38333052
       30.00000000        -3.50000000         2.50000000       145.50000000        15.10757446        -0.75750440        -0.66609657
       30.00000000        -3.50000000         3.50000000       145.50000000        14.71233463        -0.61132294        -0.94886261
       30.00000000        -3.50000000         4.50000000       145.50000000        14.31709385        -0.46514145        -1.23162866
       30.00000000        -3.50000000        -4.50000000       146.50000000        15.52507687         0.14832859         0.82048124
       30.00000000        -3.50000000        -3.50000000       146.50000000        15.65334797        -0.12552568         0.60504746
       30.00000000        -3.50000000        -2.50000000       146.50000000        15.78161907        -0.39937994         0.38961369
       30.00000000        -3.50000000        -1.50000000       146.50000000        15.90988922        -0.67323422         0.17417991
       30.00000000        -3.50000000        -0.50000000       146.50000000        16.03816032        -0.94708848        -0.04125387
       30.00000000        -3.50000000         0.50000000       146.50000000        15.92986393        -0.99717790        -0.23364614
       30.00000000        -3.50000000         1.50000000       146.50000000        15.58500195        -0.82350248        -0.40299687
       30.00000000        -3.50000000         2.50000000       146.50000000        15.24013996        -0.64982706        -0.57234764
       30.00000000        -3.50000000         3.50000000       146.50000000        14.89527702        -0.47615159        -0.74169838
       30.00000000        -3.50000000         4.50000000       146.50000000        14.55041504        -0.30247617        -0.91104913
       30.00000000        -3.50000000        -4.50000000       147.50000000        15.32390594         0.48931560         1.27976143
       30.00000000        -3.50000000        -3.50000000       147.50000000        15.49835300         0.14834031         0.92008996
       30.00000000        -3.50000000        -2.50000000       147.50000000        15.67279911        -0.19263498         0.56041855
       30.00000000        -3.50000000        -1.50000000       147.50000000        15.84724617        -0.53361028         0.20074709
       30.00000000        -3.50000000        -0.50000000       147.50000000        16.02169228        -0.87458557        -0.15892436
       30.00000000        -3.50000000         0.50000000       147.50000000        15.96167374        -0.94448853        -0.36672780
       30.00000000        -3.50000000         1.50000000       147.50000000        15.66718960        -0.74331909        -0.42266324
       30.00000000        -3.50000000         2.50000000       147.50000000        15.37270451        -0.54214966        -0.47859865
       30.00000000        -3.50000000         3.50000000       147.50000000        15.07822037        -0.34098029        -0.53453410
       30.00000000        -3.50000000         4.50000000       147.50000000        14.78373623        -0.13981088        -0.59046954
       30.00000000        -3.50000000        -4.50000000       148.50000000        15.23265743         0.61142635         1.44486034
       30.00000000        -3.50000000        -3.50000000       148.50000000        15.38737679         0.26555327         1.02117360
       30.00000000        -3.50000000        -2.50000000       148.50000000        15.54209614        -0.08031984         0.59748679
       30.00000000        -3.50000000        -1.50000000       148.50000000        15.69681644        -0.42619297         0.17380001
       30.00000000        -3.50000000        -0.50000000       148.50000000        15.85153580        -0.77206606        -0.24988678
       30.00000000        -3.50000000         0.50000000       148.50000000        15.79698277        -0.85640603        -0.44958639
       30.00000000        -3.50000000         1.50000000       148.50000000        15.53315926        -0.67921287        -0.42529878
       30.00000000        -3.50000000         2.50000000       148.50000000        15.26933479        -0.50201970        -0.40101120
       30.00000000        -3.50000000         3.50000000       148.50000000        15.00551033        -0.32482657        -0.37672359
       30.00000000        -3.50000000         4.50000000       148.50000000        14.74168587        -0.14763339        -0.35243601
       30.00000000        -3.50000000        -4.50000000       149.50000000        15.25133228         0.51465714         1.31577313
