      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3     L1N10T     L2N10T     L3N10T     CON4FX     CON4FY     CON4FZ     CON5FX     CON5FY     CON5FZ     CON6FX     CON6FY     CON6FZ    L1N19PX    L1N19PY    L1N19PZ    L2N19PX    L2N19PY    L2N19PZ    L3N19PX    L3N19PY    L3N19PZ
       (s)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (N)        (m)        (m)        (m)        (m)        (m)        (m)        (m)        (m)        (m)
    0.0000 0.999275E+06 0.137316E+07 0.999275E+06 0.812419E+06 0.119947E+07 0.812419E+06 0.397724E+06 0.696793E+06 -.595690E+06 -.117418E+07 0.000000E+00 -.711943E+06 0.397724E+06 -.696793E+06 -.595690E+06 0.418256E+02 0.649429E+02 -.389884E+02 -.723889E+02 0.000000E+00 -.338302E+02 0.418256E+02 -.649429E+02 -.389884E+02
    0.0125 0.999448E+06 0.137277E+07 0.999442E+06 0.812275E+06 0.119945E+07 0.812275E+06 0.397793E+06 0.696914E+06 -.595792E+06 -.117385E+07 0.457195E-03 -.711736E+06 0.397791E+06 -.696910E+06 -.595789E+06 0.418256E+02 0.649429E+02 -.389885E+02 -.723890E+02 0.000000E+00 -.338299E+02 0.418256E+02 -.649429E+02 -.389885E+02
    0.0250 0.999450E+06 0.137259E+07 0.999442E+06 0.812133E+06 0.119944E+07 0.812133E+06 0.397793E+06 0.696914E+06 -.595795E+06 -.117371E+07 0.223813E-02 -.711634E+06 0.397789E+06 -.696908E+06 -.595791E+06 0.418256E+02 0.649428E+02 -.389885E+02 -.723892E+02 -.111048E-10 -.338297E+02 0.418256E+02 -.649428E+02 -.389885E+02
    0.0375 0.999533E+06 0.137232E+07 0.999517E+06 0.811992E+06 0.119943E+07 0.811992E+06 0.397825E+06 0.696971E+06 -.595847E+06 -.117348E+07 0.539297E-02 -.711485E+06 0.397818E+06 -.696960E+06 -.595837E+06 0.418255E+02 0.649427E+02 -.389886E+02 -.723894E+02 -.871869E-10 -.338294E+02 0.418255E+02 -.649427E+02 -.389886E+02
    0.0500 0.999615E+06 0.137206E+07 0.999588E+06 0.811853E+06 0.119942E+07 0.811853E+06 0.397856E+06 0.697027E+06 -.595897E+06 -.117326E+07 0.106084E-01 -.711340E+06 0.397845E+06 -.697008E+06 -.595882E+06 0.418255E+02 0.649427E+02 -.389886E+02 -.723896E+02 -.333745E-09 -.338291E+02 0.418255E+02 -.649427E+02 -.389886E+02
    0.0625 0.999693E+06 0.137181E+07 0.999656E+06 0.811716E+06 0.119941E+07 0.811716E+06 0.397885E+06 0.697080E+06 -.595947E+06 -.117306E+07 0.180643E-01 -.711198E+06 0.397870E+06 -.697054E+06 -.595925E+06 0.418255E+02 0.649426E+02 -.389887E+02 -.723898E+02 -.907520E-09 -.338288E+02 0.418255E+02 -.649426E+02 -.389887E+02
    0.0750 0.999766E+06 0.137157E+07 0.999720E+06 0.811582E+06 0.119940E+07 0.811582E+06 0.397911E+06 0.697130E+06 -.595994E+06 -.117286E+07 0.274367E-01 -.711061E+06 0.397893E+06 -.697098E+06 -.595967E+06 0.418254E+02 0.649425E+02 -.389887E+02 -.723900E+02 -.204376E-08 -.338285E+02 0.418254E+02 -.649425E+02 -.389888E+02
    0.0875 0.999831E+06 0.137134E+07 0.999783E+06 0.811452E+06 0.119939E+07 0.811452E+06 0.397934E+06 0.697173E+06 -.596036E+06 -.117267E+07 0.374124E-01 -.710929E+06 0.397915E+06 -.697139E+06 -.596008E+06 0.418254E+02 0.649424E+02 -.389888E+02 -.723903E+02 -.403668E-08 -.338282E+02 0.418254E+02 -.649424E+02 -.389888E+02
    0.1000 0.999887E+06 0.137113E+07 0.999845E+06 0.811328E+06 0.119938E+07 0.811328E+06 0.397954E+06 0.697211E+06 -.596074E+06 -.117250E+07 0.458515E-01 -.710802E+06 0.397937E+06 -.697181E+06 -.596050E+06 0.418253E+02 0.649423E+02 -.389888E+02 -.723905E+02 -.720423E-08 -.338279E+02 0.418253E+02 -.649423E+02 -.389889E+02
    0.1125 0.999933E+06 0.137093E+07 0.999908E+06 0.811215E+06 0.119935E+07 0.811214E+06 0.397968E+06 0.697241E+06 -.596107E+06 -.117234E+07 0.496600E-01 -.710679E+06 0.397958E+06 -.697223E+06 -.596092E+06 0.418252E+02 0.649422E+02 -.389889E+02 -.723908E+02 -.118186E-07 -.338276E+02 0.418252E+02 -.649422E+02 -.389889E+02
    0.1250 0.999970E+06 0.137073E+07 0.999976E+06 0.811115E+06 0.119932E+07 0.811114E+06 0.397978E+06 0.697263E+06 -.596134E+06 -.117218E+07 0.450583E-01 -.710560E+06 0.397981E+06 -.697268E+06 -.596138E+06 0.418252E+02 0.649421E+02 -.389889E+02 -.723910E+02 -.180154E-07 -.338274E+02 0.418252E+02 -.649421E+02 -.389889E+02
    0.1375 0.999996E+06 0.137054E+07 0.100005E+07 0.811034E+06 0.119927E+07 0.811032E+06 0.397984E+06 0.697279E+06 -.596157E+06 -.117203E+07 0.279379E-01 -.710443E+06 0.398006E+06 -.697316E+06 -.596187E+06 0.418251E+02 0.649420E+02 -.389890E+02 -.723913E+02 -.256769E-07 -.338271E+02 0.418251E+02 -.649420E+02 -.389890E+02
    0.1500 0.100002E+07 0.137036E+07 0.100013E+07 0.810973E+06 0.119919E+07 0.810969E+06 0.397987E+06 0.697289E+06 -.596175E+06 -.117189E+07 -.569264E-02 -.710328E+06 0.398032E+06 -.697368E+06 -.596240E+06 0.418250E+02 0.649419E+02 -.389890E+02 -.723916E+02 -.343060E-07 -.338268E+02 0.418251E+02 -.649419E+02 -.389890E+02
    0.1625 0.100003E+07 0.137018E+07 0.100021E+07 0.810934E+06 0.119910E+07 0.810928E+06 0.397986E+06 0.697295E+06 -.596190E+06 -.117175E+07 -.592734E-01 -.710214E+06 0.398060E+06 -.697424E+06 -.596296E+06 0.418250E+02 0.649417E+02 -.389891E+02 -.723919E+02 -.429029E-07 -.338265E+02 0.418250E+02 -.649417E+02 -.389891E+02
    0.1750 0.100004E+07 0.137001E+07 0.100030E+07 0.810918E+06 0.119898E+07 0.810909E+06 0.397984E+06 0.697298E+06 -.596203E+06 -.117161E+07 -.135314E+00 -.710100E+06 0.398090E+06 -.697483E+06 -.596355E+06 0.418249E+02 0.649416E+02 -.389891E+02 -.723922E+02 -.498595E-07 -.338263E+02 0.418249E+02 -.649416E+02 -.389891E+02
