
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 17-Oct-2023 at 17:19:55.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3          L1N10T          L2N10T          L3N10T            P4FX            P4FY            P4FZ            P5FX            P5FY            P5FZ            P6FX            P6FY            P6FZ         L1N19PX         L1N19PY         L1N19PZ         L2N19PX         L2N19PY         L2N19PZ         L3N19PX         L3N19PY         L3N19PZ            P4PX            P4PY            P4PZ            P5PX            P5PY            P5PZ            P6PX            P6PY            P6PZ
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)
    0.0000   1.0114779E+06   1.3578439E+06   1.0121869E+06   8.0904761E+05   1.1660902E+06   8.0904761E+05   8.2323141E+05   1.1966663E+06   8.2323141E+05   4.0130136E+05   7.0374818E+05  -6.0562632E+05  -1.1628959E+06  -2.7197479E-01  -7.0100856E+05   4.0158619E+05  -7.0424779E+05  -6.0604124E+05   4.1771193E+01   6.4875332E+01  -3.9108239E+01  -7.2445966E+01   0.0000000E+00  -3.3731972E+01   4.1771193E+01  -6.4875332E+01  -3.9108239E+01   2.4959349E+01   3.5393005E+01  -1.4668561E+01  -3.6309062E+01   8.2565943E-06  -1.2639461E+01   2.4959346E+01  -3.5392995E+01  -1.4668522E+01
    0.0125   1.0072586E+06   1.3628582E+06   1.0075881E+06   8.0889744E+05   1.1663324E+06   8.0889744E+05   8.2308760E+05   1.1968948E+06   8.2308760E+05   3.9961554E+05   7.0077074E+05  -6.0315640E+05  -1.1672307E+06  -2.7282652E-01  -7.0353049E+05   3.9974780E+05  -7.0100280E+05  -6.0334951E+05   4.1771600E+01   6.4875160E+01  -3.9108022E+01  -7.2446164E+01   4.2481570E-09  -3.3731834E+01   4.1771597E+01  -6.4875155E+01  -3.9108018E+01   2.4959349E+01   3.5393005E+01  -1.4668561E+01  -3.6309062E+01   8.2565943E-06  -1.2639461E+01   2.4959346E+01  -3.5392995E+01  -1.4668522E+01
    0.0250   1.0057320E+06   1.3647108E+06   1.0059333E+06   8.0874599E+05   1.1665788E+06   8.0874599E+05   8.2294347E+05   1.1971271E+06   8.2294348E+05   3.9901037E+05   6.9969129E+05  -6.0226213E+05  -1.1688369E+06  -3.0310887E-01  -7.0445432E+05   3.9909103E+05  -6.9983287E+05  -6.0238032E+05   4.1771991E+01   6.4874964E+01  -3.9107772E+01  -7.2446385E+01   1.7157568E-08  -3.3731758E+01   4.1771984E+01  -6.4874952E+01  -3.9107761E+01   2.4959413E+01   3.5393005E+01  -1.4668450E+01  -3.6309008E+01   9.1739936E-06  -1.2639643E+01   2.4959410E+01  -3.5392995E+01  -1.4668408E+01
    0.0375   1.0049993E+06   1.3656333E+06   1.0051462E+06   8.0859337E+05   1.1668292E+06   8.0859337E+05   8.2280103E+05   1.1973607E+06   8.2280124E+05   3.9872419E+05   6.9917165E+05  -6.0183187E+05  -1.1696395E+06  -3.3635300E-01  -7.0490988E+05   3.9878296E+05  -6.9927485E+05  -6.0191832E+05   4.1772390E+01   6.4874786E+01  -3.9107520E+01  -7.2446571E+01   3.9522630E-08  -3.3731710E+01   4.1772379E+01  -6.4874767E+01  -3.9107503E+01   2.4959484E+01   3.5393006E+01  -1.4668328E+01  -3.6308948E+01   1.0193477E-05  -1.2639846E+01   2.4959480E+01  -3.5392994E+01  -1.4668280E+01
    0.0500   1.0046391E+06   1.3661214E+06   1.0047665E+06   8.0843971E+05   1.1670835E+06   8.0843971E+05   8.2266900E+05   1.1975855E+06   8.2267040E+05   3.9858759E+05   6.9891475E+05  -6.0161940E+05  -1.1700664E+06  -3.7299526E-01  -7.0514689E+05   3.9863848E+05  -6.9900416E+05  -6.0169449E+05   4.1772797E+01   6.4874627E+01  -3.9107272E+01  -7.2446716E+01   7.2359622E-08  -3.3731685E+01   4.1772783E+01  -6.4874603E+01  -3.9107249E+01   2.4959563E+01   3.5393006E+01  -1.4668193E+01  -3.6308881E+01   1.1326965E-05  -1.2640070E+01   2.4959559E+01  -3.5392994E+01  -1.4668140E+01
    0.0625   1.0044544E+06   1.3664066E+06   1.0045791E+06   8.0828513E+05   1.1673417E+06   8.0828513E+05   8.2256488E+05   1.1977807E+06   8.2257008E+05   3.9852131E+05   6.9878160E+05  -6.0150956E+05  -1.1703180E+06  -4.1349081E-01  -7.0528214E+05   3.9857108E+05  -6.9886906E+05  -6.0158311E+05   4.1773210E+01   6.4874484E+01  -3.9107023E+01  -7.2446826E+01   1.1677960E-07  -3.3731688E+01   4.1773194E+01  -6.4874456E+01  -3.9106996E+01   2.4959650E+01   3.5393007E+01  -1.4668043E+01  -3.6308807E+01   1.2588100E-05  -1.2640317E+01   2.4959645E+01  -3.5392993E+01  -1.4667984E+01
    0.0750   1.0043531E+06   1.3665974E+06   1.0044835E+06   8.0812982E+05   1.1676036E+06   8.0812982E+05   8.2250764E+05   1.1979238E+06   8.2252101E+05   3.9848829E+05   6.9870725E+05  -6.0144854E+05  -1.1704877E+06  -4.5834209E-01  -7.0537018E+05   3.9854036E+05  -6.9879876E+05  -6.0152553E+05   4.1773628E+01   6.4874352E+01  -3.9106772E+01  -7.2446910E+01   1.7400171E-07  -3.3731721E+01   4.1773610E+01  -6.4874320E+01  -3.9106740E+01   2.4959746E+01   3.5393008E+01  -1.4667879E+01  -3.6308726E+01   1.3992622E-05  -1.2640589E+01   2.4959741E+01  -3.5392992E+01  -1.4667814E+01
    0.0875   1.0042918E+06   1.3667446E+06   1.0044328E+06   8.0797395E+05   1.1678693E+06   8.0797396E+05   8.2250600E+05   1.1980043E+06   8.2253273E+05   3.9847114E+05   6.9866119E+05  -6.0141108E+05  -1.1706195E+06  -5.0811469E-01  -7.0543662E+05   3.9852744E+05  -6.9876011E+05  -6.0149432E+05   4.1774047E+01   6.4874226E+01  -3.9106516E+01  -7.2446970E+01   2.4536676E-07  -3.3731787E+01   4.1774027E+01  -6.4874191E+01  -3.9106479E+01   2.4959851E+01   3.5393009E+01  -1.4667700E+01  -3.6308637E+01   1.5558616E-05  -1.2640886E+01   2.4959845E+01  -3.5392991E+01  -1.4667627E+01
    0.1000   1.0042500E+06   1.3668722E+06   1.0044048E+06   8.0781782E+05   1.1681384E+06   8.0781783E+05   8.2255194E+05   1.1980315E+06   8.2259645E+05   3.9846159E+05   6.9862891E+05  -6.0138520E+05  -1.1707342E+06  -5.6344493E-01  -7.0549355E+05   3.9852339E+05  -6.9873753E+05  -6.0147658E+05   4.1774467E+01   6.4874104E+01  -3.9106253E+01  -7.2447012E+01   3.3235168E-07  -3.3731889E+01   4.1774445E+01  -6.4874065E+01  -3.9106211E+01   2.4959965E+01   3.5393010E+01  -1.4667505E+01  -3.6308540E+01   1.7306620E-05  -1.2641209E+01   2.4959959E+01  -3.5392990E+01  -1.4667424E+01
