# Time    CON4PX    CON4PY    CON4PZ   CON5PX    CON5PY    CON5PZ   CON6PX    CON6PY    CON6PZ
0.0000000e+00   2.4959000e+01   3.5393000e+01   -1.4670000e+01   -3.6310000e+01   0.0000000e+00   -1.2638000e+01   2.4959000e+01   -3.5393000e+01   -1.4670000e+01
1.2500000e-02   2.4959000e+01   3.5393000e+01   -1.4670000e+01   -3.6310000e+01   -1.3538000e-08   -1.2638000e+01   2.4959000e+01   -3.5393000e+01   -1.4670000e+01
2.5000000e-02   2.4959000e+01   3.5393000e+01   -1.4670000e+01   -3.6310000e+01   -6.7008000e-08   -1.2638000e+01   2.4959000e+01   -3.5393000e+01   -1.4670000e+01
3.7500000e-02   2.4959000e+01   3.5393000e+01   -1.4669000e+01   -3.6310000e+01   -1.6116000e-07   -1.2638000e+01   2.4959000e+01   -3.5393000e+01   -1.4669000e+01
5.0000000e-02   2.4959000e+01   3.5393000e+01   -1.4669000e+01   -3.6309000e+01   -3.1679000e-07   -1.2638000e+01   2.4959000e+01   -3.5393000e+01   -1.4669000e+01
6.2500000e-02   2.4959000e+01   3.5393000e+01   -1.4669000e+01   -3.6309000e+01   -5.3980000e-07   -1.2638000e+01   2.4959000e+01   -3.5393000e+01   -1.4669000e+01
7.5000000e-02   2.4959000e+01   3.5393000e+01   -1.4669000e+01   -3.6309000e+01   -8.2231000e-07   -1.2639000e+01   2.4959000e+01   -3.5393000e+01   -1.4669000e+01
8.7500000e-02   2.4959000e+01   3.5393000e+01   -1.4669000e+01   -3.6309000e+01   -1.1276000e-06   -1.2639000e+01   2.4959000e+01   -3.5393000e+01   -1.4669000e+01
1.0000000e-01   2.4959000e+01   3.5393000e+01   -1.4669000e+01   -3.6309000e+01   -1.3946000e-06   -1.2639000e+01   2.4959000e+01   -3.5393000e+01   -1.4669000e+01
1.1250000e-01   2.4959000e+01   3.5393000e+01   -1.4669000e+01   -3.6309000e+01   -1.5344000e-06   -1.2639000e+01   2.4959000e+01   -3.5393000e+01   -1.4669000e+01
1.2500000e-01   2.4959000e+01   3.5393000e+01   -1.4668000e+01   -3.6309000e+01   -1.4366000e-06   -1.2640000e+01   2.4959000e+01   -3.5393000e+01   -1.4668000e+01
1.3750000e-01   2.4959000e+01   3.5393000e+01   -1.4668000e+01   -3.6309000e+01   -9.7961000e-07   -1.2640000e+01   2.4959000e+01   -3.5393000e+01   -1.4668000e+01
1.5000000e-01   2.4960000e+01   3.5393000e+01   -1.4668000e+01   -3.6309000e+01   -4.3637000e-08   -1.2641000e+01   2.4960000e+01   -3.5393000e+01   -1.4668000e+01
1.6250000e-01   2.4960000e+01   3.5393000e+01   -1.4668000e+01   -3.6309000e+01   1.4773000e-06   -1.2641000e+01   2.4960000e+01   -3.5393000e+01   -1.4668000e+01
1.7500000e-01   2.4960000e+01   3.5393000e+01   -1.4667000e+01   -3.6309000e+01   3.6639000e-06   -1.2642000e+01   2.4960000e+01   -3.5393000e+01   -1.4667000e+01
1.8750000e-01   2.4960000e+01   3.5393000e+01   -1.4667000e+01   -3.6308000e+01   6.5633000e-06   -1.2642000e+01   2.4960000e+01   -3.5393000e+01   -1.4667000e+01
